"bioid","screen_name","name","gender","type","party"
"A000055","RobertAderholt","Robert B. Aderholt","M","rep","Republican"
"A000360","senatorlamaralexander","Lamar Alexander","M","sen","Republican"
"A000367","repjustinamash","Justin Amash","M","rep","Republican"
"A000369","MarkAmodeiNV2","Mark E. Amodei","M","rep","Republican"
"A000370","CongresswomanAdams","Alma S. Adams","F","rep","Democrat"
"A000371","reppeteaguilar","Pete Aguilar","M","rep","Democrat"
"A000372","CongressmanRickAllen","Rick W. Allen","M","rep","Republican"
"A000374","CongressmanRalphAbraham","Ralph Lee Abraham","M","rep","Republican"
"A000375","JodeyArrington","Jodey C. Arrington","M","rep","Republican"
"B000213","RepJoeBarton","Joe Barton","M","rep","Republican"
"B000490","sanfordbishop","Sanford D. Bishop, Jr.","M","rep","Democrat"
"B000575","SenatorBlunt","Roy Blunt","M","sen","Republican"
"B000755","kevinbrady","Kevin Brady","M","rep","Republican"
"B000944","SenatorSherrodBrown","Sherrod Brown","M","sen","Democrat"
"B001135","SenatorRichardBurr","Richard Burr","M","sen","Republican"
"B001227","RepRobertBrady","Robert A. Brady","M","rep","Democrat"
"B001230","senatortammybaldwin","Tammy Baldwin","F","sen","Democrat"
"B001236","JohnBoozman","John Boozman","M","sen","Republican"
"B001243","marshablackburn","Marsha Blackburn","F","rep","Republican"
"B001245","madeleine.bordallo","Madeleine Z. Bordallo","F","rep","Democrat"
"B001248","michaelcburgess","Michael C. Burgess","M","rep","Republican"
"B001250","RepRobBishop","Rob Bishop","M","rep","Republican"
"B001251","congressmangkbutterfield","G. K. Butterfield","M","rep","Democrat"
"B001257","GusBilirakis","Gus M. Bilirakis","M","rep","Republican"
"B001260","CongressmanBuchanan","Vern Buchanan","M","rep","Republican"
"B001261","johnbarrasso","John Barrasso","M","sen","Republican"
"B001267","senbennetco","Michael F. Bennet","M","sen","Democrat"
"B001269","CongressmanLouBarletta","Lou Barletta","M","rep","Republican"
"B001270","RepKarenBass","Karen Bass","F","rep","Democrat"
"B001273","DianeBlackTN06","Diane Black","F","rep","Republican"
"B001274","RepMoBrooks","Mo Brooks","M","rep","Republican"
"B001275","RepLarryBucshon","Larry Bucshon","M","rep","Republican"
"B001277","SenBlumenthal","Richard Blumenthal","M","sen","Democrat"
"B001278","congresswomanbonamici","Suzanne Bonamici","F","rep","Democrat"
"B001281","RepJoyceBeatty","Joyce Beatty","F","rep","Democrat"
"B001282","RepAndyBarr","Andy Barr","M","rep","Republican"
"B001283","CongressmanJimBridenstine","Jim Bridenstine","M","rep","Republican"
"B001284","congresswomansusanwbrooks","Susan W. Brooks","F","rep","Republican"
"B001285","RepJuliaBrownley","Julia Brownley","F","rep","Democrat"
"B001286","RepCheri","Cheri Bustos","F","rep","Democrat"
"B001287","RepAmiBera","Ami Bera","M","rep","Democrat"
"B001289","RepByrne","Bradley Byrne","M","rep","Republican"
"B001290","RepDaveBrat","Dave Brat","M","rep","Republican"
"B001291","RepBrianBabin","Brian Babin","M","rep","Republican"
"B001292","repdonbeyer","Donald S. Beyer, Jr.","M","rep","Democrat"
"B001293","RepMikeBishop","Mike Bishop","M","rep","Republican"
"B001294","congressmanrodblum","Rod Blum","M","rep","Republican"
"B001295","RepBost","Mike Bost","M","rep","Republican"
"B001296","CongressmanBoyle","Brendan F. Boyle","M","rep","Democrat"
"B001297","repkenbuck","Ken Buck","M","rep","Republican"
"B001298","RepDonBacon","Don Bacon","M","rep","Republican"
"B001299","RepJimBanks","Jim Banks","M","rep","Republican"
"B001300","CongresswomanBarragan","Nanette Diaz Barragán","F","rep","Democrat"
"B001301","RepJackBergman","Jack Bergman","M","rep","Republican"
"B001302","RepAndyBiggs","Andy Biggs","M","rep","Republican"
"B001303","Rep.BluntRochester","Lisa Blunt Rochester","F","rep","Democrat"
"B001304","RepAnthonyBrown","Anthony G. Brown","M","rep","Democrat"
"B001305","RepTedBudd","Ted Budd","M","rep","Republican"
"C000059","70063393423","Ken Calvert","M","rep","Republican"
"C000127","senatorcantwell","Maria Cantwell","F","sen","Democrat"
"C000141","senatorbencardin","Benjamin L. Cardin","M","sen","Democrat"
"C000174","tomcarper","Thomas R. Carper","M","sen","Democrat"
"C000266","RepSteveChabot","Steve Chabot","M","rep","Republican"
"C000537","jameseclyburn","James E. Clyburn","M","rep","Democrat"
"C000754","JimCooper","Jim Cooper","M","rep","Democrat"
"C000880","mikecrapo","Mike Crapo","M","sen","Republican"
"C000984","elijahcummings","Elijah E. Cummings","M","rep","Democrat"
"C001035","susancollins","Susan M. Collins","F","sen","Republican"
"C001037","RepMichaelCapuano","Michael E. Capuano","M","rep","Democrat"
"C001038","repjoecrowley","Joseph Crowley","M","rep","Democrat"
"C001047","senshelley","Shelley Moore Capito","F","sen","Republican"
"C001048","CongressmanCulberson","John Abney Culberson","M","rep","Republican"
"C001049","109135405838588","Wm. Lacy Clay","M","rep","Democrat"
"C001051","judgecarter","John R. Carter","M","rep","Republican"
"C001053","TomColeOK04","Tom Cole","M","rep","Republican"
"C001056","sen.johncornyn","John Cornyn","M","sen","Republican"
"C001059","RepJimCosta","Jim Costa","M","rep","Democrat"
"C001061","emanuelcleaverii","Emanuel Cleaver","M","rep","Democrat"
"C001062","mike.conaway","K. Michael Conaway","M","rep","Republican"
"C001063","152569121550","Henry Cuellar","M","rep","Democrat"
"C001066","USRepKathyCastor","Kathy Castor","F","rep","Democrat"
"C001067","repyvettedclarke","Yvette D. Clarke","F","rep","Democrat"
"C001068","CongressmanSteveCohen","Steve Cohen","M","rep","Democrat"
"C001069","joecourtney","Joe Courtney","M","rep","Democrat"
"C001070","SenatorBobCasey","Robert P. Casey, Jr.","M","sen","Democrat"
"C001071","bobcorker","Bob Corker","M","sen","Republican"
"C001072","CongressmanAndreCarson","André Carson","M","rep","Democrat"
