"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"AndyHarrisMD","508912729153334_1400527219991876","Rep. Andy Harris, M.D.","2017-01-01","2017-01-01 18:54:11","Happy New Year! What are you looking forward to in 2017?","status",NA,NA,27,67,0,0,0,0,0,1
"AndyHarrisMD","508912729153334_1402427046468560","Rep. Andy Harris, M.D.","2017-01-03","2017-01-03 22:48:19","The 115th Congress began today, and I'm excited to get back to work to make America great again! It's truly an honor to serve the people of the 1st District of Maryland. As always, feel free to connect with me at harris.house.gov/contact-me.","photo","https://www.facebook.com/AndyHarrisMD/photos/a.509765495734724.123978.508912729153334/1402427046468560/?type=3",NA,174,80,15,7,1,0,1,6
"AndyHarrisMD","508912729153334_1414179471959984","Rep. Andy Harris, M.D.","2017-01-16","2017-01-16 22:25:40",NA,"video","https://www.facebook.com/speakerryan/videos/1228905773824613/",NA,6,18,0,2,0,0,0,7
"AndyHarrisMD","508912729153334_1417969898247608","Rep. Andy Harris, M.D.","2017-01-20","2017-01-20 19:47:42","On the steps of the Capitol watching history being made. I'm grateful for the many continued traditions on this day, including the peaceful transfer of power. I'm looking forward to a productive and innovative four years. God bless the United States of America and God bless President Trump and Vice President Pence. #Inauguration2017","photo","https://www.facebook.com/AndyHarrisMD/photos/a.509765495734724.123978.508912729153334/1417969898247608/?type=3",NA,199,55,4,23,0,1,6,18
"AndyHarrisMD","508912729153334_1421166127927985","Rep. Andy Harris, M.D.","2017-01-23","2017-01-23 17:27:36","Please take notice of the National Weather Service's wind advisory today. Stay safe!","link","https://www.facebook.com/StarDemocrat/posts/1458032130926896","facebook.com",8,32,0,0,0,0,0,0
"AndyHarrisMD","508912729153334_1428581337186464","Rep. Andy Harris, M.D.","2017-01-30","2017-01-30 18:21:11","I support the President’s Executive Order to increase the vetting of refugees and immigrants entering the United States from countries where ISIS has a significant presence. The Executive Order temporarily suspends visas issued to individuals from seven specific countries prone to terrorism – similar to President Obama’s temporary ban on visas for refugees from Iraq in 2011 for the same reason.    The vetting of individuals seeking to immigrate into the United States from countries where ISIS has a significant presence must be increased to better protect Americans’ safety and our national security. As President Trump noted, the seven countries are the same countries previously identified by the Obama Administration as sources of terror. I also applaud the decision to prioritize entry of those refugees who are religious minorities fleeing religious persecution, whether those minorities are Muslims, Yazidis, Zoroastrians, or Christians.  The United States should resume issuing visas to all these countries only after a review of these policies is completed, and only if the countries comply with supplying the information necessary to allow complete vetting.","status",NA,NA,533,560,126,49,0,3,19,271
"AndyHarrisMD","508912729153334_1430688530309078","Rep. Andy Harris, M.D.","2017-02-01","2017-02-01 22:26:25","It was a pleasure meeting folks from Habitat for Humanity Choptank and Habitat for Humanity Susquehanna today! I am humbled by their commitment and dedication to making sure that everyone has a decent place to live. If you're interested in learning more about the organization, visit http://www.habitat.org/.","photo","https://www.facebook.com/AndyHarrisMD/photos/a.509765495734724.123978.508912729153334/1430688530309078/?type=3",NA,41,24,8,2,0,1,0,2
"AndyHarrisMD","508912729153334_1439665822744682","Rep. Andy Harris, M.D.","2017-02-10","2017-02-10 20:37:00","I congratulate my friend, Dr. Tom Price, on his confirmation as the next Secretary of the Department of Health and Human Services! It’s been a long time since we’ve had a physician in that role, and America needs one in that role now more than ever. Dr. Price, who is a practicing orthopaedic surgeon, understands the American health care system, how good it is, and how much harm Obamacare has done to it over the past few years. I look forward to working with Dr. Price to repeal Obamacare and restore high-quality health care to the American public - the kind of care America deserves.","video","https://www.facebook.com/FoxNews/videos/10155097975151336/",NA,113,95,0,9,0,0,5,40
"AndyHarrisMD","508912729153334_1439720839405847","Rep. Andy Harris, M.D.","2017-02-10","2017-02-10 22:06:57","In remembrance...","link","http://www.baltimoresun.com/news/opinion/editorial/bs-ed-harford-20160211-story.html","baltimoresun.com",18,8,0,0,0,0,14,1
"AndyHarrisMD","508912729153334_1442411642470100","Rep. Andy Harris, M.D.","2017-02-13","2017-02-13 22:14:04","Spring Break is quickly approaching! If your family or school is planning a trip to Washington, DC please contact my office right away to schedule tours. You can tour the U.S. Capitol, the Supreme Court, the Library of Congress, and the Bureau of Engraving and Printing, but tours are filling up fast. Email my office at tourrequests.md01@mail.house.gov with your first and last name, mailing address, preferred date(s), and group size.","status",NA,NA,56,96,13,1,1,0,0,7
"AndyHarrisMD","508912729153334_1444475802263684","Rep. Andy Harris, M.D.","2017-02-15","2017-02-15 22:17:21","Constituents,   We will be starting our usual teletown halls, as we have always done (over 50 since my election!). The first confirmed teletown hall will take place tomorrow night at 5:00pm. I will be calling nearly 80,000 constituents who live in the northern portion of the district and inviting them to join the event. Unfortunately we will be unable to take calls from elsewhere on this teletown hall because, due to House Administration rules, Members of Congress are forbidden from using Congressional funds to have contact with individuals living outside of their districts, and if we had a Call-in number and it was used by an individual living outside of the district, that would create an illegal use of taxpayer funds.   My office is working tirelessly to include as many constituents as possible in this event, and if we are unable to reach your part of the district for this teletown hall, we will be having more events in the near future. For those of you who want to hear what's going on now, I will also be posting the full audio recording of the town hall on my website after the conclusion of the event. I am looking forward to discussing several important issues with you all on these teletown halls!  Thank you, Congressman Andy Harris, M.D.","status",NA,NA,56,203,43,3,2,0,1,51
"AndyHarrisMD","508912729153334_1445653252145939","Rep. Andy Harris, M.D.","2017-02-16","2017-02-16 21:38:01","Constituents, tonight's teletown hall is being pushed back to 5:20. Please be near your phones at this time, I'm eager to hear your thoughts! Tonight's teletown hall is directed at the northern portion of the district, but I will be holding more teletown halls in the coming weeks for constituents living on the Eastern Shore. As soon as these dates are finalized, I will share them with you. I will also post the full audio recording of tonight's teletown hall on my website, for all constituents to listen to. Thank you!","status",NA,NA,32,81,7,0,4,0,1,24
"AndyHarrisMD","508912729153334_1445681462143118","Rep. Andy Harris, M.D.","2017-02-16","2017-02-16 22:22:54","If you would like to listen in on the teletown hall, you can do so here! https://vekeo.com/andyharrismd/","link","https://vekeo.com/andyharrismd/","vekeo.com",28,100,5,2,1,0,1,26
