"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"ChelliePingree","91529332807_10154804741307808","Congresswoman Chellie Pingree","2017-01-02","2017-01-02 14:03:11","For years, Republican leadership in Congress has vowed to ""repeal and replace"" the Affordable Care Act. Now, they just plan to repeal it without a plan for the thousands of Mainers and millions of Americans they will leave in the lurch. http://bit.ly/2hJGkSU","link","http://bit.ly/2hJGkSU","bit.ly",144,32,48,4,2,2,14,53
"ChelliePingree","91529332807_10154809698132808","Congresswoman Chellie Pingree","2017-01-03","2017-01-03 14:56:07","I think it's completely outrageous that House Republicans voted behind closed doors to severely weaken the Office of Congressional Ethics. This office has been critical in ensuring that Members of Congress from both parties are acting in the public's interest and not their own.   I'll be voting against this later today, but am so disappointed that this is the tone Republicans want to set for the new Congress.","link","http://bit.ly/2hNSCIg","bit.ly",689,183,145,13,1,3,34,158
"ChelliePingree","91529332807_10154810523502808","Congresswoman Chellie Pingree","2017-01-03","2017-01-03 20:47:02","Thanks to the public outcry, House Republicans have withdrawn their outrageous proposal to weaken the Office of Congressional Ethics. But there’s still plenty of terrible things included in the rules package, which is why I’ll be voting against it today. Here are just a few:  1) Fining members up to $2,500 for taking pictures or videos on the House floor—an attempt to curb the kind of demonstration on gun violence we had last year, which we had to broadcast to the public with our cellphones when the C-Span cameras were turned off (proud to take a selfie with John Lewis during this part of the debate)  2) Hiding the cost of repealing the Affordable Care Act—Republicans are exempting the Affordable Care Act from their own point-of-order rules for legislation that has significant impacts to the budget, because they know that repealing the ACA will increase spending and the deficit.   3) Setting the stage for cuts to Medicare and Social Security—The rules package requires that committees make recommendations for moving programs from mandatory spending (like what Social Security and Medicare receive) to the partisan fight of year-to-year discretionary spending.","photo","https://www.facebook.com/ChelliePingree/photos/a.175015577807.121800.91529332807/10154810523502808/?type=3",NA,993,230,321,57,1,5,4,77
"ChelliePingree","91529332807_10154812645557808","Congresswoman Chellie Pingree","2017-01-04","2017-01-04 16:53:13","Amazing to see how Ruth Moore is using the VA benefits she had been denied for so long to help other veterans. Brava!","link","http://bit.ly/2iPE9Ks","bit.ly",125,3,14,15,0,1,0,0
"ChelliePingree","91529332807_10154812653367808","Congresswoman Chellie Pingree","2017-01-04","2017-01-04 16:57:21","From last Democratic caucus meeting with President Obama this morning","link","https://twitter.com/chelliepingree/status/816658275752181761","twitter.com",50,0,2,2,0,0,14,0
"ChelliePingree","91529332807_10154813292147808","Congresswoman Chellie Pingree","2017-01-04","2017-01-04 21:23:22","#WHATWE’REVOTINGONTODAY   Today, the House is debating whether to give itself the authority to roll back regulations that President Obama has finalized over the last few months. Keep in mind, Congress already has the power to repeal regulations one by one. But this reaches far beyond that—Republicans in Congress want to be able to bundle all the regulations they don’t like and be able to repeal them with just one vote.   Lots of regulations are being targeted—including ones that limit methane emissions into the air, establish fair and safe protections for workers, keep states from blocking access to women’s reproductive health, and protect students. These regulations have gone through a long, extensive public process before being finalized.  Just to be clear, I’ve often worked to change regulations that I felt have needlessly burden people and businesses in Maine. But if Congress wants to change regulations, it should give us the chance to adequately debate the merits of each and get feedback from our constituents. I don’t think the Republicans in Congress should have the right to unilaterally erase the last few months of President Obama’s tenure.    I’ll be voting against this legislation.","status",NA,NA,603,177,118,26,1,4,6,81
"ChelliePingree","91529332807_10154815515752808","Congresswoman Chellie Pingree","2017-01-05","2017-01-05 17:16:50","With President-elect Trump coming to the White House and a Republican-controlled Congress behind him, many people are asking me: ""What can I do?""   My answer today is to share your health-care stories. As I fight to protect the gains of the Affordable Care Act, having stories of the law's successes will be critical. If you have one to share, please go to my website: https://pingree.house.gov/share-your-story. Thank you!  (PLEASE NOTE: while I welcome Facebook comments, in this case I need you to fill out the form on my site so we can follow up and ensure your privacy)","photo","https://www.facebook.com/ChelliePingree/photos/a.175015577807.121800.91529332807/10154815515752808/?type=3",NA,87,31,105,6,0,0,0,1
"ChelliePingree","91529332807_10154816063992808","Congresswoman Chellie Pingree","2017-01-05","2017-01-05 20:54:03","While I was proud to participate in a press conference today on defending women's health-care services, Paul Ryan had his own about taking it away.   As part of Affordable Care Act repeal, he's announced that he will include federal defunding of Planned Parenthood. This would mean that millions of low-income women across the country would lose access to reproductive and women's health-care services--on top of the millions of other Americans who stand to lose the coverage they've gained under the ACA.    It's more important now than ever to share your story about what these changes would mean to you: https://pingree.house.gov/share-your-story","photo","https://www.facebook.com/ChelliePingree/photos/a.175015577807.121800.91529332807/10154816063992808/?type=3",NA,177,43,88,7,1,0,2,68
"ChelliePingree","91529332807_10154817945337808","Congresswoman Chellie Pingree","2017-01-06","2017-01-06 14:49:48","WHAT WE VOTED ON YESTERDAY  Yesterday, I voted against HR 26, the REINS Act. This bill requires that any new major regulation be approved by Congress within 70 days of its introduction. If not, the rule can not be introduced again—even in amended form—until the next Congress convenes.   When has Congress ever done anything within 70 days? This legislation gives industry special interests and their allies in Congress the power to easily block any regulations they don’t like. Big banks, polluters, and negligent corporations all stand to benefit while threatening the public health and safety for the rest of us.   Congress already has authority to overturn regulations. We don’t need to hamstring our country’s ability to respond to things like food safety concerns, predatory lending, and threats to clean water by introducing them all to a political process where the power of a few has such a great sway.","status",NA,NA,289,42,48,5,0,11,2,3
"ChelliePingree","91529332807_10154818243087808","Congresswoman Chellie Pingree","2017-01-06","2017-01-06 17:15:15","Today Congress is meeting in a joint session to certify the Electoral College tally. House Democrats plan to mount objections to the results--citing voter suppression in several states as well as ineligible electors--but so far no Senators have stepped up to support the challenge, which is essential to having it move forward http://www.politico.com/story/2017/01/house-democrats-trump-electoral-college-233264","link","http://www.politico.com/story/2017/01/house-democrats-trump-electoral-college-233264","politico.com",165,40,35,6,2,2,12,16
