"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanAndreCarson","123884330964019_1378651092153997","Congressman André Carson","2017-01-03","2017-01-03 14:44:10","#WatchLive this morning's swearing in of the Congressional Black Caucus 115th Congress cbcfinc.org/live @OfficialCBC","link","http://cbcfinc.org/live","cbcfinc.org",48,3,1,4,0,0,0,0
"CongressmanAndreCarson","123884330964019_1378829758802797","Congressman André Carson","2017-01-03","2017-01-03 19:33:46","“I’m relieved that Congressional Republicans reversed their decision to eliminate the Office of Congressional Ethics. With all of the challenges that America faces today, I am deeply concerned that this was the first action that was being considered in the 115th Congress. I hope this is not indicative of the direction Congress is headed over the next two years.”","link","http://www.rollcall.com/news/policy/house-gop-rolls-back-ethics-office-changes","rollcall.com",287,23,22,14,1,4,6,2
"CongressmanAndreCarson","123884330964019_1380645085287931","Congressman André Carson","2017-01-05","2017-01-05 23:03:37","Today I stood with my colleagues in the Congressional Black Caucus to speak out against Republican efforts to repeal the Affordable Care Act and ask the Senate to reject the nomination of Jeff Sessions for U.S. attorney general.","photo","https://www.facebook.com/CongressmanAndreCarson/photos/a.182700648415720.42235.123884330964019/1380645085287931/?type=3",NA,638,59,44,81,0,0,0,1
"CongressmanAndreCarson","123884330964019_1381441038541669","Congressman André Carson","2017-01-06","2017-01-06 22:12:12","Today, I joined more than 150 House Democrats in asking for an independent commission to investigate Russia’s interference in the 2016 election.","link","http://carson.house.gov/newsroom/press-releases/congressman-carson-asks-for-independent-commission-to-investigate-russian","carson.house.gov",577,57,25,46,1,2,0,5
"CongressmanAndreCarson","123884330964019_1384100048275768","Congressman André Carson","2017-01-09","2017-01-09 23:32:46","Today is National Law Enforcement Appreciation Day. Thank you to all the men and women in blue who risk their lives to serve & protect.  #NationalLawEnforcementAppreciationDay","photo","https://www.facebook.com/CongressmanAndreCarson/photos/a.182700648415720.42235.123884330964019/1384100048275768/?type=3",NA,114,1,14,8,0,0,1,0
"CongressmanAndreCarson","123884330964019_1384824484869991","Congressman André Carson","2017-01-10","2017-01-10 19:39:10","Today I stood with my Dem colleagues on the House Permanent Select Committee on Intelligence to push for a bipartisan, independent probe into Russia's interference in the 2016 election.","photo","https://www.facebook.com/CongressmanAndreCarson/photos/a.182700648415720.42235.123884330964019/1384824484869991/?type=3",NA,481,49,20,44,2,3,0,0
"CongressmanAndreCarson","123884330964019_1387796671239439","Congressman André Carson","2017-01-13","2017-01-13 20:14:34","Happening Now: Headed down to the House Floor to vote AGAINST repealing the Affordable Care Act. I will do all I can to  stand up against Republican attempts to dismantle this important legislation.","status",NA,NA,2029,254,103,312,12,2,7,7
"CongressmanAndreCarson","123884330964019_1394401580578948","Congressman André Carson","2017-01-20","2017-01-20 17:25:55","The peaceful transfer of power from one democratically elected President to another is distinctively American and the bedrock of our democracy. Today we witnessed this occur for the 44th time in our nation's history.  Despite our political divisions, as President Obama recently said, we are all on the same team. As a public servant, I will continue to look for ways to keep our country moving forward, not backwards, and be vigilant in my responsibility as a Member of a co-equal branch of government to make sure the new administration is checked and balanced appropriately.","status",NA,NA,415,71,28,44,2,0,0,1
"CongressmanAndreCarson","123884330964019_1400927616593011","Congressman André Carson","2017-01-25","2017-01-25 15:20:25","Need help with a federal agency? My staff will be holding office hours in your neighborhood today! I encourage you to stop by and see how we can help you!","photo","https://www.facebook.com/CongressmanAndreCarson/photos/a.182700648415720.42235.123884330964019/1400927616593011/?type=3",NA,97,10,15,10,0,0,0,0
"CongressmanAndreCarson","123884330964019_1402413996444373","Congressman André Carson","2017-01-26","2017-01-26 17:33:46","#TBT to 6 months ago when I welcomed this beautiful Syrian refugee family to their new home here in Indianapolis!  Banning or delaying asylum for refugee families would weaken our national security and undermine our country’s humanitarian efforts around the world. #RefugeesWelcome","photo","https://www.facebook.com/CongressmanAndreCarson/photos/a.182700648415720.42235.123884330964019/1402413996444373/?type=3",NA,1175,81,115,262,1,0,24,3
