"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanBennieGThompson","7259193379_10154338503638380","Congressman Bennie G. Thompson","2017-01-10","2017-01-10 14:17:16","Educational and Financial Opportunities for Farmworkers and Limited Resource Minority & Women producers:  The Mississippi Delta Council for Farm Workers Opportunities, Inc. (MDCFWOI) is offering two excellent programs for both Farmworkers and Limited Resource Minority & Women producers:  Farmworker Program:  seasonal and migrant Farmworkers from across the State of Mississippi can enroll in classes offered two-days per week for up to 12 weeks.  Educational opportunities and other incentives will be offered to farmworkers and their family members.  Limited Resource Minority & Women producers under the Beginner Farmers & Ranchers Program (BFRP) in Bolivar, Coahoma, Panola, Leflore, Quitman, Tallahatchie and Tunica counties can apply for mini-grants up to $500.00.  Farmworkers may also apply for the mini-grant.    Application and Orientation:  Tuesday, January 24th at 5:30 p.m. and Thursday, January 26th at 10:00 A.M. at the Mississippi Farmworkers Warehouse, 1536 Desoto Ave., Clarksdale, MS.  For more information, you may call 662-627-1121 or 662-326-0272.","status",NA,NA,28,2,12,0,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154339296928380","Congressman Bennie G. Thompson","2017-01-10","2017-01-10 21:21:57","Your tax return may be delayed if you claim the Earned Income Tax Credit (EITC) or Additional Child Tax Credit (ACTC). For more information see the link below:  https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit","photo","https://www.facebook.com/CongressmanBennieGThompson/photos/a.10150356536588380.355343.7259193379/10154339296928380/?type=3",NA,25,2,46,0,0,1,0,0
"CongressmanBennieGThompson","7259193379_10154345959213380","Congressman Bennie G. Thompson","2017-01-12","2017-01-12 21:36:43","Are you planning to travel abroad for pleasure, work or to further your education? If the answer is yes,  you will need a passport.  Here’s how to apply: https://travel.state.gov/content/passports/en/passports/apply.html","photo","https://www.facebook.com/CongressmanBennieGThompson/photos/a.10150356536588380.355343.7259193379/10154345959213380/?type=3",NA,21,4,6,0,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154348614013380","Congressman Bennie G. Thompson","2017-01-13","2017-01-13 19:53:45","Great Information for anyone who is looking to start a business and for those who are already in business looking for greater opportunities!!   http://www.mscpc.com/event/model-contractor-development-program-4/?instance_id=835","photo","https://www.facebook.com/CongressmanBennieGThompson/photos/a.10150356536588380.355343.7259193379/10154348614013380/?type=3",NA,36,17,53,5,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154359513273380","Congressman Bennie G. Thompson","2017-01-17","2017-01-17 21:36:39","If you are recently unemployed and looking to start your own business you may qualify  for Mississippi Self-Employment Assistance Program (SEAP) benefits as you start your own business. If you have additional questions, call Nikita Booker at (601) 321-6440.    http://mdes.ms.gov/i-need-a-job/job-searching-resources/self-employment-assistance-program/","link","http://mdes.ms.gov/i-need-a-job/job-searching-resources/self-employment-assistance-program/","mdes.ms.gov",58,48,72,7,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154366300168380","Congressman Bennie G. Thompson","2017-01-20","2017-01-20 15:37:16","Do you have questions about your rights as a tenant? If so, here’s a user friendly guide:  http://www.mslegalservices.org/resource/landlord-tenant-law-in-mississippi","photo","https://www.facebook.com/CongressmanBennieGThompson/photos/a.10150356536588380.355343.7259193379/10154366300168380/?type=3",NA,22,2,16,0,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154381448808380","Congressman Bennie G. Thompson","2017-01-24","2017-01-24 19:47:35","Have you heard of a government program that will pay your bills?  If yes, BE WARE and follow link below:  https://www.consumer.ftc.gov/blog/government-program-pays-your-bills?utm_source=govdelivery","photo","https://www.facebook.com/CongressmanBennieGThompson/photos/a.10150356536588380.355343.7259193379/10154381448808380/?type=3",NA,9,4,8,0,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154385253283380","Congressman Bennie G. Thompson","2017-01-25","2017-01-25 21:43:57","Congratulations to Alcorn State University 's Sounds of Dynomite marching band for being selected to perform at the Georgia Dome during the 15th annual Honda Battle of the Bands this Saturday, January 28.","photo","https://www.facebook.com/CongressmanBennieGThompson/photos/a.10150356536588380.355343.7259193379/10154385253283380/?type=3",NA,235,13,39,33,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154402112378380","Congressman Bennie G. Thompson","2017-02-01","2017-02-01 14:18:51","What you need to know about the Public Service Student Loan Forgiveness Program… http://www.investopedia.com/advisor-network/articles/013117/student-loan-forgiveness-what-you-need-know/","link","http://www.investopedia.com/advisor-network/articles/013117/student-loan-forgiveness-what-you-need-know/","investopedia.com",40,6,28,3,0,0,0,0
"CongressmanBennieGThompson","7259193379_10154402373628380","Congressman Bennie G. Thompson","2017-02-01","2017-02-01 16:36:41","If A Telemarketer Or Robocall Asks “Can You Hear Me?” Just Hang Up!! https://consumerist.com/2017/01/27/if-a-telemarketer-or-robocall-asks-can-you-hear-me-just-hang-up-its-a-scam/","photo","https://www.facebook.com/CongressmanBennieGThompson/photos/a.10150356536588380.355343.7259193379/10154402373628380/?type=3",NA,13,3,11,0,0,0,0,0
