"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanBradSchneider","401029529980053_1238043542945310","Congressman Brad Schneider","2017-01-03","2017-01-03 22:43:32",NA,"photo","https://www.facebook.com/CongressmanBradSchneider/photos/a.401133489969657.94251.401029529980053/401133493302990/?type=3",NA,124,6,2,5,0,3,0,2
"CongressmanBradSchneider","401029529980053_1238048339611497","Congressman Brad Schneider","2017-01-03","2017-01-03 22:52:28","It is a true honor to represent the Tenth Congressional District, and I am humbled by the trust the voters placed in me as a voice for our communities in Washington. My offices are here to serve you, so don’t hesitate to get in touch for help with a federal agency, information on legislation, or just to share an opinion or a good story. I look forward to getting to work for you.","photo","https://www.facebook.com/CongressmanBradSchneider/photos/a.402055743210765.94438.401029529980053/1238048339611497/?type=3",NA,281,53,32,25,0,1,0,1
"CongressmanBradSchneider","401029529980053_1238819499534381","Congressman Brad Schneider","2017-01-04","2017-01-04 20:52:14","Twenty million people now have insurance thanks to the ACA. We need to strengthen and improve the law, not rip coverage away from those that need it most. We can't go backwards.","status",NA,NA,99,12,7,6,0,0,0,0
"CongressmanBradSchneider","401029529980053_1238891719527159","Congressman Brad Schneider","2017-01-04","2017-01-04 23:04:43","The 58th Presidential Inauguration is Friday, January 20, 2017, on the West Front of the U.S. Capitol in Washington, DC.   If you are interested in attending, our office has received a limited number of tickets, which will be distributed via lottery to constituents.   Please complete the below form before 5:00pm CT on Tuesday, January 10. Those selected by lottery for tickets will be notified shortly after with instructions on ways to pick up tickets prior to the inauguration.  Please call our office with any questions at 202-225-4835. It is an honor to serve you.","link","https://docs.google.com/forms/d/e/1FAIpQLSfkqkwOLSqAzg7OeKwY-1P5rzN_DVpy5gpnVQBxSMPYt7e2gA/viewform","docs.google.com",5,8,1,0,1,0,0,0
"CongressmanBradSchneider","401029529980053_1239635972786067","Congressman Brad Schneider","2017-01-05","2017-01-05 22:58:32","This afternoon, I shared the story of Javon Wilson on the House floor. Javon was the grandson of my friend Congressman Danny K. Davis, and was just 15 when he was shot and killed in Chicago. In this new Congress, together we have the opportunity to save lives and make our communities safer by reducing the epidemic of gun violence. This is a priority for me and my constituents and I look forward to working with my colleagues, on both sides of the aisle, to finally make progress.","video","https://www.facebook.com/CongressmanBradSchneider/videos/1239635972786067/",NA,133,15,14,4,1,0,0,0
"CongressmanBradSchneider","401029529980053_1241900739226257","Congressman Brad Schneider","2017-01-08","2017-01-08 22:18:26","I strongly condemn today's horrific terrorist attack in Jerusalem and pray for the victims, the injured, and their families. The United States stands in solidarity with Israel, and with all countries, against cowardly and senseless acts of terrorism.","status",NA,NA,23,2,0,0,0,0,5,0
"CongressmanBradSchneider","401029529980053_1243199075763090","Congressman Brad Schneider","2017-01-10","2017-01-10 16:08:39","Our office has a limited number of tickets available for the Presidential Inauguration on Friday, January 20. If interested, please submit the below form before 5:00pm CT today:","link","https://schneider.house.gov/services/inauguration-ticket-form","schneider.house.gov",2,22,0,0,4,0,0,2
"CongressmanBradSchneider","401029529980053_1243498682399796","Congressman Brad Schneider","2017-01-11","2017-01-11 00:37:48","Honored to again join the House Foreign Affairs Committee. My focus will be keeping Americans safe, while working to support our allies and maintain the United States as a force for good in global affairs.","link","https://schneider.house.gov/media/press-releases/schneider-serve-house-foreign-affairs-committee","schneider.house.gov",123,6,8,6,0,0,0,1
"CongressmanBradSchneider","401029529980053_1243939289022402","Congressman Brad Schneider","2017-01-11","2017-01-11 15:13:18","I introduced the HALOS Act during my first term in Congress and was pleased to see it pass the House with overwhelming bipartisan support yesterday. This is a commonsense bill that removes a burden hindering entrepreneurs and inventors from meeting with investors, clearing the way for startup companies to find the capital they need to grow and ultimately create jobs.","link","https://schneider.house.gov/media/press-releases/house-passes-bipartisan-legislation-help-start-ups","schneider.house.gov",41,0,8,0,0,0,0,0
"CongressmanBradSchneider","401029529980053_1244156719000659","Congressman Brad Schneider","2017-01-11","2017-01-11 21:09:23","President-elect Trump says he wants to grow manufacturing jobs, but instead of an actual plan, the American people are stuck trying to decipher his late night tweets like tea leaves.   Today, I signed on to legislation introduced by my friend Rep. Bustos to demand a plan and accountability from the President-elect on outsourcing and manufacturing.","video","https://www.facebook.com/HouseDemocrats/videos/10154804103238548/",NA,24,0,0,1,0,1,0,0
"CongressmanBradSchneider","401029529980053_1244924658923865","Congressman Brad Schneider","2017-01-12","2017-01-12 18:03:13","Anyone serious about improving our health care system should count me as a willing partner, but that is not what we’ve heard from President-elect Trump and my Republican colleagues.   Their plan to repeal Obamacare without a replacement is absolutely irresponsible and will end up hurting millions.","video","https://www.facebook.com/CongressmanBradSchneider/videos/1244924658923865/",NA,102,14,18,1,0,0,4,9
