"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanClayHiggins","388451608170372_339310729841496","Congressman Clay Higgins","2017-08-01","2017-08-01 19:07:54","Congressman Higgins is hosting a public town hall meeting in Youngsville, LA this Thursday. Join us at the Youngsville City Hall to have your questions answered and to hear an update on the first seven months in Congress. The town hall is part of the August work period, where Congressman Higgins will be traveling and meeting with constituents in all nine parishes.","event","https://www.facebook.com/events/339310729841496/",NA,28,2,0,3,0,0,0,0
"CongressmanClayHiggins","388451608170372_399835487031984","Congressman Clay Higgins","2017-02-01","2017-02-01 19:36:15","The President continues to keep his promises to the American voters, by appointing a true Constitutionalist to the Supreme Court. It should be reassuring to Republicans and Democrats alike that the President chose someone Senator Schumer and his caucus confirmed to the federal bench in 2006. It is my hope Senate Democrats don't unnecessarily delay a nominee they've previously confirmed.","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/399835487031984/?type=3",NA,139,4,8,8,0,0,0,0
"CongressmanClayHiggins","388451608170372_400275686987964","Congressman Clay Higgins","2017-02-02","2017-02-02 17:09:40","On February 1st, Brigadier General Brito presented our office with the Army Seal.   ""This we'll defend""","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/400275686987964/?type=3",NA,457,7,16,33,0,0,0,0
"CongressmanClayHiggins","388451608170372_400307473651452","Congressman Clay Higgins","2017-02-02","2017-02-02 18:33:08","Congressman Higgins had a wonderful meeting with Louisiana Agricultural Commissioner Mike Strain. We must protect farming in South Louisiana!","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/400307473651452/?type=3",NA,153,4,3,12,0,0,0,0
"CongressmanClayHiggins","388451608170372_400882130260653","Congressman Clay Higgins","2017-02-03","2017-02-03 22:42:20","REP. CLAY HIGGINS SUPPORTS CLARIFICATION OF THE JONES ACT   WASHINGTON DC - The US Customs and Border Protection Agency recently issued clarifications for Jones Act compliance. This action brings the Jones Act back into line with its original intentions. This action will incentivize the use of American crews and ships, particularly in the energy sector. Rep. Clay Higgins (R-LA) supports these changes as they will help many of the maritime and oil and gas operations that the third congressional district relies on.    “The US Customs and Border Protections Agency’s (CBP) recent clarification of Jones Act compliance is a prime example of the work the 115th Congress will be undertaking in an effort to undo years of burdensome regulations that have caused our economy to shrink, jobs to be lost, and endangered the futures of many families around the nation,” said Rep. Clay Higgins. “The CBP ruling will bolster both Louisiana businesses and the oil and gas industry while at the same time promoting the nation’s energy independence. This is only the beginning of a renewed focus on the American worker and American economy, and I look forward to the positive impact this clarification will have on South Louisiana and the country,” said Higgins.   Employment opportunities across the third congressional district have been in decline due mainly to the recent decline in oil prices. Congressman Higgins believes this more traditional interpretation of the Jones Act will help alleviate this strain and promote economic growth and job creation.   ##","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/400882130260653/?type=3",NA,102,10,63,7,0,0,0,0
"CongressmanClayHiggins","388451608170372_402797540069112","Congressman Clay Higgins","2017-02-07","2017-02-07 21:27:05","Busy day on The Hill today with several committee hearings for Veterans Affairs, Homeland Security & Science, Space and Technology.","status",NA,NA,182,8,0,7,0,0,0,0
"CongressmanClayHiggins","388451608170372_402808376734695","Congressman Clay Higgins","2017-02-07","2017-02-07 22:14:33","Today, I voted YES on H.J Res. 57 and H.J. Res 58 which both reduced federal control over Education. Our teachers don't need help from federal bureaucrats to teach our kids. Our schools need more local control!","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/402808376734695/?type=3",NA,195,26,83,26,0,0,0,3
"CongressmanClayHiggins","388451608170372_402811623401037","Congressman Clay Higgins","2017-02-07","2017-02-07 22:33:55","Congressman Higgins had the opportunity to question Homeland Security Secretary John Kelly about the his views about enhanced and extensive investigation into the social media accounts of visa applicants.      Congressman Higgins suggested immigrants from suspect countries should provide all social media data and passwords... as a mandatory prerequisite for visa application... to screen potential terrorist connections or ideology.","video","https://www.facebook.com/CongressmanClayHiggins/videos/402811623401037/",NA,278,34,41,24,0,3,0,1
"CongressmanClayHiggins","388451608170372_403622023319997","Congressman Clay Higgins","2017-02-09","2017-02-09 15:32:56","Had a wonderful breakfast this morning with Capital Area Leaders from Louisiana discussing Transportation & Infrastructure needs.","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.392845317731001.1073741829.388451608170372/403621806653352/?type=3",NA,137,5,4,12,0,0,0,0
"CongressmanClayHiggins","388451608170372_403645673317632","Congressman Clay Higgins","2017-02-09","2017-02-09 16:34:29","Congressman Higgins in his office visiting with the various Festival Queens & Princesses for the Washington DC Mardi Gras festivities.","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/403645673317632/?type=3",NA,124,3,2,6,0,0,0,0
"CongressmanClayHiggins","388451608170372_405953269753539","Congressman Clay Higgins","2017-02-14","2017-02-14 03:36:13","LET'S GET OUR VETERANS BACK TO WORK!  I voted YES on two bills to help Veterans today: H.R. 244, which incentivizes companies to hire veterans with the HIRE Vets Medallion Program... As well as H.R. 974 - the BRAVE Act - which allows the Department of Veterans Affairs to give preference to government contractors that employ veterans, further incentivizing the hiring of the bravest among us.","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/405953269753539/?type=3",NA,67,11,53,17,0,0,0,0
"CongressmanClayHiggins","388451608170372_406744089674457","Congressman Clay Higgins","2017-02-15","2017-02-15 18:59:25","Had a great visit from my friend Commissioner Eric Skrmetta, LPSC to discuss energy costs in Louisiana, as well as his thoughts on regulating our Utility services, to keep costs low for consumers.","photo","https://www.facebook.com/CongressmanClayHiggins/photos/a.389585548056978.1073741828.388451608170372/406744089674457/?type=3",NA,88,7,3,4,0,0,0,0
