"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanCulberson","656042464424077_1720778507950462","Rep. John Culberson","2017-05-23","2017-05-23 18:45:36","I always enjoy the opportunity to meet and talk with constituents of all ages. I recently visited Memorial High School to discuss national security, health care, and the role the federal government plays in our lives. I'm so proud of our TX-07 students and their enthusiasm for the legislative process! Go Mustangs!","photo","https://www.facebook.com/CongressmanCulberson/photos/a.657903667571290.1073741826.656042464424077/1720778507950462/?type=3",NA,8,0,0,0,0,0,0,0
"CongressmanCulberson","656042464424077_1724174154277564","Rep. John Culberson","2017-05-29","2017-05-29 13:12:44","Today, we remember those who have fallen in the line of duty. Thank you to all of the brave men and women who have served our country.","photo","https://www.facebook.com/CongressmanCulberson/photos/a.657903667571290.1073741826.656042464424077/1724174154277564/?type=3",NA,6,0,0,0,0,0,0,0
"CongressmanCulberson","656042464424077_1727666017261711","Rep. John Culberson","2017-05-29","2017-05-29 23:03:01","Today I joined thousands of Houstonians at our Veterans Cemetery to honor all those who sacrificed their lives for our nation and our freedom. Our prayers are with their families, and we will honor their sacrifice by working every day to preserve, protect and defend our Constitution and our great nation.","photo","https://www.facebook.com/CongressmanCulberson/photos/a.657903667571290.1073741826.656042464424077/1727666017261711/?type=3",NA,4,0,0,0,0,0,0,0
"CongressmanCulberson","656042464424077_1727680803926899","Rep. John Culberson","2017-05-30","2017-05-30 01:00:41","America is very fortunate to have General Mattis as our Secretary of Defense.  One of the most meaningful parts of my job as your representative is to recommend outstanding young men and women to our nation's military academies.  I stay in touch with each one of them and support them in every way I can throughout their career in the military.  We are blessed to have these young men and women dedicate their lives to defend our freedom.","link","http://breakingdefense.com/2017/05/they-hold-the-line-mattis-gives-meaning-to-memorial-day/?utm_source=hs_email&utm_medium=email&utm_content=52470881&_hsenc=p2ANqtz-_ByldvXaV_Y8YCfutA8F15LPMc-Jw2DvrFcVlku7LeawLq4Iglos1xQqOMrcG-o7dV2oMuYKcw3Zijn1PpWX47FqolFw&_hsmi=52470881","breakingdefense.com",10,2,0,0,0,1,0,0
"CongressmanCulberson","656042464424077_1730985600263086","Rep. John Culberson","2017-06-01","2017-06-01 19:00:47","Last night, the Zyroll family opened up their home for their neighbors and friends to gather and discuss their concerns. I had the chance to meet with these #TX07 residents and learn more about the issues that impact their families.","photo","https://www.facebook.com/CongressmanCulberson/photos/a.839982742696714.1073741828.656042464424077/1730938940267752/?type=3",NA,6,2,1,0,0,0,0,0
"CongressmanCulberson","656042464424077_1731040746924238","Rep. John Culberson","2017-06-01","2017-06-01 20:00:24",NA,"photo","https://www.facebook.com/JerseyVillagePolice/photos/a.1393549267323052.1073741829.310070819004241/1829991380345503/?type=3",NA,6,0,0,1,0,0,0,0
"CongressmanCulberson","656042464424077_1737181846310128","Rep. John Culberson","2017-06-06","2017-06-06 19:29:31","Each year, I have the privilege of nominating young men and women to our nation’s service academies. Yesterday, I hosted a reception to congratulate the 6 students from Texas' 7th Congressional district to honor their commitment to service These students represent the best and brightest of our district and I commend them for answering the call to serve their country. I wish them the best of luck in their promising futures, and I am honored to recommend this year’s class of 2021 appointees!","photo","https://www.facebook.com/CongressmanCulberson/photos/a.657903667571290.1073741826.656042464424077/1737171386311174/?type=3",NA,14,1,0,0,0,0,0,0
"CongressmanCulberson","656042464424077_1737318862963093","Rep. John Culberson","2017-06-06","2017-06-06 22:08:41","My good friend Dan Patrick stopped by the office today. It was great to visit with a fellow Texan in DC!","photo","https://www.facebook.com/CongressmanCulberson/photos/a.657903667571290.1073741826.656042464424077/1737318862963093/?type=3",NA,8,0,0,0,0,0,0,1
"CongressmanCulberson","656042464424077_1738195842875395","Rep. John Culberson","2017-06-07","2017-06-07 14:20:16","Ana's piece, ""Chasing the Storm"", was selected as this year's winning submission for the Congressional Art Competition. Her work will be displayed for 1 year at the U.S. Capitol and she will be visiting D.C. later this month as we recognize this achievement. Congratulations Ana!   http://www.houstonchronicle.com/neighborhood/katy/news/article/Taylor-High-School-artist-s-work-displayed-at-11199829.php","link","http://www.houstonchronicle.com/neighborhood/katy/news/article/Taylor-High-School-artist-s-work-displayed-at-11199829.php","houstonchronicle.com",7,0,0,0,0,0,0,0
"CongressmanCulberson","656042464424077_1738664126161900","Rep. John Culberson","2017-06-07","2017-06-07 21:18:00","Exciting day in the Space City! Today, Vice President Pence helped announce NASA's newest class of astronauts. These men and women were selected from 18,300 applicants and will continue training at Johnson Space Center in August. Congratulations to these new astronauts and thank you to Vice President Pence for his strong support of America's space program!","photo","https://www.facebook.com/CongressmanCulberson/photos/a.657903667571290.1073741826.656042464424077/1738664126161900/?type=3",NA,7,0,0,0,0,0,0,0
