"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanDarrenSoto","1245780978850063_112307205973066","US Rep Darren Soto","2017-03-21","2017-03-21 20:35:13","Join your Congressman Darren Soto (FL-09) on a public discussion about the Muslim Ban and Islamophobia in today's America. For more information please contact our District Office at: (407) 452-1171 or send an email to: Alex Barrio, District Director alex.barrio@mail.house.gov","event","https://www.facebook.com/events/112307205973066/",NA,7,0,0,1,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_113029002619468","US Rep Darren Soto","2017-05-30","2017-05-30 14:25:11","Join U. S. Representative Darren Soto (D-FL) for a discussion on the federal budget and the future of health care.  For more information please contact: Alex Barrio, District Director: alex.barrio@mail.house.gov, Vivian Rodriguez, Outreach Director: vivian.rodriguez@mail.house.gov or Leah.West@mail.house.gov Polk County Field Representative","event","https://www.facebook.com/events/113029002619468/",NA,16,4,0,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1130928113680388","US Rep Darren Soto","2017-05-02","2017-05-02 19:33:04","This Friday we are meeting with leaders and friends from our Muslim community! Join Congressman Darren Soto and his staff for an afternoon of networking, fellowship and light refreshments. Please RSVP with District Director Alex Barrios at: alex.barrios@mail.house.gov","event","https://www.facebook.com/events/1130928113680388/",NA,13,1,0,1,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_123308641739174","US Rep Darren Soto","2017-09-07","2017-09-07 19:01:31","Please join Rep. Darren Soto, members of the Venezuelan community and organizations in the Central Florida area for a discussion on Venezuela's ongoing political and economic crisis. Additional speakers and special guests to be confirmed.  For more information, please contact Oriana Piña at: oriana.pina@mail.house.gov","event","https://www.facebook.com/events/123308641739174/",NA,16,8,0,0,0,1,0,0
"CongressmanDarrenSoto","1245780978850063_1235815376537994","US Rep Darren Soto","2017-03-14","2017-03-14 00:02:34","Congressman Darren Soto and his congressional staff invites you to celebrate Women's History Month at the District Office in Kissimmee. Join us for light refreshments. Please RSVP with Vivian Rodríguez, Outreach Director at: vivian.rodriguez@mail.house.gov or (407) 758-2442.","event","https://www.facebook.com/events/1235815376537994/",NA,11,2,0,1,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1245781122183382","US Rep Darren Soto","2017-01-10","2017-01-10 06:07:46",NA,"photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1245781002183394.1073741825.1245780978850063/1245781012183393/?type=3",NA,9,1,0,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1245783402183154","US Rep Darren Soto","2017-01-10","2017-01-10 06:13:06","U.S. Representative Darren Soto was sworn in as a Member of the United States House of Representatives by House Speaker Paul Ryan on January 3rd, 2017.","photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1245783462183148.1073741828.1245780978850063/1245783402183154/?type=3",NA,17,3,0,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1245783822183112","US Rep Darren Soto","2017-01-10","2017-01-10 06:14:20","Come visit us in Washington D.C. Our office in located at 1429 Longworth House Office Building!","photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1245783462183148.1073741828.1245780978850063/1245783822183112/?type=3",NA,25,7,1,1,0,0,0,1
"CongressmanDarrenSoto","1245780978850063_1245784358849725","US Rep Darren Soto","2017-01-10","2017-01-10 06:15:59","""We are heartbroken in the State of Florida, again. Just days after the massive shooting at the Fort Lauderdale Airport, we learned two of our members in uniform have lost their lives while protecting and serving the public. Making this even more painful, this tragedy occurred on Law Enforcement Appreciation Day. One of the police officers, a 17-year veteran with the Orlando Police Department and devoted mother, Master Sgt. Debra Clayton, was cowardly gunned down in broad daylight. As we tried to comprehend this unspeakable crime, Deputy First Class Normal Lewis died in a car accident as he joined the search for the suspect. We stand today together in support of our law enforcement family and we thank you for all your sacrifices and hard work. The loss of these exceptional law enforcement officers reminds us of the urgency to stand up against gun violence by pushing to pass stricter gun laws to make our communities safer in Florida and across our Nation"". -Congressman Darren Soto","status",NA,NA,6,2,0,0,0,0,5,0
"CongressmanDarrenSoto","1245780978850063_1248865628541598","US Rep Darren Soto","2017-01-13","2017-01-13 16:43:10","https://www.c-span.org/video/?c4645853/rep-soto-aca  #BREAKING WATCH: Rep. Darren Soto on #ACA! Rep. Darren Soto's 1-minute explanation of the importance of protecting #Obamacare!","link","https://www.c-span.org/video/?c4645853%2Frep-soto-aca","c-span.org",16,6,0,3,0,1,0,1
"CongressmanDarrenSoto","1245780978850063_1248922068535954","US Rep Darren Soto","2017-01-13","2017-01-13 18:08:21","“In Florida and around America, we must protect our beautiful beaches and coastal areas both now and in the future,” Rep. Darren Soto said. “This bill would hold foreign oil drilling companies fully responsible for spills nears our shores. I am honored to co-introduce this important, bipartisan legislation with Congressman Curbelo.”","link","http://curbelo.house.gov/news/documentsingle.aspx?DocumentID=1256","curbelo.house.gov",21,17,0,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1254753584619469","US Rep Darren Soto","2017-01-20","2017-01-20 05:38:23","Official headshot","photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1245781002183394.1073741825.1245780978850063/1254753364619491/?type=3",NA,30,12,1,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1273735642721263","US Rep Darren Soto","2017-02-03","2017-02-03 23:17:39","TOMORROW: I'm very excited to announce I will be a keynote speaker at the Regional Leadership Academy -->","photo","https://www.facebook.com/APAICS/photos/a.10150321716624816.417132.60326619815/10155804892154816/?type=3",NA,9,1,0,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1279813158780178","US Rep Darren Soto","2017-02-09","2017-02-09 19:49:52","Our students are struggling with financial college debt. They deserve a chance at a successful future. That's why I filed the ASPIRE bill this week. It would provide a 25 % reduction in federal student loans for students who graduate with a degree in a STEM field. #STEMStudents #STEMEd  “While many politicians talk a good game about encouraging these students to  get these degrees, it’s time to put our money where our mouth is,” Soto said Tuesday before filing his first bill.   WATCH MORE HERE----> https://www.c-span.org/video/?c4655752/soto-introduces-aspire-act","link","https://www.c-span.org/video/?c4655752%2Fsoto-introduces-aspire-act","c-span.org",42,4,16,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1279859825442178","US Rep Darren Soto","2017-02-09","2017-02-09 21:02:31","Me and Amanda had the opportunity to meet Philippe Cousteau and his wife Ashlan! We discussed environmental issues and STEM education! Looking forward to work together to #ProtectTheOcean #ClimateChange","photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1245783462183148.1073741828.1245780978850063/1279859825442178/?type=3",NA,24,0,0,3,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1279873762107451","US Rep Darren Soto","2017-02-09","2017-02-09 21:17:28","https://soto.house.gov/media/in-the-news/real-students-real-solutions-pelosisoto-higher-education-roundtable-osceola","link","https://soto.house.gov/media/in-the-news/real-students-real-solutions-pelosisoto-higher-education-roundtable-osceola","soto.house.gov",3,0,2,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1281467215281439","US Rep Darren Soto","2017-02-11","2017-02-11 15:18:08","‪Investing time in our community and helping those in need. Thanks to the Junior League  of Greater Winter Haven #jlgwh Catholic Charities and Rotary on the Ridge for the wonderful job you are all doing! ‬#foodpantry #Dundee #PolkCounty","photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1281467235281437.1073741829.1245780978850063/1281467161948111/?type=3",NA,31,4,1,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1283227048438789","US Rep Darren Soto","2017-02-13","2017-02-13 14:23:25","Stay tuned...I have some exciting news to share with you!","photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1245783462183148.1073741828.1245780978850063/1283227048438789/?type=3",NA,19,1,0,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1283473895080771","US Rep Darren Soto","2017-02-13","2017-02-13 19:44:02","I'm proud to announce I have been appointed to the House Democrats Steering and Policy Committee! The fight is on! #USD09  New Democrat Coalition","status",NA,NA,41,8,1,4,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1283492801745547","US Rep Darren Soto","2017-02-13","2017-02-13 20:04:30","#ICYMI: One on one interview: ""50 Influencers in 50 weeks series"" https://www.facebook.com/orlandopolitics/videos/1193585200748619/?pnref=story Orlando Political Observer","video","https://www.facebook.com/orlandopolitics/videos/1193585200748619/",NA,4,1,0,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1289655931129234","US Rep Darren Soto","2017-02-18","2017-02-18 22:00:40","LIVE from our first ACA Town Hall in Kissimmee! #SaveACA #Obamacare","video","https://www.facebook.com/CongressmanDarrenSoto/videos/1289655931129234/",NA,15,11,7,3,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1293260414102119","US Rep Darren Soto","2017-02-21","2017-02-21 23:31:27","LIVE from our emergency meeting with immigrant community leaders and Mexican Consul Juan Sabines #ICERaids #Resist","video","https://www.facebook.com/CongressmanDarrenSoto/videos/1293260414102119/",NA,12,0,1,1,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1293300630764764","US Rep Darren Soto","2017-02-22","2017-02-22 00:22:25",NA,"video","https://www.facebook.com/CongressmanDarrenSoto/videos/1293300630764764/",NA,5,2,0,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1296194343808726","US Rep Darren Soto","2017-02-24","2017-02-24 17:49:36","Congress of the United States House of Representatives Darren Soto 9th District, Florida   ***MEDIA ADVISORY*** Rep. Soto To Launch LGBTQ Study Group Soto calls for meeting to address Trump's latest attacks on the LGBTQ community       February 24, 2017   ORLANDO,FL.- Congressman Darren Soto will be hosting a strategic planning roundtable with policymakers, the American Civil Liberties Union (ACLU), and community organizers to discuss President Donald Trump’s latest attack on LGBTQ youth and the rumored executive order that would allow businesses to discriminate against the LGBT community.    The Trump administration announced this week the revocation of a federal policy under Title IX to prohibit schools from discriminating against transgender students. This is contrary to American values and Trump's own campaign’s promises.    Congressman Soto is holding this meeting to create a study group on the challenges faced by lesbian transgender, gay, bisexual and queer people in the 9th District, and to begin the process of creating an Advisory Council to advance his work in support of the LGBTQ community in the District. The study group will report back in 60 days.     WHAT: Congressman Darren Soto meeting with LGBTQ leaders and allies    WHO: Osceola Commissioner Cheryl Grieb, Heather Welkie and Brett Burlone from Zebra Coalition, Roxy Santiago and Tony Sandonato Human Rights Campaign, Terry DeCarlo LGBT Center, Christopher Cuevas Q Latin X, Elizabeth McCarthy LGBTA Democratic Caucus of Florida, ACLU Central Florida Board President Chardo Richardson and Temeka Hampton, Equality Florida Karen Castelloes, Orlando LGBT Chamber of Commerce Lisa Brown, Orange County DEC Chair, Wes Hodge, Projecto Somos Orlando Ricardo Negron, LGBTQ Alliance Brandi Fliegelman, among others.      WHEN: Friday, February 24, 2017   TIME: 3 p.m. to 4:30 p.m.   LOCATION: District Office, Kissimmee FL    Members of the media who would like to cover the event are encouraged to register izamontalvopressfl@gmail.com or iza.montalvo@mail.house.gov   Congressman Darren Soto represents Florida’s 9th Congressional District, which includes Osceola County, as well as parts of Orange and Polk counties.   www.soto.house.gov","link","http://www.soto.house.gov/","soto.house.gov",30,1,14,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1296312340463593","US Rep Darren Soto","2017-02-24","2017-02-24 20:17:24","Rapid Response meeting with LGBTQ community","video","https://www.facebook.com/CongressmanDarrenSoto/videos/1296312340463593/",NA,13,1,2,1,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1296692557092238","US Rep Darren Soto","2017-02-25","2017-02-25 03:43:45","#VIDEO: Thanks to my Dominican and Mexican friends for my birthday celebration at the Mexican Consulate! Hoy estuve celebrando my cumpleaños a ritmo de tambora y bailes folclóricos con mis amigos dominicanos y mexicanos en el Consulado de México.  Feliz Día de la Independencia Dominicana! ������������","video","https://www.facebook.com/CongressmanDarrenSoto/videos/1296692233758937/",NA,17,0,2,0,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1301734283254732","US Rep Darren Soto","2017-03-01","2017-03-01 17:49:25","Last night I was honored to host Jose a DREAMer from Kissimmee at the Joint Session.  We stand with our DACA recipients!  President Donald Trump did little with his speech to ease the division he caused over the last few weeks and gave scant details on major goals.  We need vision and facts not slogans and rhetoric!","photo","https://www.facebook.com/CongressmanDarrenSoto/photos/a.1281467235281437.1073741829.1245780978850063/1301734233254737/?type=3",NA,24,1,1,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1301983026563191","US Rep Darren Soto","2017-03-01","2017-03-01 23:57:52","WATCH: Today in the House, I’m fighting to protect workers from injuries #GOP’s HJRes 83 is bad  https://www.c-span.org/video/?c4659027/rep-soto-fighting-workers","link","https://www.c-span.org/video/?c4659027%2Frep-soto-fighting-workers","c-span.org",29,1,3,2,0,0,0,0
"CongressmanDarrenSoto","1245780978850063_1302807906480703","US Rep Darren Soto","2017-03-02","2017-03-02 22:49:56","Today we recognize the 100th Anniversary of the Jones-Shafroth Act conferring U.S. citizenship on the people of Puerto Rico.  During the last 100 years, Puerto Ricans have changed the course of American History. We served with distinction in our U.S. military including our heroic Borinqueneers who fought bravely in WWI, WWII, and the Korean War, and we continue to serve in the military in great numbers.   We have pioneering doctors like our first Hispanic and first female U.S. Surgeon General, Antonia Novello. Sports greats like Roberto Clemente, Ivan Rodríguez, Bernie Williams and Jorge Posada have impressed the American people on the baseball field.  Science teacher Joe Acaba soared to new heights as an astronaut.    Entertainers such as Jennifer López, Marc Anthony, Ricky Martin, Willie Colón, Tito Nieves and Lin-Manuel Miranda have thrilled audiences across the world.  And of course, Sonia Sotomayor who now sits on the United States Supreme Court. These and many other Puerto Rican heroes have instilled amazing historic and cultural contributions throughout our nation including changing the face of major cities such as New York, Chicago, and Orlando.    This history has also been an emotional one.  To date, our brothers and sisters on the Island do not enjoy the same rights as we in the Diaspora. La Isla del Encanto is still experiencing a terrible depression. And we in the United States Congress must step up to help bring prosperity and equality to Puerto Rico.    I am honored to serve on the Subcommittees on Oversight and Insular Lands with jurisdiction to review major Puerto Rico issues related to PROMESA, federal lands, and status issues. I will continue to work with my fellow Members of Congress to reduce the Island’s debt, bring relief directly to Puerto Ricans living on the Island, and fight for new economic opportunities there.  I will also closely monitor the upcoming plebiscite and will respect the will of the people with regard to status.   Together we can forge a new century of leadership for all Puerto Ricans both in the Diaspora and on the Island!  Unidos y Pa’lante!","status",NA,NA,7,1,4,1,0,0,0,0
