"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanDavidCicilline","186949061341027_1191386727563917","Congressman David Cicilline","2017-01-02","2017-01-02 20:00:47","Tomorrow, I will begin my fourth term representing you in the United States Congress. I’m honored by the trust you’ve placed in me to deliver results and get things done for our state. I wanted to take a moment to share some of the work we accomplished over the past two years, which I’ve compiled in the infographic below.  Feel free to share this infographic on social media with your friends and family.   I look forward to continuing our work together and hearing from you over the next two years.","photo","https://www.facebook.com/CongressmanDavidCicilline/photos/a.203246366377963.45052.186949061341027/1191386727563917/?type=3",NA,136,24,11,10,0,0,0,0
"CongressmanDavidCicilline","186949061341027_1192131824156074","Congressman David Cicilline","2017-01-03","2017-01-03 18:03:35","Just hours after attempting to kill the Office of Congressional Ethics and strip it for parts, Republicans have apparently decided to listen to their constituents. It’s critical that, in the weeks ahead, we don’t allow them to return to the days of thinly-veiled bribes, kickbacks, and much worse; a time when an open culture of corruption ruled Washington, D.C.  The fact is we need more ethics reforms, not less. That’s why I have been fighting for all members to undergo annual ethics training. Since the creation of the Office of Congressional Ethics, disciplinary actions by the House Ethics Committee have quadrupled.  It speaks volumes that the first thing Republicans attempted to do in the new Congress was weaken ethical standards, and they only backed down once their efforts were exposed to public scrutiny.  This is not what the American people sent us here to do. After the last few hours, it’s clear that Republicans don’t want to drain the swamp – they want to fill it up.  This is wrong, and it’s critical that Democrats, Republicans, and Independents continue to hold their Members of Congress accountable and demand they adhere to the highest ethical standards.","link","http://www.nytimes.com/2017/01/03/us/politics/trump-house-ethics-office.html?_r=0","nytimes.com",239,39,62,11,2,2,0,1
"CongressmanDavidCicilline","186949061341027_1192820304087226","Congressman David Cicilline","2017-01-04","2017-01-04 16:13:18","Yesterday, the American people won a major victory by inundating their representatives with calls, emails and social media expressing outrage at the unprecedented effort to gut the House ethics office. This was a crucial victory, but we cannot stop fighting now.","link","http://www.providencejournal.com/news/20170103/cicilline-calls-for-vigilance-after-gops-attempt-to-weaken-ethics-office","providencejournal.com",101,12,5,2,0,0,0,0
"CongressmanDavidCicilline","186949061341027_1192913824077874","Congressman David Cicilline","2017-01-04","2017-01-04 18:35:00","Republicans in the House are intent on silencing the voices of the people’s representatives. This unconstitutional proposal would dramatically curtail the freedom of members of the House to communicate with their constituents. It is unacceptable that in this day and age, members could be punished for the simple act of taking a picture on the floor of the House.","link","https://www.bostonglobe.com/news/politics/2017/01/03/house-targets-chamber-sit-ins-with-fines-for-lawmakers/Jd5roAakEWj0Q59wNmUxQK/story.html","bostonglobe.com",42,28,26,1,1,4,1,31
"CongressmanDavidCicilline","186949061341027_1193026640733259","Congressman David Cicilline","2017-01-04","2017-01-04 21:20:48","We need more ethical reforms in Congress, not less. That’s why I’ve introduced the ETHICS Act to require every member of Congress to undergo the same annual ethics training that their staffs have to complete.   And that’s why I’m asking members of both parties to demand better from our elected officials than what we saw over the last 48 hours.","video","https://www.facebook.com/CongressmanDavidCicilline/videos/1193026640733259/",NA,228,26,21,26,0,1,0,0
"CongressmanDavidCicilline","186949061341027_1194675060568417","Congressman David Cicilline","2017-01-06","2017-01-06 21:43:08","It is now even more clear that Vladimir Putin and the Russian government interfered in the 2016 election in order to benefit Donald Trump’s campaign. The Intelligence Community’s findings today reveal the full extent of Russia’s efforts to undermine the American democratic process. These actions are truly disturbing and they cannot go unanswered.   It has now been more than 200 days since we first learned of Russia’s cyberattacks on the Democratic National Committee, which resulted in the theft of thousands of documents that were subsequently released through Wikileaks. Congress still has not moved to convene a bipartisan, independent commission to uncover all the relevant facts and ensure this type of attack never happens again. This is unacceptable. Russia’s hacking of our political institutions, and their efforts to tilt the scales towards Mr. Trump represent a new, unprecedented threat to our democracy that we cannot afford to ignore.   Unfortunately, some members of Congress and the President-elect himself have attempted to excuse Russia’s egregious behavior when it advances their own political goals. Vladimir Putin is not a friend to the American people – he is a brutal dictator whose repressive values are completely contrary to our own. And in order to uphold our core American values, it is critical that President-elect Trump and his fellow Republicans stop playing politics and work to hold Russia accountable.   No matter our political differences, we are all Americans. Country must come before political party. Every American should be alarmed by Russia’s efforts to undermine our democracy. At this critical moment, silence is not an acceptable option.","link","http://www.nytimes.com/2017/01/06/us/politics/russia-hack-report.html?_r=0","nytimes.com",98,36,35,3,1,2,1,17
"CongressmanDavidCicilline","186949061341027_1196962833672973","Congressman David Cicilline","2017-01-09","2017-01-09 22:24:57","The American people should always have confidence that their elected officials are acting only in the public interest. This is especially true for the President of the United States and his appointees. I’m proud to join Congresswoman Clark and our colleagues today to improve transparency, enhance disclosure and divestiture requirements, and ensure that the President of the United States is always acting in our nation’s best interests.","link","http://www.politico.com/story/2017/01/trump-conflict-interest-exemptions-233303","politico.com",180,26,13,15,5,0,0,0
"CongressmanDavidCicilline","186949061341027_1197600843609172","Congressman David Cicilline","2017-01-10","2017-01-10 18:46:08","On January 15, we have an opportunity to stand up to save health care for millions of Americans.","photo","https://www.facebook.com/CongressmanDavidCicilline/photos/a.203246366377963.45052.186949061341027/1197600843609172/?type=3",NA,48,2,20,4,0,0,0,0
"CongressmanDavidCicilline","186949061341027_1197801963589060","Congressman David Cicilline","2017-01-11","2017-01-11 00:41:45","Looking forward to watching President Obama's Farewell Address tonight. Hope you're planning to watch his remarks from Chicago at 9pm tonight.","link","http://wh.gov/Farewell","h.gov",71,10,5,13,1,0,15,0
"CongressmanDavidCicilline","186949061341027_1198426096859980","Congressman David Cicilline","2017-01-11","2017-01-11 19:50:07","Today, I took to the House floor to expose the charade of Republicans promising to “repeal and replace” Obamacare. The Republicans have voted dozens upon dozens of times to end Obamacare, but now it’s clear they don’t have a plan to repeal and replace Obamacare. The Republican plan will repeal and diplace millions of hardworking Americans, cutting them off from quality, affordable healthcare and making it even harder for them to get ahead.","video","https://www.facebook.com/CongressmanDavidCicilline/videos/1198426096859980/",NA,228,32,21,18,0,0,1,8
"CongressmanDavidCicilline","186949061341027_1199133583455898","Congressman David Cicilline","2017-01-12","2017-01-12 14:59:26","Thanks to programs like Medicare, Medicaid, Social Security and the Affordable Care Act, more Americans than ever before are getting the health care they need at a price they can afford. Yet, despite this enormous progress, Republicans in Congress are trying to set the clock back decades by promising to eliminate the guarantee of Medicare, slash Medicaid, privatize Social Security, and repeal the Affordable Care Act.  Sunday, January 15 is a National Day of Action to save health care across the country, and my colleagues and I in Rhode Island’s Congressional Delegation are organizing an event in Johnston at 1pm to demand Republicans abandon their efforts to strip millions of affordable health care.","event","https://www.facebook.com/events/176525836161007/",NA,79,12,0,9,1,0,0,0
"CongressmanDavidCicilline","186949061341027_1200029716699618","Congressman David Cicilline","2017-01-13","2017-01-13 17:26:29","Donald Trump and his fellow Republicans are putting the health and well-being of millions of working families at risk just to settle a political score. It’s one of the most despicable things I’ve ever seen in this town.","link","http://thehill.com/homenews/house/314075-house-to-take-critical-step-toward-repealing-obamacare","thehill.com",28,21,9,0,0,2,13,34
"CongressmanDavidCicilline","186949061341027_1200152530020670","Congressman David Cicilline","2017-01-13","2017-01-13 20:48:49","Donald Trump and his fellow Republicans are putting the health and well-being of millions of working families at risk just to settle a political score. It’s one of the worst and most reckless things I’ve ever seen in this town.  If they succeed, Republicans will make it next to impossible for 130 million Americans with pre-existing conditions to get health care coverage. More than 1 million young people under the age of 26 will be forced off their parents’ insurance plans. And repealing the Affordable Care Act will eliminate 2.6 million jobs, including 12,100 right here in Rhode Island. In addition to taking away health insurance from millions who never had it before repeal, it will raise the cost of prescription drugs for seniors, and increase premiums and out-of-pocket costs for those buying insurance.  There is no question that the Affordable Care Act is working. The uninsured rate – both in Rhode Island and across the nation – is at its lowest level on record. Premiums are growing at their slowest rate in 50 years. Donald Trump and Republicans in Congress need to put an end to this charade. It’s time Washington got back to work on the real challenges facing our country – creating jobs, rebuilding our infrastructure, making college affordable, and ensuring retirement security.","link","https://www.washingtonpost.com/powerpost/congress-readies-to-begin-obamacare-repeal-process/2017/01/13/6bcd6eba-d9b3-11e6-9a36-1d296534b31e_story.html?utm_term=.2214f1e4eb27","washingtonpost.com",53,31,22,0,1,2,12,44
"CongressmanDavidCicilline","186949061341027_1200840609951862","Congressman David Cicilline","2017-01-14","2017-01-14 16:35:13","John Lewis is an American hero.   Donald Trump is a fake billionaire who won't release his tax returns.   The President-elect needs to grow up, put down his phone, and get serious about governing our nation.","photo","https://www.facebook.com/CongressmanDavidCicilline/photos/a.299521056750493.65322.186949061341027/1200840583285198/?type=3",NA,416,71,43,34,2,3,7,55
"CongressmanDavidCicilline","186949061341027_1201239493245307","Congressman David Cicilline","2017-01-15","2017-01-15 03:35:38",NA,"photo","https://www.facebook.com/CongressmanDavidCicilline/photos/a.186949458007654.34793.186949061341027/1201239399911983/?type=3",NA,489,27,11,80,2,0,0,0
"CongressmanDavidCicilline","186949061341027_1201696096532980","Congressman David Cicilline","2017-01-15","2017-01-15 18:14:01","Save Health Care Day of Action Rhode Island","video","https://www.facebook.com/CongressmanDavidCicilline/videos/1201696096532980/",NA,199,56,62,29,2,2,4,1
"CongressmanDavidCicilline","186949061341027_1201788346523755","Congressman David Cicilline","2017-01-15","2017-01-15 20:20:39","Grateful to see so many people at the Johnston Senior Center today for a rally to support the Affordable Care Act.   One thing is clear - we are going to keep fighting!","photo","https://www.facebook.com/CongressmanDavidCicilline/photos/a.299521056750493.65322.186949061341027/1201787996523790/?type=3",NA,180,12,5,12,1,0,0,0
"CongressmanDavidCicilline","186949061341027_1202458456456744","Congressman David Cicilline","2017-01-16","2017-01-16 16:38:17",NA,"photo","https://www.facebook.com/CongressmanDavidCicilline/photos/a.203246366377963.45052.186949061341027/1202458456456744/?type=3",NA,100,12,21,8,0,0,0,0
