"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanDavidValadao","105596689621089_700836596763759","Congressman David G. Valadao","2017-01-01","2017-01-01 15:21:32","Happy New Year!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/700836596763759/?type=3",NA,76,3,2,2,0,0,0,0
"CongressmanDavidValadao","105596689621089_701610690019683","Congressman David G. Valadao","2017-01-02","2017-01-02 17:26:04","Excited to serve as co-chair of the Armenian Congressional Caucus for the 115th Congress and look forward to continuing our work within the Central Valley Armenian-American community!","link","https://anca.org/press-release/anca-welcomes-rep-david-trott-new-republican-co-chair-rep-gus-bilirakis-vice-chair-congressional-armenian-caucus/","anca.org",79,3,5,1,0,0,0,0
"CongressmanDavidValadao","105596689621089_702140299966722","Congressman David G. Valadao","2017-01-03","2017-01-03 23:24:03","Honored to be sworn in to the 115th Congress and grateful for the opportunity to serve.","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/702140299966722/?type=3",NA,491,32,15,25,0,0,0,0
"CongressmanDavidValadao","105596689621089_702220636625355","Congressman David G. Valadao","2017-01-04","2017-01-04 03:30:50","New water legislation for a new Congress. It's time to grow our communities, grow our food, and grow our families.   Learn more about my bill, H.R. 23, the GROW Act here: http://bit.ly/2j20dk6","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/702220636625355/?type=3",NA,71,11,10,2,0,0,0,0
"CongressmanDavidValadao","105596689621089_703001953213890","Congressman David G. Valadao","2017-01-05","2017-01-05 19:37:14","Ensuring our veterans have access to proper medical care is a small, yet important, symbol of gratitude for their service, especially when their medical conditions are a result of active service.   Today, I am proud to introduce H.R. 299, the Blue Water Navy Vietnam Veterans Act in the House of Representatives to expand benefits to veterans who were exposed to Agent Orange during Vietnam.","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/703001953213890/?type=3",NA,62,17,16,8,0,0,0,0
"CongressmanDavidValadao","105596689621089_705021316345287","Congressman David G. Valadao","2017-01-10","2017-01-10 00:05:53","Incredibly grateful for the brave men and women who risk their lives to keep us safe. Thank you to all those who serve our communities! #LawEnforcementAppreciationDay","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/705021316345287/?type=3",NA,80,1,10,4,0,0,0,0
"CongressmanDavidValadao","105596689621089_705339172980168","Congressman David G. Valadao","2017-01-10","2017-01-10 16:47:42","As we begin a new year, please, take a moment to complete this quick survey. Your answers will help me focus on the issues that are most important to you and your family during the 115th Congress.","link","https://valadao.house.gov/forms/form/?ID=3217","valadao.house.gov",21,5,0,0,0,0,0,0
"CongressmanDavidValadao","105596689621089_705974452916640","Congressman David G. Valadao","2017-01-11","2017-01-11 23:46:37","Excited to again serve on the House Appropriations Committee and the Agriculture, Military Construction and Veteran Affairs, as well as the Transportation, Housing, and Urban Development Subcommittees.","link","http://valadao.house.gov/news/documentsingle.aspx?DocumentID=398305","valadao.house.gov",121,11,7,5,0,1,0,1
"CongressmanDavidValadao","105596689621089_706347806212638","Congressman David G. Valadao","2017-01-12","2017-01-12 15:26:03","It's always an honor to preside over the House as Speaker pro tempore. Catch me on CSPAN!","video","https://www.facebook.com/CongressmanDavidValadao/videos/706347806212638/",NA,56,3,6,0,0,0,0,0
"CongressmanDavidValadao","105596689621089_709098422604243","Congressman David G. Valadao","2017-01-16","2017-01-16 18:18:02","Cynthia Pollard with Aera Energy, Senator Andy Vidak, and Assemblyman Vince Fong joined me for quite the photo-op at the Annual Dr. Martin Luther King, Jr. Community Awards Breakfast this morning in Bakersfield!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/709098422604243/?type=3",NA,80,0,3,3,0,0,0,0
"CongressmanDavidValadao","105596689621089_710654809115271","Congressman David G. Valadao","2017-01-19","2017-01-19 00:46:26","‪It's inauguration week in DC! Regardless of political beliefs, witnessing the peaceful transition of power is incredible.‬","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/710654809115271/?type=3",NA,137,8,2,3,1,0,1,0
"CongressmanDavidValadao","105596689621089_710937482420337","Congressman David G. Valadao","2017-01-19","2017-01-19 15:30:22","Getting ready for inauguration with ABC30 Action News right outside the Capitol!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/710937482420337/?type=3",NA,150,8,5,4,0,0,0,0
"CongressmanDavidValadao","105596689621089_711031759077576","Congressman David G. Valadao","2017-01-19","2017-01-19 20:14:49","#Inauguration tickets waiting to be picked up by #CA21 constituents! In DC for the festivities? Be sure to tag your photos #CA21InDC!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/711031759077576/?type=3",NA,34,10,0,0,0,0,0,0
"CongressmanDavidValadao","105596689621089_714766078704144","Congressman David G. Valadao","2017-01-26","2017-01-26 02:09:46","The first F-35's arrived at NAS Lemoore today. Excited to have the next generation of stealth fighter right here in the Central Valley!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/714766078704144/?type=3",NA,432,47,51,19,0,8,0,0
"CongressmanDavidValadao","105596689621089_722386144608804","Congressman David G. Valadao","2017-02-09","2017-02-09 02:01:19","Enjoyed meeting with Kings Community Action Organization and discussing early childhood education in the Valley!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/722386144608804/?type=3",NA,67,2,2,0,0,0,0,0
"CongressmanDavidValadao","105596689621089_723170604530358","Congressman David G. Valadao","2017-02-10","2017-02-10 15:48:51","‪Tune in now as I join Kim Stephens and Kopi Sotiropulos on KMPH FOX 26 to discuss the important issues impacting the Central Valley.","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/723170604530358/?type=3",NA,23,1,2,0,0,0,0,0
"CongressmanDavidValadao","105596689621089_723361217844630","Congressman David G. Valadao","2017-02-10","2017-02-10 23:10:25","Enjoyed discussing education, immigration, and water with AP Government students from Sanger High this afternoon!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/723361217844630/?type=3",NA,42,9,3,1,0,0,0,0
"CongressmanDavidValadao","105596689621089_725651240948961","Congressman David G. Valadao","2017-02-15","2017-02-15 00:43:51","My Valentine today and every day!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/725651240948961/?type=3",NA,211,17,2,15,0,0,0,0
"CongressmanDavidValadao","105596689621089_730548550459230","Congressman David G. Valadao","2017-02-23","2017-02-23 16:35:15","I enjoyed the opportunity to discuss the need for immigration reform and legislative solutions with a great group of constituents this morning in Fresno. Thank you to the Fresno Area Hispanic Foundation and FWD.us for organizing the event!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/730548550459230/?type=3",NA,42,12,0,1,0,0,0,1
"CongressmanDavidValadao","105596689621089_732605343586884","Congressman David G. Valadao","2017-02-27","2017-02-27 19:35:01","Next month, I will be hosting a Community Resource Fair in Bakersfield. The event will provide attendees with valuable information about no-cost programs and services available to our community!","link","http://valadao.house.gov/events/resourcefair.htm","valadao.house.gov",10,11,2,0,0,0,0,0
"CongressmanDavidValadao","105596689621089_734669553380463","Congressman David G. Valadao","2017-03-03","2017-03-03 20:01:31","Speaking with my constituents is one of the most important and enjoyable parts of my job and I am excited to announce an additional way for you and I to communicate with each other. This Monday, I will host a Hometown Huddle and have one-on-one meetings with my constituents! Learn more here: http://bit.ly/CA21Huddle","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/734669553380463/?type=3",NA,44,39,17,1,0,0,0,1
"CongressmanDavidValadao","105596689621089_735189529995132","Congressman David G. Valadao","2017-03-04","2017-03-04 19:13:16","Thank you Kings United Way for taking time to meet with me yesterday. Kings County appreciates everything you do four our community!","photo","https://www.facebook.com/CongressmanDavidValadao/photos/a.116099911904100.18036.105596689621089/735189529995132/?type=3",NA,22,9,1,2,0,0,0,0
"CongressmanDavidValadao","105596689621089_740976736083078","Congressman David G. Valadao","2017-03-14","2017-03-14 18:00:29","Hearing from my constituents is the best part of my job. Watch my Fox News debut to learn more about my work representing you in Congress and the ways you and I can stay in touch.","video","https://www.facebook.com/CongressmanDavidValadao/videos/740976736083078/",NA,187,261,60,11,2,0,0,8
"CongressmanDavidValadao","105596689621089_742060075974744","Congressman David G. Valadao","2017-03-16","2017-03-16 17:54:14","Today, The White House responded to Congress and issued a Major Disaster Declaration for California counties impacted by recent winter storms. Ensuring those communities impacted have the resources they need to clean up, rebuild, and make infrastructure repairs is absolutely critical.","link","http://valadao.house.gov/news/documentsingle.aspx?DocumentID=398348","valadao.house.gov",64,22,11,2,1,0,0,2
