"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanDougLamborn","45059452286_10151556329907287","Congressman Doug Lamborn","2017-06-08","2017-06-08 21:59:35",NA,"photo","https://www.facebook.com/CongressmanDougLamborn/photos/a.449307737286.240050.45059452286/10151556329907287/?type=3",NA,43,34,6,1,0,0,0,0
"CongressmanDougLamborn","45059452286_10154947473577287","Congressman Doug Lamborn","2017-01-01","2017-01-01 18:45:00","Wishing you a safe, prosperous, and Happy New Year!","photo","https://www.facebook.com/CongressmanDougLamborn/photos/a.379699372286.156401.45059452286/10154947473577287/?type=3",NA,14,4,0,0,0,0,0,0
"CongressmanDougLamborn","45059452286_10154988869362287","Congressman Doug Lamborn","2017-01-03","2017-01-03 15:18:08","The 115th Congress begins today. It's an honor to serve and represent you.   Here is what we will be voting on this week   https://www.majorityleader.gov/weekly-schedule/","photo","https://www.facebook.com/CongressmanDougLamborn/photos/a.379699372286.156401.45059452286/10154988869362287/?type=3",NA,13,7,4,1,0,0,0,2
"CongressmanDougLamborn","45059452286_10154989062292287","Congressman Doug Lamborn","2017-01-03","2017-01-03 19:30:00","TODAY, the House will vote on the Ensuring VA Employee Accountability Act. This bill holds bureaucrats and VA employees accountable by keeping a permanent record of misconduct for as long as the employee works at the VA. I'm pleased to support this bill to punish bad actors and provide better treatment for our veterans.","photo","https://www.facebook.com/CongressmanDougLamborn/photos/a.379699372286.156401.45059452286/10154989062292287/?type=3",NA,9,3,2,1,0,0,0,1
"CongressmanDougLamborn","45059452286_10154989092252287","Congressman Doug Lamborn","2017-01-03","2017-01-03 16:29:09","I voted against the proposed changes to the Office of Congressional Ethics. I agree with the Speaker and the President-elect that the Congress has more pressing priorities to work on for the American people.   http://www.politico.com/story/2017/01/trump-tweets-disapproval-of-gop-move-to-gut-congressional-ethics-office-233124","link","http://www.politico.com/story/2017/01/trump-tweets-disapproval-of-gop-move-to-gut-congressional-ethics-office-233124","politico.com",42,7,8,2,1,1,0,1
"CongressmanDougLamborn","45059452286_10154989260057287","Congressman Doug Lamborn","2017-01-03","2017-01-03 17:15:43","I voted against this proposed change last night. We must focus on more important issues facing USA like repealing #Obamacare, tax reform, rebuilding military readiness, helping our brave veterans, increasing domestic energy production, standing with our friend and ally Israel, and protecting our religious liberty and Second Amendment rights.   http://thehill.com/homenews/house/312496-house-gop-scraps-plan-to-gut-ethics-watchdog-after-emergency-meeting","link","http://thehill.com/homenews/house/312496-house-gop-scraps-plan-to-gut-ethics-watchdog-after-emergency-meeting","thehill.com",77,29,11,0,1,0,0,0
"CongressmanDougLamborn","45059452286_10154992173437287","Congressman Doug Lamborn","2017-01-04","2017-01-04 15:29:13","Joining my colleagues for a meeting with Vice President-elect Pence to discuss strategy for repealing and replacing #Obamacare","photo","https://www.facebook.com/CongressmanDougLamborn/photos/a.379699372286.156401.45059452286/10154992173437287/?type=3",NA,49,18,6,7,0,0,0,4
"CongressmanDougLamborn","45059452286_10154992199992287","Congressman Doug Lamborn","2017-01-05","2017-01-05 14:15:00","On Tuesday, I took an oath to support and defend the Constitution. Today, Members of Congress will read the Constitution on the House Floor. Please tune in at 10:00 ET to this proud tradition, a solemn reminder that the federal government derives its power from the people.  Watch at: http://houselive.gov/","link","http://houselive.gov/","houselive.gov",18,2,2,2,0,0,0,0
"CongressmanDougLamborn","45059452286_10154993152142287","Congressman Doug Lamborn","2017-01-04","2017-01-04 21:59:01","I'm standing with Gun Owners of America  as an original cosponsor of the Richard Hudson bill to grant national concealed carry reciprocity. #2A  http://www.gunowners.org/new01032016.htm","link","http://www.gunowners.org/new01032016.htm","gunowners.org",46,6,2,2,0,0,0,3
"CongressmanDougLamborn","45059452286_10154995515237287","Congressman Doug Lamborn","2017-01-05","2017-01-05 17:29:01","In my home state of Colorado, the average family has faced a 13.4% increase in monthly healthcare costs, all thanks to Obamacare. Nationwide, families face up to 25% hikes in premiums.  With a united Republican government, it is time for a full repeal and replacement of Obamacare--and a solution that puts American families in control of their healthcare choices.  Please read more here: https://medium.com/@RepDLamborn/obamacares-worst-moments-e961b5bfe771#.zaiua0llw","link","https://medium.com/@RepDLamborn/obamacares-worst-moments-e961b5bfe771#.zaiua0llw","medium.com",79,67,28,1,0,0,3,8
"CongressmanDougLamborn","45059452286_10154995831477287","Congressman Doug Lamborn","2017-01-05","2017-01-05 19:18:27","Why #Obamacare has been a failure.  https://www.youtube.com/watch?v=U7DuO0hmzPQ","video","https://www.youtube.com/watch?v=U7DuO0hmzPQ",NA,15,13,1,0,0,0,0,2
"CongressmanDougLamborn","45059452286_10154995867917287","Congressman Doug Lamborn","2017-01-05","2017-01-05 20:45:00","What is the future of #Obamacare in the new Congress?   https://www.youtube.com/watch?v=tX17EmRaLRU","video","https://www.youtube.com/watch?v=tX17EmRaLRU",NA,7,5,0,0,0,0,0,0
"CongressmanDougLamborn","45059452286_10154995868647287","Congressman Doug Lamborn","2017-01-05","2017-01-05 21:30:00","What provisions from #Obamacare do Republicans intend to keep?   https://www.youtube.com/watch?v=IPyo6BDYdEg","video","https://www.youtube.com/watch?v=IPyo6BDYdEg",NA,6,3,1,0,0,0,0,0
"CongressmanDougLamborn","45059452286_10154995952917287","Congressman Doug Lamborn","2017-01-07","2017-01-07 17:16:12","For concrete details from the Republican plan to provide affordable, quality healthcare for all Americans, please read:  https://medium.com/@RepDLamborn/on-the-horizon-for-obamacares-replacement-3da470994f0b#.hks2zcgr7","link","https://medium.com/@RepDLamborn/on-the-horizon-for-obamacares-replacement-3da470994f0b#.hks2zcgr7","medium.com",19,24,5,6,0,1,0,3
"CongressmanDougLamborn","45059452286_10154996476162287","Congressman Doug Lamborn","2017-01-06","2017-01-06 00:45:00","I have taken three important steps this week to stand with our ally Israel.   First, I supported House Resolution 11 objecting to UN Security Council Resolution 2334 although I recognize that this measure did not go far enough. The Obama Administration’s refusal to veto this anti-Israel bill is an insult to our friend Israel, and we must do more to defend our greatest ally in the region.   For these reasons, I have gone a step further by introducing H.R. 263, a bill to render United Nations Security Council Resolution 2334 null and void as a matter of United States law. This legislation would ensure that the United States is not bound by any provision of UNSCR 2334 and denies the UN Security Council Resolution from being used U.S. Courts.   Finally, I introduced H.R. 264, which would restrict all UN funding until we have more transparency on how much US taxpayer money is being contributed to the UN and how it is being used.  http://www.jpost.com/Israel-News/Politics-And-Diplomacy/House-passes-resolution-condemning-UN-for-Israel-action-477641","link","http://www.jpost.com/Israel-News/Politics-And-Diplomacy/House-passes-resolution-condemning-UN-for-Israel-action-477641","jpost.com",72,16,10,5,1,0,0,0
"CongressmanDougLamborn","45059452286_10154998323042287","Congressman Doug Lamborn","2017-01-06","2017-01-06 15:31:21","I am honored to serve as an original cosponsor of the REINS Act. I have been a staunch supporter of this important bill for many years and I hope that our unified Republican government places this on President Trump’s desk. The REINS Act places more oversight power into the hands of the people’s Representatives by granting Congress 70 legislative days to approve or deny a regulatory proposal with an economic impact of $100 million or more. This bill has passed the House with bipartisan support and I urge the Senate to act swiftly to bring greater accountability and transparency to our regulatory process.  http://townhall.com/tipsheet/cortneyobrien/2017/01/05/reins-act-would-give-congress-more-control-over-regulations-n2267104","link","http://townhall.com/tipsheet/cortneyobrien/2017/01/05/reins-act-would-give-congress-more-control-over-regulations-n2267104","townhall.com",40,7,6,0,0,0,0,1
"CongressmanDougLamborn","45059452286_10154998452412287","Congressman Doug Lamborn","2017-01-07","2017-01-07 19:30:00","The Obama Administration is spending its final days in office working to cripple the American coal industry. This industry provides a low-cost, reliable source of energy to the tune of over 18 billion dollars in economic impact and hundreds of thousands of jobs across the country. Working to hamper this industry is nothing but petty vindictiveness from extreme, left-wing environmentalists operating in an unrealistic fantasy land. Having played a leadership role in fighting the so-called “Stream Protection Rule” for many years,  I have introduced a bill disapproving of the latest submission from the Department of the Interior. The American people have spoken and it is time to let the unified Republican government led by President Trump set a course for a new American energy revolution that will lower costs and grow our economy across the board.","photo","https://www.facebook.com/CongressmanDougLamborn/photos/a.379699372286.156401.45059452286/10154998452412287/?type=3",NA,22,21,6,2,0,0,2,5
"CongressmanDougLamborn","45059452286_10154998477797287","Congressman Doug Lamborn","2017-01-06","2017-01-06 16:30:26","We MUST reform the VA and Congress MUST stand with President Trump to help #DrainTheSwamp and provide our veterans with the care and respect they have earned.","link","http://freebeacon.com/issues/latest-phoenix-va-whistleblower-alleges-retaliation/","freebeacon.com",9,5,0,0,0,1,0,0
"CongressmanDougLamborn","45059452286_10154998714067287","Congressman Doug Lamborn","2017-01-09","2017-01-09 15:15:01","A thoughtful and important piece from Concerned Veterans for America Executive Director Mark Lucas.  http://thehill.com/blogs/pundits-blog/healthcare/312583-the-bitter-end-of-the-va-status-quo","link","http://thehill.com/blogs/pundits-blog/healthcare/312583-the-bitter-end-of-the-va-status-quo","thehill.com",14,4,2,1,0,0,0,0
"CongressmanDougLamborn","45059452286_10154998918552287","Congressman Doug Lamborn","2017-01-09","2017-01-09 16:30:52","Every American should be outraged by the incompetence and corruption exemplified by some within the VA. Congress must make it a priority to enact strong accountability measures to make it easier to fire bad employees and change the culture at the VA. #VAaccountability  http://dailycaller.com/2016/12/29/whistleblower-phoenix-va-retaliated-against-me-for-speaking-out/","link","http://dailycaller.com/2016/12/29/whistleblower-phoenix-va-retaliated-against-me-for-speaking-out/","dailycaller.com",13,12,6,1,0,1,0,4
"CongressmanDougLamborn","45059452286_10154999048172287","Congressman Doug Lamborn","2017-01-06","2017-01-06 19:40:29","Today, the House and Senate joined together to certify the results of the Electoral College vote for President and Vice President. I am so pleased that the American people chose to place Donald Trump and Mike Pence into these two important offices. They are hard-working and dedicated individuals who will do everything they can to Make America Great Again. I am eager to get to work with them on solving problems and improving lives all across our country.  http://www.dailymail.co.uk/wires/afp/article-4095886/US-Congress-certifies-Trump-presidential-election.html","link","http://www.dailymail.co.uk/wires/afp/article-4095886/US-Congress-certifies-Trump-presidential-election.html","dailymail.co.uk",86,17,22,7,1,0,3,3
