"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanDuncan","102385999834718_1355717091168263","Rep. John J. Duncan, Jr.","2017-01-04","2017-01-04 17:02:06","A few weeks ago, Chancellor Cheek asked me to personally contact the Joint Inaugural Committee to get the Pride of the Southland Band from University of Tennessee, Knoxville, an opportunity to play in the Presidential Inaugural Parade. To continue the band's tradition of participating in this historic event, we worked with Mike Lukach, a very important member of the Presidential Inauguration Public Affairs Office, who helped us secure approval for the band to participate in the parade as they have done for decades with both Republican and Democrat Presidents. I think it is a great honor and very special privilege for the band to represent our district's young talent in Washington D.C. They will remember being a part of history for the rest of their lives. It is my hope that we continue to focus on supporting the dedicated and talented students who will be showcasing their skills in front of the entire nation on January 20th.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1355717091168263/?type=3",NA,1989,249,403,216,2,5,17,6
"CongressmanDuncan","102385999834718_1396146480458657","Rep. John J. Duncan, Jr.","2017-02-03","2017-02-03 22:08:16","Today, I reintroduced the HEALTHIER Act which would encourage states to pass laws that allow licensed medical professionals to volunteer their services across state lines.  Remote Area Medical (RAM) is holding one of their great free clinics in Knoxville Saturday, and over half of the health care providers volunteering at the event are licensed in another state.  This demonstrates the need for more states to follow Tennessee’s example and pass laws allowing medical professionals to volunteer their services in other states besides where they are licensed to practice. We need to encourage, not discourage, volunteerism!","status",NA,NA,319,139,134,30,1,2,2,14
"CongressmanDuncan","102385999834718_1408796849193620","Rep. John J. Duncan, Jr.","2017-02-14","2017-02-14 20:49:53","I wanted to share this photo from a visit I had today with Lorene Jackson from BGCA of TN Valley and David Rausch-Knoxville Police Department's Chief of Police.I really admire their commitment to the health, safety, and success of young people in our area through the Boys and Girls Clubs.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1408796849193620/?type=3",NA,96,50,3,5,2,0,0,0
"CongressmanDuncan","102385999834718_1426731934066778","Rep. John J. Duncan, Jr.","2017-03-01","2017-03-01 15:35:28","I wanted to share this video to highlight yet another unfortunate example of how certain individuals ruin opportunities to have productive community gatherings. Senator Bill Cassidy tried to begin his town hall in Louisiana by inviting a local pastor, Michael Sprague, to say a prayer and a local veteran to recite the Pledge of Allegiance. Instead of being greeted by respectful silence or participation, they were  smothered by screaming, uproar, and hateful comments before any legislative topics were ever even discussed. Hear for yourself by watching the video below.  https://youtu.be/lNQnJdCRato","video","https://youtu.be/lNQnJdCRato",NA,59,106,39,1,1,6,29,65
"CongressmanDuncan","102385999834718_1429107687162536","Rep. John J. Duncan, Jr.","2017-03-03","2017-03-03 16:54:52","I really enjoyed visiting with 114 constituents who are  students, chaperones, and teachers from Webb School of Knoxville during their trip to Our Nation's Capitol yesterday .It brings me such joy to see so many bright young students who will help forge the future success of our community.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1429030367170268/?type=3",NA,109,57,8,5,1,1,1,1
"CongressmanDuncan","102385999834718_1444435348963103","Rep. John J. Duncan, Jr.","2017-03-14","2017-03-14 19:22:03","I was humbled yesterday by the presence of Chief Warrant Officer 2 (CW2) Wilfred M. Klimas who served Our Country in the Army during the Cold War. I was honored to help celebrate a recent decision by the U.S.Army Decorations Board to bestow him the Army Commendation Medal after the request was made by LTC Samuel Steele. I hope you enjoy seeing the photos from this very special moment. Surrounded by family and friends, CW2 Klimas was pinned by General Max Hastings at my Knoxville, Tennessee office. Please join me in celebrating Chief Klimas' dedication to Our Country by remembering the sacrifices that are made by people like him each day.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1444402988966339/?type=3",NA,102,41,3,4,0,1,0,0
"CongressmanDuncan","102385999834718_1473614056045232","Rep. John J. Duncan, Jr.","2017-04-05","2017-04-05 15:58:49","I had a great visit with students from Harrogate, Tennessee who are studying Osteopathic Medicine at Lincoln Memorial University. They are in good hands with Mr. Jeffrey LeBoeuf while they continue their visit in Washington sharing the importance of high quality healthcare. It is always so great to see bright young minds from our district preparing to be our caregivers of the future.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1473601002713204/?type=3",NA,94,27,6,1,0,0,0,4
"CongressmanDuncan","102385999834718_1486621604744477","Rep. John J. Duncan, Jr.","2017-04-14","2017-04-14 21:50:18","I can't wait to see what creative ideas come to life through the talent of all of our high school students in our district. I am hoping all eligible students take a moment to showcase their skills! You can learn more about participating by visiting my website at https://duncan.house.gov/serving-you/art-competition.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1486621604744477/?type=3",NA,23,21,14,0,0,0,0,0
"CongressmanDuncan","102385999834718_1501179543288683","Rep. John J. Duncan, Jr.","2017-04-24","2017-04-24 17:45:53","I wanted to share a photo of a great man whom I had the pleasure of meeting with during my many one-on-one constituent meetings last week. Mr.Charles Cook shared some designs that he created to help make school busses more safe. I really enjoyed learning more about his cause during our meeting in my Maryville, Tennessee office and welcome all constituents in sharing their ideas and opinions with me.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1501173406622630/?type=3",NA,91,26,3,0,22,0,1,6
"CongressmanDuncan","102385999834718_1502927573113880","Rep. John J. Duncan, Jr.","2017-04-25","2017-04-25 17:52:34",NA,"photo","https://www.facebook.com/CongressmanDuncan/photos/a.102386156501369.3867.102385999834718/1502927573113880/?type=3",NA,1311,1406,4411,177,1615,34,32,13
"CongressmanDuncan","102385999834718_1504315502975087","Rep. John J. Duncan, Jr.","2017-04-26","2017-04-26 21:12:55","Students and teachers at the Stanford Eisenberg Knoxville Jewish Day School KJDS sent me a photo from their visit at the The White House today. If you and your family or friends are interested in touring the White House, we will be glad to make a request on your behalf. To learn more about this process, please visit https://duncan.house.gov/services/tours-and-tickets. I am so glad these students were able to participate on such a historical tour.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1504315502975087/?type=3",NA,43,21,2,3,0,0,0,0
"CongressmanDuncan","102385999834718_1506652069408097","Rep. John J. Duncan, Jr.","2017-04-28","2017-04-28 17:09:44","As Tennesseans, we are blessed to be surrounded by beautiful nature and expansive resources that can be shared with our neighbors and visitors that explore our fine state. I want to congratulate the Tennessee General Assembly, Tennessee Valley Authority, U.S. Forest Service, and the Ocoee River Outfitters Association on working together to provide visitors the option of whitewater rafting on some of our TN rivers for the next few decades. Many constituents in my district travel with their family, school groups, and community groups to embark on journeys down the rapids on the Ocoee and Hiwassee every year. I am glad to share this great example of federal and local governments working together.  You can read more about this by clicking the link below to a Knoxville News Sentinel article.   http://www.knoxnews.com/story/news/local/tennessee/2017/04/27/deal-keep-ocoee-rafting-business-afloat/100975034/","link","http://www.knoxnews.com/story/news/local/tennessee/2017/04/27/deal-keep-ocoee-rafting-business-afloat/100975034/","knoxnews.com",59,55,6,0,0,0,0,3
"CongressmanDuncan","102385999834718_1535462063193764","Rep. John J. Duncan, Jr.","2017-05-17","2017-05-17 14:41:58","Not only is today National DIPG Awareness Day, but May 17th also marks the day, exactly one year ago, when two of my constituents experienced the loss of their child. If she would not have been overcome by a brain stem tumor, Julia Barbara Psar, their daughter, would have been almost 4 years old today. Julia's mother and father brought legislation to my attention that could help prioritize research funding that would benefit children suffering with similar conditions. They also asked that I share this note with you all to raise awareness. Because of their story and the goals of the Julia Barbara Foundation, I became a  Co-Sponsor of this bill, House Resolution 69. I hope you will join me in honoring the memory of Julia, while gathering around her loved ones, and so may other families to support this worthy cause for DIPG Support and Awareness.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1535462063193764/?type=3",NA,61,20,40,14,0,0,12,0
"CongressmanDuncan","102385999834718_1544139735659330","Rep. John J. Duncan, Jr.","2017-05-23","2017-05-23 12:55:00","Please join me in congratulating our 2017 Art Competition winner, Austin Bradley! Austin is a senior at L & N Stem Academy in Knoxville, Tennessee. His talented work with pastels depicts World's Fair Park - Knoxville and fireworks. Representing our district in the Congressional Art Competiton, his work will be on display for a year in the United States Capitol for visitors from around the world, staff, and Members of Congress to enjoy.","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1544139532326017/?type=3",NA,215,34,20,22,0,14,0,0
"CongressmanDuncan","102385999834718_1544513938955243","Rep. John J. Duncan, Jr.","2017-05-23","2017-05-23 18:52:50","One of my very special constituents, Avery Flatford, is a 13 year old from Farragut who has been nominated for the Boomer Esiason Foundation Athlete of the Year. Avery was nominated for her accomplishments on the softball field while battling Cystic Fibrosis.  She is the first Tennessean acknowledged by the Boomer Esiason Foundation for her commitment to health. She pitches for the Farragut Middle School Varsity team and also plays travel ball with Elite Champions ’03 from Dalton, Georgia. Each week you can find her at a field in the South competing against some of the best teams in the Nation.  http://woobox.com/dfn3xn/ixrxh0","link","http://woobox.com/dfn3xn/ixrxh0","oobox.com",114,39,150,17,4,0,0,1
"CongressmanDuncan","102385999834718_1548209131919057","Rep. John J. Duncan, Jr.","2017-05-26","2017-05-26 20:17:19","Congratulations to Grainger High School's Class of 2017's Valedictorian, Mason Watson, for his acceptance to Harvard University. It warms my heart to see Mason's academic career continue at such a fine school. I wish him the best of luck in all of his endeavors. Study hard!","photo","https://www.facebook.com/CongressmanDuncan/photos/a.109064072500244.14113.102385999834718/1548209131919057/?type=3",NA,250,206,56,26,85,4,0,2
