"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanGaryPalmer","545855605545009_1003447913119107","Congressman Gary Palmer","2017-05-14","2017-05-14 17:51:10","Happy Mother's Day to all of the strong and inspiring mothers in #AL06, including my wife Ann!","photo","https://www.facebook.com/CongressmanGaryPalmer/photos/a.577211322409437.1073741828.545855605545009/1003447913119107/?type=3",NA,20,1,0,0,0,0,0,0
"CongressmanGaryPalmer","545855605545009_1003964446400787","Congressman Gary Palmer","2017-05-15","2017-05-15 14:27:13","It's a honor to be recognized by the American Conservative Union for my consistent conservative voting record.","link","http://yellowhammernews.com/politics-2/alabama-congressman-is-the-most-conservative-lawmaker-in-d-c-cdr/","yellowhammernews.com",49,29,7,1,7,1,2,18
"CongressmanGaryPalmer","545855605545009_1004089893054909","Congressman Gary Palmer","2017-05-15","2017-05-15 18:50:49","I will always support our brave men and women in blue who protect our loved ones daily. During National Police Week, take a moment to thank a police officer for their service.","photo","https://www.facebook.com/CongressmanGaryPalmer/photos/a.577211322409437.1073741828.545855605545009/1004089893054909/?type=3",NA,30,4,7,4,0,0,0,0
"CongressmanGaryPalmer","545855605545009_1004817096315522","Congressman Gary Palmer","2017-05-17","2017-05-17 14:54:00","Good to be in Gardendale for the Sixth Congressional District Spring Mayors Luncheon last week. Special thanks to Mayor Stan Hogeland, Steve Sewell, and the City of Gardendale.","photo","https://www.facebook.com/CongressmanGaryPalmer/photos/a.577211322409437.1073741828.545855605545009/1004816899648875/?type=3",NA,20,5,1,0,0,0,0,0
"CongressmanGaryPalmer","545855605545009_1004824272981471","Congressman Gary Palmer","2017-05-16","2017-05-16 20:04:31","I enjoyed my visit to Clanton Intermediate School where I spoke to students in Ms. Chaney White’s 4th grade class. Special thanks to Chilton County Schools Superintendent Tommy Glasscock and Principal Louise Pitts.","photo","https://www.facebook.com/CongressmanGaryPalmer/photos/a.577211322409437.1073741828.545855605545009/1004824229648142/?type=3",NA,37,10,2,8,0,0,0,0
"CongressmanGaryPalmer","545855605545009_1004902382973660","Congressman Gary Palmer","2017-05-16","2017-05-16 23:56:28","We’re currently witnessing an unprecedented global cyberattack. Attacks such as this threaten our economy, our national security. This highlights the need for law enforcement to be trained at local, state and national levels to recognize and combat this activity. I was proud to vote in favor of H.R. 1616 authorizing into law the National Computer Forensics Institute (NCFI) located in Hoover. The NCFI has trained more than 6,000 officials from all across America so far in the latest methods and techniques of investigating cyber crimes.","link","http://thehill.com/policy/cybersecurity/333727-house-passes-cyber-crime-bill","thehill.com",27,13,5,2,0,1,0,2
"CongressmanGaryPalmer","545855605545009_1005381606259071","Congressman Gary Palmer","2017-05-17","2017-05-17 19:49:11","Yesterday I spoke on the House floor in support of #HR1616 and the National Computer Forensics Institute which we are fortunate to have in Hoover.","link","https://youtu.be/lsfESuL1HZk","youtu.be",21,6,3,1,0,0,0,0
"CongressmanGaryPalmer","545855605545009_1007031626094069","Congressman Gary Palmer","2017-05-19","2017-05-19 13:27:23","Tune in to the Facebook Live I'm doing right now with Rep. John Ratcliffe about the National Computer Forensics Institute!","video","https://www.facebook.com/RepRatcliffe/videos/1929428030604138/",NA,24,4,0,3,0,0,0,0
"CongressmanGaryPalmer","545855605545009_1007177712746127","Congressman Gary Palmer","2017-05-19","2017-05-19 18:37:13","I was grateful for the opportunity to participate in a Homeland Security Committee hearing during Police Week regarding the important role dogs play in the security of our nation. I believe we should have more canine units deployed at airports across the country, but TSA needs to focus on amplifying their canine units with American bred and trained dogs rather than ones from foreign countries.  WATCH here:","video","https://youtu.be/ZlVZetBSdKo",NA,45,50,12,8,0,1,0,0
"CongressmanGaryPalmer","545855605545009_1009445245852707","Congressman Gary Palmer","2017-05-22","2017-05-22 20:52:54","It was great to be in Coosa County Saturday for the 2017 Hatchet Creek Festival. Special thanks to Beverly Bass and Sharon Haynes.","photo","https://www.facebook.com/CongressmanGaryPalmer/photos/a.577211322409437.1073741828.545855605545009/1009445175852714/?type=3",NA,22,0,4,0,0,0,0,0
