"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanHalRogers","6722039085_10154422706439086","Congressman Hal Rogers","2017-01-03","2017-01-03 18:51:03","Today marks the first day for the 115th Congress and we are ready to hit the ground running. #OpeningDay Watch live online at 3pm on c-span.org or speaker.gov/live.","link","https://www.c-span.org/video/?420824-1%2Fhouse-speaker-paul-ryan-holds-ceremonial-swearingin-members","c-span.org",24,5,5,0,0,0,0,0
"CongressmanHalRogers","6722039085_10154422774639086","Congressman Hal Rogers","2017-01-03","2017-01-03 19:19:26",NA,"video","https://www.facebook.com/speakerryan/videos/1218566358191888/",NA,11,2,0,2,0,0,0,0
"CongressmanHalRogers","6722039085_10154423123839086","Congressman Hal Rogers","2017-01-03","2017-01-03 22:16:17",NA,"link","http://halrogers.house.gov/news/documentsingle.aspx?DocumentID=398814","halrogers.house.gov",53,3,5,0,0,0,0,0
"CongressmanHalRogers","6722039085_10154423124909086","Congressman Hal Rogers","2017-01-03","2017-01-03 22:16:59",NA,"link","http://halrogers.house.gov/news/documentsingle.aspx?DocumentID=398813","halrogers.house.gov",77,3,13,5,0,0,0,0
"CongressmanHalRogers","6722039085_10154439110149086","Congressman Hal Rogers","2017-01-09","2017-01-09 19:07:21","Everyday, our police officers answer the call of duty without hesitation to protect and serve the people of Southern and Eastern Kentucky. In honor of #LawEnforcementAppreciationDay, thank you for your service!","photo","https://www.facebook.com/CongressmanHalRogers/photos/a.127323039085.107526.6722039085/10154439110149086/?type=3",NA,163,8,74,8,0,0,0,0
"CongressmanHalRogers","6722039085_10154441767389086","Congressman Hal Rogers","2017-01-10","2017-01-10 20:09:03","Today, I was selected to serve as Chairman of the U.S. House Appropriations Subcommittee on State, Foreign Operations and Related Agencies for the 115th Congress.   Click the link to read more about my role as a congressional international ambassador.","link","http://halrogers.house.gov/news/documentsingle.aspx?DocumentID=398818","halrogers.house.gov",143,8,11,7,0,0,0,0
"CongressmanHalRogers","6722039085_10154448090559086","Congressman Hal Rogers","2017-01-12","2017-01-12 15:41:41","I have the honor of serving on three U.S. House Appropriations Subcommittees during the 115th Congress. In addition to being tapped as Chairman of the U.S. House Appropriations Subcommittee on State, Foreign Operations and Related Agencies, I will also serve as a member of the Subcommittees on Defense and Commerce, Justice and Science.   The three combined committees are responsible for the oversight of more than $625 billion in discretionary spending for our national security, military operations, economic development, science and space research, as well as federal law enforcement and illegal drug efforts. It is an honor to return to these subcommittees, as we work to get our fiscal house in order and strengthen this great nation.  Click the link below for more information.","link","http://halrogers.house.gov/news/documentsingle.aspx?DocumentID=398820","halrogers.house.gov",117,14,21,2,0,3,0,0
"CongressmanHalRogers","6722039085_10154451267429086","Congressman Hal Rogers","2017-01-13","2017-01-13 16:38:56",NA,"link","http://halrogers.house.gov/news/documentsingle.aspx?DocumentID=398821","halrogers.house.gov",29,2,28,1,0,0,0,0
"CongressmanHalRogers","6722039085_10154464420389086","Congressman Hal Rogers","2017-01-18","2017-01-18 16:48:27","I am excited for the entire country to hear Eastern Kentucky's own Marlana VanHoose sing during the Presidential Inaugural events in Washington, D.C. She is incredibly talented and makes all of us very proud. Congratulations Marlana!","link","https://www.facebook.com/littlemarlana/posts/1220194938062300","facebook.com",145,3,0,17,0,0,0,0
"CongressmanHalRogers","6722039085_10154464441764086","Congressman Hal Rogers","2017-01-18","2017-01-18 17:02:57","Proud of our talented students from Northern Middle School in Pulaski County who will be singing during the Presidential Inaugural Concert in Washington, D.C. on Thursday!","link","http://www.wkyt.com/content/news/Middle-school-students-from-Pulaski-Co-invited-to-perform-for-inaugural-festivities-410156955.html","wkyt.com",68,3,14,3,1,1,0,0
