"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanJimBridenstine","460003650715961_1202514236464895","Congressman Jim Bridenstine","2017-01-01","2017-01-01 22:00:00",NA,"photo","https://www.facebook.com/CongressmanJimBridenstine/photos/a.460066760709650.96621.460003650715961/1202514236464895/?type=3",NA,1310,45,334,103,1,0,0,0
"CongressmanJimBridenstine","460003650715961_1204256552957330","Congressman Jim Bridenstine","2017-01-03","2017-01-03 23:35:00","Today, I introduced bipartisan legislation to impose Congressional term limits.   Members of Congress in the House and Senate need to be focused on doing the right thing, not on doing what is best for their political careers. Term limits legislation should be a major piece of President-elect Trump's efforts to drain the swamp in Washington DC.","video","https://www.facebook.com/CongressmanJimBridenstine/videos/1204256552957330/",NA,2427,134,2974,146,4,1,0,2
"CongressmanJimBridenstine","460003650715961_1204869002896085","Congressman Jim Bridenstine","2017-01-04","2017-01-04 18:55:00","With the start of the 115th Congress, it's time for Republicans to deliver on campaign promises made to the American people.","video","https://www.facebook.com/CongressmanJimBridenstine/videos/1204869002896085/",NA,954,86,555,43,0,1,1,14
"CongressmanJimBridenstine","460003650715961_1205672982815687","Congressman Jim Bridenstine","2017-01-05","2017-01-05 18:56:00","The UN is directly funding an effort to boycott Israeli companies.  The measure was funded immediately following the Obama administration's support of a vote condemning Israeli settlements.  American taxpayer dollars should not be used to fund an organization that is committed to delegitimizing Israel.    The UN should be defunded.","link","http://www.foxnews.com/world/2017/01/03/un-follows-up-settlement-vote-with-blacklist-plan-for-israeli-companies.html","foxnews.com",432,107,208,6,0,9,7,169
"CongressmanJimBridenstine","460003650715961_1205880512794934","Congressman Jim Bridenstine","2017-01-06","2017-01-06 01:01:00","Today, I voted for H.R. 26, the Regulations from the Executive in Need of Scrutiny Act or the REINS Act.  Congress has ceded too much power to the executive branch, leading to an avalanche of red tape and new rules which are strangling economic growth and punishing job creators.  The REINS Act will help rebalance the scales and give Congress a bigger voice in the regulatory process.","video","https://www.facebook.com/CongressmanJimBridenstine/videos/1205880512794934/",NA,526,40,218,25,1,1,0,4
"CongressmanJimBridenstine","460003650715961_1206881052694880","Congressman Jim Bridenstine","2017-01-06","2017-01-06 23:35:00","I have co-sponsored H.R. 24, The Federal Reserve Transparency Act. The American people deserve more transparency from their government.","video","https://www.facebook.com/CongressmanJimBridenstine/videos/1206881052694880/",NA,650,34,226,34,3,2,0,5
"CongressmanJimBridenstine","460003650715961_1207501385966180","Congressman Jim Bridenstine","2017-01-07","2017-01-07 19:20:00","75% percent of Americans support term limits for members of Congress. Term limits will force politicians to focus on the challenges confronting our nation rather than their re-election.","photo","https://www.facebook.com/CongressmanJimBridenstine/photos/a.460066760709650.96621.460003650715961/1207501385966180/?type=3",NA,712,39,398,39,1,3,0,1
"CongressmanJimBridenstine","460003650715961_1208236615892657","Congressman Jim Bridenstine","2017-01-08","2017-01-08 20:04:01",NA,"photo","https://www.facebook.com/CongressmanJimBridenstine/photos/a.460066760709650.96621.460003650715961/1208236615892657/?type=3",NA,928,23,674,71,0,0,0,0
"CongressmanJimBridenstine","460003650715961_1208849969164655","Congressman Jim Bridenstine","2017-01-09","2017-01-09 19:22:01","American military power has not only kept our country safe and free, but also underwritten global prosperity and human freedom. Yet due to the devastating impact of sequestration, we now have the smallest Navy since before World War I.  It's time to make the US Military great again, and I'm glad to see we will soon have a Commander in Chief who is committed to doing so.","link","https://www.navytimes.com/articles/donald-trumps-navy-bigger-fleet-more-sailors-350-ships","navytimes.com",774,66,99,54,2,1,1,1
"CongressmanJimBridenstine","460003650715961_1209109672472018","Congressman Jim Bridenstine","2017-01-10","2017-01-10 00:45:00","Today the U.S. House unanimously approved H.R. 353, the Lucas-Bridenstine Weather Research and Forecasting Innovation Act.  Our aim is to have zero deaths from tornadoes and other extreme weather events. This bill gets us closer to that day.","link","http://bridenstine.house.gov/blog/?postid=784","bridenstine.house.gov",133,9,12,4,0,0,0,0
