"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanJimHimes","85767418619_10154916353858620","Jim Himes","2017-01-03","2017-01-03 15:17:52","Spent some time yesterday on MSNBC to talk about ISIS in Turkey and the recent tragic attacks as well as the Republicans' forthcoming efforts to repeal Obamacare, leaving millions out in the cold without insurance.","video","https://www.facebook.com/CongressmanJimHimes/videos/10154916353858620/",NA,73,13,8,1,0,1,0,2
"CongressmanJimHimes","85767418619_10154916559563620","Jim Himes","2017-01-03","2017-01-03 16:41:51","It's dangerous fantasy to think that we need fewer #ethics protections in Congress. To repeal ethics as the FIRST item of business on the FIRST day of Congress shows that the #GOP majority's priorities out of step with what the American people, both Democrat and Republican, want.  Tune in to MSNBC today at 2:30 where I will be discussing it more after the vote.","status",NA,NA,192,18,9,8,1,0,1,18
"CongressmanJimHimes","85767418619_10154917066093620","Jim Himes","2017-01-03","2017-01-03 21:09:12","Back on MSNBC this afternoon to talk about the GOP back and forth on #ethics. This is not exactly a move that inspires confidence, especially from the people who are asking you to trust them as they prepare to dismantle Obamacare, tear down Dodd-Frank and repeal important environmental protections.","video","https://www.facebook.com/CongressmanJimHimes/videos/10154917066093620/",NA,121,17,9,4,1,5,0,2
"CongressmanJimHimes","85767418619_10154918892048620","Jim Himes","2017-01-04","2017-01-04 14:33:29","Congratulations to these Wilton High School students! They recently launched the Learning Fund, a student-run tutoring service that donates 90% of profits to local organizations.  http://www.ctpost.com/news/education/article/Students-create-tutoring-service-that-donates-to-10830524.php","link","http://www.ctpost.com/news/education/article/Students-create-tutoring-service-that-donates-to-10830524.php","ctpost.com",92,3,2,9,0,1,0,0
"CongressmanJimHimes","85767418619_10154918907788620","Jim Himes","2017-01-04","2017-01-04 14:51:46","Obamacare has some problems which need fixing, but it has extended coverage to millions of Americans and provisions like letting young people stay on their parents' insurance and preventing insurance companies from denying coverage to pre-existing conditions are very popular. #Repealanddelay is going to harm millions and millions of Americans and shake the insurance market in a very damaging way.  I spoke about these misguided attempts to repeal healthcare progress as well as President-elect #Trump's continued assault on our intelligence agencies and the House Republicans' bungled ethics fiasco on CNN this morning.","video","https://www.facebook.com/CongressmanJimHimes/videos/10154918907788620/",NA,188,61,23,10,1,1,0,6
"CongressmanJimHimes","85767418619_10154919292133620","Jim Himes","2017-01-04","2017-01-04 17:59:39","More on Obamacare. Here are my thoughts after meeting with President Obama. The price of repealing health care is going to be high in terms of the suffering of our fellow citizens, the disruption to our insurance markets, and the backlash faced by members of Congress who leave their constituents twisting in the wind.","video","https://www.facebook.com/CongressmanJimHimes/videos/10154919292133620/",NA,90,146,17,2,1,4,5,22
"CongressmanJimHimes","85767418619_10154922200033620","Jim Himes","2017-01-05","2017-01-05 18:19:33","Gun violence is a daily occurrence in our country. Looking at all the causes and symptoms of this epidemic is part of sensible and effective gun reform.   A group at Yale examined violence in Chicago to learn more about gun violence and how we can intervene.    http://www.ctpost.com/local/article/Yale-study-confirms-gun-violence-is-contagious-10834544.php","link","http://www.ctpost.com/local/article/Yale-study-confirms-gun-violence-is-contagious-10834544.php","ctpost.com",48,6,10,0,0,0,10,2
"CongressmanJimHimes","85767418619_10154922430683620","Jim Himes","2017-01-05","2017-01-05 19:33:41","I'm not afraid to defend the #ACA. I know there are parts that could work better, but I wish that Congress had put effort into fixing it over the past few years rather than trying to tear it down again and again.   We're not giving up the fight to save it. But, if it is repealed, I will look to support a replacement proposal that covers all Americans and works to control costs. We haven't seen a proposal like that in 7 years that the GOP has had to bring something forward, but, maybe, with millions of lives depending on them, that will change.","video","http://video.foxbusiness.com/v/5271737094001/#sp=show-clips",NA,276,44,16,10,1,1,0,5
"CongressmanJimHimes","85767418619_10154924889498620","Jim Himes","2017-01-06","2017-01-06 16:25:48","A behind-the-scenes look at a TV appearance. It's been a very busy week here, and I'd always rather be listening than talking, but we have an obligation to speak out against policies that will harm American citizens. That's what you sent me here to do.","photo","https://www.facebook.com/CongressmanJimHimes/photos/a.133507633619.110028.85767418619/10154924889498620/?type=3",NA,60,14,2,1,0,0,0,0
"CongressmanJimHimes","85767418619_10154925044618620","Jim Himes","2017-01-06","2017-01-06 17:25:28","FACT: All of Congress, and our staff, gets our insurance through the health care exchanges of the Affordable Care Act.   We all have to do our duty to fight false stories on the Internet. This week, I have been especially surprised at how many people have suggested that I should be forced into Obamacare and saying that Congress has an exemption.   I'm already on Obamacare.  Congress doesn't have an exemption.  If we can't even agree on the facts, how are we going to make progress on policies to help the American people?","link","http://www.politifact.com/truth-o-meter/statements/2013/aug/14/ted-cruz/sen-ted-cruz-says-obama-just-granted-all-congress-/","politifact.com",347,25,122,12,2,6,0,3
