"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanKevinCramer","498751820147706_1280222705333943","Congressman Kevin Cramer","2017-01-01","2017-01-01 13:12:01","Getting aboard Amtrak at Union Station heading to Philadelphia Eagles game to watch Carson Wentz","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1280222705333943/?type=3",NA,554,33,4,19,0,0,0,1
"CongressmanKevinCramer","498751820147706_1280415348648012","Congressman Kevin Cramer","2017-01-01","2017-01-01 17:59:50","Carson Wentz leads Philadelphia Eagles onto the field. North Dakota proud.","video","https://www.facebook.com/CongressmanKevinCramer/videos/1280415348648012/",NA,460,10,25,23,0,1,0,0
"CongressmanKevinCramer","498751820147706_1280560085300205","Congressman Kevin Cramer","2017-01-01","2017-01-01 21:49:36","Carson Wentz throws 2 TD passes enroute to 27-13 Philadelphia Eagles victory over Dallas Cowboys. #FlyEaglesFly.","video","https://www.facebook.com/CongressmanKevinCramer/videos/1280560085300205/",NA,268,11,8,13,1,1,0,0
"CongressmanKevinCramer","498751820147706_1282228628466684","Congressman Kevin Cramer","2017-01-03","2017-01-03 19:53:06","Looking forward to continuing the people’s work in the 115th Congress with newly re-elected Speaker Paul Ryan.","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1282228628466684/?type=3",NA,126,16,3,1,3,0,0,5
"CongressmanKevinCramer","498751820147706_1282391901783690","Congressman Kevin Cramer","2017-01-03","2017-01-03 23:28:02","Today marks the first day of the #115thCongress, and we’re setting the right tone by passing this common-sense measure to ensure our vets are receiving care from responsible VA employees. More Here: bit.ly/2hP42NF","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1282391901783690/?type=3",NA,42,6,11,1,0,0,0,0
"CongressmanKevinCramer","498751820147706_1283235961699284","Congressman Kevin Cramer","2017-01-04","2017-01-04 22:27:30","Midnight rules are regulations pushed through at the end of a President’s administration to extend his policies into the new administration.   Unfortunately, North Dakotans are among those most affected by President Obama, with estimates showing a $5.3 billion economic impact from regulations that were planned to be finalized in November and December alone.   Once Donald J. Trump takes over, the Midnight Rules Relief Act will make it much easier for Congress to stop these burdensome rules. More Here: http://bit.ly/2jaZlxY","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1283235961699284/?type=3",NA,69,18,12,4,0,0,1,2
"CongressmanKevinCramer","498751820147706_1284097611613119","Congressman Kevin Cramer","2017-01-06","2017-01-06 01:23:25","The pace and volume of federal regulations has been increasing every year, placing burdens on the growth of our economy. Today, the House of Representatives passed the REINS Act, which is a key tool for regulatory reform in the 115th Congress and incoming Trump Administration. Read more: bit.ly/2iGZhVu","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1284097611613119/?type=3",NA,32,7,4,1,1,0,0,1
"CongressmanKevinCramer","498751820147706_1284098691613011","Congressman Kevin Cramer","2017-01-06","2017-01-06 00:13:34","The United States has vetoed 42 anti-Israel resolutions since 1972. President Obama’s refusal to veto UN Security Council Resolution 2334 in December broke with this longstanding U.S. policy.   Today’s passage of H. Res. 11 calls for repeal of this resolution, which effectively states the Jewish Quarter of the Old City of Jerusalem and the Western Wall, Judaism’s holiest site, are “occupied territory.” #StandWithIsrael Read more: bit.ly/2jgmhf0","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1284098691613011/?type=3",NA,137,13,10,7,2,0,0,0
"CongressmanKevinCramer","498751820147706_1287341811288699","Congressman Kevin Cramer","2017-01-09","2017-01-09 18:59:45","Today, we recognize the bravest among us, who put their lives on the line to protect and serve our country. Whether it is the #NoDAPL protests in Morton County, keeping us safe from criminals, or hazardous weather conditions, we count on our men and women in blue to keep the peace while we go about our daily lives.   Please help me spread our gratitude for their service by thanking an officer today. #BackTheBlue","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1287341811288699/?type=3",NA,331,11,103,25,2,0,0,0
"CongressmanKevinCramer","498751820147706_1288197267869820","Congressman Kevin Cramer","2017-01-10","2017-01-10 17:26:20","Democrats think we’re going to ‘Make America Sick Again,’ really?!   Let’s take a look at a few facts, shall we? - Premiums are rising by double digits in 31 states - Deductibles are going through the roof nationwide - 19 of 23 Obamacare CO-OPs have failed costing taxpayers $1.8 billion - Five states will only have one insurer to choose from in the individual marketplace (aka a monopoly)  Make no mistake, #Congress couldn’t make #Obamacare sicker if we tried. Our #BetterWay plan to repeal and replace Obamacare will revive our dying health care system before it flatlines on the operating table. #ObamacareRealityCheck","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1288197267869820/?type=3",NA,138,41,38,7,3,1,0,0
"CongressmanKevinCramer","498751820147706_1288406194515594","Congressman Kevin Cramer","2017-01-10","2017-01-10 23:19:02","There are so many barriers to entry for startup businesses and it’s time to bring some common sense to our securities laws. The #HALOSAct, passed in the House today, is an appropriate rollback of outdated rules and helps ensure the United States remains the global economy leader in innovation. We must do all we can to recognize the primary source of new jobs as coming from new and young companies. In fact, recent studies have shown startup businesses account for almost 20 percent of gross job creation in our nation. More Here: http://bit.ly/2ignkKg","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1288406194515594/?type=3",NA,33,3,2,0,1,0,0,0
"CongressmanKevinCramer","498751820147706_1288986504457563","Congressman Kevin Cramer","2017-01-11","2017-01-11 17:54:02","How has #Obamacare affected you? Repeal/Replace is happening fast, and I need you to share your story.","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1288986504457563/?type=3",NA,45,118,24,0,0,1,1,1
"CongressmanKevinCramer","498751820147706_1289245547764992","Congressman Kevin Cramer","2017-01-11","2017-01-11 23:48:58","Federal regulations now impose an estimated burden of $1.89 trillion, which is burying our job creators and costing each American household roughly $15,000. This is more than 10 percent of America’s gross domestic product, and more than the gross domestic product of all but eight countries in the world. H.R. 5, the Regulatory Accountability Act of 2017, combines six previously passed regulatory reform bills which lift unnecessary burdens on Americans and promote jobs, innovation, and economic growth.   #BetterWay http://tinyurl.com/jrdk2uo","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1289245547764992/?type=3",NA,28,8,8,0,0,5,2,0
"CongressmanKevinCramer","498751820147706_1289434911079389","Congressman Kevin Cramer","2017-01-12","2017-01-12 03:38:50","Today’s National Human Trafficking Awareness Day. Human trafficking is a scourge of international proportions that spares few communities from its devastation. The ravages of this modern-day slavery strip victims of basic rights like freedom, dignity and justice. I am committed to doing all we can in Congress to work with federal, state, local and tribal partners to bring greater awareness, understanding and commitment to end this exploitation.  #HumanTrafficking #EveryChildFree  Here’s my floor speech on this important issue: https://youtu.be/Cx_Tq1EESMc","video","https://youtu.be/Cx_Tq1EESMc",NA,50,7,7,3,0,2,1,0
"CongressmanKevinCramer","498751820147706_1289875131035367","Congressman Kevin Cramer","2017-01-12","2017-01-12 13:06:30",NA,"video","https://www.facebook.com/CongressmanKevinCramer/videos/1289875131035367/",NA,115,2,12,8,0,2,0,1
"CongressmanKevinCramer","498751820147706_1289943217695225","Congressman Kevin Cramer","2017-01-12","2017-01-12 14:53:30","Obamacare has not lived up to the President's promises, but it did live up to Speaker Ryan's predictions. This short video is better than saying ""I told you so.""","video","https://www.youtube.com/watch?v=3H2IlVGiSjE",NA,82,29,16,4,1,1,3,1
"CongressmanKevinCramer","498751820147706_1290043634351850","Congressman Kevin Cramer","2017-01-12","2017-01-12 17:26:01","In case you missed it, this morning on NBC Today Show, Matt Lauer reported a news story on Jeff Sessions’ confirmation hearing for U.S. Attorney General. The news story focuses on alleged civil rights complaints against Sessions, and 90% of the story focuses on Democrat Senator Cory Booker and Democrat Congressman John Lewis who are both opposed to Sessions confirmation.   What NBC doesn’t show its viewers is the strong, unwavering support coming from 3 prominent black witnesses – who support and have worked alongside Sessions for decades. Unlike the opposing witnesses, these men have personal relationships with Sessions. They’ve been to his house and had dinner with his family. If this story focuses on civil rights and the freedoms of black men in this country, then why would they cut out these specific black men who support Senator Sessions? Why would they cut out the men who have worked with Senator Sessions for years – the men who testify in support of Jeff Sessions’ moral integrity? Could it be because their viewpoints do not follow the status quo of the leftist agenda?   I don’t have a problem with the media reporting on stories when its viewers know that the stories are politically biased. But I do have a problem with our national broadcast networks who claim to fairly report these biased stories with the hopes that the American public isn’t smart enough to know better. They need to be held to a higher standard. #MediaBias   Click here to see the full story and listen to the viewpoints from both sides of the debate on Sessions confirmation in the Senate:  https://www.c-span.org/video/?c4645257","link","http://www.today.com/video/sen-cory-booker-testifies-against-jeff-sessions-trump-s-pick-for-attorney-general-853271107817","today.com",117,37,29,8,2,1,0,15
"CongressmanKevinCramer","498751820147706_1290752034281010","Congressman Kevin Cramer","2017-01-13","2017-01-13 12:58:28","Tune-in at 8:00 AM Eastern on C-SPAN Washington Journal to catch my discussion on #MediaBias.  https://www.c-span.org/video/?421019-1/washington-journal-1132017&live","link","https://www.c-span.org/video/?421019-1%2Fwashington-journal-1132017&live","c-span.org",8,4,0,0,0,0,0,0
"CongressmanKevinCramer","498751820147706_1290827774273436","Congressman Kevin Cramer","2017-01-13","2017-01-13 14:44:22","Began the day with good callers and conversation, including on #MediaBias, on C-SPAN Washington Journal. Thanks, Paul Orgel, for the good discussion.","link","https://www.c-span.org/video/?421019-3%2Fwashington-journal-representative-kevin-cramer-discusses-campaign-2016-media-bias","c-span.org",35,11,4,0,0,0,0,1
"CongressmanKevinCramer","498751820147706_1290906740932206","Congressman Kevin Cramer","2017-01-13","2017-01-13 17:02:16","It is long past time that America's 300 cities refusing to enforce federal immigration laws face the consequences of losing federal funds. By defying the rule of law, these sanctuary cities compromise the the safety of their citizens and endanger lives.#HR400  #sanctuarycities http://bit.ly/2jMyKHD","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1290906740932206/?type=3",NA,307,38,1455,18,1,0,0,6
"CongressmanKevinCramer","498751820147706_1291010510921829","Congressman Kevin Cramer","2017-01-13","2017-01-13 18:48:49",NA,"link","http://www.newsbusters.org/blogs/nb/veronica-lark/2017/01/12/conservative-leaders-react-salacious-unsubstantiated-buzzfeed#.WHkg-i1SgK0.facebook","newsbusters.org",15,10,1,0,0,1,0,0
"CongressmanKevinCramer","498751820147706_1291109030911977","Congressman Kevin Cramer","2017-01-13","2017-01-13 20:34:33","Relief is on the way. Passage of the budget resolution is the first step to rescuing Americans from a very sick health care law.   While it is too soon to spike the football, the blockers are set and the backs are in motion. Our plan develops a new patient-centered health care system to give Americans access to quality, affordable care while also providing continued coverage for people with pre-existing conditions and keeping children on their parents health plans until 26 years of age. #FixingHealthcare  Full release here: bit.ly/2iQNi4U","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1291109030911977/?type=3",NA,87,41,5,3,0,0,0,9
"CongressmanKevinCramer","498751820147706_1295022047187342","Congressman Kevin Cramer","2017-01-17","2017-01-17 22:10:49","Sending support to our Montana neighbor and friend Congressman Ryan Zinke on today’s Senate hearing to be Secretary of the Interior.  A true hero and patriot, he is a retired Navy SEAL and a champion of the right values and skills to manage the nation’s 500 million acres of federal public lands - our national parks and wildlife refuges, Bureau of Land Management lands, and wild and scenic rivers. He will be a great asset to the Trump Administration.","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1295022047187342/?type=3",NA,109,8,11,3,0,1,0,1
"CongressmanKevinCramer","498751820147706_1295118097177737","Congressman Kevin Cramer","2017-01-18","2017-01-18 01:02:14","It's always a pleasure to spend time with the North Dakota Association of Rural Electric Cooperatives. Congratulations on a successful 74th Annual Meeting in Bismarck today. I appreciate all you do to power generations across North Dakota. NDAREC","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1295118097177737/?type=3",NA,57,4,2,2,1,0,0,0
"CongressmanKevinCramer","498751820147706_1295792243776989","Congressman Kevin Cramer","2017-01-18","2017-01-18 19:27:38","President-Elect Trump’s inauguration is just around the corner. I look forward to seeing everyone who stops by my office Thursday to pick up their tickets. #inauguration2017","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1295792243776989/?type=3",NA,73,16,3,6,0,0,1,1
"CongressmanKevinCramer","498751820147706_1295923910430489","Congressman Kevin Cramer","2017-01-18","2017-01-18 22:30:44","The action word for 2017 is productivity. Looking forward to a productive year working with Governor Doug Burgum both at the state and federal level.","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1295923910430489/?type=3",NA,100,9,4,1,1,2,0,1
"CongressmanKevinCramer","498751820147706_1295968590426021","Congressman Kevin Cramer","2017-01-18","2017-01-18 23:31:21","I fully support Scott Pruitt to be the next EPA Administrator. He will help move America toward energy independence, create new jobs, and protect clean air and water. He has a deep understanding of the impact of regulations on the environment and economy and respects the sovereignty of states to make their own regulatory decisions.   @EPA #ConfirmPruitt #EPA","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1295968590426021/?type=3",NA,76,14,8,4,0,0,0,7
"CongressmanKevinCramer","498751820147706_1296632220359658","Congressman Kevin Cramer","2017-01-19","2017-01-19 14:19:02","Excitement is building for the big day! The Capitol is ready for  thousands to welcome a new President tomorrow. We've waited 8 years for this historic moment! #inauguration2017","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1296632220359658/?type=3",NA,261,20,9,23,1,0,0,6
"CongressmanKevinCramer","498751820147706_1296690593687154","Congressman Kevin Cramer","2017-01-19","2017-01-19 16:01:42","On the way out the door, President Barack Obama sent a going-away-gift of $500,000,000 to the United Nations ‘Green Climate Fund,’ but he still hasn't refunded ND for the $22 million spent to defend against #DAPL riots... #Priorities","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1296690593687154/?type=3",NA,237,96,401,1,4,40,10,235
"CongressmanKevinCramer","498751820147706_1296771857012361","Congressman Kevin Cramer","2017-01-19","2017-01-19 18:31:59","Enjoyed speaking on CBC Radio's The House with Chris Hall about the incoming Trump Administration, energy, border security, and North Dakota trade issues. #Inauguration2017","video","https://www.facebook.com/CongressmanKevinCramer/videos/1296771857012361/",NA,71,15,3,5,0,0,0,2
"CongressmanKevinCramer","498751820147706_1297467296942817","Congressman Kevin Cramer","2017-01-20","2017-01-20 14:38:00","Marine One waits in the background to take POTUS Obama from US Capitol as Donald J. Trump is sworn in. #Inauguration2017","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1297467296942817/?type=3",NA,623,31,9,35,5,0,2,4
"CongressmanKevinCramer","498751820147706_1297501900272690","Congressman Kevin Cramer","2017-01-20","2017-01-20 21:29:41","Just reached my seat for Donald J. Trump #Inauguration2017","video","https://www.facebook.com/CongressmanKevinCramer/videos/1297501900272690/",NA,355,14,7,14,2,1,0,2
"CongressmanKevinCramer","498751820147706_1298689143487299","Congressman Kevin Cramer","2017-01-21","2017-01-21 21:57:52","Celebrating my 56th birthday at National Community Church with family & friends. The Circle Maker,Mark Batterson is preaching. God is good!","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1298689143487299/?type=3",NA,331,45,7,14,2,0,0,2
"CongressmanKevinCramer","498751820147706_1300920116597535","Congressman Kevin Cramer","2017-01-23","2017-01-23 22:11:16","Congratulations to my friend Ajit Pai on becoming the next chairman of the Federal Communications Commission. The FCC and Rural America are in great hands with Chairman Pai steering the ship.","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1300920116597535/?type=3",NA,29,4,1,0,0,0,0,2
"CongressmanKevinCramer","498751820147706_1300958093260404","Congressman Kevin Cramer","2017-01-23","2017-01-23 22:55:16","More reasons why we need to repeal & replace #Obamacare as soon as possible.","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1300958093260404/?type=3",NA,268,26,130,4,0,4,2,15
"CongressmanKevinCramer","498751820147706_1301737176515829","Congressman Kevin Cramer","2017-01-24","2017-01-24 16:32:52","BREAKING: President Donald J. Trump signs executive orders to expedite approval to complete construction of #DAPL and #KeystoneXL Pipeline projects.  The meddling by the Barack Obama Administration in trying to block this legally permitted project has encouraged civil disobedience, threatened the safety of local residents, and placed an onerous financial burden on local law enforcement — with no offer of federal reimbursement for these increasing costs  I have asked the Trump Administration to pay for law enforcement costs near the protest site and provide federal police to protect construction workers. This conflict deserves peaceful resolution and I hope the extreme environmentalists leading the protest will not further endanger themselves, Morton County residents, construction workers, and law enforcement. #BackTheBlue View my full statement here: bit.ly/DAPL-KXL","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1301737176515829/?type=3",NA,671,67,206,89,1,3,1,17
"CongressmanKevinCramer","498751820147706_1302131486476398","Congressman Kevin Cramer","2017-01-24","2017-01-24 22:46:43","40 years ago, Congress agreed on a bipartisan basis that taxpayer money should not be used to provide Americans abortion services. Rather, our nation should invest in women’s health, not abortion, which ends the lives of unborn children. Abortion is not healthcare. Read more: http://bit.ly/2kpw6ba","photo","https://www.facebook.com/CongressmanKevinCramer/photos/a.498845246805030.112544.498751820147706/1302131486476398/?type=3",NA,384,45,53,38,1,0,0,15
"CongressmanKevinCramer","498751820147706_1302167773139436","Congressman Kevin Cramer","2017-01-24","2017-01-24 23:38:46","Our state is heartbroken over the loss of another hero taken from us too soon. We will never forget Deputy Colt Allery’s service and sacrifice in defense of the citizens of North Dakota. #BackTheBlue","video","https://www.facebook.com/CongressmanKevinCramer/videos/1302167773139436/",NA,282,15,79,20,0,0,48,1
"CongressmanKevinCramer","498751820147706_1302225883133625","Congressman Kevin Cramer","2017-01-25","2017-01-25 00:32:40","Tune in now to see my interview with Chris Berg about #DAPL. http://www.valleynewslive.com/livestream/","link","http://www.valleynewslive.com/livestream/","valleynewslive.com",43,3,6,0,1,0,1,3
"CongressmanKevinCramer","498751820147706_1302819793074234","Congressman Kevin Cramer","2017-01-25","2017-01-25 13:59:30","ICYMI: My Op-Ed on The Daily Signal - US Energy Takes a Major Step Forward #KeystoneXL #KXL #DAPL","link","http://dailysignal.com/2017/01/24/us-energy-security-takes-a-major-step-forward/","dailysignal.com",117,13,8,10,0,0,1,9
