"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanLance","100830109970339_1189787287741277","Congressman Leonard Lance","2017-01-04","2017-01-04 11:31:14","Retweeted Herb Jackson (@HerbNJDC):  NJ's @RepLanceNJ7, who opposed effort to gut ethics rules, is named to House Ethics Committee https://t.co/93sJUm5owa","link","https://t.co/93sJUm5owa","t.co",154,26,10,3,2,0,0,0
"CongressmanLance","100830109970339_1191074387612567","Congressman Leonard Lance","2017-01-06","2017-01-06 02:20:27","The House voted overwhelmingly to condemn the UN's anti-Israel resolution. America stands with #Israel. ������������������������","status",NA,NA,79,23,0,7,0,0,4,6
"CongressmanLance","100830109970339_1196812193705453","Congressman Leonard Lance","2017-01-13","2017-01-13 19:54:48","NJ congressman wants feds to back off rules banning pro-police blue lines https://t.co/N9E2q7ARqd","link","https://t.co/N9E2q7ARqd","t.co",32,23,5,2,2,0,0,2
"CongressmanLance","100830109970339_1196812720372067","Congressman Leonard Lance","2017-01-13","2017-01-13 19:55:49","Central Jersey: Lance named vice chairman of Communications and Technology Subcommittee https://t.co/KFqenTm3vQ","link","https://t.co/KFqenTm3vQ","t.co",37,13,3,0,0,0,0,2
"CongressmanLance","100830109970339_1196812893705383","Congressman Leonard Lance","2017-01-13","2017-01-13 19:56:11","Measure to control regulations passes House with support from Hultgren, Kelly, Lance - Ripon Advance https://t.co/1FVmrjMkam","link","https://t.co/1FVmrjMkam","t.co",13,31,0,0,0,0,0,13
"CongressmanLance","100830109970339_1199900450063294","Congressman Leonard Lance","2017-01-17","2017-01-17 17:19:31","Lance announces NJ selected under Excellence in Mental Health Act https://t.co/nlQ445sMOJ","link","https://t.co/nlQ445sMOJ","t.co",22,20,0,0,1,0,0,1
"CongressmanLance","100830109970339_1200569106663095","Congressman Leonard Lance","2017-01-18","2017-01-18 12:55:22","Federal bill aims to keep thin blue line in support of police https://t.co/pdSPjlj1UG","link","https://t.co/pdSPjlj1UG","t.co",44,43,11,1,1,0,1,16
"CongressmanLance","100830109970339_1200569769996362","Congressman Leonard Lance","2017-01-18","2017-01-18 12:57:00","Retweeted Jay Edwards (@JayEdwardsWrnj):  #RNJNEWS: @RepLanceNJ7, @BillPascrell bill will keep 'Blue Lines' in towns https://t.co/ImfdwdYNZR https://t.co/vy1kswl29J","link","https://t.co/ImfdwdYNZR","t.co",15,48,1,1,0,1,3,8
"CongressmanLance","100830109970339_1211261875593818","Congressman Leonard Lance","2017-01-29","2017-01-29 22:22:45","The Trump Administration has every right to be concerned about the safety and security of the American People.  The first responsibility of the federal government is to secure the homeland and keep the American people safe.  And while I do support increased vetting of individuals applying to travel from countries with extensive terrorist ties or activity, the President’s current travel ban executive order appears rushed and poorly implemented.  Reports of green card holders and those who assisted us in the War on Terror being denied or delayed entry into the U.S. is deeply concerning and must be remedied immediately.  It is Congress’ role to amend our immigration laws and I strongly urge President Trump to work with legislators to enact a clear, effective and enhanced vetting and monitoring process. -- L.L.","status",NA,NA,457,653,138,8,2,2,22,118
"CongressmanLance","100830109970339_1213049858748353","Congressman Leonard Lance","2017-02-01","2017-02-01 02:05:12","""Neil Gorsuch is a thoughtful and qualified choice to replace the great Justice Antonin Scalia.  Judge Gorsuch is mainstream conservative who I am confident will be confirmed by the U.S. Senate to the Nation's highest court."" -- L.L.","status",NA,NA,131,187,17,6,2,0,3,102
"CongressmanLance","100830109970339_1214529371933735","Congressman Leonard Lance","2017-02-02","2017-02-02 16:59:41","“Just today, Representatives Peter Roskam (R-IL), Lee Zeldin (R-NY), Leonard Lance (R-NJ), and Doug Lamborn (R-CO) introduced the Iran Nonnuclear Sanctions Act of 2017 to target the Islamic Republic's support for terrorism, its human rights abuses, and ballistic missile program.”","link","http://www.weeklystandard.com/putting-iran-on-notice/article/2006621","weeklystandard.com",30,63,11,2,0,0,1,27
"CongressmanLance","100830109970339_1214638875256118","Congressman Leonard Lance","2017-02-02","2017-02-02 20:02:48","“We want to repair the ACA. I’ve never said repeal without replacing it. It has to be repaired, and we are trying to focus on repairing it, and that is why we are conducting this hearing,” said Rep. Leonard Lance (R-N.J.).","link","http://thehill.com/policy/healthcare/317608-house-considers-obamacare-replacement-elements","thehill.com",57,132,12,2,2,2,1,18
"CongressmanLance","100830109970339_1218067941579878","Congressman Leonard Lance","2017-02-06","2017-02-06 21:31:36","Today marks the 106th birthday of President Ronald Wilson Reagan.  President Reagan certainly would agree:  There is no moral equivalency between the United States and Russia.    Like President Reagan I believe very strongly in America’s exceptionalism and our moral goodness that is in stark contrast to the brutal regime of Vladimir Putin.   #HappyBirthdayReagan","status",NA,NA,101,95,9,4,1,1,0,1
"CongressmanLance","100830109970339_1218917728161566","Congressman Leonard Lance","2017-02-07","2017-02-07 20:29:46","Lance Votes to Strengthen Email Privacy  https://t.co/5WiTAYXR2P","link","https://t.co/5WiTAYXR2P","t.co",32,40,1,0,0,0,0,6
"CongressmanLance","100830109970339_1220644144655591","Congressman Leonard Lance","2017-02-09","2017-02-09 19:51:58","Lance’s 41st Town Hall Set For February 22  https://t.co/e50bg14sT8","link","https://t.co/e50bg14sT8","t.co",95,30,110,2,0,0,0,0
"CongressmanLance","100830109970339_1220757497977589","Congressman Leonard Lance","2017-02-09","2017-02-09 22:26:37","Rep. Lance who represents Somerset & Union counties announced he will host his 41st in-person town hall meeting. https://t.co/nL8rIlzOyo","link","https://t.co/nL8rIlzOyo","t.co",29,21,21,0,0,0,1,0
"CongressmanLance","100830109970339_1220757801310892","Congressman Leonard Lance","2017-02-09","2017-02-09 22:27:04","Lance sets town hall meeting at Raritan Valley Community College https://t.co/ahoUeDNamb","link","https://t.co/ahoUeDNamb","t.co",89,69,56,0,0,0,0,2
"CongressmanLance","100830109970339_1225433244176681","Congressman Leonard Lance","2017-02-15","2017-02-15 19:26:37","Retweeted Special Olympics NJ (@SONewJersey):  Brooke and Becky just got to meet with NJ Congressman @RepLanceNJ7. Thanks for your support congressman. #SOHillDay https://t.co/57lCduWMbB","status",NA,NA,9,18,0,0,0,0,0,1
"CongressmanLance","100830109970339_1227769050609767","Congressman Leonard Lance","2017-02-18","2017-02-18 06:04:25","While many Republicans are holding off on town hall meetings, U.S. Rep. Leonard Lance, R-Hunterdon, has two planned for next week.  ""In fact, I've done 40 in person and 40 by telephone,"" he said.  Lance, the only New Jersey Republican with a town hall scheduled for the coming week, said he's not afraid of people who disagree with him.  ""I hope there will be a civil discussion about the public issues that confront the American people, and I certainly will engage in civility, as I believe I always have,"" he said. ""I would like to think that would be true of those who attend the town hall meetings.""","link","http://www.newsworks.org/index.php/local/politics/101508-area-lawmakers-face-constituents-angry-over-trump-agenda-in-town-halls-on-phoneWhile","newsworks.org",65,45,6,3,0,0,0,5
"CongressmanLance","100830109970339_1228206553899350","Congressman Leonard Lance","2017-02-18","2017-02-18 19:12:36","Some lawmakers are still braving town halls. Rep. Leonard Lance (R., N.J.) is planning two next week in his Central New Jersey district — one that Trump lost.  “It’s important to communicate with constituents and to have constituents communicate with me,” Lance said. “Having said that, I hope that the level of discussion will be conducted with civility.","link","http://www.philly.com/philly/news/politics/As-Trump-critics-demand-meetings-local-Republicans-avoid-town-halls.html","philly.com",62,37,9,1,0,1,0,6
"CongressmanLance","100830109970339_1230047947048544","Congressman Leonard Lance","2017-02-20","2017-02-20 21:08:17","Rep. Lance announces White House Visitors Office will resume public tours of the White House on March 7. https://t.co/qjfpVnvaBT","link","https://t.co/qjfpVnvaBT","t.co",30,7,1,0,0,0,1,1
"CongressmanLance","100830109970339_1231034086949930","Congressman Leonard Lance","2017-02-21","2017-02-21 20:23:22","Rep. Lance’s 41st & 42nd Townhall Meetings Live and Online. Feb. 22:  7pm to 8:30pm & Feb. 25:  9am to 10:30am. https://t.co/WsdZFiICGt","link","https://t.co/WsdZFiICGt","t.co",80,36,39,0,0,0,0,0
"CongressmanLance","100830109970339_1232503743469631","Congressman Leonard Lance","2017-02-23","2017-02-23 14:13:42","GOP rep: Town hall protesters are constituents, not paid demonstrators | TheHill https://t.co/PcpC4c2mio","link","https://t.co/PcpC4c2mio","t.co",244,44,15,1,2,0,0,2
