"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanLouBarletta","192357174108435_1442585335752273","Congressman Lou Barletta","2017-01-01","2017-01-01 05:01:04","By any measure, the year we just closed the book on contained momentous, even world-changing events.  Through it all, the people of our little corner of the world responded with the same qualities of optimism and determination that have served us so well through the centuries.  Whatever challenges we face in the coming year, we will no doubt confront them with the same spirit as we always have.  As we embrace the new year together, it remains an honor to serve you in the United States House of Representatives.  On this first day of 2017, Mary Grace and I wish you a happy new year and much health, success, and happiness.","photo","https://www.facebook.com/CongressmanLouBarletta/photos/a.198894583454694.55707.192357174108435/1442585335752273/?type=3",NA,193,25,9,5,0,0,0,0
"CongressmanLouBarletta","192357174108435_1445432095467597","Congressman Lou Barletta","2017-01-03","2017-01-03 20:56:52",NA,"photo","https://www.facebook.com/CongressmanLouBarletta/photos/a.377501525593998.98904.192357174108435/1445431945467612/?type=3",NA,387,18,25,12,0,0,0,1
"CongressmanLouBarletta","192357174108435_1446327238711416","Congressman Lou Barletta","2017-01-04","2017-01-04 18:33:53","Though we were sworn in on the House floor yesterday, we still must sign a formal oath of office as we begin the 115th Congress. As always, it remains an honor to serve you in the United States House of Representatives.  I'm hoping for a productive term, moving forward with protecting national security, enforcing our border and immigration laws, and promoting economic growth and job creation.","photo","https://www.facebook.com/CongressmanLouBarletta/photos/a.621092747901540.1073741824.192357174108435/1446324345378372/?type=3",NA,339,26,16,1,1,0,0,0
"CongressmanLouBarletta","192357174108435_1446385055372301","Congressman Lou Barletta","2017-01-04","2017-01-04 20:05:38","I voted against the proposed change to the Office of Congressional Ethics in the first place, and then supported overturning the alteration.  This is the right course of action, and I’m glad to see that the decision was reversed.  Any changes to improve ethics oversight in the House should be approached in a bipartisan manner, with input from both parties.  In the meantime, President-Elect Trump is correct that we face large challenges as a nation, and we should be spending our energy in solving those problems.  I’m looking forward to the 115th Congress being one that will truly get things done and make American great again.","link","http://thetimes-tribune.com/news/local-congressmen-react-to-ethics-flap-1.2138223","thetimes-tribune.com",100,18,7,0,0,1,0,0
"CongressmanLouBarletta","192357174108435_1446471652030308","Congressman Lou Barletta","2017-01-04","2017-01-04 22:03:48","Last minute rules and regulations often run counter to the wishes of the people, as outgoing administrations rush to entrench the last pieces of a partisan or ideological agenda.  This is a layer of protection for American citizens, who should not be governed by unelected Washington, DC bureaucrats, who do not have to face the voters on Election Day. Burdensome and meddlesome regulations are stifling the growth of private enterprise and job creation.  These rules are often an attempt to force through policies that have already been rejected by voters.  This is an extra guard against that practice.","link","http://barletta.house.gov/media-center/press-releases/barletta-backs-curb-on-abusive-last-minute-rules-regulations","barletta.house.gov",54,9,4,0,0,0,0,1
"CongressmanLouBarletta","192357174108435_1447156505295156","Congressman Lou Barletta","2017-01-05","2017-01-05 14:33:10","Kate Steinle, of San Francisco, and Derek Kichline, of Hazleton, are just two of the victims of violent crime at the hands of illegal immigrants enabled by sanctuary cities -- those jurisdictions which openly refuse to obey federal immigration laws.  In Kichline's case, his killer had been released a number of times, including by New York, another sanctuary city.  Too many mayors and local governments think that they are above federal law and place their own ideology ahead of the safety of their residents.  This bill will stop that practice by saying to these sanctuary cities, ""If you refuse to cooperate with federal immigration enforcement, you will lose your federal funding.""","link","http://barletta.house.gov/media-center/press-releases/barletta-s-1st-bill-of-115th-congress-defund-sanctuary-cities","barletta.house.gov",500,56,97,36,0,2,2,6
"CongressmanLouBarletta","192357174108435_1447586651918808","Congressman Lou Barletta","2017-01-06","2017-01-06 00:23:12","Allowing the United Nations to move forward with its virulently anti-Israel resolution was a particularly shameful move by President Obama, who broke with longstanding U.S. practice and turned his back on our strong ally Israel.  The U.N. resolution the president declined to veto served only to isolate Israel from its neighbors, and the complicity by the Obama administration sent the clear message that the United States cannot be counted on as a faithful ally.  Worse, the resolution was a severe blow to the peace process.  I am pleased, however, that under President Trump, there will no longer be any confusion around the world, and the United States will once again firmly stand with our allies, the Israelis.","link","http://barletta.house.gov/media-center/press-releases/barletta-supports-bill-condemning-anti-israel-un-resolution","barletta.house.gov",147,12,30,4,0,0,0,1
"CongressmanLouBarletta","192357174108435_1448225071854966","Congressman Lou Barletta","2017-01-06","2017-01-06 14:33:17","I am pleased to announce the new location of my Carlisle district office, which is now open at 126 N. Hanover Street in Carlisle.  The office will be staffed during regular business hours of 9:00 a.m. to 5:00 p.m. on weekdays, excluding federal holidays.  The office was formerly located at 59 W. Louther Street.  Come in and see us!","link","http://barletta.house.gov/media-center/press-releases/barletta-announces-new-carlisle-office-location","barletta.house.gov",58,0,9,2,0,0,0,0
"CongressmanLouBarletta","192357174108435_1448342595176547","Congressman Lou Barletta","2017-01-06","2017-01-06 16:52:05","Talking to Fox News about my bill to cut off all federal funding to sanctuary cities - those jurisdictions which provide safe havens for illegal immigrants by refusing to cooperate with federal immigration authorities.  Look for a story tonight on Special Report with Bret Baier.  With President Trump in the White House, the landscape has changed, and I'm optimistic that this third try with this legislation will be the charm!","photo","https://www.facebook.com/CongressmanLouBarletta/photos/a.198894583454694.55707.192357174108435/1448342595176547/?type=3",NA,251,29,30,8,0,0,0,0
"CongressmanLouBarletta","192357174108435_1448449311832542","Congressman Lou Barletta","2017-01-06","2017-01-06 19:09:30","In a joint session of Congress today, presided over by Vice President Joe Biden, we counted the Electoral College votes, which was the final step in declaring Trump the 45th President of the United States. Millions of people responded to Donald Trump’s message of revitalizing this country and were united in their belief that their government had stopped listening to their concerns.  With my relationship with the President-Elect and his incoming administration, I look forward to having increased influence as we begin to strengthen our national security, enforce our immigration laws, and foster robust economic development.","link","http://barletta.house.gov/media-center/press-releases/barletta-statement-on-certification-of-trump-election-victory","barletta.house.gov",137,12,10,7,0,0,0,0
