"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanMarino","144408762280226_1187980287923063","Congressman Tom Marino","2017-01-03","2017-01-03 20:56:35","Started off the 115th Congress by reintroducing the REVIEW Act which halts any ‘high-impact’ regulation from burdening American businesses while undergoing the appropriate public or judicial scrutiny any heavy cost rule should have. Washington simply cannot continue to bankroll reckless, billion dollar regulations on the backs of hardworking Americans.","link","https://marino.house.gov/media-center/press-releases/rep-marino-reintroduces-bill-stop-high-impact-regulations","marino.house.gov",32,7,8,0,0,0,0,0
"CongressmanMarino","144408762280226_1188808421173583","Congressman Tom Marino","2017-01-04","2017-01-04 22:10:47","Burdensome regulation is one of the greatest hindrances to growing jobs and the economy. Specifically, regulations rushed in at the last-minute without proper oversight can cause significant damage to business.   Today, the House passed the Midnight Rules Relief Act to ensure no lame duck president circumvents the will of the people or their representatives in Congress through midnight rule making. House Judiciary Committee","link","https://marino.house.gov/media-center/press-releases/rep-marino-praises-swift-passage-bill-halt-harmful-last-minute","marino.house.gov",187,24,40,15,0,2,0,4
"CongressmanMarino","144408762280226_1190223861032039","Congressman Tom Marino","2017-01-06","2017-01-06 19:35:30","It's official. Donald J. Trump will be the 45th President of the United States.  It was an honor to be part of the Joint Session of Congress as they certified the electoral votes today. I would like to thank Vice President Biden for keeping decorum and shutting down any attempts to halt the democratic process.  Congratulations President-elect Trump! #MAGA","photo","https://www.facebook.com/CongressmanMarino/photos/a.160751540645948.54125.144408762280226/1190223861032039/?type=3",NA,335,43,49,41,0,0,5,3
"CongressmanMarino","144408762280226_1192371220817303","Congressman Tom Marino","2017-01-09","2017-01-09 19:56:57","I write this today with a heavy heart filled with grief and a gratitude words cannot describe. Today is Law Enforcement Appreciation Day and yet again we have news of another senseless murder of one our dedicated officers, this time in Orlando, FL.   Our men and women in blue make a decision every day to put their safety and security behind that of our own. They deserve our utmost respect and appreciation. I will continue to back our law enforcement officers and fight the rise in aggression towards them. Thank you for all that you do. #BacktheBlue #LawEnforcementAppreciationDay","link","http://www.cnn.com/2017/01/09/us/orlando-shooting-officer-killed/index.html","cnn.com",40,9,12,2,0,0,42,4
"CongressmanMarino","144408762280226_1194751160579309","Congressman Tom Marino","2017-01-12","2017-01-12 20:00:45","The American people sent a clear message in November - they are sick and tired of business as usual in Washington.That is why  I introduced 3 bills this week to make sure we get rid of the status quo.   These pieces of legislation will create term limits for members of Congress, institute single subject legislation and provide assurance that good bills passed out of committee make it to the House floor for a vote. We must return our government to one truly for the people, by the people.","link","http://www.sungazette.com/news/top-news/2017/01/tom-marino-reintroduces-term-limits-other-bills/","sungazette.com",181,38,20,17,0,0,0,0
"CongressmanMarino","144408762280226_1195618453825913","Congressman Tom Marino","2017-01-13","2017-01-13 21:32:55","Obamacare is failing, plain and simple. Families are suffering under the immense weight of increasing premiums and a lack of quality in care. Republicans ran on repealing this legislation and it is a promise we intend to keep.   We will not, however, repeal #Obamacare without offering an avenue for truly affordable, patient-centered healthcare. Today’s vote lays the framework for fulfilling our obligation to the American people in offering real relief from this burdensome legislation.","link","https://marino.house.gov/media-center/press-releases/rep-marino-votes-first-step-repeal-obamacare","marino.house.gov",144,82,15,14,0,0,1,20
"CongressmanMarino","144408762280226_1198193273568431","Congressman Tom Marino","2017-01-16","2017-01-16 23:33:14","Today, on #MLKDay, we honor the life and legacy of Martin Luther King Jr.   ""I have decided to stick with love. Hate is too great a burden to bear.""","photo","https://www.facebook.com/CongressmanMarino/photos/a.160751540645948.54125.144408762280226/1198193273568431/?type=3",NA,47,18,9,2,0,0,0,0
"CongressmanMarino","144408762280226_1199825700071855","Congressman Tom Marino","2017-01-19","2017-01-19 20:30:01","It's inauguration week in Washington. Too often, we get caught up in the politics of it all, but in reality, this is not a political matter. The peaceful transition of power is a truly remarkable event that many nations never have the good fortune to see. It should be cherished and respected.   I encourage everyone to take a moment and think about the truly exceptional occasion that is the inauguration and the democratic process it represents. America remains the greatest nation in the world and I am excited for the future before us.","photo","https://www.facebook.com/CongressmanMarino/photos/a.160751540645948.54125.144408762280226/1199825700071855/?type=3",NA,128,44,24,15,0,0,0,0
"CongressmanMarino","144408762280226_1205206356200456","Congressman Tom Marino","2017-01-24","2017-01-24 16:54:38","All life is precious and should be fiercely protected. That is why I support H.R. 7, #prolife legislation that ensures no taxpayer will be forced to fund abortion.   This legislation makes the Hyde Amendment permanent - a policy that has saved over 2 million lives across America and more than 119,000 in Pennsylvania alone.","link","https://lozierinstitute.org/hydeat40/","lozierinstitute.org",195,86,22,20,0,0,0,19
"CongressmanMarino","144408762280226_1206192926101799","Congressman Tom Marino","2017-01-25","2017-01-25 14:37:37","(Literally) cleaning up Washington as quickly as I can!","photo","https://www.facebook.com/CongressmanMarino/photos/a.160751540645948.54125.144408762280226/1206192926101799/?type=3",NA,404,105,32,24,63,3,0,2
"CongressmanMarino","144408762280226_1212849088769516","Congressman Tom Marino","2017-02-01","2017-02-01 21:47:32","President Trump hit a home run with his SCOTUS pick.  Neil Gorsuch represents a return to the constitutional principles our government was founded on - principles our leaders in Washington seemed to have forgotten in recent years.","link","https://marino.house.gov/media-center/press-releases/rep-marino-praises-nomination-judge-neil-gorsuch-scotus","marino.house.gov",178,45,8,14,0,0,5,3
"CongressmanMarino","144408762280226_1213604922027266","Congressman Tom Marino","2017-02-02","2017-02-02 14:37:03","Punxsutawney Phil let us down. Six more weeks of winter. #NotMyGroundhog","photo","https://www.facebook.com/CongressmanMarino/photos/a.160751540645948.54125.144408762280226/1213604922027266/?type=3",NA,47,48,11,1,35,0,7,5
"CongressmanMarino","144408762280226_1223777651009993","Congressman Tom Marino","2017-02-13","2017-02-13 18:22:31","I met with some of our local bankers in Williamsport to discuss how we can help our small businesses continue to grow and succeed.","photo","https://www.facebook.com/CongressmanMarino/photos/a.160751540645948.54125.144408762280226/1223777651009993/?type=3",NA,81,36,12,2,0,0,0,6
"CongressmanMarino","144408762280226_1224645330923225","Congressman Tom Marino","2017-02-14","2017-02-14 20:35:32","Today, I stopped by the PAWS for Love event hosted by the ASPCA.","photo","https://www.facebook.com/CongressmanMarino/photos/a.160751540645948.54125.144408762280226/1224645330923225/?type=3",NA,155,36,11,16,0,0,1,1
