"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanMattGaetz","674764996035495_674773449367983","Congressman Matt Gaetz","2017-01-10","2017-01-10 15:25:39",NA,"photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.674772462701415.1073741825.674764996035495/674773169368011/?type=3",NA,12,52,6,3,0,0,0,3
"CongressmanMattGaetz","674764996035495_674810209364307","Congressman Matt Gaetz","2017-01-10","2017-01-10 16:45:12",NA,"photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.674810189364309.1073741827.674764996035495/674810076030987/?type=3",NA,10,38,4,2,0,1,1,5
"CongressmanMattGaetz","674764996035495_674848502693811","Congressman Matt Gaetz","2017-01-10","2017-01-10 18:20:37","WATCH: Congressman Matt Gaetz shares his views on the REINS Act and government regulations!","video","https://www.facebook.com/CongressmanMattGaetz/videos/674848502693811/",NA,7,1,0,0,0,0,0,1
"CongressmanMattGaetz","674764996035495_675300419315286","Congressman Matt Gaetz","2017-01-11","2017-01-11 15:29:26","Congressman Gaetz reacts to a Pensacola doctor attacked near the U.S.-Mexico border. Gaetz wants the federal government to take border security more seriously.","video","https://www.facebook.com/CongressmanMattGaetz/videos/675300419315286/",NA,6,1,0,0,0,0,0,1
"CongressmanMattGaetz","674764996035495_675343799310948","Congressman Matt Gaetz","2017-01-11","2017-01-11 21:19:00","PNJ:  Gaetz to serve on Armed Services, Budget committees","link","http://www.pnj.com/story/news/politics/2017/01/10/gaetz-serve-two-us-house-committees/96390046/","pnj.com",12,3,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_675346025977392","Congressman Matt Gaetz","2017-01-12","2017-01-12 03:27:00","USA Today: 'Never underestimate the power of a Donald Trump tweet'","link","http://www.usatoday.com/story/news/2017/01/03/short-list-tuesday/96104566/","usatoday.com",2,3,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_675346202644041","Congressman Matt Gaetz","2017-01-11","2017-01-11 19:28:01","MATT GAETZ: It's simple; people deserve to get what they ordered","link","http://www.nwfdailynews.com/news/20170108/matt-gaetz-its-simple-people-deserve-to-get-what-they-ordered","nwfdailynews.com",10,3,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_675919052586756","Congressman Matt Gaetz","2017-01-12","2017-01-12 14:27:14","Congressman Gaetz on Armed Services Committee appointment","link","http://weartv.com/news/connect-to-congress/web-extra-exclusive-interview-with-matt-gaetz","eartv.com",7,0,1,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_676050852573576","Congressman Matt Gaetz","2017-01-12","2017-01-12 19:16:02","HAPPENING NOW: Committee on Armed Services committee meeting. WATCH LIVE: https://youtu.be/2y7FeQOVcDU","video","https://youtu.be/2y7FeQOVcDU",NA,4,0,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_676675982511063","Congressman Matt Gaetz","2017-01-13","2017-01-13 19:24:17","Congressman Matt Gaetz explains why the healthcare law should be repealed.","video","https://www.facebook.com/CongressmanMattGaetz/videos/676675982511063/",NA,21,37,6,0,0,2,0,6
"CongressmanMattGaetz","674764996035495_676706442508017","Congressman Matt Gaetz","2017-01-13","2017-01-13 20:23:37","Another step closer to better serving veterans and their families in Northwest Florida. Eglin Air Force Base VA Clinic Expansion.","photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.676706422508019.1073741828.674764996035495/676706329174695/?type=3",NA,6,6,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_679127955599199","Congressman Matt Gaetz","2017-01-17","2017-01-17 20:23:28","It was an honor to recognize VFW Post 4833 in Milton for 50 years of service to local veterans and their families with a Congressional Record!  I and my office extend its congratulations.  In-Photo: Congressman Gaetz Dep. Chief of Military Affairs, Capt. Nathan Nelson, USAF, Ret. and Post Commander, Mike Messer.","photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.676706422508019.1073741828.674764996035495/679127955599199/?type=3",NA,13,1,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_680165055495489","Congressman Matt Gaetz","2017-01-19","2017-01-19 14:51:39","Arlene Borges is from our district and she is excited to be here in D.C. for the inauguration of President-elect Trump! #ArlenegoestoDC","photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.676706422508019.1073741828.674764996035495/680165055495489/?type=3",NA,13,7,1,2,1,0,0,0
"CongressmanMattGaetz","674764996035495_683794831799178","Congressman Matt Gaetz","2017-01-25","2017-01-25 17:01:39","I'm honored to be able to recognize Kathleen Redfern as Walton County's Teacher Of The Year & Sue Brack as Walton County's Educational Support Professional Of The Year!","photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.676706422508019.1073741828.674764996035495/683794831799178/?type=3",NA,9,7,3,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_683808485131146","Congressman Matt Gaetz","2017-01-25","2017-01-25 17:45:23","Congressman Matt Gaetz discusses the harmful effects and broken promises surrounding Obamacare.","video","https://www.facebook.com/CongressmanMattGaetz/videos/683808485131146/",NA,14,37,9,1,3,0,0,6
"CongressmanMattGaetz","674764996035495_686358748209453","Congressman Matt Gaetz","2017-01-30","2017-01-30 15:12:15","CONGRESSMAN GAETZ STATEMENT ON PRESIDENT TRUMP’S EXECUTIVE ACTION  WASHINGTON, D.C. -- U.S. Congressman Matt Gaetz (R-FL) issued the following statement in response to the Trump Administration’s extreme vetting pause:  ""Like so many Americans, I watched media coverage of President Trump's announcement of executive orders requiring a cessation of refugees and visitors from seven countries that President Obama coined ""areas of concern.""  President Trump's orders prove that yet again, he will act when the former administration would only talk and deliberate.  A ninety-day pause to consider and implement new changes is entirely appropriate.  I would like to extend my appreciation to the hardworking federal and state officials who implemented the new rule this weekend.”    ##","status",NA,NA,37,69,6,2,1,1,1,31
"CongressmanMattGaetz","674764996035495_686881288157199","Congressman Matt Gaetz","2017-01-31","2017-01-31 14:14:01","Congressman Gaetz' speech on House Floor regarding Refugees and Immigrants","video","https://www.facebook.com/CongressmanMattGaetz/videos/686881288157199/",NA,13,66,20,2,3,0,0,21
"CongressmanMattGaetz","674764996035495_701662883345706","Congressman Matt Gaetz","2017-03-01","2017-03-01 01:44:00","ICYMI: Congratulations Commissioner Salter, well deserved!  http://www.srpressgazette.com/news/20170228/congressional-record-recognizes-salter","link","http://www.srpressgazette.com/news/20170228/congressional-record-recognizes-salter","srpressgazette.com",5,6,1,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_701931273318867","Congressman Matt Gaetz","2017-03-01","2017-03-01 14:40:30","“Democrats need to get over it,” “The people have spoken. This is the time for acceptance.” @SavannahNow   https://tinyurl.com/zbne8rz","link","https://tinyurl.com/zbne8rz","tinyurl.com",8,50,2,1,3,1,0,16
"CongressmanMattGaetz","674764996035495_702023073309687","Congressman Matt Gaetz","2017-03-02","2017-03-02 02:03:00","I sit down with Rick Outzen on 'Pensacola Speaks' to discuss Congress, Open Gaetz Day and President Trump.  LISTEN: https://youtu.be/_FaBPFOkBeU","video","https://youtu.be/_FaBPFOkBeU",NA,7,18,1,0,0,0,0,3
"CongressmanMattGaetz","674764996035495_704215106423817","Congressman Matt Gaetz","2017-03-06","2017-03-06 03:21:32","I enjoyed spending time with students at the Florida Forensic League state debate tournament at Gulf Breeze High!","photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.688772897968038.1073741829.674764996035495/704214966423831/?type=3",NA,9,25,1,0,0,0,0,1
"CongressmanMattGaetz","674764996035495_704963066349021","Congressman Matt Gaetz","2017-03-07","2017-03-07 21:10:00","The Office of Congressman Gaetz Helps Sacred Heart Secure $2 million dollars for emergency generator.  Sacred Heart Health System   http://weartv.com/news/local/congressman-gaetz-helps-sacred-heart-secure-2m-for-an-emergency-generator  WEAR ABC 3 News, Pensacola","link","http://weartv.com/news/local/congressman-gaetz-helps-sacred-heart-secure-2m-for-an-emergency-generator","eartv.com",11,4,5,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_706001666245161","Congressman Matt Gaetz","2017-03-09","2017-03-09 14:18:35","Connect to Congress!  Sue Straughn  WEAR ABC 3 News, Pensacola   http://weartv.com/news/connect-to-congress/connect-to-congress-rep-matt-gaetz","link","http://weartv.com/news/connect-to-congress/connect-to-congress-rep-matt-gaetz","eartv.com",7,15,3,0,0,0,0,3
"CongressmanMattGaetz","674764996035495_708288652683129","Congressman Matt Gaetz","2017-03-13","2017-03-13 20:55:00","""BRAC should be viewed as an opportunity to attract more missions,"" said U.S. Rep. Matt Gaetz, R-Fort Walton Beach, who predicted Thursday the next BRAC would ensue during the Trump administration. Pensacola News Journal  http://www.pnj.com/story/money/business/2017/03/10/brac-northwest-florida-pensacola-military-gaetz-trump-cyber-warfare-cybersecurity/98957808/","link","http://www.pnj.com/story/money/business/2017/03/10/brac-northwest-florida-pensacola-military-gaetz-trump-cyber-warfare-cybersecurity/98957808/","pnj.com",2,1,2,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_708525202659474","Congressman Matt Gaetz","2017-03-14","2017-03-14 12:04:00","Congressman Gaetz' pushing to maintain adequate funding for the military at Committee on Appropriations on March 9, 2017.  WATCH: https://youtu.be/OQJNM4JGkCE","video","https://youtu.be/OQJNM4JGkCE",NA,8,7,1,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_708541565991171","Congressman Matt Gaetz","2017-03-13","2017-03-13 23:06:12","Live Virtual Town Hall on ObamaCare Repeal from DC #OpenGaetz","video","https://www.facebook.com/CongressmanMattGaetz/videos/708541565991171/",NA,37,302,16,3,0,0,0,12
"CongressmanMattGaetz","674764996035495_708877939290867","Congressman Matt Gaetz","2017-03-14","2017-03-14 16:52:00","The House Judiciary Committee reintroduced the federal animal cruelty bill, H.R. 1494. @HumaneSociety   MORE: https://tinyurl.com/hy3q6wq","link","https://tinyurl.com/hy3q6wq","tinyurl.com",12,8,3,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_708938332618161","Congressman Matt Gaetz","2017-03-15","2017-03-15 13:44:01","Are you or someone you know interested in military service?! The Office of Congressman Gaetz is hosting Service Academy and ROTC Nights in Pensacola & Crestview on Monday, April 17 and Tuesday, April 18!  MORE: https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.676706422508019.1073741828.674764996035495/708938332618161/?type=3",NA,5,4,7,0,0,1,0,0
"CongressmanMattGaetz","674764996035495_708939625951365","Congressman Matt Gaetz","2017-03-23","2017-03-23 16:45:00","Are you or someone you know interested in military service?! The Office of Congressman Gaetz is hosting Service Academy and ROTC Nights in Pensacola & Crestview on Monday, April 17 and Tuesday, April 18!  MORE: https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","link","https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","gaetz.house.gov",2,2,4,1,0,0,0,0
"CongressmanMattGaetz","674764996035495_708939812618013","Congressman Matt Gaetz","2017-03-30","2017-03-30 16:46:31","Are you or someone you know interested in military service?! The Office of Congressman Gaetz is hosting Service Academy and ROTC Nights in Pensacola & Crestview on Monday, April 17 and Tuesday, April 18!  MORE: https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","link","https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","gaetz.house.gov",3,3,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_708940045951323","Congressman Matt Gaetz","2017-04-04","2017-04-04 16:47:00","Are you or someone you know interested in military service?! We're less than a month away from Service Academy and ROTC Nights in Pensacola & Crestview on Monday, April 17 and Tuesday, April 18!  MORE: https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","link","https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","gaetz.house.gov",0,0,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_708943872617607","Congressman Matt Gaetz","2017-04-16","2017-04-16 16:55:00","DON'T FORGET...  MONDAY Service Academy and ROTC Night on April 17 from 6-8pm at Pine Forest High School  This is a great opportunity for anyone interested in military service.    You'll also enjoy the special guest speakers on the program.   MORE: https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","link","https://gaetz.house.gov/media/press-releases/service-academy-rotc-nights","gaetz.house.gov",2,2,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_710072989171362","Congressman Matt Gaetz","2017-03-16","2017-03-16 21:15:18","Congressman Gaetz on Healthcare Legislation Mark-up Discussion - Thursday. WATCH: https://tinyurl.com/ld9lcv4","video","https://tinyurl.com/ld9lcv4",NA,7,19,2,0,0,0,0,6
"CongressmanMattGaetz","674764996035495_713211468857514","Congressman Matt Gaetz","2017-03-22","2017-03-22 23:41:55","Gaetz Plans Service Academy Night http://www.crestviewbulletin.com/news/20170320/gaetz-plans-service-academy-night   Crestview Bulletin","link","http://www.crestviewbulletin.com/news/20170320/gaetz-plans-service-academy-night","crestviewbulletin.com",5,4,0,0,0,0,0,1
"CongressmanMattGaetz","674764996035495_713240028854658","Congressman Matt Gaetz","2017-03-22","2017-03-22 21:37:00","Love it when students from home visit Washington D.C.!  Jay Elementary School","photo","https://www.facebook.com/CongressmanMattGaetz/photos/a.676706422508019.1073741828.674764996035495/713240028854658/?type=3",NA,9,6,0,2,0,0,0,1
"CongressmanMattGaetz","674764996035495_713320252179969","Congressman Matt Gaetz","2017-03-22","2017-03-22 17:32:47","Gaetz Supports Revised American Health Care Act  https://gaetz.house.gov/media/press-releases/gaetz-supports-revised-american-health-care-act","link","https://gaetz.house.gov/media/press-releases/gaetz-supports-revised-american-health-care-act","gaetz.house.gov",7,23,2,0,0,0,0,6
"CongressmanMattGaetz","674764996035495_713410278837633","Congressman Matt Gaetz","2017-03-24","2017-03-24 21:07:00","Be sure to spread the word to those interested in military service!   Service Academy ROTC Nights in Pensacola and Crestview!  http://www.nwfdailynews.com/news/20170310/gaetz-to-host-service-academy-rotc-nights","link","http://www.nwfdailynews.com/news/20170310/gaetz-to-host-service-academy-rotc-nights","nwfdailynews.com",2,1,0,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_713426115502716","Congressman Matt Gaetz","2017-03-23","2017-03-23 02:52:00","http://ricksblog.biz/surprise-gaetz-supports-revised-american-health-care-act/","link","http://ricksblog.biz/surprise-gaetz-supports-revised-american-health-care-act/","ricksblog.biz",5,20,2,1,0,0,0,5
"CongressmanMattGaetz","674764996035495_714447715400556","Congressman Matt Gaetz","2017-03-24","2017-03-24 16:45:52","Congressman Gaetz delivers speech on the House Floor regarding his support for the American Health Care Act.","video","https://www.facebook.com/CongressmanMattGaetz/videos/714447715400556/",NA,20,27,7,2,1,0,0,12
"CongressmanMattGaetz","674764996035495_714571118721549","Congressman Matt Gaetz","2017-03-25","2017-03-25 02:40:00","https://gaetz.house.gov/media/press-releases/congressman-gaetz-issues-statement-ahca","link","https://gaetz.house.gov/media/press-releases/congressman-gaetz-issues-statement-ahca","gaetz.house.gov",7,24,6,0,10,0,0,0
"CongressmanMattGaetz","674764996035495_716174208561240","Congressman Matt Gaetz","2017-03-29","2017-03-29 01:09:00","Gaetz, Rubio may file legislation to reopen Navarre Pass  http://www.nwfdailynews.com/news/20170324/gaetz-rubio-may-file-legislation-to-reopen-navarre-pass","link","http://www.nwfdailynews.com/news/20170324/gaetz-rubio-may-file-legislation-to-reopen-navarre-pass","nwfdailynews.com",9,17,8,0,0,0,0,1
"CongressmanMattGaetz","674764996035495_716175528561108","Congressman Matt Gaetz","2017-03-31","2017-03-31 14:14:00","Mark your calendars for the Northwest Florida Congressional Art Competition and Show, April 21st!  http://weartv.com/news/local/local-art-competition-will-feature-winners-piece-in-us-capitol","link","http://weartv.com/news/local/local-art-competition-will-feature-winners-piece-in-us-capitol","eartv.com",1,1,2,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_716855518493109","Congressman Matt Gaetz","2017-03-29","2017-03-29 00:45:00","“I expect a BRAC to occur during Donald Trump’s presidency,” said Congressman Matt Gaetz, a Republican from Fort Walton Beach who is a member of House Armed Services Committee.  http://wuwf.org/post/military-funding-cuts-threaten-panhandle","link","http://wuwf.org/post/military-funding-cuts-threaten-panhandle","uwf.org",1,6,1,0,0,0,0,0
"CongressmanMattGaetz","674764996035495_716861138492547","Congressman Matt Gaetz","2017-03-28","2017-03-28 18:53:49","“If we fail to repeal this law, I’m just telling you, Rick, you heard it here first, we will lose the majority in 2018, and then what you’ll have is you’ll have Nancy Pelosi as Speaker and she’ll probably impeach Donald Trump in the first 30 days of being Speaker,” he said.  http://ricksblog.biz/gaetz-on-obamacare-were-not-quitters/","link","http://ricksblog.biz/gaetz-on-obamacare-were-not-quitters/","ricksblog.biz",21,55,5,1,11,0,0,8
