"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanMcHenry","8045519803_10154774078199804","Patrick McHenry","2017-01-01","2017-01-01 16:26:00","Happy New Year! Giulia, Cecelia, and I wish everyone in western North Carolina a happy, healthy, and prosperous 2017. God Bless!","photo","https://www.facebook.com/CongressmanMcHenry/photos/a.364903074803.192496.8045519803/10154774078199804/?type=3",NA,33,5,0,1,0,0,0,0
"CongressmanMcHenry","8045519803_10154822103569804","Patrick McHenry","2017-01-04","2017-01-04 14:49:24","It was an honor to be sworn in to represent North Carolina's 10th Congressional District yesterday afternoon. I'm looking forward to a productive two years working on behalf of the American people to make healthcare more affordable and make our nation more safe and prosperous.","photo","https://www.facebook.com/CongressmanMcHenry/photos/a.364903074803.192496.8045519803/10154822103569804/?type=3",NA,62,25,2,3,0,0,0,0
"CongressmanMcHenry","8045519803_10154824528464804","Patrick McHenry","2017-01-05","2017-01-05 14:27:21","Last night I was proud to support House passage of the Midnight Rules Relief Act. This bill provides new Congresses the ability to undo regulations proposed by outgoing Presidents in the final days of their Administrations ensuring that lame duck Presidents are not proposing job-killing regulations on their way out of the door.","link","https://judiciary.house.gov/press-release/goodlatte-marino-issa-applaud-passage-legislation-end-midnight-rulemaking/","judiciary.house.gov",102,19,0,8,5,0,0,6
"CongressmanMcHenry","8045519803_10154825882609804","Patrick McHenry","2017-01-06","2017-01-06 00:18:37","Israel is a sacred American ally and the only true democracy in the Middle East. Yet, time and again, the United Nations has targeted Israel with misguided resolutions and objectionable treatment. Tonight, I was proud to stand with Israel and join a wide bipartisan majority in the House to do what the Obama Administration failed to do: condemn these dangerous UN attacks. My full statement:  http://mchenry.house.gov/news/documentsingle.aspx?DocumentID=398436","link","http://mchenry.house.gov/news/documentsingle.aspx?DocumentID=398436","mchenry.house.gov",84,26,10,7,0,0,0,2
"CongressmanMcHenry","8045519803_10154827466344804","Patrick McHenry","2017-01-06","2017-01-06 15:40:50","Over the past eight years, the Obama Administration has unleashed a regulatory onslaught. With economic costs of nearly $2 trillion, these regulations have harmed job growth and driven up the costs of everyday goods and services.  House Republicans have fought these regulations daily and last night we took another important step with passage of the REINS Act. This bill brings greater accountability and transparency to the regulatory process by requiring any regulation with an economic cost over $100 million to come to Congress for an up or down vote before its enacted. Its a common sense measure and I'm proud to support its passage. My full statement-->   http://mchenry.house.gov/news/documentsingle.aspx?DocumentID=398440","link","http://mchenry.house.gov/news/documentsingle.aspx?DocumentID=398440","mchenry.house.gov",22,17,2,0,0,0,0,0
"CongressmanMcHenry","8045519803_10154827688214804","Patrick McHenry","2017-01-07","2017-01-07 15:57:00","Cleveland County Commissioner Ronnie Hawkins dedicated his life to public service. From his time in the Army to his years of service on both the Kings Mountain District School Board and the Cleveland County Board of Commissioners, he was always helping others. Thursday, I spoke on the House floor to pay tribute to his life of service. My prayers continue to be with his wife Libby and the entire Hawkins family as they mourn their loss.","video","https://www.facebook.com/CongressmanMcHenry/videos/10154827688214804/",NA,15,1,6,0,0,0,0,0
"CongressmanMcHenry","8045519803_10154835823269804","Patrick McHenry","2017-01-09","2017-01-09 15:31:48","Auto racing plays an important role here in North Carolina both as a significant local employer and also as a timeless pastime enjoyed by many. Yet racing has been under threat from Washington bureaucrats, with the EPA attempting to limit the ability of racers to modify their cars for closed track use.   Last year, I introduced the RPM Act to block these efforts and the EPA backed off. Today, I'm proud to announce I've reintroduced the RPM Act so that we can permanently block the EPA from attempting to regulate this vital industry. Read more about why we must pass the RPM Act-->  http://mchenry.house.gov/news/documentsingle.aspx?DocumentID=398435","link","http://mchenry.house.gov/news/documentsingle.aspx?DocumentID=398435","mchenry.house.gov",27,10,4,0,0,0,0,2
"CongressmanMcHenry","8045519803_10154836137224804","Patrick McHenry","2017-01-09","2017-01-09 20:22:00","Western North Carolina is blessed with numerous dedicated police officers who put their lives on the line each day to keep our communities safe and secure. As we recognize #LawEnforcementAppreciationDay, join me in saying thanks to these brave men and women for their service and also join me in praying for their continued safety each time they put on their uniforms. God Bless!","photo","https://www.facebook.com/CongressmanMcHenry/photos/a.364903074803.192496.8045519803/10154836137224804/?type=3",NA,31,3,9,2,0,0,0,0
"CongressmanMcHenry","8045519803_10154836266959804","Patrick McHenry","2017-01-10","2017-01-10 14:24:00","House Republicans have an ambitious agenda as we get work with the incoming Administration. Last week, I spoke with The Gaston Gazette to preview the 115th Congress, specifically focusing on working with the Trump Administration, repealing Obamacare, and my work on behalf of western North Carolina's small businesses. Take a few moments to read the interview below-->  http://www.gastongazette.com/news/20170108/mchenry-working-with-trump-repealing-obamacare-and-helping-business","link","http://www.gastongazette.com/news/20170108/mchenry-working-with-trump-repealing-obamacare-and-helping-business","gastongazette.com",49,23,3,4,0,0,0,4
"CongressmanMcHenry","8045519803_10154836395059804","Patrick McHenry","2017-01-10","2017-01-10 19:12:00","It was a productive first week of the 115th Congress for the US House. We passed two bills to limit job-killing Obama era regulations, stood with Israel against attacks at the United Nations, and I paid tribute to my good friend, Cleveland County Commissioner Ronnie Hawkins. See a full rundown of the week in my NC-10 weekly update and don't forget to subscribe to receive these emails to your inbox every Sunday:  http://mchenry.house.gov/news/email/show.aspx?ID=HTCIKS5UUYOF6PK7C5UAFSYVI4  https://mchenry.house.gov/forms/form/?ID=1505","link","http://mchenry.house.gov/news/email/show.aspx?ID=HTCIKS5UUYOF6PK7C5UAFSYVI4","mchenry.house.gov",9,16,1,0,0,0,0,0
