"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanNadler","78291598977_10154476012148978","Congressman Jerry Nadler","2017-01-03","2017-01-03 15:50:01","Day 1, Act 1: GOP's first course is to prevent independent ethics oversight + block free speech. A dangerous way to begin a new Congress.","status",NA,NA,67,16,9,0,0,1,10,61
"CongressmanNadler","78291598977_10154476845678978","Congressman Jerry Nadler","2017-01-03","2017-01-03 22:28:45","Public outcry forced @HouseGOP to withdraw plan to gut Office of Cong Ethics, but the assault on democracy remains. https://t.co/XkMPjymQ8X","link","https://t.co/XkMPjymQ8X","t.co",183,22,29,10,0,2,2,5
"CongressmanNadler","78291598977_10154481048708978","Congressman Jerry Nadler","2017-01-05","2017-01-05 14:45:11","Today @HouseGOP is reading the Constitution on the House floor. But will they actually enforce it? #EmolumentsClause #HoldHearingsNow https://t.co/C2eOVrEEIA","link","https://twitter.com/RepJerryNadler/status/817019103022039040/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=RepJerryNadler&utm_content=817019103022039040","twitter.com",33,4,4,2,0,0,0,0
"CongressmanNadler","78291598977_10154481082678978","Congressman Jerry Nadler","2017-01-05","2017-01-05 15:07:23","Is @HouseJudiciary reading the Constitution willing to enforce #EmolumentsClause re: @realDonaldTrump's biz conflicts? #ActionsSpeakLouder","status",NA,NA,17,3,0,0,0,0,0,0
"CongressmanNadler","78291598977_10154481087198978","Congressman Jerry Nadler","2017-01-05","2017-01-05 15:10:06","Reading the Constitution on the House floor means little without enforcing it. @realDonaldTrump's biz conflicts violate #EmolumentsClause.","status",NA,NA,23,2,2,0,0,0,0,0
"CongressmanNadler","78291598977_10154484601468978","Congressman Jerry Nadler","2017-01-06","2017-01-06 20:44:43","Excellent news! Indian Point nuclear power plant, which is less than 30 miles from NYC, is finally being shutdown. https://t.co/u8Nr6Y4eiL","link","https://t.co/u8Nr6Y4eiL","t.co",129,19,23,9,1,1,0,2
"CongressmanNadler","78291598977_10154484828483978","Congressman Jerry Nadler","2017-01-06","2017-01-06 22:34:36","Today, I sent a letter to Members of the Senate Judiciary Committee urging them to reject Senator Jeff Sessions’ nomination as Attorney General unless he makes clear that he will order a thorough and independent investigation of Donald Trump’s conflicts of interest, and commits to pursuing any violations of law that are uncovered. The Senate should use this opportunity to raise questions pertaining to Mr. Trump’s conflicts and possible violations of the Constitution and Senator Sessions must answer how he intends to address these concerns and guarantee compliance with the law.  http://nadler.house.gov/press-release/congressman-nadler-urges-senate-judiciary-committee-question-sessions-donald-trumps","photo","https://www.facebook.com/CongressmanNadler/photos/a.79791218977.78722.78291598977/10154484828483978/?type=3",NA,266,40,38,29,1,1,0,1
"CongressmanNadler","78291598977_10154486565633978","Congressman Jerry Nadler","2017-01-07","2017-01-07 16:08:30","#ACA works in NY. My Brooklyn colleagues & I say don't #MakeAmericaSickAgain @RepJeffries @RepMaloney @NydiaVelazquez @RepYvetteClarke","status",NA,NA,54,2,4,3,0,0,0,0
"CongressmanNadler","78291598977_10154491422993978","Congressman Jerry Nadler","2017-01-09","2017-01-09 13:40:13","My OpEd in @thehill: Sessions must demonstrate ability to hold Trump accountable over conflicts of interest. https://t.co/cEwfTMKAV3","link","https://t.co/cEwfTMKAV3","t.co",44,9,4,2,0,0,2,0
"CongressmanNadler","78291598977_10154491493183978","Congressman Jerry Nadler","2017-01-09","2017-01-09 14:22:39","ICYMI: My letter urging Senate Judiciary Cmt to reject @SenatorSessions unless committed to investigating @realDonaldTrump biz conflicts. https://t.co/kJFMUBvzIc","link","https://twitter.com/RepJerryNadler/status/818462984003616768/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=RepJerryNadler&utm_content=818462984003616768","twitter.com",105,2,9,12,0,0,0,0
"CongressmanNadler","78291598977_10154491574333978","Congressman Jerry Nadler","2017-01-09","2017-01-09 15:14:00","Yesterday's deadly terror attack in Jerusalem deserves total condemnation. Such violence has zero justification. https://t.co/9QI9ljxL8R","link","https://t.co/9QI9ljxL8R","t.co",13,2,2,0,0,1,5,0
"CongressmanNadler","78291598977_10154494292408978","Congressman Jerry Nadler","2017-01-10","2017-01-10 15:56:05","Will women get fair shake from AG Sessions? His anti-choice, anti-woman record says no and his answers are frightening. #StopSessions","status",NA,NA,13,1,1,0,0,0,0,0
"CongressmanNadler","78291598977_10154494322383978","Congressman Jerry Nadler","2017-01-10","2017-01-10 16:12:41","What is the “controversy” @SenatorSessions sees in the #ViolenceAgainstWomenAct? Protecting LGBT women and Native Americans. #StopSessions","status",NA,NA,58,3,7,3,0,0,0,1
"CongressmanNadler","78291598977_10154494692383978","Congressman Jerry Nadler","2017-01-10","2017-01-10 19:25:28","Thank you @SenBlumenthal for raising issue of @realDonaldTrump's conflicts of interest and possible violations of Emoluments Clause.","status",NA,NA,80,1,0,2,0,0,0,0
"CongressmanNadler","78291598977_10154495490773978","Congressman Jerry Nadler","2017-01-11","2017-01-11 02:37:11","#ThanksObama https://t.co/ar3Wqb62Nn","video","https://t.co/ar3Wqb62Nn",NA,45,3,0,5,0,1,0,0
"CongressmanNadler","78291598977_10154496587023978","Congressman Jerry Nadler","2017-01-11","2017-01-11 14:00:23","The FBI + @HouseJudiciary must investigate Russia's connections to Trump campaign, as I asked Comey last September. https://t.co/xUXDwJDE77","link","https://t.co/xUXDwJDE77","t.co",33,3,3,3,0,0,0,0
"CongressmanNadler","78291598977_10154496780053978","Congressman Jerry Nadler","2017-01-11","2017-01-11 16:18:54","Will @realDonaldTrump be held accountable to the US Constitution? See @OversightDems video on #EmolumentsClause https://t.co/Lzyb83QEPj","video","https://t.co/Lzyb83QEPj",NA,31,2,5,0,0,0,0,2
"CongressmanNadler","78291598977_10154502033173978","Congressman Jerry Nadler","2017-01-12","2017-01-12 19:49:22","Finally! Congressional pressure forces investigation of Justice Dept + Director Comey actions during the election. https://t.co/jUbE1330O2","link","https://t.co/jUbE1330O2","t.co",177,16,29,9,0,2,0,1
"CongressmanNadler","78291598977_10154504627918978","Congressman Jerry Nadler","2017-01-13","2017-01-13 16:28:36","Last night, I spoke on the House floor during a Congressional Progressive Caucus Special Order Hour to address the extremist nominees being put forward by President-elect Donald Trump. As I said in my statement, this new Administration represents a philosophy that seeks to corrupt if not fully destroy our institutions, traditions, and values. Having served in Congress for nearly 25 years, I have seen this body take on the big questions of our time – the role of government in the lives of every day Americans, the threat of terrorism in the city I call home and around the country, the right of every American to marry who they love, to vote free of intimidation, to make their own health care choices. That is why I refuse to give up, and I will do everything in my power to represent the strong progressive values of the men and women who sent me here.","video","https://www.facebook.com/CongressmanNadler/videos/10154504627918978/",NA,1192,499,288,213,4,2,3,14
