"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanPatrickMeehan","136000283132824_1375692099163630","Congressman Patrick Meehan","2017-01-01","2017-01-01 15:51:08","Wishing you and your family a safe, happy and prosperous 2017. Happy New Years!","status",NA,NA,29,0,1,0,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1377472092318964","Congressman Patrick Meehan","2017-01-03","2017-01-03 18:27:51","I voted against the proposed changes to the House's Office of Congressional Ethics last night and I was pleased to see them removed from the House Rules package that will be adopted later today.","status",NA,NA,109,18,7,1,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1378185685580938","Congressman Patrick Meehan","2017-01-04","2017-01-04 14:52:02","Some high-quality programming on World War I going on this month at the Haverford Township Free Library, made possible by a grant from the National Endowment for the Humanities.","event","https://www.facebook.com/events/1693457304298232/",NA,9,1,0,0,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1378382212227952","Congressman Patrick Meehan","2017-01-04","2017-01-04 19:30:26","Thank you to all who contacted me regarding proposed changes to the Office of Congressional Ethics. I opposed these changes when they were brought up for a vote among members of the House Republican Conference on Monday. And I’m pleased to report that these changes ultimately were not included in the rules package that Congress passed yesterday.   I’ve also opposed efforts in the past to eliminate or reduce funding for the Office of Congressional Ethics.  Pennsylvania families deserve to know that their elected officials are serving them honorably and ethically. As a prosecutor, I worked hard to protect the public trust by cracking down on corruption in politics.   Today, I have the privilege of serving on the House Ethics Committee, where I’m working to hold my fellow lawmakers to rigorous standards and ensure Members of Congress and staff that commit wrongdoing are held accountable.  Thank you again for contacting me on this issue.","status",NA,NA,94,17,7,4,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1379514972114676","Congressman Patrick Meehan","2017-01-06","2017-01-06 02:24:07","Overwhelming bipartisan vote tonight against the anti-Israel U.N. Security Council resolution passed late last month. The U.N.'s move wasn't just anti-Israel -- it made the prospect of peace in the region less obtainable. Tonight's vote shows that despite President Obama's eleventh hour abandonment, Congress' support for the U.S.-Israel alliance is as strong as ever.","link","http://www.washingtonexaminer.com/house-rebukes-obama-un-over-israel-vote/article/2611037","washingtonexaminer.com",37,12,3,0,0,0,0,1
"CongressmanPatrickMeehan","136000283132824_1382715301794643","Congressman Patrick Meehan","2017-01-09","2017-01-09 16:30:51","Honoring all the men and women of law enforcement this #LawEnforcementAppreciationDay","photo","https://www.facebook.com/CongressmanPatrickMeehan/photos/a.137429899656529.26676.136000283132824/1382715301794643/?type=3",NA,41,7,3,3,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1382718255127681","Congressman Patrick Meehan","2017-01-09","2017-01-09 17:05:00","Inauguration Ticket Update: Our lottery drawing is complete and my staff is in the process of notifying ticket recipients. Demand for tickets was tremendous and unfortunately far outpaced the supply. We’ll be picking up the tickets later today, and instructions for distribution next week will follow.","status",NA,NA,11,4,1,0,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1383016485097858","Congressman Patrick Meehan","2017-01-10","2017-01-10 00:20:10","In honor of #LawEnforcementAppreciationDay I'm displaying these blue lights in my office window to show solidarity with the men and women of law enforcement who put their lives on the line to protect our communities.","photo","https://www.facebook.com/CongressmanPatrickMeehan/photos/a.137429899656529.26676.136000283132824/1383016485097858/?type=3",NA,82,5,0,2,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1383759655023541","Congressman Patrick Meehan","2017-01-10","2017-01-10 22:08:15","Great news for jobs in our region.","link","http://www.delcotimes.com/article/DC/20170110/NEWS/170119965","delcotimes.com",153,6,60,2,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1383788548353985","Congressman Patrick Meehan","2017-01-11","2017-01-11 00:19:00","Thank you to all who applied to receive tickets to next week’s Presidential Inauguration. Each Congressional office received a limited number of tickets for the Swearing-In Ceremony, and due to overwhelming demand a lottery system was instituted to fairly allocate those tickets. The lottery process is now complete and each ticket recipient has been contacted directly by my staff. No more tickets will be available through our office.    Additional information regarding the Inaugural events and committees can be found at http://www.inaugural.senate.gov/. Thank you again for your interest in being a part of the 58th Presidential Inauguration on Friday, January 20, 2017.","link","http://www.inaugural.senate.gov/","inaugural.senate.gov",10,12,2,0,0,0,0,0
"CongressmanPatrickMeehan","136000283132824_1384533441612829","Congressman Patrick Meehan","2017-01-11","2017-01-11 19:30:16","Today is National Human Trafficking Awareness Day -- take a moment to learn more about trafficking in our own region, learn to spot the signs of trafficking and how victims can get help by visiting the National Human Trafficking Hotline's website.","link","https://humantraffickinghotline.org/","humantraffickinghotline.org",15,2,7,0,0,0,0,0
