"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanRickAllen","1548853772019803_1808923379346173","Congressman Rick Allen","2017-01-01","2017-01-01 06:01:04","Robin and I would like to wish you and your family a wonderful and prosperous 2017!","status",NA,NA,37,1,2,1,0,0,0,0
"CongressmanRickAllen","1548853772019803_1809506449287866","Congressman Rick Allen","2017-01-02","2017-01-02 14:29:04","Be sure and tune into Food Network tonight to catch #GA12's own, Dylin Musgrove of Grovetown, one of 12 contestants on Kids Baking Championships, which airs at 8 pm! We are proud of you Dylin!","link","http://chronicle.augusta.com/life/2016-12-31/grovetown-boy-among-12-contestants-kids-baking-championships","chronicle.augusta.com",26,0,10,0,0,0,0,0
"CongressmanRickAllen","1548853772019803_1809590625946115","Congressman Rick Allen","2017-01-02","2017-01-02 18:12:25","Did you know on this day in 1788, Georgia joined the Union, becoming the 4th state of our great nation? Happy Birthday, Georgia!","link","http://www.history.com/this-day-in-history/georgia-enters-the-union","history.com",36,0,6,1,0,1,0,0
"CongressmanRickAllen","1548853772019803_1809930469245464","Congressman Rick Allen","2017-01-03","2017-01-03 14:13:08","Today marks the start of the 115th Congress. #GA12, I want to hear from you—what would you like to see Congress tackle in 2017?","status",NA,NA,15,23,2,0,0,0,0,0
"CongressmanRickAllen","1548853772019803_1810042769234234","Congressman Rick Allen","2017-01-03","2017-01-03 20:29:20","Step 1 ✔.","link","http://www.reuters.com/article/us-usa-congress-obamacare-idUSKBN14N1MK","reuters.com",35,3,3,2,0,1,1,2
"CongressmanRickAllen","1548853772019803_1810052075899970","Congressman Rick Allen","2017-01-03","2017-01-03 21:14:21","Officially sworn in and ready to hit the ground running to create an America that Americans feel confident in again! I am very honored to have another opportunity to serve the people of #GA12.   Read my statement on the start of the 115th Congress here ⇒ http://bit.ly/2hPR28T","photo","https://www.facebook.com/CongressmanRickAllen/photos/a.1549173238654523.1073741828.1548853772019803/1810052075899970/?type=3",NA,112,15,6,10,0,0,0,0
"CongressmanRickAllen","1548853772019803_1810491095856068","Congressman Rick Allen","2017-01-04","2017-01-04 21:54:22","Congress just voted to pass the #MidnightRulesReliefAct. Midnight Rules are a last minute attempt by outgoing presidential administrations to force political agendas through rulemaking. This legislation allows Congress to overturn midnight rules in one fell swoop before they can negatively affect Americans and the economy. I hope the sun sets forever on midnight rules and the attempt to challenge the voice of American voters.","status",NA,NA,32,2,5,0,0,0,0,0
"CongressmanRickAllen","1548853772019803_1810747532497091","Congressman Rick Allen","2017-01-05","2017-01-05 14:46:27","ICYMI: Yesterday, House Republicans introduced our plan to repeal and replace Obamacare.   Read more here  ⇒ http://dailycaller.com/2017/01/04/rsc-rolls-out-plan-to-repeal-and-replace-obamacare/","photo","https://www.facebook.com/CongressmanRickAllen/photos/a.1549173238654523.1073741828.1548853772019803/1810747532497091/?type=3",NA,25,9,1,0,0,0,0,0
"CongressmanRickAllen","1548853772019803_1810827989155712","Congressman Rick Allen","2017-01-05","2017-01-05 18:34:52","Today I joined my colleagues in reading the U.S. Constitution in its entirety on the House floor. This is the fourth time the U.S. Constitution has been read aloud in the House of Representatives. A very fitting way to begin the 115th Congress--our constitutional principles remain timeless.","video","https://www.facebook.com/CongressmanRickAllen/videos/1810827989155712/",NA,37,2,3,4,0,0,0,0
"CongressmanRickAllen","1548853772019803_1810947765810401","Congressman Rick Allen","2017-01-06","2017-01-06 01:41:59","Anti-Israel policies will not be tolerated—we are partners in this world.  I was proud to stand on the House floor and voice my support for H.Res. 11, bipartisan legislation stating Congress’ opposition to UN Security Council Resolution 2334 and calling for its repeal. H. Res. 11 passed the House this evening by a vote of 342-80.  Read my full statement here ⇒ http://bit.ly/2ihi32G","video","https://www.facebook.com/CongressmanRickAllen/videos/1810947765810401/",NA,80,18,14,4,0,0,0,2
