"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanRyanCostello","1647862965440868_1955100038050491","Congressman Ryan Costello","2017-01-02","2017-01-02 18:52:44","One last look at the 114th Congress – this time in photos.","link","https://iqconnect.lmhostediq.com/iqextranet/view_newsletter.aspx?id=102504&c=PA06RC","iqconnect.lmhostediq.com",17,6,2,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1955581944668967","Congressman Ryan Costello","2017-01-03","2017-01-03 20:39:34","Many Republicans and Democrats feel that there needs to be bipartisan reforms to the Office of Congressional Ethics. However, I voted to strip those provisions from the rules package because, as we begin the new Congress, we should focus on maintaining credibility and transparency.","status",NA,NA,51,31,1,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1955628037997691","Congressman Ryan Costello","2017-01-03","2017-01-03 22:48:57","About to speak on the floor on my bill, the Ensuring VA Employee Accountability Act – the first bill to be considered by the 115th Congress - tune in now!","status",NA,NA,16,0,0,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1955677544659407","Congressman Ryan Costello","2017-01-04","2017-01-04 01:11:56","Thanks to Pottstown Mercury on their reporting on this issue.","link","http://www.pottsmerc.com/general-news/20170103/costello-meehan-buck-house-gop-majority-oppose-gutting-ethics-office","pottsmerc.com",97,15,5,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1956058034621358","Congressman Ryan Costello","2017-01-04","2017-01-04 20:44:30","My bill was the first to pass the House in the new Congress and will help to bring accountability to the VA for our veterans – a great way to kick off the 115th Congress!","link","http://www.dailylocal.com/general-news/20170104/us-house-of-representatives-in-first-2017-vote-takes-up-costello-bill","dailylocal.com",152,8,15,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1956094467951048","Congressman Ryan Costello","2017-01-04","2017-01-04 22:18:57",NA,"photo","https://www.facebook.com/CongressmanRyanCostello/photos/a.1648348362058995.1073741827.1647862965440868/1956094044617757/?type=3",NA,45,8,3,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1957056481188180","Congressman Ryan Costello","2017-01-06","2017-01-06 23:17:45",NA,"photo","https://www.facebook.com/CongressmanRyanCostello/photos/a.1957056447854850.1073741869.1647862965440868/1957056761188152/?type=3",NA,105,0,0,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1957439557816539","Congressman Ryan Costello","2017-01-07","2017-01-07 20:15:34","Busy first week of new session. I spoke on House floor against the recent anti-Israel U.N. Resolution. We must not sit on the sidelines or be silenced when anti-Israel resolutions are presented at international organizations.","video","https://www.facebook.com/CongressmanRyanCostello/videos/1957439557816539/",NA,38,5,3,2,1,0,0,0
"CongressmanRyanCostello","1647862965440868_1957930364434125","Congressman Ryan Costello","2017-01-08","2017-01-08 22:04:57","Important work ahead with my new committee assignment on the Energy and Commerce Committee, specifically involving clean energy, medical innovation, digital commerce and consumer protection.","link","http://www.ldnews.com/story/news/politics/2017/01/06/ryan-costello-named-energy-and-commerce-committee/96238668/","ldnews.com",90,15,13,0,0,0,0,0
"CongressmanRyanCostello","1647862965440868_1958004757760019","Congressman Ryan Costello","2017-01-09","2017-01-09 02:02:35","115th Congress, full steam ahead, recap in Ryan’s Report!","link","https://iqconnect.lmhostediq.com/iqextranet/view_newsletter.aspx?id=102513&c=PA06RC","iqconnect.lmhostediq.com",47,0,3,3,0,0,0,0
