"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanScottTipton","191428784201721_1381109965233591","Congressman Scott Tipton","2017-01-03","2017-01-03 13:28:36","It may be a rainy day in our nation's Capital, but we're excited to officially kick-off the 115th Congress!","photo","https://www.facebook.com/CongressmanScottTipton/photos/a.220394164638516.65374.191428784201721/1381109965233591/?type=3",NA,41,13,0,0,0,1,0,0
"CongressmanScottTipton","191428784201721_1381592808518640","Congressman Scott Tipton","2017-01-03","2017-01-03 23:10:12","I was honored to be joined by my family today as I was sworn in to the 115th Congress!","photo","https://www.facebook.com/CongressmanScottTipton/photos/a.220394164638516.65374.191428784201721/1381592808518640/?type=3",NA,229,36,4,24,0,0,0,0
"CongressmanScottTipton","191428784201721_1382391151772139","Congressman Scott Tipton","2017-01-04","2017-01-04 18:47:27","Congratulations to this year's U.S. Service Academy nominees from the Third Congressional District! Do you recognize a name on the list? Make sure to congratulate them! http://bit.ly/2ib9bf3","link","http://bit.ly/2ib9bf3","bit.ly",31,3,8,0,0,0,0,0
"CongressmanScottTipton","191428784201721_1382535708424350","Congressman Scott Tipton","2017-01-04","2017-01-04 22:26:15","In the last year, this outgoing administration issued 18 rules and regulations for every 1 law passed by Congress. We need to #CUTtheCODE, and you can help! Send me your ideas for cutting unnecessary and overly burdensome federal regulations. http://bit.ly/2gjc3EM","link","http://bit.ly/2gjc3EM","bit.ly",4,10,1,0,0,0,0,3
"CongressmanScottTipton","191428784201721_1383317971679457","Congressman Scott Tipton","2017-01-05","2017-01-05 19:55:17","This gondola is open year round and offers breathtaking views of the area!","link","http://www.denverpost.com/2017/01/04/telluride-ski-resort-gondola/","denverpost.com",32,14,4,0,0,0,0,0
"CongressmanScottTipton","191428784201721_1383946461616608","Congressman Scott Tipton","2017-01-06","2017-01-06 14:38:39","This week the House passed two bills that will allow Congress to quickly roll back some of the unnecessary regulations that the Obama Administration issued during its final weeks in Congress. We're looking forward to turning our focus to job creation and growing the economy under the incoming Administration! http://bit.ly/2hXLc6M","link","http://bit.ly/2hXLc6M","bit.ly",50,25,6,3,0,0,0,3
"CongressmanScottTipton","191428784201721_1384228174921770","Congressman Scott Tipton","2017-01-08","2017-01-08 16:00:48","The new year has been kind to Crested Butte Mountain Resort so far, and this week it is my #CO03SKIAREAoftheWEEK! With a base over 5 feet and growing, Crested Butte has been getting absolutely dumped on this week and there is plenty more white stuff in the forecast! If blue bombers or double black diamond runs are what you're looking for, Crested Butte will not disappoint. The historic and beautiful town has lodging, shopping, and restaurants that offer great food and drinks. Come see why Crested Butte is such a great ski town by checking out: http://www.skicb.com/","link","http://www.skicb.com/","skicb.com",23,7,2,0,0,1,0,0
"CongressmanScottTipton","191428784201721_1386441258033795","Congressman Scott Tipton","2017-01-09","2017-01-09 17:49:25","We appreciate the service of our law enforcement officers every day, but I encourage you to take a moment to say a special ""thank you"" today!","photo","https://www.facebook.com/CongressmanScottTipton/photos/a.220394164638516.65374.191428784201721/1386441258033795/?type=3",NA,14,0,6,2,0,0,0,0
"CongressmanScottTipton","191428784201721_1387128234631764","Congressman Scott Tipton","2017-01-10","2017-01-10 14:26:49","It's an honor to be given the opportunity to serve in a leadership position on the House Committee on Financial Services during the 115th Congress, and especially as part of the subcommittee that is responsible for holding federal agencies and financial institutions accountable to the American people. http://bit.ly/2i9hzQ8","link","http://bit.ly/2i9hzQ8","bit.ly",61,9,8,2,0,0,0,0
"CongressmanScottTipton","191428784201721_1387901727887748","Congressman Scott Tipton","2017-01-11","2017-01-11 14:31:04","The narrative that Republicans have offered no plan to replace Obamacare is false. Republicans have introduced multiple alternative health care plans since 2010, and I encourage you to review them. I will continue to update my website with replacement plans as they are introduced.","link","http://tipton.house.gov/obamacare-repeal-and-replace#overlay-context=obamacare-repeal-and-replace","tipton.house.gov",61,59,25,3,0,1,1,13
