"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanSethMoulton","719503044815107_1153893744709366","Congressman Seth Moulton","2017-01-01","2017-01-01 18:26:02","Here's to a better 2017! We will fight for our rights, uphold our Constitution, and show that America is still a beacon of freedom and hope.","status",NA,NA,759,46,22,42,0,0,0,0
"CongressmanSethMoulton","719503044815107_1155119804586760","Congressman Seth Moulton","2017-01-03","2017-01-03 12:55:33","During the town hall events I’ve held in all 39 cities and towns across our district, I’ve heard from many of you about the issues that matter most to you and your family. It’s clear to me that we have more work to do, and I pledge to continue to work with both Republicans and Democrats to ensure Massachusetts remains at the forefront of progress and opportunity.  I want you to know that my team and I are committed to being there for you and your families. Please reach out to my office if you have any questions or issues you'd like to share where we could be helpful. #YearinReview #MA6 #HonoredtoServe","video","https://www.facebook.com/RepMoulton/videos/1155119804586760/",NA,148,24,6,7,0,0,0,0
"CongressmanSethMoulton","719503044815107_1155272757904798","Congressman Seth Moulton","2017-01-03","2017-01-03 17:37:12",NA,"link","http://www.cnn.com/videos/politics/2017/01/03/rep-moulton-ethics-congress-newday.cnn/video/playlists/congress-policies/","cnn.com",335,19,29,16,5,0,0,1
"CongressmanSethMoulton","719503044815107_1155978557834218","Congressman Seth Moulton","2017-01-04","2017-01-04 16:57:47","Serving the Sixth District is one of the great honors of my life. #MA6","link","http://www.salemnews.com/news/local_news/moulton-reflects-on-first-term/article_da24176c-fbf7-5a2c-a530-0898411922b9.html","salemnews.com",288,19,4,16,1,0,0,0
"CongressmanSethMoulton","719503044815107_1157052707726803","Congressman Seth Moulton","2017-01-06","2017-01-06 02:31:53","Meet my new chief of staff Jeremy Joseph, a Marine vet and national service leader. Thrilled to have you on the team! #mapoli","photo","https://www.facebook.com/RepMoulton/photos/a.766016706830407.1073741829.719503044815107/1157052707726803/?type=3",NA,818,39,8,16,0,0,0,0
"CongressmanSethMoulton","719503044815107_1159888170776590","Congressman Seth Moulton","2017-01-09","2017-01-09 23:06:51","Thanks Ira Glass This American Life for having me on to talk about the SIV program and my friend, Mohammed. Tune in here: http://bit.ly/2iWh6hy  By the way, I stand by what I said. Donald J Trump is not ""like"" a draft dodger. He is a draft dodger.","link","http://bit.ly/2j9GZK9","bit.ly",472,44,50,48,0,3,0,0
"CongressmanSethMoulton","719503044815107_1161155460649861","Congressman Seth Moulton","2017-01-11","2017-01-11 16:02:00","Thank you for your extraordinary leadership, President Obama. We will miss you and your family. And we will keep believing that, yes, we can. ������������","photo","https://www.facebook.com/RepMoulton/photos/a.766016706830407.1073741829.719503044815107/1161155460649861/?type=3",NA,2397,78,46,311,9,2,1,3
"CongressmanSethMoulton","719503044815107_1165824946849579","Congressman Seth Moulton","2017-01-17","2017-01-17 03:05:17","Our nation cannot progress without civility - let's remember this on MLK Day.","link","http://www.bostonglobe.com/opinion/letters/2016/11/08/our-nation-cannot-progress-without-civility/TPXoaFgokheY836SLcRGHP/story.html?s_campaign&utm_content=buffer7a732&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer","bostonglobe.com",150,16,8,8,0,0,0,0
"CongressmanSethMoulton","719503044815107_1167348323363908","Congressman Seth Moulton","2017-01-18","2017-01-18 20:27:02","I will be attending the Inauguration out of respect for the Office of the President, not out of respect for Donald Trump or his policies. This was a difficult decision, as President-elect Trump has shown time and time again that he is unfit to lead and doesn’t respect the office. However, we need to show that our democracy is stronger than a single individual. And let me be clear, as soon as the ceremony ends, I’m going to get back to fighting as hard as I can to protect American values and stand up for hardworking families.","status",NA,NA,1851,343,83,82,0,1,100,27
"CongressmanSethMoulton","719503044815107_1169135043185236","Congressman Seth Moulton","2017-01-20","2017-01-20 20:22:21","My reaction to today's Inauguration.","video","https://www.facebook.com/RepMoulton/videos/1169135043185236/",NA,566,90,104,67,1,0,7,2
"CongressmanSethMoulton","719503044815107_1173208206111253","Congressman Seth Moulton","2017-01-24","2017-01-24 15:38:54","One thing missing from the GOP's plan to ""repeal and replace"" the Affordable Care Act, the ""replace"" part. Tune in live now:","video","https://www.facebook.com/housebudgetdems/videos/10154397538974952/",NA,91,19,0,2,0,0,7,24
"CongressmanSethMoulton","719503044815107_1173513009414106","Congressman Seth Moulton","2017-01-24","2017-01-24 22:15:27","We have so much work to do to prevent the continued assault on women’s rights in a GOP controlled Congress and with Donald Trump as our President. I hope you join me in continuing the fight to protect women’s access to health care — a basic human right.","video","https://www.facebook.com/RepMoulton/videos/1173513009414106/",NA,1416,99,107,134,1,1,1,5
"CongressmanSethMoulton","719503044815107_1174729182625822","Congressman Seth Moulton","2017-01-25","2017-01-25 22:47:33","President Trump’s hiring freeze will have a severe and lasting impact on the VA’s ability to care for our nation’s veterans. All of the progress the VA has made on reducing wait times will come to a screeching halt. The freeze affects all aspects of care from doctors and nurses to schedulers and security guards.   It’s telling of President Trump’s character that on day one in the Oval Office he chose to leave our veterans behind. I'm introducing legislation to block this hiring freeze at the VA, read more below:","link","https://moulton.house.gov/legislative-center/moulton-schrader-introduce-bill-to-prohibit-hiring-freeze-at-the-va/","moulton.house.gov",1034,97,365,19,0,4,53,128
"CongressmanSethMoulton","719503044815107_1176578425774231","Congressman Seth Moulton","2017-01-27","2017-01-27 23:05:27","President Trump is leading our country out of fear instead of facts. His executive orders banning refugees and immigrants from some Muslim majority countries to the United States play right into the hands of our enemies. ISIS has already used his statements to help recruit new suicide bombers, and you can bet Trump’s policies will help inspire attacks against Americans both at home and abroad.  His policies literally put our troops' lives at risk—I’ve heard this loud and clear when I have visited them overseas. They also prove he has zero understanding of our country’s values and no intention of defending our Constitution.  We are a nation of immigrants, and America is stronger when we welcome the refugees of our enemies. These policies do not put America first. I am ashamed that he is our president.","status",NA,NA,3254,493,837,255,4,6,224,68
"CongressmanSethMoulton","719503044815107_1177928942305846","Congressman Seth Moulton","2017-01-29","2017-01-29 17:58:28","Ahmad was my guest to President Obama's State of the Union speech last year. Ahmad lost both arms and three of his siblings when Syria's president bombed his refugee camp. Ahmad came to the U.S. legally, and he wants to be a doctor someday.   This isn't a Democratic issue or a Republican issue, it's an American one. We need more people on both sides to stand up for our shared American values. #MuslimBan","photo","https://www.facebook.com/RepMoulton/photos/a.766016706830407.1073741829.719503044815107/1177928942305846/?type=3",NA,1880,85,323,283,0,7,117,1
"CongressmanSethMoulton","719503044815107_1179327595499314","Congressman Seth Moulton","2017-01-31","2017-01-31 17:00:08","The Muslim ban does nothing to keep America safe; it plays right into the hands of those who wish to do our country harm.","photo","https://www.facebook.com/RepMoulton/photos/a.766016706830407.1073741829.719503044815107/1179327595499314/?type=3",NA,751,71,51,23,0,2,29,5
"CongressmanSethMoulton","719503044815107_1180136455418428","Congressman Seth Moulton","2017-02-01","2017-02-01 17:04:18","This Saturday, February 4th, I'm hosting a town hall Q&A at the Rose Baker Senior Center in Gloucester, MA. I'm looking forward to hearing from you about the issues that are on your mind. Hope to see you Saturday!","event","https://www.facebook.com/events/1352055498186116/",NA,248,20,0,14,0,0,0,1
"CongressmanSethMoulton","719503044815107_1181958581902882","Congressman Seth Moulton","2017-02-03","2017-02-03 14:05:58","The only way Trump wins is if we give up. He will try to demoralize us with a blitzkrieg of executive actions. He will try to distract us with chaos, rhetoric, and manufactured threats. He will try to divide us into tribes, fighting amongst ourselves with different sets of facts from two different worlds, one true and one false.  It’s time to put nation before party and never forget that we are all Americans first. It’s going to take a lot of work to uphold our shared values. We must all get out, stand up, and serve.","link","http://www.salemnews.com/opinion/columns/moulton-the-why-behind-the-lie/article_7205cdee-e75e-5745-8250-937adb63adb2.html","salemnews.com",3480,277,1116,283,2,6,10,34
"CongressmanSethMoulton","719503044815107_1182017821896958","Congressman Seth Moulton","2017-02-03","2017-02-03 15:46:24","Congressman John Lewis, I challenge you to a Day of Service in my district if the Pats do their job and send the Atlanta Falcons home on Sunday. I look forward to welcoming you to Massachusetts. #PatsNation #ServiceNation","video","https://www.facebook.com/RepMoulton/videos/1182017821896958/",NA,879,58,67,84,6,1,0,2
