"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanSteveCohen","111456965545421_1385692378121867","Congressman Steve Cohen","2017-01-02","2017-01-02 02:14:07","I'll be on MSNBC with Richard Lui tomorrow morning at approximately 10:15am CT/11:15am ET to discuss Russia and President-elect Donald J. Trump. Tune in!","status",NA,NA,58,7,1,0,0,0,0,0
"CongressmanSteveCohen","111456965545421_1386246444733127","Congressman Steve Cohen","2017-01-02","2017-01-02 16:51:26","ICYMI, I was on MSNBC with Richard Lui this morning to discuss Russia and President-elect Donald J. Trump. Watch here:","video","https://www.facebook.com/CongressmanSteveCohen/videos/1386246444733127/",NA,132,31,48,11,4,1,1,0
"CongressmanSteveCohen","111456965545421_1386450354712736","Congressman Steve Cohen","2017-01-02","2017-01-02 21:37:44","I'll be on CNN with Carol Costello tomorrow morning at approximately 8am CT/9am ET to discuss what to expect from the new Congress. Tune in!","status",NA,NA,22,11,4,3,0,0,0,0
"CongressmanSteveCohen","111456965545421_1387114267979678","Congressman Steve Cohen","2017-01-03","2017-01-03 16:09:21","ICYMI, I was on CNN with Carol Costello this morning to discuss a variety of issues facing the new Congress such as ethics changes, the Affordable Care Act, and President-elect Donald J. Trump and his new cabinet. I also discussed President-elect Trump's similarities to Fidel Castro. Watch here:","video","https://www.facebook.com/CongressmanSteveCohen/videos/1387114267979678/",NA,61,28,15,2,0,0,4,6
"CongressmanSteveCohen","111456965545421_1387329741291464","Congressman Steve Cohen","2017-01-03","2017-01-03 21:34:12","Today I spoke in opposition of the rules package for the 115th Congress proposed by the House Republicans. This proposal is a direct response to Representative John Lewis's ""good trouble"" on the House floor last year to demand a vote on commonsense gun control measures. John Lewis is an American hero and arguably the most heroic person to ever serve in the House. Punishing John Lewis and House Democrats for trying to protect the American people from terrorists buying guns is wrong. Watch my speech here:","video","https://www.facebook.com/CongressmanSteveCohen/videos/1387329741291464/",NA,133,31,11,15,0,0,0,2
"CongressmanSteveCohen","111456965545421_1388072191217219","Congressman Steve Cohen","2017-01-04","2017-01-04 16:46:12","Thanks to the Affordable Care Act, insurers can no longer refuse healthcare coverage to women and Americans with pre-existing conditions; 20 million Americans have gained high-quality, affordable healthcare insurance; young adults 26 years of age and younger can remain on their parent's healthcare plan; and seniors have saved money on their prescription drugs. The Republicans’ health care repeal and dismantling of Medicare and Medicaid will cause millions of Americans to lose their health coverage, cause premiums to skyrocket, increase health care costs, put insurance companies back in charge of your health care and damage local hospitals. Republicans want to #MakeAmericaSickAgain.","photo","https://www.facebook.com/CongressmanSteveCohen/photos/a.139593116065139.20768.111456965545421/1388072191217219/?type=3",NA,128,19,60,0,1,0,25,26
"CongressmanSteveCohen","111456965545421_1388204311204007","Congressman Steve Cohen","2017-01-04","2017-01-04 20:48:10","Today I spoke on the House floor against the Midnight Rules Relief Act. This bill would allow the 115th Congress to disapprove of en masse rules and regulations submitted by President Obama's Administration, which could go back as far as June. Under current law, Congress has to disapprove of one regulation at a time. This bill would give corporate interests yet another chance to block critical rules that ensure the safety of our animals, the air we breathe, the water drink, the places where we work, the cars we drive, and the toys that we give to our children. Watch my speech on the House floor here:","video","https://www.facebook.com/CongressmanSteveCohen/videos/1388204311204007/",NA,123,18,14,5,0,3,0,2
"CongressmanSteveCohen","111456965545421_1388879577803147","Congressman Steve Cohen","2017-01-05","2017-01-05 15:19:18","Thanks to the Affordable Care Act, the uninsured rate in the U.S. has dropped to a record low and health coverage has become more affordable for millions of Americans. Share how the #ACAworks for you and your family in the comments below. #CoverageMatters","photo","https://www.facebook.com/CongressmanSteveCohen/photos/a.139593116065139.20768.111456965545421/1388879577803147/?type=3",NA,41,17,12,0,0,0,0,0
"CongressmanSteveCohen","111456965545421_1388981554459616","Congressman Steve Cohen","2017-01-05","2017-01-05 17:17:25","For the second time in recent memory, and for the fifth time in our history, the national popular vote winner – including Tennesseans Al Gore and Andrew Jackson -- will not become President of the United States because of the Electoral College. Today I introduced a constitutional amendment to eliminate the Electoral College and provide for the direct election of the President and Vice President. Congress will be certifying the results of the 2016 Presidential election tomorrow, but the Electoral College is an anachronistic system that is antithetical to our understanding of democracy. Read more here:  https://cohen.house.gov/media-center/press-releases/ranking-member-cohen-introduces-amendment-us-constitution-eliminate-0","link","https://cohen.house.gov/media-center/press-releases/ranking-member-cohen-introduces-amendment-us-constitution-eliminate-0","cohen.house.gov",409,77,100,54,1,5,0,4
"CongressmanSteveCohen","111456965545421_1389133924444379","Congressman Steve Cohen","2017-01-05","2017-01-05 21:19:35","We indeed need an Executive in Need of Scrutiny Act in the years to come as we have an executive taking office this month who is in need of scrutiny. We need scrutiny over his income tax returns, among other things, that have been hidden from the public that might disclose conflicts of interest, relationships with oligarchs and business dealings used to curry favor with world leaders. But sadly, this aptly named bill does no such thing. The Regulations from the Executive in Need of Scrutiny (REINS) Act is an invitation to gridlock and will destroy the ability of agencies to protect our health, safety and economy by imposing almost insurmountable hurdles to the rulemaking process by federal agencies. Watch my speech against the REINS Act here:","video","https://www.facebook.com/CongressmanSteveCohen/videos/1389133924444379/",NA,95,12,10,12,0,0,0,4
