"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanTedDeutch","112179098816942_1063605673774153","Congressman Ted Deutch","2017-08-04","2017-08-04 14:28:55","You're invited to join Rep. Deutch at his Boca Raton Town Hall meeting on Thursday, August 31st at 10:30 A.M.","event","https://www.facebook.com/events/1063605673774153/",NA,106,8,1,2,0,2,0,0
"CongressmanTedDeutch","112179098816942_124428554738698","Congressman Ted Deutch","2017-02-03","2017-02-03 18:58:59","You're invited to join Congressman Ted Deutch for his Town Hall meeting and community discussion in Wilton Manors.  The Pride Center 2040 N Dixie Hwy Wilton Manors, FL Sunday, February 12 2:00 PM","event","https://www.facebook.com/events/124428554738698/",NA,71,5,0,2,0,0,0,0
"CongressmanTedDeutch","112179098816942_1396162937085212","Congressman Ted Deutch","2017-01-02","2017-01-02 16:26:21","As I wrote in the Sun Sentinel's #SouthFlorida100 this week, I’m returning to Washington ready and motivated to focus on the issues important to South Florida. I’ll fight attempts to weaken Medicare and cut Social Security. I’ll work with my colleagues and our business community to spur job growth and innovation. I’ll continue my bipartisan efforts to act on climate change. I’ll stand strongly for full equality for the LGBT community, the protection of women’s reproductive rights, and the need to reform our criminal justice system. And we will work to strengthen our national security and enhance the U.S.-Israel relationship.","status",NA,NA,216,30,6,12,0,0,0,0
"CongressmanTedDeutch","112179098816942_1397420453626127","Congressman Ted Deutch","2017-01-03","2017-01-03 05:39:19","Gutting the independent and nonpartisan ethics office should not be acceptable to anyone of any political party.  Yet this is what was done on the night before a new Congress is sworn in?  Hopefully, a good night's sleep, together with growing outrage across the political spectrum, will cause Speaker Ryan to reconsider this one before it's too late.   http://mobile.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?emc=edit_na_20170102&nlid=53065648&ref=cta&_r=0&referer=","link","http://mobile.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?emc=edit_na_20170102&nlid=53065648&ref=cta&_r=0&referer","mobile.nytimes.com",60,13,22,1,0,4,0,37
"CongressmanTedDeutch","112179098816942_1399311970103642","Congressman Ted Deutch","2017-01-03","2017-01-03 23:54:44","As a member of the House Ethics Committee, I understand the importance of independent ethics investigations. Here's my take on House Republicans' attempt to undermine the Office of Congressional Ethics.","video","https://www.facebook.com/CongressmanTedDeutch/videos/1399311970103642/",NA,201,30,15,9,0,0,0,0
"CongressmanTedDeutch","112179098816942_1401491109885728","Congressman Ted Deutch","2017-01-05","2017-01-05 20:12:27","As Members of the House of Representatives filed to the floor this morning to read from the Constitution, I urged my colleagues to support my effort to overturn the U.S. Supreme Court's Citizens United decision by passing a constitutional amendment, the 28th Amendment, on campaign finance reform.","video","https://www.facebook.com/CongressmanTedDeutch/videos/1401491109885728/",NA,198,19,16,11,0,0,0,0
"CongressmanTedDeutch","112179098816942_1402485049786334","Congressman Ted Deutch","2017-01-06","2017-01-06 18:52:07","Awful news from the Fort Lauderdale Airport. I've spoken with TSA, law enforcement, and local leaders. Shooter in custody. My thoughts and prayers go out to the victims and their families. Our community will be there for one another at this really difficult time.","link","http://sunsent.nl/2iK9ZKH","sunsent.nl",51,13,0,1,0,7,42,4
"CongressmanTedDeutch","112179098816942_1403320699702769","Congressman Ted Deutch","2017-01-07","2017-01-07 19:03:31","Here's the latest on the #FLLShooting.   It's been 24 hours since yesterday's tragic events at the Fort Lauderdale-Hollywood International Airport. We mourn the loss of human life in this awful shooting and keep the victims' family members, the injured, and all those affected in our thoughts. We are grateful to Broward County Sheriff Scott Israel and the Broward Sheriff's Office, together with federal, state, and local law enforcement, all of the first responders, the trauma doctors and other health professionals, Red Cross volunteers, government employees, and community members who have come together to support everyone impacted. We will learn more as the investigation continues and will respond as necessary, in the courts and in Congress.   As of 10:00 a.m. Saturday, the airport is open and some flights have resumed. Terminal 2 check-in and ticket counters are open, but baggage claim remains closed. Some flights are being rerouted or canceled, so be sure to check with your airline. Roadways leading to the airport are open.  If you are a friend or family member and are seeking information about an airport passenger that was at the airport during the incident, please call 1-866-435-9355 or 954-831-4000. Continue to check back as more information becomes available.  You can also follow Fort Lauderdale-Hollywood International Airport’s twitter handle (@FLLFlyer) and follow the hashtag #FLLUPDATE for up-to-date information, including how to claim personal items left during the evacuation.  The Broward Sheriff’s Office has also set up an alert system. You can sign up to receive alerts at http://www.sheriff.org/apps/ealerts.  To reach our office, please email DeutchOffice@mail.house.gov. For press inquiries, please contact Jason.Attermann@mail.house.gov.","link","http://www.sheriff.org/apps/ealerts","sheriff.org",29,9,5,1,0,0,3,0
"CongressmanTedDeutch","112179098816942_1404056186295887","Congressman Ted Deutch","2017-01-08","2017-01-08 16:48:05","Who benefits from the Affordable Care Act's protections? It's not just the 20 million Americans newly covered by plans on Healthcare.gov; the law also improved coverage for the 150 million Americans enrolled in plans through their employer, the 55 million disabled Americans and seniors covered by Medicare, and the over 74 million low-income families enrolled in Medicaid and the Children's Health Insurance Program.  What could repeal of the health care law mean? It could mean that your grandmother will pay more for her prescription drugs, or that your niece in graduate school on a limited budget will no longer be able to afford contraceptives, or that your friend's cancer treatment will be interrupted when coverage is pulled because of her pre-existing condition. It could undermine our efforts to stop the onslaught of drug overdose deaths claiming six lives every week in Broward County by allowing insurance companies to arbitrarily refuse to cover mental health and substance abuse services.  Read my op-ed in today's Sun Sentinel for more on why I firmly oppose Republicans' efforts to repeal the Affordable Care Act.","link","http://www.sun-sentinel.com/opinion/commentary/fl-tdoped-obamacare-20170108-story.html","sun-sentinel.com",67,8,23,6,0,1,0,0
"CongressmanTedDeutch","112179098816942_1404310496270456","Congressman Ted Deutch","2017-01-08","2017-01-08 23:14:45","Today's terror attack in Jerusalem reminds us that while the UN debates resolutions, Israel faces real threats every day.  We mourn the loss of innocent life as we stand with Israel.   https://www.washingtonpost.com/world/middle_east/four-israeli-soldiers-killed-in-truck-attack-in-jerusalem/2017/01/08/08088234-d599-11e6-9a36-1d296534b31e_story.html","link","https://www.washingtonpost.com/world/middle_east/four-israeli-soldiers-killed-in-truck-attack-in-jerusalem/2017/01/08/08088234-d599-11e6-9a36-1d296534b31e_story.html","washingtonpost.com",244,19,39,3,0,0,79,25
