"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanTedYoho","563532937006022_1380349392040135","Congressman Ted Yoho","2017-02-23","2017-02-23 19:39:09","Hello!  Please join me for a town hall discussion at Countryside Baptist Church, on Saturday, March 4th. The event will begin at 10:00 a.m. (Doors open at 9:00 am). I’m looking forward to hearing your thoughts and concerns.  Feel free to invite friends and neighbors to join the discussion about the important issues facing our community and our country.  See you on March 4!","event","https://www.facebook.com/events/1380349392040135/",NA,61,42,0,2,0,0,0,2
"CongressmanTedYoho","563532937006022_1432564250128619","Congressman Ted Yoho","2017-04-04","2017-04-04 21:22:35","Hello!  Please join me for a town hall discussion at Abraham Lincoln Middle School, in Gainesville, on Monday, April 10th. The event will begin at 7:00 a.m. (Doors open at 6:30pm). I’m looking forward to hearing your thoughts and concerns.  Feel free to invite friends and neighbors to join the discussion about the important issues facing our community and our country.  See you on April 10th!","event","https://www.facebook.com/events/1432564250128619/",NA,24,11,0,0,0,0,0,1
"CongressmanTedYoho","563532937006022_1674975616131534","Congressman Ted Yoho","2017-04-04","2017-04-04 21:24:38","Hi!  Please join me for a town hall discussion at the Putnam County BOCC Building, in Palatka, on Tuesday, April 11th. The event will begin at 7:00 p.m. (Doors open at 6:30pm). I’m looking forward to hearing your thoughts and concerns.  Feel free to invite friends and neighbors to join the discussion about the important issues facing our community and our country.  See you on April 11th!","event","https://www.facebook.com/events/1674975616131534/",NA,10,5,0,0,0,0,0,1
"CongressmanTedYoho","563532937006022_1740073219351982","Congressman Ted Yoho","2017-01-03","2017-01-03 00:22:47","Congratulations to Clay County Sheriff Darryl Daniels! I look forward to working with you and your team over the next 2 years.","photo","https://www.facebook.com/CongressmanTedYoho/photos/a.607664815926167.159260.563532937006022/1740073219351982/?type=3",NA,74,7,0,4,0,0,0,0
"CongressmanTedYoho","563532937006022_1746758762016761","Congressman Ted Yoho","2017-01-05","2017-01-05 14:54:55","In case you missed it, I voted for legislation to block President Obama from issuing any new regulations (midnight regulations) before leaving office. According to Forbes ""Since Election Day, President Obama’s agencies have issued more than 600 final regulations, dozens of which are expected to have annual economic impacts of $100 million or more. At least 50 more significant final regulations are in the queue to be published before Inauguration Day."" I am doing all I can, along with other members of Congress to fight these damaging last-minute regulations from happening.  FYI - Democrats made the same request in 2008.","link","http://www.reuters.com/article/us-usa-congress-regulations-idUSKBN14O29X?feedType=RSS&feedName=topNews&utm_source=twitter&utm_medium=Social","reuters.com",222,60,42,19,1,1,1,11
"CongressmanTedYoho","563532937006022_1747298978629406","Congressman Ted Yoho","2017-01-05","2017-01-05 20:26:36","I have introduced the Trust Restored to the United States Act (TRUST Act- HR 291). The TRUST Act will eliminate the taxpayer-funded portions of congressional pensions for Members of Congress who are convicted of a felony while serving.   Members of Congress are employed by the American people and you entrust us with your hard-earned tax dollars. Congress must show that we will hold ourselves accountable and that we are not above the law.  As a Chamber, we must show the American people that we will not hold ourselves to a different standard than we expect them to be held.  At a time of record-high debt and record low approval ratings, congressional pensions for felons should not be on the American taxpayer’s tab. Members of Congress must hold themselves accountable to their employers.","status",NA,NA,139,32,26,15,1,0,0,0
"CongressmanTedYoho","563532937006022_1747577718601532","Congressman Ted Yoho","2017-01-05","2017-01-05 23:23:00","I went to the House floor to show my support for Israel and to urge my colleagues to support H. Res 11 - Objecting to United Nations Security Council Resolution 2334.   H. Res. 11 reasserts the U.S. position that the Israeli-Palestinian conflict can only be resolved through direct negotiations between the two parties. H.Res. 11 must pass to send a clear message to the outgoing Obama administration, the UN, and the world that the United States stands with Israel.","video","https://www.youtube.com/watch?v=Jhv5-IViwzg",NA,138,20,13,10,1,0,0,0
"CongressmanTedYoho","563532937006022_1749316761760961","Congressman Ted Yoho","2017-01-06","2017-01-06 19:19:37","My thoughts and prayers go out to the victims and their families of this tragic crime at the Ft. Lauderdale-Hollywood Airport. Thank you to all the first responders who are caring for the victims and who ran into harm's way to apprehend the shooter.","status",NA,NA,48,3,2,3,0,0,15,0
"CongressmanTedYoho","563532937006022_1754713771221260","Congressman Ted Yoho","2017-01-09","2017-01-09 19:18:39","Congrats to Coach Steve Spurrier for being only the fourth person elected to the College Football Hall of Fame as both a player and a coach. The 'old ball coach' is a legend and a Gator great who changed the game. GO Gators!","video","https://www.facebook.com/FloridaGators/videos/10154735234536071/",NA,79,5,0,11,0,0,0,0
"CongressmanTedYoho","563532937006022_1754826044543366","Congressman Ted Yoho","2017-01-09","2017-01-09 20:33:08","Today is Law Enforcement Appreciation Day, a day to celebrate and acknowledge the contributions that countless brave men and women in uniform make on a daily basis to keep us and our communities safe and secure.   On this day of appreciation, my thoughts and prayers are with Orlando PD Sgt Debra Clayton & the Orange County deputy sheriff who were lost in the line of duty today. The danger our nation's law enforcement faces every day is very real.  May God bless our police and may he provide comfort to the fallen and their families.","photo","https://www.facebook.com/CongressmanTedYoho/photos/a.607664815926167.159260.563532937006022/1754826044543366/?type=3",NA,49,7,15,4,0,0,2,0
"CongressmanTedYoho","563532937006022_1757073034318667","Congressman Ted Yoho","2017-01-10","2017-01-10 18:53:20","In case you missed it, Townhall.com posted my op/ed calling for a new U.S. trade policy and to hold countries accountable for manipulating the sugar market. The sugar sector employs 12,000 Floridians and generates more than $3 billion dollars a year for our state’s economy.  I have proposed a legislative solution called the zero-for-zero sugar policy, which has been gaining traction among free marketers and has been hailed as a model for all of U.S. farm policy.","link","http://townhall.com/columnists/congressmantedyoho/2017/01/10/americas-new-trade-agenda-holding-cheaters-accountable-n2269529","townhall.com",30,11,6,0,0,0,0,0
