"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanTomMacArthur","1608353306062311_1922898791274426","Congressman Tom MacArthur","2017-01-02","2017-01-02 13:24:48","It was great to attend Lacey Township's swearing-in ceremony yesterday to welcome their new Mayor, Peter Curatolo, Deputy Mayor, Nick Juliano and Committeeman Steve Kennis! Congratulations! #NJ03","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1922898791274426/?type=3",NA,18,1,1,1,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1922900437940928","Congressman Tom MacArthur","2017-01-02","2017-01-02 13:30:44","Over the weekend, I had the honor of posthumously presenting a Congressional Gold Medal to Vivian Nicholson's family. Her sons, Doctor Philip Santiago and Doctor James Santiago accepted the medal on her behalf. Their mother's service in the Civil Air Patrol during WWII was exemplary and this honor is well deserved.","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1922900437940928/?type=3",NA,44,1,5,0,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1922906687940303","Congressman Tom MacArthur","2017-01-02","2017-01-02 13:37:30","Incredible turnout to honor Vivian's service in WWII with a Congressional Gold Medal.","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1922906687940303/?type=3",NA,8,0,3,0,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1922913281272977","Congressman Tom MacArthur","2017-01-02","2017-01-02 20:05:01","Last week, Bob, a Veteran from my district office, joined Operation Yellow Ribbon, Warriors Watch Riders and the Evesham Township community to Welcome Home Navy Petty Officer Second Class John Archer from deployment. Bob presented my Congressional Proclamation to him to honor his service!","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1922913281272977/?type=3",NA,28,0,4,5,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1922954674602171","Congressman Tom MacArthur","2017-01-02","2017-01-02 15:20:44","In case you missed it - check out my recent interview with CSPAN on my first term in Congress representing #NJ03","link","https://www.c-span.org/video/?417264-4%2Frepresentative-tom-macarthur-discuss-freshman-term-congress","c-span.org",38,1,0,0,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1923054761258829","Congressman Tom MacArthur","2017-01-02","2017-01-02 19:18:42","In case you missed it, I recently sat down with the Burlington County Times to discuss my first term in office and our priorities in the New Year.  ""Congressman Tom MacArthur doesn't mind standing in the middle of Washington's vast political divide.  It's a position that served the freshman lawmaker well during his first term in Congress, where he found success bridging the gap between his own Republican Party members and those across the aisle on legislation to protect Joint Base McGuire-Dix-Lakehurst, aid Superstorm Sandy victims, as well as help families and law enforcement deal with the national heroin epidemic.""","link","http://www.burlingtoncountytimes.com/news/local/middle-man-macarthur-s-view-from-the-capitol-divide/article_7bd2c84c-c873-11e6-b493-13f1db68bfc5.html","burlingtoncountytimes.com",38,1,5,0,0,1,0,1
"CongressmanTomMacArthur","1608353306062311_1923566837874288","Congressman Tom MacArthur","2017-01-03","2017-01-03 17:35:34","Today we are kicking off the 115th session of the U.S. House of Representatives. Capitol Hill is buzzing with friends and family and dozens of South Jersey residents that came to help us start the New Year off on a positive note! #NJ03","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1923566837874288/?type=3",NA,55,10,3,1,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1923567904540848","Congressman Tom MacArthur","2017-01-03","2017-01-03 17:39:52","Switching our pin from the 114th Congress to the 115th! #NJO3","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1923567904540848/?type=3",NA,39,5,1,0,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1923570084540630","Congressman Tom MacArthur","2017-01-03","2017-01-03 17:43:12","Bella is ready for the 115th session! #NJ03","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1923570084540630/?type=3",NA,32,0,1,0,0,0,0,0
"CongressmanTomMacArthur","1608353306062311_1923630314534607","Congressman Tom MacArthur","2017-01-03","2017-01-03 20:42:19","Thanks to the Newman boys for joining me in Washington today! #NJ03","photo","https://www.facebook.com/CongressmanTomMacArthur/photos/a.1608396126058029.1073741828.1608353306062311/1923630314534607/?type=3",NA,16,0,0,0,0,0,0,0
