"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"Congresswoman.Hartzler","183580061667324_132537710584089","Congresswoman Vicky Hartzler","2017-01-17","2017-01-17 00:54:11","Need help with a federal agency or department?  Come see us at our mobile office locations.  In an effort to better represent the needs and interests of all area residents, a representative of my staff will be available to meet with you, listen to your concerns and address any problems you may have with a federal or state agency.","event","https://www.facebook.com/events/132537710584089/",NA,1,0,0,0,0,0,0,0
"Congresswoman.Hartzler","183580061667324_1476984388993545","Congresswoman Vicky Hartzler","2017-01-01","2017-01-01 13:14:02","Hoping everyone has a safe and wonderful 2017! Happy New Year!","photo","https://www.facebook.com/Congresswoman.Hartzler/photos/a.243491672342829.68877.183580061667324/1476984388993545/?type=3",NA,62,25,2,2,0,0,0,0
"Congresswoman.Hartzler","183580061667324_1484933681531949","Congresswoman Vicky Hartzler","2017-01-04","2017-01-04 20:26:47","The President promised that #Obamacare would lower premiums by $2,500 per family. Instead, they’ve skyrocketed, With average premiums rising by 25 percent for benchmark plans on the federal exchange, and over 20 points in Missouri.  Families are having to decide whether to purchase insurance they can't afford, or pay a fine. For rural Missourians, it could be even worse.  Obamacare is hurting Americans.  We are working to bring immediate relief to Americans and pass legislation to bring more choices, lower costs, greater control over your health care. We need to move health care decisions away from Washington and to where they belong: with patients, their families, and their doctors; give patients the right tools, like health savings accounts, to make their health care more portable and affordable; break down barriers that restrict choice and prevent Americans from picking the insurance plan that is best for them and their families; and empower small businesses to provide employees with the kind of affordable health coverage that meets their needs.","link","http://bit.ly/2ibBzh8","bit.ly",136,152,78,2,0,4,11,49
"Congresswoman.Hartzler","183580061667324_1485089011516416","Congresswoman Vicky Hartzler","2017-01-04","2017-01-04 22:07:51","Today the House passed the Midnight Rules Relief Act, a bill designed to allow Congress to overturn last-ditch, sweeping executive branch regulations by presidents, current and future, to sidestep Congress. Read my statement below.","link","http://bit.ly/2iF9Ea7","bit.ly",167,30,30,5,1,1,0,5
"Congresswoman.Hartzler","183580061667324_1487819467910037","Congresswoman Vicky Hartzler","2017-01-06","2017-01-06 01:19:13","Congress alone has the power to make laws. This bill makes sure legislative authority remains in the hands of the people’s elected representatives, not unelected Washington bureaucrats. Read more below.","link","http://bit.ly/2hY9Y58","bit.ly",55,26,6,1,0,1,0,7
"Congresswoman.Hartzler","183580061667324_1489044464454204","Congresswoman Vicky Hartzler","2017-01-06","2017-01-06 16:55:11","I released the following statement following yesterday's passage of a bipartisan House resolution condemning the recent United Nations Security Council’s anti-Israel vote. The U.N.’s measure proceeded only after the Obama Administration failed to use its veto power to block the vote, effectively dismissing years of U.S. policy on the matter:  “This President seems committed to making sure the Middle East remains unstable while alienating our allies. I am proud to co-sponsor this measure and stand with Israel, our democratic friend and strongest partner in the Middle East. We must work to promote peace and stability, not undermine it. In the House, we will continue to strengthen our relationship with Israel and work to reverse this Administration’s actions to further divide the region.”","status",NA,NA,121,30,15,13,0,0,1,2
"Congresswoman.Hartzler","183580061667324_1493693057322678","Congresswoman Vicky Hartzler","2017-01-09","2017-01-09 16:54:55","Last week we passed the REINS Act, a bill I co-sponsored, to check the executive branch against legislating by executive fiat and ensure legislative authority remains in the hands of the people’s elected representatives, not unelected Washington bureaucrats.","link","http://bit.ly/2iO577R","bit.ly",17,16,1,1,0,0,0,1
"Congresswoman.Hartzler","183580061667324_1496854230339894","Congresswoman Vicky Hartzler","2017-01-11","2017-01-11 19:02:37","I am honored to be asked to serve another term as Chairwoman of the House Armed Services Oversight and Investigations Subcommittee. I look forward to working with my colleagues to provide this critical oversight to the Department of Defense to ensure our national security.","link","http://bit.ly/2jk08te","bit.ly",128,13,14,3,0,0,0,2
"Congresswoman.Hartzler","183580061667324_1497161113642539","Congresswoman Vicky Hartzler","2017-01-11","2017-01-11 23:51:20","All too often regulators fail to analyze the costs and effects of new rules, account for impacts on jobs, wages and small businesses, or timely come clean about what they’re really planning. Federal regulations now impose an estimated burden of $1.89 trillion. That burden is burying Americans with higher prices, lower wages, and fewer jobs.   So tonight, the House passed the Regulatory Accountability Act of 2017 to solve the problem of overreaching, ill-considered, and insufficiently checked-and-balanced federal regulation. This bill brings increases efficiency, transparency, and accountability in the regulatory process, giving those who will actually feel the impact of proposed regulations, rather than Washington bureaucrats, a larger voice in the process.","video","https://www.facebook.com/Congresswoman.Hartzler/videos/1497161113642539/",NA,41,16,7,2,0,0,0,1
"Congresswoman.Hartzler","183580061667324_1498618463496804","Congresswoman Vicky Hartzler","2017-01-12","2017-01-12 23:29:50","Farmers, utilities, and manufacturers rely on derivatives to manage risk, yet they are subjected to burdensome regulations from Dodd-Frank, which was intended to target big banks and large Wall Street firms, to the point where they cannot focus on their customers’ interests as they expend valuable energy and capital to comply with these regulations.   Dodd-Frank was never intended to regulate these local and smaller end-users. My amendment to the Commodity End-User Relief Act, which passed the House today, provides much-needed relief so these end-users can work to support their customers, not the CFTC. Read more below:","link","http://bit.ly/2iijhPl","bit.ly",38,14,3,1,0,0,0,0
"Congresswoman.Hartzler","183580061667324_1499819286710055","Congresswoman Vicky Hartzler","2017-01-13","2017-01-13 20:44:29","My statement on passage of the Budget Resolution for 2017, which lays the groundwork for repeal of the Patient Protection and Affordable Care Act, or “Obamacare”:  “Obamacare is hurting Americans. I have heard from constituents regularly about cancelled plans, $6,000 or higher deductibles, hours cut from full-time to part-time, and premiums going through the roof. One family’s premiums will now consume over one-third of their projected income in 2017! We can do better. We can repair the damage done from this broken and unsustainable law. I am excited to work on passing positive, patient-centered solutions that provide more choices and lower costs all around. This bill is the first step in doing that, allowing us to bring relief to the scores of Americans who have been hurt under Obamacare.”","status",NA,NA,130,81,19,7,0,1,0,11
"Congresswoman.Hartzler","183580061667324_1500721416619842","Congresswoman Vicky Hartzler","2017-01-14","2017-01-14 16:55:49","Extraordinary times call for extraordinary leaders. General Mattis is qualified, capable, and fit to lead the Department of Defense.","video","https://www.facebook.com/Congresswoman.Hartzler/videos/1500721416619842/",NA,130,11,10,6,0,0,0,1
"Congresswoman.Hartzler","183580061667324_1501904926501491","Congresswoman Vicky Hartzler","2017-01-15","2017-01-15 16:55:26","Recently, President Obama transferred four more detainees out of Guantanamo. I have long said this is a foolish plan that threatens the safety and security of Americans. Approximately one-third of those detainees transferred from Guantanamo have attempted to return to the battlefield. It is imperative we halt all future transfers.","video","https://www.facebook.com/Congresswoman.Hartzler/videos/1501904926501491/",NA,112,29,20,5,0,2,1,11
"Congresswoman.Hartzler","183580061667324_1504056416286342","Congresswoman Vicky Hartzler","2017-01-17","2017-01-17 16:54:54","Inauguration is just a few short days away, and I am excited to see the new direction our country will take! Are you traveling to Washington, D.C. for the ceremony? Be sure to check the official logistics page for information:","link","http://bit.ly/2jDVoyJ","bit.ly",81,23,9,2,5,0,0,5
"Congresswoman.Hartzler","183580061667324_1506195882739062","Congresswoman Vicky Hartzler","2017-01-19","2017-01-19 16:55:02","Tomorrow, President-elect Trump and Vice-President-elect Pence will take an oath to uphold the Constitution of the United States of America. I’m looking forward to working with this new administration to restore the American Dream to ALL Americans. We will cut red tape, eliminate unnecessary burdens, and help our economy grow. I’m ready to get to work.","photo","https://www.facebook.com/Congresswoman.Hartzler/photos/a.243491672342829.68877.183580061667324/1506195882739062/?type=3",NA,122,36,11,18,0,0,6,4
"Congresswoman.Hartzler","183580061667324_1510831625608821","Congresswoman Vicky Hartzler","2017-01-23","2017-01-23 17:43:50","Are you attending @TheMarchForLife this week? Like, share, and respond - tell the world why you march. #whywemarch #MarchForLife","photo","https://www.facebook.com/Congresswoman.Hartzler/photos/a.243491672342829.68877.183580061667324/1510831625608821/?type=3",NA,96,94,25,15,0,0,1,8
"Congresswoman.Hartzler","183580061667324_1512461685445815","Congresswoman Vicky Hartzler","2017-01-24","2017-01-24 20:07:52","Taxpayers should not have to fund abortions. It’s that simple. For four decades Congress has taken care to include the Hyde Amendment in its appropriations and funding measures to prevent taxpayer dollars from going toward an abortion. H.R. 7, the No Taxpayer Funding For Abortion Act, simply codifies that provision, addressing the patchwork approach of the past decades by establishing a government-wide permanent prohibition on funding for abortion.","video","https://www.facebook.com/Congresswoman.Hartzler/videos/1512461685445815/",NA,261,83,57,31,1,0,1,25
"Congresswoman.Hartzler","183580061667324_1514808958544421","Congresswoman Vicky Hartzler","2017-01-26","2017-01-26 16:55:48","#TBT to when I spoke at the 41st March for Life. I was a very cold day, but the cause made it totally worth it!","video","https://www.facebook.com/Congresswoman.Hartzler/videos/1514808958544421/",NA,85,60,7,15,0,0,3,11
"Congresswoman.Hartzler","183580061667324_1521630147862302","Congresswoman Vicky Hartzler","2017-02-01","2017-02-01 14:55:03","I applaud the President's nomination of Judge Gorsuch. In this outstanding nominee, America will see a strong, principled jurist who respects the Constitution, champions states' rights, and values judicial restraint. I am hopeful the Senate will forego partisan games and act swiftly to confirm this brilliant appointment.","link","http://bit.ly/2jv3c9r","bit.ly",285,78,24,20,0,0,0,26
"Congresswoman.Hartzler","183580061667324_1522938661064784","Congresswoman Vicky Hartzler","2017-02-02","2017-02-02 17:17:15","At this morning's National Prayer Breakfast, I was humbled to hear remarks from President Trump, Vice President Mike Pence, and Senate Chaplain Barry Black, who delivered the keynote address this year. Chaplain Black's speech was the most inspirational speech I have ever heard at this event, and I wanted to share his moving and uplifting words with all of you.  Watch all the way through, you won't regret it.","video","http://bit.ly/2l117i0",NA,131,44,37,18,0,1,0,9
"Congresswoman.Hartzler","183580061667324_1527317457293571","Congresswoman Vicky Hartzler","2017-02-06","2017-02-06 16:55:10","When I first ran for Congress, a reporter asked me what was on my to-do list if I was elected. I said, ""I am not going to Washington with a 'to-do' list. I am going with an 'UN-do' list."" Washington has inflicted bad policies onto the American people, hurting them economically, stifling individual opportunity, and infringing on their freedoms. It is time to roll back those policies and move forward.  Recently I asked my constituents to tell me what they would like to see undone in Washington…what policies and regulations are hurting them. The responses rolled in.  I compiled many of the stories and quotes into “The MO-4 Undo List,” and I presented this list to President Trump. It is my hope he will use this as a guide to relieving hardworking Americans of the regulatory burden imposed on them from overbearing federal rules and regulations.","link","http://bit.ly/2kz91zP","bit.ly",351,104,57,32,1,2,2,31
"Congresswoman.Hartzler","183580061667324_1528589063833077","Congresswoman Vicky Hartzler","2017-02-07","2017-02-07 16:55:06","In Moberly, Missouri a small town of about 14,000, a single faith-based organization provides food to 1,800 families in the area each month. Supported by the selflessness of volunteers, contributors, and by county ministerial alliances, faith-based organizations in Missouri foster hope and encouragement among communities.   Imagine if we were a country without faith. Who would provide these services?","link","http://bit.ly/2kjuChd","bit.ly",106,71,20,14,0,1,1,8
"Congresswoman.Hartzler","183580061667324_1530753216949995","Congresswoman Vicky Hartzler","2017-02-09","2017-02-09 16:56:06","Recently I presented the MO-4 Undo List to President Trump. This is a compilation of stories and quotes from my constituents about just how overbearing federal rules, burdensome federal regulations, and one-size-fits-all federal policies are hurting hardworking Missourians.   I wanted the president to hear from the people themselves, and it is my hope he will use this as a guide to relieving hardworking Americans of the regulatory burden imposed on them from Washington. I also delivered copies of the MO-4 Undo List to House Leadership so we in Congress can work to lift the burden of government off of your shoulders too.  We need to reverse course. We need to help Americans, not hurt them. And we need to remember that what may be good for one does not make it good for all. We need to undo Washington’s harmful policies, and, more importantly, we need to undo Washington’s intrusion into those areas of our lives better left to state and local governments…or left alone completely.","video","https://www.facebook.com/Congresswoman.Hartzler/videos/1530753216949995/",NA,141,66,12,5,0,0,0,18
"Congresswoman.Hartzler","183580061667324_1535263226498994","Congresswoman Vicky Hartzler","2017-02-13","2017-02-13 23:40:24","Today the House passed the WINGMAN Act, a bill I was proud to co-sponsor to better serve veterans by giving Congress tools to help process VA benefits claims. You can read my statement on the bill below.","link","http://bit.ly/2l910V0","bit.ly",116,27,16,7,0,0,0,5
