"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongresswomanAdams","853073668057412_129856734348764","Congresswoman Alma S. Adams, PhD","2017-11-30","2017-11-30 17:40:45","Join Congresswoman Alma Adams and local experts for a taxes town hall to discuss the impact the Republican tax plan will have on Mecklenburg County and your family.","event","https://www.facebook.com/events/129856734348764/",NA,16,9,0,0,0,0,1,0
"CongresswomanAdams","853073668057412_1329859343712173","Congresswoman Alma S. Adams, PhD","2017-01-01","2017-01-01 13:00:00","Happy New Year!","photo","https://www.facebook.com/CongresswomanAdams/photos/a.857248647639914.1073741828.853073668057412/1329859343712173/?type=3",NA,65,0,0,0,0,0,0,0
"CongresswomanAdams","853073668057412_1348379888526785","Congresswoman Alma S. Adams, PhD","2017-01-03","2017-01-03 15:20:14","President-Elect Trump and Congressional Republicans campaigned on ""draining the swamp"" but the night before the new Congress is to be sworn in they voted to move the Office of Congressional Ethics under the jurisdiction of the Ethics Committee. This move eliminates independent oversight of congressional actions and prevents the office from reviewing anonymous complaints.   This action goes against the transparency that the American people expect and deserve from their elected officials. Congress must hold itself to the highest standards of conduct and should act accordingly to strengthen our own ethical standards.   http://www.politico.com/story/2017/01/house-republicans-gut-their-own-oversight-233111","link","http://www.politico.com/story/2017/01/house-republicans-gut-their-own-oversight-233111","politico.com",26,10,29,1,0,7,3,26
"CongresswomanAdams","853073668057412_1348644668500307","Congresswoman Alma S. Adams, PhD","2017-01-03","2017-01-03 21:14:48","I am humbled and excited to be sworn into the 115th Congress to serve my second full term representing the 12th District. When I took office in 2014 I made it a priority to fight for students, small businesses, women, and veterans. I am eager to continue our progress during this Congress.  I am also proud to announce that I will be joining the House Democratic Leadership as an Assistant Whip. I look forward to working closely with my colleagues on the challenges that face our nation and to do all we can to improve the lives of working Americans.   “I’m excited to have Rep. Adams join our whip team” said House Democratic Whip Steny Hoyer. “She’s already set herself apart as a leader in our caucus and a tireless fighter for the working people of North Carolina and their families.  I look forward to working closely with her during the 115th Congress to advance Democrats’ agenda of protecting the rights of all Americans and expanding opportunities that are accessible to everyone.”","photo","https://www.facebook.com/CongresswomanAdams/photos/a.857248647639914.1073741828.853073668057412/1348644668500307/?type=3",NA,161,14,8,17,0,0,0,0
"CongresswomanAdams","853073668057412_1349345095096931","Congresswoman Alma S. Adams, PhD","2017-01-04","2017-01-04 16:59:42","Thanks to the #ACA, more than 552,000 North Carolinian’s have affordable health coverage. Share how the #ACAworks for you and your family in the comments below. #CoverageMatters","photo","https://www.facebook.com/CongresswomanAdams/photos/a.857248647639914.1073741828.853073668057412/1349345095096931/?type=3",NA,9,2,1,0,0,0,0,0
"CongresswomanAdams","853073668057412_1349566541741453","Congresswoman Alma S. Adams, PhD","2017-01-04","2017-01-04 22:28:45","My staff and I are closely monitoring the events unfolding at Charlotte School of Law. As we continue to learn more information I will share it with you. If you have questions or need assistance you can call my Charlotte office at (704) 344-9950 or visit one of the resources listed below.","photo","https://www.facebook.com/CongresswomanAdams/photos/a.857248647639914.1073741828.853073668057412/1349566541741453/?type=3",NA,9,1,4,0,0,0,0,0
"CongresswomanAdams","853073668057412_1350168188347955","Congresswoman Alma S. Adams, PhD","2017-01-05","2017-01-05 14:49:57","Today, I opposed H.R. 21, the so-called Midnight Rules Relief Act. This bill is a solution to a problem that does not exist and undermines critical protections for students, workers, taxpayers and consumers.  As my colleague, Congressman Hank Johnson, stated in November, 2016 about the Midnight Rules Relief Act it ""...would amend the Congressional Review Act to enable Congress to bundle numerous rules finalized during the final year of a president’s term into a single vote on a joint resolution of disapproval.  Alarmingly, once these rules have been invalidated through this process, the agency may not adopt a subsequent similar rule absent express authorization by Congress.  Notwithstanding the bill’s colorful title, the bill does not simply apply to rules submitted during the lame-duck period following an election.  To set the record straight, this bill applies to every rule submitted to Congress within the final 60 legislative days of a session. ""  http://www.huffingtonpost.com/rep-hank-johnson/the-so-called-midnight-ru_b_13074236.html","link","http://www.huffingtonpost.com/rep-hank-johnson/the-so-called-midnight-ru_b_13074236.html","huffingtonpost.com",42,6,19,0,0,3,0,4
"CongresswomanAdams","853073668057412_1350329758331798","Congresswoman Alma S. Adams, PhD","2017-01-05","2017-01-05 18:26:38","The Pro Choice Caucus hosted a press conference today to let all women and our allies know that we will continue to fight for your health coverage under the ACA. Being a woman should never be considered a preexisting condition.","video","https://www.facebook.com/CongresswomanAdams/videos/1350329758331798/",NA,63,17,21,15,0,0,0,2
"CongresswomanAdams","853073668057412_1351340331564074","Congresswoman Alma S. Adams, PhD","2017-01-06","2017-01-06 20:23:22","The Charlotte VA Health Care Center will be closed Saturday, 1/7, due to inclement weather. Patients are being contacted by Health Center staff to reschedule appointments at their earliest convenience.   https://www.va.gov/directory/guide/facility.asp?ID=485","link","https://www.va.gov/directory/guide/facility.asp?ID=485","va.gov",4,0,0,0,0,0,0,0
"CongresswomanAdams","853073668057412_1352098104821630","Congresswoman Alma S. Adams, PhD","2017-01-07","2017-01-07 15:48:07","The threat to American democracy posed by Russian interference into the 2016 election warrants a bipartisan and independent investigation.    This week, I joined more than 170 of my colleagues to cosponsor legislation that will establish a commission to lead this inquiry. The American people deserve a thorough analysis of any attempt to undermine our democracy and erode trust in American institutions. This isn’t a Republican versus Democrat issue- we must come together to protect American democracy.  http://www.nytimes.com/2017/01/06/us/politics/russia-hack-report.html","link","http://www.nytimes.com/2017/01/06/us/politics/russia-hack-report.html","nytimes.com",57,12,38,4,1,1,2,8
"CongresswomanAdams","853073668057412_1353360618028712","Congresswoman Alma S. Adams, PhD","2017-01-08","2017-01-08 23:25:26","ICYMI: Last week I was sworn into the 115th Congress and joined the House Democratic party leadership as an Assistant Whip. I am honored to be your representative and I look forward to continuing to bring our fight to Washington, D.C.   http://www.thecharlottepost.com/news/2017/01/04/local-state/rep.-alma-adams-moves-up-congressional-ranks/","link","http://www.thecharlottepost.com/news/2017/01/04/local-state/rep.-alma-adams-moves-up-congressional-ranks/","thecharlottepost.com",145,11,9,16,0,0,0,0
"CongresswomanAdams","853073668057412_1354187464612694","Congresswoman Alma S. Adams, PhD","2017-01-09","2017-01-09 23:01:10","Today I sent a letter to Congressman Duncan Hunter expressing my strong opposition and disappointment to the removal of the artwork of Mr. David Pulphus, the high school artist and winner of Missouri’s 1st District Congressional Art Competition, from the exhibit in the U.S. Capitol.  “Representative Hunter’s actions not only disregarded and disrespected Representative Clay’s decision to award Mr. Pulphus with this special Congressional honor, but also silenced the very real experience of those citizens in Mr. Clay’s district- and more specifically this young student’s right as an artist to express himself.  “Our founding fathers enshrined the freedom of speech in the Bill of Rights, but this irreverent action showed, not only a lack of respect for our freedoms and civil liberties, but also a blatant disregard for our Constitution. Freedom of speech, which includes visual expression, press, and a lack of censorship are values that we have not only fought for, but also values that Representative Hunter and I have been elected to protect.”       Read my full statement here: http://bit.ly/2ic8ncj  Tomorrow I will participate in the rehanging of Mr. Pulphus' award-winning artwork.   http://cbsn.ws/2ipuKbV","link","http://cbsn.ws/2ipuKbV","cbsn.ws",59,19,15,4,0,3,2,12
"CongresswomanAdams","853073668057412_1354338484597592","Congresswoman Alma S. Adams, PhD","2017-01-10","2017-01-10 03:19:58","Today and everyday we appreciate our hardworking men and women in blue. Thank you for your service to our community.","status",NA,NA,34,5,6,3,0,1,0,0
"CongresswomanAdams","853073668057412_1355084134523027","Congresswoman Alma S. Adams, PhD","2017-01-10","2017-01-10 22:49:48","Congressman David Price, Congressman G. K. Butterfield, and I sent a letter to the federal Centers for Medicare and Medicaid Services (CMS) in strong support of Governor Roy Cooper's plan to expand Medicaid through a State Plan Amendment in North Carolina.  Expanding Medicaid would broaden coverage to an additional 650,000 beneficiaries, create jobs, and save our state millions. I’m proud to support Governor Cooper in this common sense measure that could save hundreds of lives every year, many of whom are minorities. We can’t let politics get in the way of doing what’s right for North Carolina families.  http://adams.house.gov/media-center/press-releases/price-adams-butterfield-call-medicaid-expansion-north-carolina","link","http://adams.house.gov/media-center/press-releases/price-adams-butterfield-call-medicaid-expansion-north-carolina","adams.house.gov",81,1,9,9,0,0,0,0
"CongresswomanAdams","853073668057412_1355638554467585","Congresswoman Alma S. Adams, PhD","2017-01-11","2017-01-11 15:32:01","Thank you for 8 outstanding years of leadership and Kindness President Obama. We can, we did, we can. #ObamaFarewell","photo","https://www.facebook.com/CongresswomanAdams/photos/a.857248647639914.1073741828.853073668057412/1355638554467585/?type=3",NA,398,8,30,73,0,0,0,0
"CongresswomanAdams","853073668057412_1355657687799005","Congresswoman Alma S. Adams, PhD","2017-01-11","2017-01-11 17:00:00","Education is one of the most important investments parents make in their children and every child deserves access to a free world-class education. My colleagues and I formed the first ever Public Education Caucus to continue fighting for increased opportunity for all children during the Trump Administration.   I strongly oppose Betsy DeVos as Secretary of Education. As my colleague Rep. Mark Takano stated yesterday: ""The public education caucus in the Congress is more important than ever, now that we have a nominee for secretary of education who I believe is hell-bent on dismantling public education. I don’t have confidence Betsy DeVos has the background or history or commitment to make sure every students’ rights are enforced.”    http://www.huffingtonpost.com/entry/public-education-caucus_us_5875183ee4b099cdb0ffb0c2","link","http://www.huffingtonpost.com/entry/public-education-caucus_us_5875183ee4b099cdb0ffb0c2","huffingtonpost.com",91,7,17,9,0,0,0,0
"CongresswomanAdams","853073668057412_1355663857798388","Congresswoman Alma S. Adams, PhD","2017-01-11","2017-01-11 19:00:01","Thanks to the Affordable Care Act in NC: more than 552,000 people have gained affordable health coverage, more than 700,000 young people are able to stay on their parent's health insurance until 26 years old, and being a woman is no longer considered a preexisting condition.   Join me on Sunday, 1/15/17 for a #ACA town hall to discuss the impact ACA has had on you and your family.","photo","https://www.facebook.com/CongresswomanAdams/photos/a.857248647639914.1073741828.853073668057412/1355663857798388/?type=3",NA,37,3,9,0,0,0,0,0
