"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongresswomanAnnieKuster","115543081952049_675988765907475","Congresswoman Annie Kuster","2017-01-01","2017-01-01 14:00:01","Happy New Year! Wishing everyone in New Hampshire and around the country a 2017 filled with happiness, good health, and opportunity!","status",NA,NA,65,4,2,3,0,0,0,0
"CongresswomanAnnieKuster","115543081952049_677057275800624","Congresswoman Annie Kuster","2017-01-02","2017-01-02 16:50:35","Always hard to leave the North Country!","photo","https://www.facebook.com/CongresswomanAnnieKuster/photos/a.436177726555248.1073741832.115543081952049/677057189133966/?type=3",NA,167,7,11,12,0,5,0,0
"CongresswomanAnnieKuster","115543081952049_677502179089467","Congresswoman Annie Kuster","2017-01-03","2017-01-03 15:20:44","Congresswoman Annie Kuster released the following statement on last night’s vote by House Republicans to weaken the independent nonpartisan Office of Congressional Ethics.   “It’s appalling that House Republicans' first legislative action of the new Congress is an attempt to undermine ethics oversight. Having an independent nonpartisan body investigate ethics complaints against Members of Congress is just commonsense. Our constituents sent us to Washington to work on the important issues facing our nation: growing the economy, creating jobs, and addressing the opioid addiction epidemic that’s impacting far too many. They didn’t elect us to make it easier for Members of Congress to abuse their power. I’ll oppose this measure when it comes to the full House for a vote, and I urge my colleagues to do the same.”","status",NA,NA,313,78,39,14,0,1,1,16
"CongresswomanAnnieKuster","115543081952049_677650382407980","Congresswoman Annie Kuster","2017-01-03","2017-01-03 22:18:44","It’s truly an honor to represent New Hampshire’s Second Congressional District in Congress, and I’m humbled by the trust placed in me by the voters. In the new Congress, I’m once again prepared to focus on the needs of hardworking families in New Hampshire, and I stand ready to do the work expected by the people of the Granite State. We need to expand access to health care for our veterans, support families by enacting paid family leave and lowering student debt, protect small family farms, fight substance use disorder, and grow our economy. I’ll oppose efforts to roll back the progress we’ve made in recent years and work across the aisle to advance our shared interests. I’m excited to get to work with my colleagues, Senator Shaheen, Senator Hassan, and Congresswoman Shea-Porter as part of the first ever all-female all Democratic Congressional delegation.","photo","https://www.facebook.com/CongresswomanAnnieKuster/photos/a.115668505272840.19488.115543081952049/677650052408013/?type=3",NA,197,7,6,12,0,0,0,0
"CongresswomanAnnieKuster","115543081952049_677989502374068","Congresswoman Annie Kuster","2017-01-04","2017-01-04 15:53:55","No one should have to choose between being at the birth of their child & keeping their job. We must enact commonsense paid family leave policies.","link","http://bit.ly/2iasJzW","bit.ly",188,28,33,2,0,3,18,42
"CongresswomanAnnieKuster","115543081952049_678412272331791","Congresswoman Annie Kuster","2017-01-05","2017-01-05 14:23:26","I’m proud to be an original cosponsor of a resolution urging President-elect Trump to take measures to avoid conflicts of interest. The welfare of the American people and our nation must come before any personal business considerations.","status",NA,NA,138,16,3,2,0,0,1,1
"CongresswomanAnnieKuster","115543081952049_679037475602604","Congresswoman Annie Kuster","2017-01-06","2017-01-06 21:50:08","The integrity of our elections is an issue that transcends politics. I’m encouraged by the support of both Republicans and Democrats in the Senate for careful examination of efforts by Russia to undermine our elections, and I hope we can come together behind this issue in the House. That’s why I’ve helped introduce legislation to establish a bipartisan and independent committee to investigate efforts to undermine our elections. It’s critical that we learn all we can about what type of interference took place so we can safeguard our democratic process in future elections. Read more here:","link","http://bit.ly/2il2pTK","bit.ly",163,43,11,7,1,0,0,0
"CongresswomanAnnieKuster","115543081952049_679039998935685","Congresswoman Annie Kuster","2017-01-07","2017-01-07 14:00:00","Dear Friends,  This week, New Hampshire made history as the first ever all-woman, all-Democratic Congressional delegation was sworn into office. We were not elected because we are Democrats or because we are women. We were elected because we know how to bring people together to get things done and that's exactly what we will do. I'm excited to get to work with my friends and colleagues, Senator Shaheen, Senator Hassan, and Congresswoman Shea-Porter, on the issues important to New Hampshire families. Together we will work to improve the lives of Granite Staters and stand in opposition to attempts to turn back the clock on the progress we've made.  On Tuesday, I also became the first Democrat elected to a third term representing New Hampshire's Second Congressional District. It's truly an honor to represent the Granite State in Congress, and I'm humbled by the trust voters have placed in me. In the new Congress, I am once again prepared to focus on the needs of hardworking families in the Granite State, and I stand ready to do the work expected by the people of New Hampshire. We need to expand access to health care for our veterans, support families by enacting paid family leave and lowering student debt, protect small family farms, fight substance use disorder, and grow our economy.  As always, I want to hear from you. Nothing is more important to informing my work in Washington than the people of my district. I hope you'll never hesitate to call my Washington office at (202) 225-5206 or visit my website at www.kuster.house.gov to share your thoughts, ideas, or concerns. To stay up to date on the work I am doing in Congress for our district, you can sign up for my newsletter at https://kuster.house.gov/contact/newsletter.  I look to the coming Congress with resolve and determination to fight for what's right and advance policies that benefit New Hampshire families. I know you'll join me in this effort.  Sincerely,  Annie","photo","https://www.facebook.com/CongresswomanAnnieKuster/photos/a.115668505272840.19488.115543081952049/679039062269112/?type=3",NA,284,28,30,36,0,1,0,0
"CongresswomanAnnieKuster","115543081952049_679931542179864","Congresswoman Annie Kuster","2017-01-08","2017-01-08 17:48:51","Congratulations to Sue Johnston of Littleton, the first person to hike the White Mountains New Hampshire Grid in a single year! More in The Concord Monitor:","link","http://bit.ly/2jqEmHB","bit.ly",177,3,23,9,0,13,0,0
"CongresswomanAnnieKuster","115543081952049_680375408802144","Congresswoman Annie Kuster","2017-01-09","2017-01-09 17:56:37","Thank you Senator Jeanne Shaheen for highlighting the negative impact an irresponsible wholesale repeal of the Affordable Care Act would have on treatment for mental health and substance use disorders in New Hampshire. I’m willing to continue to work across the aisle to improve the ACA but will oppose efforts to roll back the law that will hurt thousands of Granite Staters and millions of Americans. Read more in USA TODAY:","link","http://www.usatoday.com/story/news/politics/2017/01/08/obamacare-repeal-jeopardizes-mental-health-addiction-coverage/96199628/","usatoday.com",47,15,5,0,0,0,1,0
