"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongresswomanBarragan","965181706946254_1000566750074416","US Rep Nanette Diaz Barragán","2017-02-18","2017-02-18 20:29:27","Will you be in Lynwood tomorrow? Stop by, I'd love to see you!","event","https://www.facebook.com/events/118374908684430/",NA,51,1,0,1,0,0,0,0
"CongresswomanBarragan","965181706946254_1000790496718708","US Rep Nanette Diaz Barragán","2017-02-19","2017-02-19 04:56:27","Today I visited the medical team at Providence Little Company of Mary Medical Center to discuss how repealing the Affordable Care Act would make it harder to provide care in our communities.  The ACA made health care more accessible to more Americans and helps protect all of us.  #aca #acaworks #protectourcare","photo","https://www.facebook.com/CongresswomanBarragan/photos/a.970757186388706.1073741828.965181706946254/1000790400052051/?type=3",NA,22,6,0,0,0,0,0,1
"CongresswomanBarragan","965181706946254_1003215583142866","US Rep Nanette Diaz Barragán","2017-02-23","2017-02-23 06:14:23","Great turnout at tonight's #KnowYourRights forum in #Watts. I will continue to fight for justice and hold ICE accountable.","photo","https://www.facebook.com/CongresswomanBarragan/photos/a.980536275410797.1073741829.965181706946254/1003215336476224/?type=3",NA,63,3,0,1,0,0,0,0
"CongresswomanBarragan","965181706946254_1006566162807808","US Rep Nanette Diaz Barragán","2017-02-28","2017-02-28 21:57:44","I am extremely proud to host Roque Pech, a Dreamer, a DACA beneficiary, a local teacher and member of the Wilmington Neighborhood Council, as my guest to tonight’s Joint Session of Congress.     I invited Roque because I believe it is important to show Trump the face of one of thousands of DACA recipients that continue to make our country better.    As a DACA recipient who has been spared from deportation, Roque is just one good example of the continuing contributions immigrants provide to our country.     I will continue to stand up for the people like Roque, who are American in every way.","video","https://www.facebook.com/CongresswomanBarragan/videos/1006566162807808/",NA,169,6,76,30,0,0,0,0
"CongresswomanBarragan","965181706946254_1007874026010355","US Rep Nanette Diaz Barragán","2017-03-03","2017-03-03 03:34:48","Today I stood outside DOJ to tell Jeff Sessions to resign immediately.    It is well known that Sessions was a long-serving Donald Trump campaign advisor, not just a “surrogate from time to time” as he testified.  The fact that he spoke with Russia’s ambassador to the United States last year, which is contrary to testimony he provided under oath to the Senate Judiciary Committee during his confirmation hearings, is a slap in the face to our American values.  I reiterate my call for an independent, bipartisan, transparent commission to investigate this Administration’s connections and communications with Russia.","photo","https://www.facebook.com/CongresswomanBarragan/photos/a.970757186388706.1073741828.965181706946254/1007874026010355/?type=3",NA,79,9,2,3,0,0,0,1
"CongresswomanBarragan","965181706946254_1008156465982111","US Rep Nanette Diaz Barragán","2017-03-03","2017-03-03 14:47:32","Excited to travel to Birmingham, Selma, and Montgomery, Alabama this weekend for the Congressional Civil Rights Pilgrimage.   It’s an honor to walk through history with one of my civil rights hero, Congressman John Lewis.  As a nation, we have come far to protect the rights of all Americans, but the work still continues. As we walk through history, may we learn from it to put an end to the hatred, divisions and injustices that still exist today.   https://barragan.house.gov/media/press-releases/rep-barrag-n-attend-historic-selma-pilgrimage","photo","https://www.facebook.com/CongresswomanBarragan/photos/a.970757186388706.1073741828.965181706946254/1008156465982111/?type=3",NA,104,4,2,12,0,0,0,0
"CongresswomanBarragan","965181706946254_1008201319310959","US Rep Nanette Diaz Barragán","2017-03-03","2017-03-03 16:09:53","Lots of fun this morning welcoming Nico to our Longworth office. Meet the newest member of #TeamBarragan #dogs","photo","https://www.facebook.com/CongresswomanBarragan/photos/a.970757186388706.1073741828.965181706946254/1008199092644515/?type=3",NA,55,3,2,6,0,0,0,0
"CongresswomanBarragan","965181706946254_1008392042625220","US Rep Nanette Diaz Barragán","2017-03-03","2017-03-03 23:39:28","Check out the video of my Swearing-In Ceremony at San Pedro High School on Feb.25th. Proud to serve as your Congresswoman for #CA44.  https://youtu.be/FNHMOP4HOnY","video","https://youtu.be/FNHMOP4HOnY",NA,37,1,4,5,0,0,0,0
"CongresswomanBarragan","965181706946254_1008395665958191","US Rep Nanette Diaz Barragán","2017-03-03","2017-03-03 23:45:59","Always trying to find better ways to communicate with my constituents in #CA44. Follow me on Instagram at https://www.instagram.com/repbarragan/","link","https://www.instagram.com/repbarragan/","instagram.com",15,0,2,0,0,0,0,0
"CongresswomanBarragan","965181706946254_1010406902423734","US Rep Nanette Diaz Barragán","2017-03-07","2017-03-07 02:18:55","Tune in tomorrow morning as I talk with @PoppyHarlowCNN & @JohnBerman at 9:40am ET on @CNNnewsroom about Trump's new Muslim and Refugee Ban.","status",NA,NA,10,1,1,0,0,0,0,0
