"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongresswomanEBJtx30","84096022067_10154845235682068","Eddie Bernice Johnson","2017-01-03","2017-01-03 16:07:06","Great to be with the largest caucus ever, 49 members strong, for the 115th Congress. #CBC","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.96602647067.86524.84096022067/10154845235682068/?type=3",NA,94,4,5,14,0,0,0,0
"CongresswomanEBJtx30","84096022067_10154848522012068","Eddie Bernice Johnson","2017-01-04","2017-01-04 20:16:11","The Affordable Care Act (ACA) enacted in 2010 has improved the lives of millions of Americans.  Six years later it has resulted in 1,781,000 Texans gaining health coverage and the uninsured rate in Texas has fallen by 28 percent. The Republicans plan to repeal the ACA will cause tens of millions of people to lose their health coverage and millions of Americans will be paying more for their insurance.    I will continue to work to ensure that the ACA stays in place, despite the uproar and support Republicans have put forth to dismantle it. I will push for Texas to expand Medicaid so that more Texans can receive the same benefits that millions of Americans in Medicaid expansion states currently receive. During the 115th Congress, I will make it my goal to improve the law so that we can fulfill the generations-long struggle to make health care a right, not a privilege, for all Americans.  Share how you and your family have benefited from the #ACA in the comments below, so we can remind Republicans what is at stake. #ACAWorks #CoverageMatters","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.96602647067.86524.84096022067/10154848522012068/?type=3",NA,56,9,6,7,0,0,0,0
"CongresswomanEBJtx30","84096022067_10154848663667068","Eddie Bernice Johnson","2017-01-04","2017-01-04 21:17:22","I am ready and proud to be serving alongside the Democratic women, my friends and colleagues, who are strong advocates in our party. I have been elected to serve and protect the interest of the American people in my district for the 115th Congress, so I will continue fighting for you.","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.96602647067.86524.84096022067/10154848663667068/?type=3",NA,81,3,3,12,0,0,0,0
"CongresswomanEBJtx30","84096022067_10154865079282068","Eddie Bernice Johnson","2017-01-10","2017-01-10 16:11:20","I'm attending the Senate confirmation hearing for Sen. Jeff Sessions. We must stand against his nomination. His views and discriminatory record are not what America needs at the head of its Justice Department.  Watch the live stream here https://www.judiciary.senate.gov/","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.96602647067.86524.84096022067/10154865079282068/?type=3",NA,162,21,10,9,1,4,0,1
"CongresswomanEBJtx30","84096022067_10154865216887068","Eddie Bernice Johnson","2017-01-10","2017-01-10 17:05:46","#VerifiedFatcs - By repealing it and making it unavailable to millions of Americans.  Studies are showing that a repeal of the Affordable Care Act will lead to as many as 3 million lost jobs and tens of billions of dollars.   In this era of fake and slanted news,  Democrats in the House of Representatives  gathered the #FACTS on the effects our country will feel if Healthcare  aka #Obamacare is repealed.  Healthcare must not become #wealthcare","video","https://www.youtube.com/attribution_link?a=Iv3jzy-NT60&u=%2Fwatch%3Fv%3DwnalpFYk2nM%26feature%3Dshare",NA,16,3,1,0,0,3,2,0
"CongresswomanEBJtx30","84096022067_10154869726712068","Eddie Bernice Johnson","2017-01-11","2017-01-11 23:30:06","I was extremely disappointed with the Senate Judiciary Committee’s handling of the testifying members of the Congressional Black Caucus during Senator Sessions’ nomination hearing..  http://ebjohnson.house.gov/media-center/press-releases/congresswoman-eddie-bernice-johnson-releases-statement-expressing","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.96602647067.86524.84096022067/10154869726712068/?type=3",NA,40,9,19,1,0,0,4,20
"CongresswomanEBJtx30","84096022067_10154881635657068","Eddie Bernice Johnson","2017-01-15","2017-01-15 15:06:05","The Affordable Care Act is under attack by the Republican-controlled Congress. They intend to follow through on their threats to ram through a budget bill that will severely undermine the health care needs of the American people. Yet, over the past six years, Americans have not only gained reliable coverage, they have also seen an end to lifetime limits, received free preventive care, have been allowed to keep their health coverage on their parent’s plan until the age of 26, and are no longer discriminated against for pre-existing conditions. It is unconscionable to me that the Republicans refuse to look at the provisions that do work in this law and have instead decided to move forward with repealing and have no replacement plan in place.","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.96602647067.86524.84096022067/10154881635372068/?type=3",NA,48,10,10,3,0,0,0,0
"CongresswomanEBJtx30","84096022067_10154883233677068","Eddie Bernice Johnson","2017-01-16","2017-01-16 01:55:31","We must #SaveHealthcare More than 20 million people have healthcare coverage that didn't before.  #AffordableCareAct #ObamaCare","video","https://www.facebook.com/CongresswomanEBJtx30/videos/10154883233677068/",NA,100,12,8,13,1,2,0,0
"CongresswomanEBJtx30","84096022067_10154888759452068","Eddie Bernice Johnson","2017-01-17","2017-01-17 23:08:19","I was honored to be able to join my Link sisters in Dallas for the screening of ‘Hidden Figures’","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.10154888753172068.1073741877.84096022067/10154888759452068/?type=3",NA,53,4,0,5,0,1,0,0
"CongresswomanEBJtx30","84096022067_10154896777102068","Eddie Bernice Johnson","2017-01-20","2017-01-20 16:57:39","Thank you for your service President Obama. The last 8 years have truly made #America a ""more perfect union"". What I will remember most from working with President Obama is his decency and determination when addressing us, his colleagues here in Congress. And his great humor and kindness he has shown the entire nation. He will be greatly missed!","photo","https://www.facebook.com/CongresswomanEBJtx30/photos/a.96602647067.86524.84096022067/10154896777102068/?type=3",NA,137,7,16,30,0,0,6,0
