"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongresswomanRosaDeLauro","181302611907634_1240414465996438","Rosa DeLauro","2017-01-03","2017-01-03 14:45:26","Disgraceful that House Republicans are gutting the ethics office and making Congress less accountable. Where is their leadership and integrity?","link","http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html","nytimes.com",31,16,14,0,0,0,3,28
"CongresswomanRosaDeLauro","181302611907634_1246529572051594","Rosa DeLauro","2017-01-09","2017-01-09 22:23:37","On January 9, 1788, Connecticut became the 5th state to join the United States of America.   Happy 229th Birthday Connecticut!","photo","https://www.facebook.com/CongresswomanRosaDeLauro/photos/a.353717531332807.73151.181302611907634/1246529572051594/?type=3",NA,239,1,43,16,0,1,0,0
"CongresswomanRosaDeLauro","181302611907634_1247058801998671","Rosa DeLauro","2017-01-10","2017-01-10 15:11:19","Today I'm joining my House colleagues and education advocates to speak out against President-elect Trump's nomination of Betsy DeVos for Secretary of Education. Watch live here:","video","https://www.facebook.com/repmarkpocan/videos/1263324913747246/",NA,184,27,0,30,1,0,0,1
"CongresswomanRosaDeLauro","181302611907634_1249717955066089","Rosa DeLauro","2017-01-13","2017-01-13 18:41:09","Congratulations to Jessica Brocksom of Milford who was sworn in today as Connecticut's 2017 Kid Governor!","photo","https://www.facebook.com/CongresswomanRosaDeLauro/photos/a.574938752544016.1073741849.181302611907634/1249716608399557/?type=3",NA,58,1,1,3,0,1,0,0
"CongresswomanRosaDeLauro","181302611907634_1250530064984878","Rosa DeLauro","2017-01-14","2017-01-14 18:12:40","This afternoon, Rosa joined her colleague, Congressman Joe Courtney, as well as Lieutenant Governor Nancy Wyman, Dr. Jeffrey Gordon, Michelle Hurteau, Dr. Rebecca Andrews, and Judy Stein to talk about the dangers of repealing the Affordable Care Act. #stopACArepeal","photo","https://www.facebook.com/CongresswomanRosaDeLauro/photos/a.574938752544016.1073741849.181302611907634/1250527714985113/?type=3",NA,71,0,3,3,0,1,0,0
"CongresswomanRosaDeLauro","181302611907634_1251425104895374","Rosa DeLauro","2017-01-15","2017-01-15 18:24:42","This morning, Rosa was proud to join Reverend Kennedy Hampton, Jr., the congregation of the Shiloh Missionary Baptist Church and the New Haven community for the 47th Annual Love March celebrating the life and legacy of the Reverend Dr. Martin Luther King, Jr.","photo","https://www.facebook.com/CongresswomanRosaDeLauro/photos/a.574938752544016.1073741849.181302611907634/1251424844895400/?type=3",NA,98,5,5,9,0,0,0,0
"CongresswomanRosaDeLauro","181302611907634_1251472824890602","Rosa DeLauro","2017-01-15","2017-01-15 19:25:18","Proudly standing with her colleagues and Connecticut residents who shared their stories to #stopACArepeal! Hundreds gathered to show their support for the Affordable Care Act!","photo","https://www.facebook.com/CongresswomanRosaDeLauro/photos/a.574938752544016.1073741849.181302611907634/1251471961557355/?type=3",NA,330,27,42,38,0,0,0,4
"CongresswomanRosaDeLauro","181302611907634_1253024964735388","Rosa DeLauro","2017-01-17","2017-01-17 18:14:57","Connecticut is ready for Saturday's Women's March on Washington! 80 full buses are set to leave Connecticut to join thousands more from across the country.    As Rosa's mother, Luisa, said in 1938, ""Come on girls, let's make ourselves heard!""","photo","https://www.facebook.com/CongresswomanRosaDeLauro/photos/a.574938752544016.1073741849.181302611907634/1253022481402303/?type=3",NA,297,30,46,54,0,1,0,0
"CongresswomanRosaDeLauro","181302611907634_1261941243843760","Rosa DeLauro","2017-01-27","2017-01-27 00:27:04","Tonight Rosa joined Mayor Toni Harp, Assistant Police Chief Casanova, New Haven clergy, and immigrant advocates to reaffirm the City's commitment to all of its residents, decrying President Trump's recent Executive Order that seeks to punish ""sanctuary cities"" by withholding federal grant support.","photo","https://www.facebook.com/CongresswomanRosaDeLauro/photos/a.574938752544016.1073741849.181302611907634/1261934953844389/?type=3",NA,227,19,23,39,0,0,0,1
"CongresswomanRosaDeLauro","181302611907634_1262647643773120","Rosa DeLauro","2017-01-27","2017-01-27 15:23:17","At a time when we are still fighting a global HIV-AIDS epidemic and are grappling with the devastating effects of Zika, public health organizations are our first line of defense in saving lives. That President Trump has chosen to target them with his first set of executive orders is a turn in the wrong direction that only stands to reverse the progress we have made.  The millions of women and men who marched last weekend, and millions more, are watching. We will not sit silently while President Trump and the far-right promote a dangerous and ideological agenda that will only make life worse for women and their families across the globe. President Trump should reverse this decision immediately and work to strengthen global public health programs, not defund them.","link","https://www.nytimes.com/2017/01/26/opinion/mr-trumps-gag-rule-will-harm-global-health.html","nytimes.com",60,0,6,4,0,0,1,16
