"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongresswomanSheilaJacksonLee","169479190984_10154715323085985","Congresswoman Sheila Jackson Lee","2017-01-03","2017-01-03 21:46:41","I have taken the oath to protect our great constitution in the 115th US Congress. It is such a pleasure to have Colonel Pastor Harewood here to share in this momentous occasion. On behalf of the 18th Congressional District of Texas and the United States of America let the work continue!","photo","https://www.facebook.com/CongresswomanSheilaJacksonLee/photos/a.10152826809830985.1073741852.169479190984/10154715304710985/?type=3",NA,367,50,30,43,1,1,0,1
"CongresswomanSheilaJacksonLee","169479190984_10154720846095985","Congresswoman Sheila Jackson Lee","2017-01-05","2017-01-05 22:33:01","Congresswoman Sheila Jackson Lee joined with other Members of Congress to address the impacts of the ACA Repeal and the nomination of Senator Jeff Sessions. These draconian actions must not be allowed to continue, we will not sit idle and allow this repeal to #MakeAmericansSickAgain. #ProtectOurCare","photo","https://www.facebook.com/CongresswomanSheilaJacksonLee/photos/a.10150147207710985.331042.169479190984/10154720845605985/?type=3",NA,179,78,15,24,1,0,0,1
"CongresswomanSheilaJacksonLee","169479190984_10154726137360985","Congresswoman Sheila Jackson Lee","2017-01-07","2017-01-07 19:10:33","Repealing the Affordable Care Act will cost Texas lives!","video","https://www.facebook.com/CongresswomanSheilaJacksonLee/videos/10154726137360985/",NA,176,38,54,25,4,2,15,5
"CongresswomanSheilaJacksonLee","169479190984_10154726182055985","Congresswoman Sheila Jackson Lee","2017-01-07","2017-01-07 19:26:14",NA,"video","https://www.facebook.com/CongresswomanSheilaJacksonLee/videos/10154726182055985/",NA,78,28,16,17,0,2,0,1
"CongresswomanSheilaJacksonLee","169479190984_10154726760320985","Congresswoman Sheila Jackson Lee","2017-01-08","2017-01-08 00:21:44","Yesterday I led a protest of the Electoral Vote and was joined by my fellow members of Congress in an effort to ensure that  the millions of American voices were heard.","link","https://www.c-span.org/video/?c4642587","c-span.org",330,130,52,81,7,1,0,4
"CongresswomanSheilaJacksonLee","169479190984_10154731634035985","Congresswoman Sheila Jackson Lee","2017-01-09","2017-01-09 21:01:03","Become a global citizen! Apply today.","photo","https://www.facebook.com/CBCFInc/photos/a.127018337756.114018.80060452756/10153924838837757/?type=3",NA,5,3,0,0,0,0,0,0
"CongresswomanSheilaJacksonLee","169479190984_10154733441350985","Congresswoman Sheila Jackson Lee","2017-01-10","2017-01-10 14:50:29","Join me as I attend the hearing of Senator Jeff Sessions. This is something we cannot allow to happen. This man is not for the people.","link","http://www.judiciary.senate.gov/meetings/01/03/2017/attorney-general-nomination-01-10-17","judiciary.senate.gov",177,39,24,12,0,0,3,9
"CongresswomanSheilaJacksonLee","169479190984_10154733548675985","Congresswoman Sheila Jackson Lee","2017-01-10","2017-01-10 15:59:39","I am here with Rev. Sharpton and a host of other members of the Clergy, and CBC members in strong opposition to Senator Jeff Sessions appointment to Attorney general.","photo","https://www.facebook.com/CongresswomanSheilaJacksonLee/photos/a.10152826809830985.1073741852.169479190984/10154733546645985/?type=3",NA,217,38,30,28,2,0,2,10
"CongresswomanSheilaJacksonLee","169479190984_10154734153850985","Congresswoman Sheila Jackson Lee","2017-01-10","2017-01-10 20:07:57","We need to be very honest with ourselves about what Speaker Ryan's war on the Affordable Care Act means for our communities. The reality is that — despite years of misdirection by Republicans — the ACA is making real, meaningful change for families across Texas. Seniors know we have their backs. Kids are able to stay on their parents’ plans until they turn 26. And local hospitals are getting the support they need to serve our communities in the best way they know how. That’s something worth fighting for — and that’s why I’m not backing down.   There are serious questions that must be answered about President-Elect Trump’s business dealings. Watch this video for an introduction to the President-Elect’s Conflicts of Interest: https://www.youtube.com/watch?v=qtVz62r8sSY","video","https://www.youtube.com/watch?v=qtVz62r8sSY",NA,72,23,12,8,0,2,1,1
"CongresswomanSheilaJacksonLee","169479190984_10154736221365985","Congresswoman Sheila Jackson Lee","2017-01-11","2017-01-11 16:42:41","Day two of Senator Sessions senate confirmation hearing for Attorney General. I am glad to be joined by Rep(s) John Lewis, Barbra Lee, and Marcia Fudge as we continue to  stand in solidarity against this appointment. This man is not for the people! #SayNoToSessions #VotingRights","photo","https://www.facebook.com/CongresswomanSheilaJacksonLee/photos/a.10152826809830985.1073741852.169479190984/10154736211870985/?type=3",NA,76,12,13,7,0,0,3,0
"CongresswomanSheilaJacksonLee","169479190984_10154736411870985","Congresswoman Sheila Jackson Lee","2017-01-11","2017-01-11 18:28:15","We the Congressional Black Caucus are here in support of Senator Booker, Chairman Richmond, and Representative Lewis as they testify in opposition to the appointment of Senator Jeff Sessions to Attorney General. This man is not for the people! #SayNoToSessions","photo","https://www.facebook.com/CongresswomanSheilaJacksonLee/photos/a.10152826809830985.1073741852.169479190984/10154736403950985/?type=3",NA,140,13,15,22,1,0,1,1
"CongresswomanSheilaJacksonLee","169479190984_10154736420380985","Congresswoman Sheila Jackson Lee","2017-01-11","2017-01-11 18:29:38",NA,"video","https://www.facebook.com/TheHill/videos/10154459943154087/",NA,86,23,0,21,1,0,2,5
"CongresswomanSheilaJacksonLee","169479190984_10154740989425985","Congresswoman Sheila Jackson Lee","2017-01-12","2017-01-12 15:23:18",NA,"video","https://www.facebook.com/CongresswomanSheilaJacksonLee/videos/10154740989425985/",NA,37,3,4,4,0,0,0,0
"CongresswomanSheilaJacksonLee","169479190984_10154740992075985","Congresswoman Sheila Jackson Lee","2017-01-12","2017-01-12 15:24:47",NA,"video","https://www.facebook.com/CongresswomanSheilaJacksonLee/videos/10154740992075985/",NA,22,0,1,1,0,0,0,0
"CongresswomanSheilaJacksonLee","169479190984_10154740995980985","Congresswoman Sheila Jackson Lee","2017-01-12","2017-01-12 15:26:49",NA,"video","https://www.facebook.com/CongresswomanSheilaJacksonLee/videos/10154740995980985/",NA,15,1,2,1,0,0,0,0
