"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"DaveLoebsack","291731316748_10154490148211749","Congressman Dave Loebsack","2017-01-03","2017-01-03 14:51:39","In their first action since claiming they want to ""drain the swamp"", House GOP voted to gut the independent Office of Congressional Ethics. It is the first day of the new 115th Congress and the GOP has already forgotten who they work for- the American people!","link","https://www.washingtonpost.com/news/powerpost/wp/2017/01/02/house-republicans-vote-to-rein-in-independent-ethics-office/?hpid=hp_rhp-top-table-main_houseethics833pm%3Ahomepage%2Fstory&utm_term=.bb0ab875e507","washingtonpost.com",60,39,35,0,1,4,3,67
"DaveLoebsack","291731316748_10154495513086749","Congressman Dave Loebsack","2017-01-05","2017-01-05 15:53:24","As a military parent who has served on the Armed Services Committee, I have the utmost respect for the risks taken by those who work every day to protect our national security, which includes those in our intelligence community. I am deeply disturbed by Donald Trump’s refusal to take seriously the conclusions reached by the intelligence community regarding Russian influence in our electoral system and engagement in cyber-attacks against American citizens. It is imperative that after his intelligence briefing tomorrow, Donald Trump change his tone and show those who risk their lives for American citizens the respect they deserve.","link","https://www.washingtonpost.com/world/national-security/top-us-cyber-officials-russia-poses-a-major-threat-to-the-countrys-infrastructure-and-networks/2017/01/05/36a60b42-d34c-11e6-9cb0-54ab630851e8_story.html?hpid=hp_rhp-top-table-main_hacking-10am%3Ahomepage%2Fstory&utm_term=.ada1af0a1ff5","washingtonpost.com",101,26,14,4,0,4,0,6
"DaveLoebsack","291731316748_10154531058641749","Congressman Dave Loebsack","2017-01-18","2017-01-18 14:46:16","Congressman Dave Loebsack released the following statement regarding his attendance at the swearing-in ceremony and the Women’s March on Saturday, January 21st.","link","http://loebsack.house.gov/news/documentsingle.aspx?DocumentID=394975","loebsack.house.gov",134,37,30,10,0,2,9,4
"DaveLoebsack","291731316748_10154565765956749","Congressman Dave Loebsack","2017-01-29","2017-01-29 17:57:17","""This executive order signed by President Trump is shameful...""  Click below to read Dave's full statement","link","http://loebsack.house.gov/news/documentsingle.aspx?DocumentID=394976","loebsack.house.gov",424,84,65,43,0,1,2,11
"DaveLoebsack","291731316748_10154597058766749","Congressman Dave Loebsack","2017-02-07","2017-02-07 19:56:37","Each week, when Congress is in session I host Coffee with My Congressmen for any Iowan who is visiting Washington D.C. You’re invited to join us for a cup of coffee and have an opportunity to ask questions, voice concerns, share ideas, and discuss issues of importance.","photo","https://www.facebook.com/DaveLoebsack/photos/a.10153625586406749.1073741837.291731316748/10154597058766749/?type=3",NA,468,80,34,24,1,3,1,2
"DaveLoebsack","291731316748_10154597360421749","Congressman Dave Loebsack","2017-02-07","2017-02-07 22:18:45","Today I proudly rejoined the House LGBT Caucus for the 115th Congress. I look forward to working with my colleagues and continuing the fight for equal rights for ALL people!  https://lgbt-polis.house.gov/media-center/press-releases/house-lgbt-caucus-announces-bipartisan-102-person-membership-in-the","photo","https://www.facebook.com/DaveLoebsack/photos/a.10150206427031749.315250.291731316748/10154597360421749/?type=3",NA,696,36,56,115,0,0,1,0
"DaveLoebsack","291731316748_10154614653171749","Congressman Dave Loebsack","2017-02-14","2017-02-14 17:50:23","Click below to read Dave's statement on the resignation of Michael Flynn and the need for an immediate, independent investigation of his actions.","link","http://loebsack.house.gov/news/documentsingle.aspx?DocumentID=394982","loebsack.house.gov",132,21,15,7,0,4,0,0
"DaveLoebsack","291731316748_10154615361081749","Congressman Dave Loebsack","2017-02-14","2017-02-14 23:43:43","Today, Dave called for action to ensure the same rules apply to the President that his employees are held to. Take a look at his statement below.","photo","https://www.facebook.com/DaveLoebsack/photos/a.10150206427031749.315250.291731316748/10154615361081749/?type=3",NA,103,12,7,7,0,1,0,1
"DaveLoebsack","291731316748_10154617279151749","Congressman Dave Loebsack","2017-02-15","2017-02-15 16:31:29","It is past time for an independent investigation into the Trump administration and his campaign's ties to Russia. This is above and beyond partisan politics. This is about restoring faith in our democracy.   Click below to check out the full statement","link","http://loebsack.house.gov/news/documentsingle.aspx?DocumentID=394984","loebsack.house.gov",524,56,41,31,3,4,0,12
"DaveLoebsack","291731316748_10154618187176749","Congressman Dave Loebsack","2017-02-15","2017-02-15 20:49:28","Each week, when Congress is in session I host Coffee with My Congressmen for any Iowan who is visiting Washington D.C. You’re invited to join us for a cup of coffee and have an opportunity to ask questions, voice concerns, share ideas, and discuss issues of importance.","photo","https://www.facebook.com/DaveLoebsack/photos/a.10153625586406749.1073741837.291731316748/10154618187176749/?type=3",NA,468,80,34,24,1,3,1,2
