"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"DianeBlackTN06","186436274719648_10154580369703891","Rep. Diane Black","2017-01-07","2017-01-07 14:45:17","I‚Äôve been a nurse for more than 40 years, but you don‚Äôt need a degree in healthcare to know that Obamacare is failing. Honored to deliver the GOP Weekly Address and share about our fight to bring relief to the Americans who have been hurt by this law. #BetterWay","video","https://www.facebook.com/DianeBlackTN06/videos/10154580369703891/",NA,334,53,55,19,0,0,0,7
"DianeBlackTN06","186436274719648_10154615567988891","Rep. Diane Black","2017-01-19","2017-01-19 16:47:26","For the first time, there are three conservative women leading House committees. This is a big milestone for House Republicans, but we know there's still more work to do. I was honored to join Rep. Virginia Foxx and Congresswoman Susan W. Brooks for this video about our journey here and what it all means to us.","video","https://www.facebook.com/DianeBlackTN06/videos/10154615567988891/",NA,192,8,36,4,1,0,0,0
"DianeBlackTN06","186436274719648_1482650218431574","Rep. Diane Black","2017-01-03","2017-01-03 14:37:54","With the New Year begins a renewed commitment to reform the rule-making process, roll back onerous eleventh-hour regulations, and reassert Congress's Constitutional role in government. We're hitting the ground running with a bold, conservative agenda. Read more here:","link","http://www.usatoday.com/story/news/politics/2017/01/02/republican-congress-puts-priority-targeting-regulations-trump/96003180/","usatoday.com",122,23,13,3,0,0,0,3
"DianeBlackTN06","186436274719648_1482932838403312","Rep. Diane Black","2017-01-03","2017-01-03 21:47:51","Today, I had the tremendous honor of being sworn in to the 115th Congress with my husband by my side. I am excited to be serving at this historic point in time and I am deeply grateful to each of you for giving me this opportunity.   Ready to get to work!","photo","https://www.facebook.com/DianeBlackTN06/photos/a.187001981329744.48130.186436274719648/1482932838403312/?type=3",NA,675,62,12,29,0,2,0,3
"DianeBlackTN06","186436274719648_1482985451731384","Rep. Diane Black","2017-01-03","2017-01-03 23:14:37","Grateful to be named interim chair of the House Budget Committee, where I am ready to put my healthcare expertise to work and lead the charge to repeal Obamacare.   Read my full statement here:","link","http://black.house.gov/press-release/congressman-diane-black-named-interim-house-budget-committee-chair","black.house.gov",706,77,73,39,1,4,2,3
"DianeBlackTN06","186436274719648_1483729714990291","Rep. Diane Black","2017-01-04","2017-01-04 18:11:49","We have a tremendous opportunity on the House Budget Committee GOP to lead the charge in repealing Obamacare and transitioning to a healthcare system that empowers patients ‚Äì not government. We are ready to seize the moment.","video","https://www.facebook.com/DianeBlackTN06/videos/1483729714990291/",NA,282,44,34,15,0,2,1,3
"DianeBlackTN06","186436274719648_1483897828306813","Rep. Diane Black","2017-01-04","2017-01-04 22:51:25","Here's a real life example from right here in Tennessee of how Obamacare is raising costs and diminishing choices.   If you're a working mom paying hefty premiums for a plan with a $9,000 deductible, you may technically have an insurance policy - but you do not have true health coverage. This is the untold story that too many are facing under Obamacare. We need a #BetterWay.","link","http://www.tennessean.com/story/money/industries/health-care/2017/01/03/demand-rises-alternatives-obamacare-plans/95750942/","tennessean.com",134,43,36,1,0,3,8,8
"DianeBlackTN06","186436274719648_1484446438251952","Rep. Diane Black","2017-01-05","2017-01-05 14:41:16","Over the last year, our Select Panel's investigation has laid bare the grisly reality of an abortion industry that is driven by profit, unconcerned by matters of basic ethics and, too often, noncompliant with the few laws we have to protect the safety of women and their unborn children.   It is my sincere hope that our final report will be a catalyst for meaningful change to protect our most vulnerable and restore a culture that honors the intrinsic value of every human life.  #ProLife #DefundPP","link","https://world.wng.org/2017/01/select_panel_rein_in_baby_body_part_buyers","orld.wng.org",170,36,17,6,0,0,1,7
"DianeBlackTN06","186436274719648_1485612634801999","Rep. Diane Black","2017-01-06","2017-01-06 21:25:23","#BREAKING: I just filed legislation with the support of 127 cosponsors to promote true health care over abortion by defunding Planned Parenthood. Read more below.   #ProLife #DefundPP","link","http://black.house.gov/press-release/congressman-black-reintroduces-defund-planned-parenthood-act-2017","black.house.gov",892,120,105,110,0,1,2,29
"DianeBlackTN06","186436274719648_1487981374565125","Rep. Diane Black","2017-01-09","2017-01-09 15:13:38","Democrats in Washington are resorting to scare tactics about our plan to repeal Obamacare because it's all they have left.   When they try to scare you, remember these are the same people who said ""If you like your plan, you can keep it."" Don't believe the fear mongering. Repeal is relief.","link","http://www.washingtonexaminer.com/top-republican-nurse-democrats-scare-tactics-are-all-they-have-left/article/2611159","washingtonexaminer.com",451,91,114,15,3,2,1,3
"DianeBlackTN06","186436274719648_1488199944543268","Rep. Diane Black","2017-01-09","2017-01-09 20:13:29","Today and every day, we honor the courageous men and women of law enforcement who serve and sacrifice to protect our safety. We cannot say thank you enough.    #LawEnforcementAppreciationDay","photo","https://www.facebook.com/DianeBlackTN06/photos/a.187001981329744.48130.186436274719648/1488199944543268/?type=3",NA,155,3,41,9,0,0,0,0
"DianeBlackTN06","186436274719648_1488901921139737","Rep. Diane Black","2017-01-10","2017-01-10 16:54:57","We've tried healthcare reform the Washington way. It didn't work. Now we're going to do it the *right* way. On behalf of House Budget Committee GOP and the rest of our House Republican Conference - we're ready to get to work.","video","https://www.facebook.com/DianeBlackTN06/videos/1488901921139737/",NA,293,37,23,11,5,0,0,5
"DianeBlackTN06","186436274719648_1489753231054606","Rep. Diane Black","2017-01-11","2017-01-11 16:58:46","Sanctuary cities thumb their nose at Congress, flout our laws, and endanger their citizens - all while raking in federal funding from American taxpayers. It defies logic and it demands action.  Proud to join with Senator Pat Toomey on legislation to STOP dangerous sanctuary city policies. Read more:","link","http://black.house.gov/press-release/black-toomey-reintroduce-legislation-combat-sanctuary-cities","black.house.gov",426,32,1097,16,1,0,0,7
"DianeBlackTN06","186436274719648_1491154580914471","Rep. Diane Black","2017-01-12","2017-01-12 21:31:37","Thanks to LifeZette for spreading the word about my legislation with Senator Pat Toomey to combat funding for sanctuary cities. It's time to get serious about enforcing our immigration laws - our public safety is at stake.","link","https://www.lifezette.com/polizette/congress-takes-aim-at-sanctuary-city-funding/","lifezette.com",417,43,61,33,6,2,1,5
"DianeBlackTN06","186436274719648_1491896330840296","Rep. Diane Black","2017-01-13","2017-01-13 18:08:38","Today I'm on the House floor leading debate in support of our budget resolution to kick start the repeal of Obamacare. I said I would work to erase this disastrous law, and I meant it.   With this resolution, we are keeping our promise to the American people. You can watch the debate as it continues at www.houselive.gov.","video","https://www.facebook.com/DianeBlackTN06/videos/1491896330840296/",NA,426,91,36,35,0,0,1,21
"DianeBlackTN06","186436274719648_1492022417494354","Rep. Diane Black","2017-01-13","2017-01-13 20:47:57","#BREAKING: The House just voted with my support to pass a resolution paving the way to repeal Obamacare. Read my full statement: http://bit.ly/2ioTlwz","photo","https://www.facebook.com/DianeBlackTN06/photos/a.187001981329744.48130.186436274719648/1492022417494354/?type=3",NA,247,81,27,27,0,0,1,30
"DianeBlackTN06","186436274719648_1494645347232061","Rep. Diane Black","2017-01-16","2017-01-16 15:22:11","Today we honor the inspirational life and legacy of Martin Luther King Jr., who waged a battle for justice armed with truth and love. May we all seek to follow his example.   #MLKDay2017","photo","https://www.facebook.com/DianeBlackTN06/photos/a.187001981329744.48130.186436274719648/1494645347232061/?type=3",NA,81,11,7,3,0,0,0,1
"DianeBlackTN06","186436274719648_1494883300541599","Rep. Diane Black","2017-01-16","2017-01-16 21:10:25","Thanks for the thoughtful birthday wishes, friends!  'Twas a great day for fishing. Ì†ºÌæ£","photo","https://www.facebook.com/DianeBlackTN06/photos/a.187001981329744.48130.186436274719648/1494883300541599/?type=3",NA,1011,171,31,30,0,24,0,0
"DianeBlackTN06","186436274719648_1495633453799917","Rep. Diane Black","2017-01-17","2017-01-17 18:38:13","I joined WKRN Bob Mueller today for a conversation about my fight to repeal Obamacare and my new role as Interim Chairman of the House Budget Committee. Catch our conversation this Saturday at 6 PM CT or Sunday at 11 PM on WKRN-TV Nashville!","photo","https://www.facebook.com/DianeBlackTN06/photos/a.187001981329744.48130.186436274719648/1495633453799917/?type=3",NA,107,15,3,0,0,0,0,2
"DianeBlackTN06","186436274719648_1496661573697105","Rep. Diane Black","2017-01-18","2017-01-18 20:22:30","Rep. Tom Price has been a friend and a mentor to me here in Congress. He is uniquely qualified to serve as Secretary of the U.S. Department of Health and Human Services and he deserves swift confirmation by the Senate.   Read my op-ed in The Hill below:","link","http://thehill.com/blogs/congress-blog/healthcare/314872-why-i-trust-tom-price-for-hhs-secretary","thehill.com",190,19,13,0,0,0,2,5
"DianeBlackTN06","186436274719648_1497680230261906","Rep. Diane Black","2017-01-19","2017-01-19 14:41:15","We're all thinking about President George Bush & Barbara today and sending prayers for a speedy recovery. Get well soon!","status",NA,NA,279,11,5,9,0,0,0,0
