"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"DonaldPayneJr","360976767343741_1163472347094175","Donald M. Payne Jr.","2017-01-03","2017-01-03 15:37:42","I’m deeply disturbed that Republicans decided to start the new Congress by effectively destroying the Office of Congressional Ethics.   Republicans have gutted the one office with independent ethics oversight of members of Congress.   The OCE was founded so that members of the public, members, and congressional staff could issue ethics complaints without retribution.   Putting the OCE under the oversight of House Committee on Ethics threatens the independence of this nonpartisan office, and I strongly oppose this decision.","link","http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?_r=0","nytimes.com",32,19,18,1,0,1,0,10
"DonaldPayneJr","360976767343741_1163657053742371","Donald M. Payne Jr.","2017-01-03","2017-01-03 20:25:24","My statement on House Republicans reversing their plans to gut the independent Office of Congressional Ethics:","photo","https://www.facebook.com/DonaldPayneJr/photos/a.373879842720100.86583.360976767343741/1163657053742371/?type=3",NA,48,1,3,5,0,0,0,0
"DonaldPayneJr","360976767343741_1163664087075001","Donald M. Payne Jr.","2017-01-03","2017-01-03 20:38:23","It's a tremendous honor to be sworn into my 3rd full term representing New Jersey's 10th District. I'll keep fighting to open avenues of opportunity & prosperity for all of my constituents.","photo","https://www.facebook.com/DonaldPayneJr/photos/a.373879842720100.86583.360976767343741/1163664087075001/?type=3",NA,158,24,9,5,2,1,0,0
"DonaldPayneJr","360976767343741_1163716853736391","Donald M. Payne Jr.","2017-01-03","2017-01-03 22:26:32","Republicans are writing rules to silence the voices of the American people. I oppose denying Americans access to their representatives.","link","http://www.politico.com/story/2017/01/house-democrats-sit-in-protest-gop-233129","politico.com",75,15,22,1,0,6,1,6
"DonaldPayneJr","360976767343741_1163782720396471","Donald M. Payne Jr.","2017-01-04","2017-01-04 00:54:12","Tomorrow, Jan. 4, from 10am-3pm, our Newark office will host an Affordable Care Act event for constituents to enroll in health coverage with the help of experts.   The office is located at 60 Nelson Place, 14th Floor, Newark, NJ.   Stop by and get covered!","status",NA,NA,34,2,11,2,0,0,0,0
"DonaldPayneJr","360976767343741_1164194590355284","Donald M. Payne Jr.","2017-01-04","2017-01-04 14:51:45","The Affordable Care Act has made health coverage affordable for millions of Americans. Share your story of how the #ACAworks for you in the comments below. #CoverageMatters","photo","https://www.facebook.com/DonaldPayneJr/photos/a.373879842720100.86583.360976767343741/1164194590355284/?type=3",NA,24,64,16,0,0,0,0,0
"DonaldPayneJr","360976767343741_1164277810346962","Donald M. Payne Jr.","2017-01-04","2017-01-04 17:14:37","Instead of helping American families and growing opportunity, House Republicans have started the new Congress by undermining the Affordable Care Act and silencing speech:","link","http://www.nj.com/politics/index.ssf/2017/01/us_house_makes_it_easier_to_repeal_obamacare_and_harder_to_protest.html#incart_river_index","nj.com",20,5,15,0,0,0,3,15
"DonaldPayneJr","360976767343741_1164475646993845","Donald M. Payne Jr.","2017-01-04","2017-01-04 22:35:56","My statement on House passage of H.R. 21, the Midnight Rules Relief Act of 2017:","photo","https://www.facebook.com/DonaldPayneJr/photos/a.373879842720100.86583.360976767343741/1164475646993845/?type=3",NA,19,3,3,3,1,0,0,0
"DonaldPayneJr","360976767343741_1165035963604480","Donald M. Payne Jr.","2017-01-05","2017-01-05 15:24:48","The Affordable Care Act closed the prescription drug donut hole, saving 211,881 New Jersey seniors, on average, $1,241 on RX drugs each year. The Republicans' plan to repeal the #ACA would roll back this progress.","photo","https://www.facebook.com/DonaldPayneJr/photos/a.373879842720100.86583.360976767343741/1165035963604480/?type=3",NA,12,2,3,2,0,0,0,0
"DonaldPayneJr","360976767343741_1165259330248810","Donald M. Payne Jr.","2017-01-05","2017-01-05 21:44:31","I was proud to stand with fellow Congressional Black Caucus members against Republican plans to #MakeAmericaSickAgain by repealing the Affordable Care Act.","photo","https://www.facebook.com/DonaldPayneJr/photos/a.373879842720100.86583.360976767343741/1165259330248810/?type=3",NA,54,5,3,2,0,0,0,0
