"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"DuncanHunter","79072979038_10154492572309039","Congressman Duncan Hunter","2017-01-06","2017-01-06 15:56:34","San Diego is the example to follow...","link","http://www.foxnews.com/opinion/2017/01/06/rep-duncan-hunter-if-trump-really-wants-beautiful-wall-heres-what-hes-gotta-get-right.html","foxnews.com",171,52,23,17,2,0,0,0
"DuncanHunter","79072979038_10154492701294039","Congressman Duncan Hunter","2017-01-06","2017-01-06 16:48:16","Yes--I did.","link","http://www.foxnews.com/politics/2017/01/06/gop-congressman-takes-down-colleagues-sponsored-art-depicting-police-as-pigs.html","foxnews.com",2637,1476,497,660,33,5,7,20
"DuncanHunter","79072979038_10154499503859039","Congressman Duncan Hunter","2017-01-09","2017-01-09 14:27:35",NA,"link","http://video.foxnews.com/v/5274040251001","video.foxnews.com",484,130,57,64,1,2,3,1
"DuncanHunter","79072979038_10154500166384039","Congressman Duncan Hunter","2017-01-09","2017-01-09 19:31:22",NA,"link","http://www.sandiegouniontribune.com/military/the-intel/sd-me-va-issahunter-20170106-story.html","sandiegouniontribune.com",68,16,18,2,0,0,1,8
"DuncanHunter","79072979038_10154500257729039","Congressman Duncan Hunter","2017-01-09","2017-01-09 20:25:08","Today is law enforcement appreciation day.  To all those who protect and serve--THANK YOU.  Also, here's my commentary today, posted to Fox News.","link","http://www.foxnews.com/opinion/2017/01/09/rep-duncan-hunter-colleagues-art-disrepected-cops.html","foxnews.com",563,153,39,65,0,1,2,10
"DuncanHunter","79072979038_10154502507429039","Congressman Duncan Hunter","2017-01-10","2017-01-10 19:44:13","Doing TV first thing in the morning...","photo","https://www.facebook.com/DuncanHunter/photos/a.10150307374209039.344472.79072979038/10154502507429039/?type=3",NA,528,82,9,41,0,0,0,3
"DuncanHunter","79072979038_10154502512459039","Congressman Duncan Hunter","2017-01-10","2017-01-10 19:55:51","How our liberal LA Times' owned paper in San Diego--The San Diego Union-Tribune--portrays standing up for our men and women in law enforcement across the U.S. I haven't relented on a thing--in fact, the Speaker told me today that the abhorrent painting will be taken down and kept off the walls of the U.S. Capitol.  To the liberal media, it's about a painting on a canvas when in reality its about supporting law enforcement and appreciating the men and women who put their lives on the line every day, especially in the face of recent, targeted cop killings.","photo","https://www.facebook.com/DuncanHunter/photos/a.10150307374209039.344472.79072979038/10154502512459039/?type=3",NA,371,167,55,24,2,2,3,41
"DuncanHunter","79072979038_10154502602684039","Congressman Duncan Hunter","2017-01-10","2017-01-10 20:37:26","First time I met Mattis was in Diwaniya, Iraq.  He chewed my a** for not killing the terrorists who shot up my convoy on the way north from Kuwait.  He's going to help make America Great Again.","photo","https://www.facebook.com/DuncanHunter/photos/a.10150307374209039.344472.79072979038/10154502602684039/?type=3",NA,1331,74,106,105,34,2,0,1
"DuncanHunter","79072979038_10154504722229039","Congressman Duncan Hunter","2017-01-11","2017-01-11 16:59:46","My response to a new report this morning questioning whether General James Mattis committed war crimes in Fallujah, Iraq in April 2004.  I was there--as an Artillery Officer.","link","https://hunter.house.gov/press-release/hunter-responds-report-questioning-whether-marine-corps-general-james-mattis-committed","hunter.house.gov",641,80,271,75,3,7,0,3
"DuncanHunter","79072979038_10154504739889039","Congressman Duncan Hunter","2017-01-11","2017-01-11 17:06:08","John Kelly crushed it yesterday with the U.S. Senate during his hearing to serve as the next Secretary of Homeland Security.   I met Kelly for the first time in Hillah, Iraq in 2003, when we were both Marines.  He too will help Make America Great Again.","status",NA,NA,390,33,12,29,1,0,0,0
