"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"EdJMarkey","6846731378_10154383044486379","Senator Edward J. Markey","2017-01-03","2017-01-03 15:23:35","First order of 'business' for Republicans: vote in secret to gut independent ethics panel. So much for draining the swamp.","link","http://www.vox.com/policy-and-politics/2017/1/2/14149832/house-office-ethics-vote","vox.com",152,59,84,3,3,7,28,235
"EdJMarkey","6846731378_10154385787086379","Senator Edward J. Markey","2017-01-04","2017-01-04 16:30:31","Republican repeal of the Affordable Care Act would rip coverage away from nearly 1.6M newly-insured Americans with substance use disorders, worsening the opioid crisis.   The Republican plan to #MakeAmericaSickAgain hurts seniors, women & the middle class. Repeal of the ACA would create chaos for Americans.","photo","https://www.facebook.com/EdJMarkey/photos/a.500519636378.270731.6846731378/10154385787086379/?type=3",NA,148,38,118,0,3,4,29,81
"EdJMarkey","6846731378_10154385792446379","Senator Edward J. Markey","2017-01-04","2017-01-04 23:00:01","Republican plan to #MakeAmericanSickAgain spells disaster for American women: jeopardizing preventive care, rising premiums + changing coverage.","photo","https://www.facebook.com/EdJMarkey/photos/a.500519636378.270731.6846731378/10154385792446379/?type=3",NA,104,24,109,1,1,0,33,96
"EdJMarkey","6846731378_10154386493186379","Senator Edward J. Markey","2017-01-05","2017-01-05 01:04:52","I'm urging President-elect Trump to reexamine his stated views on President Duterte’s campaign of violence and unequivocally denounce it as morally reprehensible and antithetical to counter-drug approaches that focus on the treatment and rehabilitation of those addicted to drugs, and the fundamental obligation to protect the due process rights of those accused of violating drug laws.","link","http://www.markey.senate.gov/news/press-releases/senator-markey-calls-on-president-elect-trump-to-condemn-philippine-president-dutertes-violent-anti-drug-campaign","markey.senate.gov",169,9,9,7,0,0,1,0
"EdJMarkey","6846731378_10154388807361379","Senator Edward J. Markey","2017-01-05","2017-01-05 21:49:11","Republicans continue their push to deny American women access to health care. Repealing the Affordable Care Act would be disastrous millions of women. #IStandWithPP","link","http://www.cnn.com/2017/01/05/politics/paul-ryan-planned-parenthood-obamacare/","cnn.com",257,49,86,3,1,2,23,178
"EdJMarkey","6846731378_10154391350226379","Senator Edward J. Markey","2017-01-06","2017-01-06 21:15:27","Seismic airgun testing for oil and gas is a significant threat to marine life and coastal economies. The Obama administration’s actions today to protect the Atlantic Ocean from this harmful oil and gas activity will reverberate up and down the East Coast.  In New England, we know that oil and water don’t mix and I will fight any attempt by the Trump administration to open up our coastlines to oil and gas drilling. I applaud  President Obama & Secretary Jewell for their continued efforts to protect our fishing and tourism industries and environment on the East Coast from the threat of an offshore oil spill.","link","http://www.markey.senate.gov/news/press-releases/senator-markey-applauds-denial-of-oil-and-gas-seismic-testing-in-the-atlantic","markey.senate.gov",214,16,19,8,1,2,0,0
"EdJMarkey","6846731378_10154394111736379","Senator Edward J. Markey","2017-01-07","2017-01-07 23:42:48","The revolution began here, in Lexington, in the Berkshires -- the American revolution. The abolitionist movement started here in the Berkshires in Massachusetts ... the movement against the war in Vietnam started here. That is who we are, that is why we matter. We are not just any state, we are the state that begins these revolutions.","link","http://www.masslive.com/politics/index.ssf/2017/01/us_sen_ed_markey_community_act.html","masslive.com",761,37,131,97,1,4,0,0
"EdJMarkey","6846731378_10154395815576379","Senator Edward J. Markey","2017-01-08","2017-01-08 17:08:17","Over 1,000 Bay Staters turned out at the Berkshires Four Freedoms March & Rally to call for action to protect #4freedoms. Thanks to Four Freedoms Coalition, Congressman Richard Neal, Jim Roosevelt, Berkshire Brigades, NAACP-Berkshire County Branch, Berkshire Labor Council & Pittsfield Mayor Linda M. Tyer for all of your efforts. Now is the time - let's keep up the momentum!","video","https://youtu.be/wv-jLRiIoBQ",NA,55,4,0,4,0,0,0,0
"EdJMarkey","6846731378_10154396634736379","Senator Edward J. Markey","2017-01-08","2017-01-08 23:40:33","It was an honor to meet with an inspiring group at Soldier On. We have an obligation to honor our vets by fighting to ensure they have the resources, support & protections they have earned. They fought for us & now we need to fight for them.","photo","https://www.facebook.com/SoldierOn/photos/a.438679831015.235166.143077571015/10154143568391016/?type=3",NA,37,1,0,0,0,0,0,0
"EdJMarkey","6846731378_10154398527056379","Senator Edward J. Markey","2017-01-09","2017-01-09 17:52:13","2016 was 2nd warmest year on record for the United States. We must #ActOnClimate to protect our economy & our environment.","link","https://www.climate.gov/news-features/blogs/beyond-data/2016-historic-year-billion-dollar-weather-and-climate-disasters-us","climate.gov",48,7,0,4,2,0,0,0
"EdJMarkey","6846731378_10154399273561379","Senator Edward J. Markey","2017-01-10","2017-01-10 01:05:52","Let’s recognize that the Republicans are not just repealing the Affordable Care Act, they're repealing hope.  Those suffering from addiction don't have time for Republicans to come up, possibly, maybe, potentially soon, sometime with a replacement plan.  People and families need help now.  Any delay could be the difference between getting clean or getting buried.  This repeal effort is the worst kind of bait and switch.  And it's happening at a time when the American people can least afford it.  And repeal is being done at the same time the Republican budget gives billions in tax breaks to corporations and the wealthy.  https://www.youtube.com/watch?v=PY0yfCyWTHg","video","https://www.facebook.com/EdJMarkey/videos/10154399273561379/",NA,281,28,55,5,1,2,17,31
"EdJMarkey","6846731378_10154400863636379","Senator Edward J. Markey","2017-01-10","2017-01-10 20:00:00","Medical students across our nation oppose the Republican push to repeal the Affordable Care Act & to #MakeAmericaSickAgain.","photo","https://www.facebook.com/EdJMarkey/photos/a.500519636378.270731.6846731378/10154400863636379/?type=3",NA,193,18,16,9,2,0,0,0
"EdJMarkey","6846731378_10154401067376379","Senator Edward J. Markey","2017-01-10","2017-01-10 17:37:50","I have serious concerns about Senator Sessions’ positions on immigration, civil rights, criminal justice reform & LGBT protections. Senator Sessions must be held accountable for all of his statements, views and actions.","photo","https://www.facebook.com/EdJMarkey/photos/a.500519636378.270731.6846731378/10154401067376379/?type=3",NA,207,91,14,6,2,0,1,14
"EdJMarkey","6846731378_10154403092536379","Senator Edward J. Markey","2017-01-11","2017-01-11 14:20:32","Senate Foreign Relations Committee hearing on Rex Tillerson nomination just gaveled. I'm looking forward to asking Mr. Tillerson questions about his views on climate change, nuclear nonproliferation & Russia sanctions.  TUNE IN LIVE","link","http://www.foreign.senate.gov/hearings/nominations-hearing-011117","foreign.senate.gov",166,45,25,6,3,1,1,22
"EdJMarkey","6846731378_10154403127796379","Senator Edward J. Markey","2017-01-11","2017-01-11 15:35:01","It’s been an honor to fight for all Americans, the Affordable Care Act, #ActOnClimate & to work with President Obama to better our country. Please join me, the people of Massachusetts & countless others in thanking President Obama for his service to our nation. I pledge to continue President Obama’s innovation- and excellence-based agenda that will lead to economic growth and job creation across the Commonwealth and America. #YesWeCan","link","https://www.bostonglobe.com/metro/2017/01/10/local-pols-praise-obama-farewell-speech/9zUm83TMnRnuD2GINad5PP/story.html","bostonglobe.com",98,10,3,12,0,0,0,0
"EdJMarkey","6846731378_10154403185671379","Senator Edward J. Markey","2017-01-11","2017-01-11 21:00:01","Massachusetts knows that tough gun laws mean fewer tragedies & can help stop gun violence. In the Senate, I'll continue fighting for federal legislation to increase gun safety & curb gun violence.","link","https://www.bostonglobe.com/metro/2017/01/10/mass-had-lowest-gun-death-rate-country-study-says/jOCtngpzaToQFBdZq43AbP/story.html","bostonglobe.com",686,52,95,51,9,3,0,2
"EdJMarkey","6846731378_10154403689506379","Senator Edward J. Markey","2017-01-11","2017-01-11 20:55:41","Under Rex Tillerson, ExxonMobil expanded its drilling rights in Russia to an area the size of Wyoming. Mr. Tillerson opposed U.S. sanctions against Russia. In light of what we now know about the extent of Russia’s hostile acts against our country, Mr. Tillerson would not support increased sanctions against Russia.    Americans need assurances from Rex Tillerson that as Secretary of State he will put American interests ahead of Exxon & Big Oil's interests. During Tillerson's tenure at ExxonMobil, the company has contributed groups promoting climate change &  clean energy disinformation. When AG Maura Healey Massachusetts Attorney General's Office asked ExxonMobil about their climate denial activities, Exxon sued the AG and the Commonwealth of Massachusetts. Under Tillerson, Exxon tried to silence critics. President-elect Trump & Rex Tillerson must give Americans assurances that the United States and Department of State will continue to lead the world on climate action. It should be a priority of the US to work with other countries to find solutions to climate change & honor the #ParisAgreement.  https://www.youtube.com/watch?v=sG8hvoOhdmE Watch my first round of questions for Mr. Tillerson here ↓","video","https://www.facebook.com/EdJMarkey/videos/10154403689506379/",NA,286,129,218,9,1,15,4,60
"EdJMarkey","6846731378_10154404766516379","Senator Edward J. Markey","2017-01-11","2017-01-11 23:09:19","President-elect Trump tweeted ""The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes."" I questioned his nominee for Secretary of State, Rex Tillerson about that tweet and the President-elects statements about a new arms race.  I also stressed to Mr. Tillerson the important need to make sure that China & Mexico are living up to their promises to combat the flow of deadly fentanyl and other synthetic opioids into the United States. A wall across our southern border will not keep the fentanyl out. https://www.youtube.com/watch?v=zMoyszg1iRo Watch my second round of questions for Mr. Tillerson here ↓","video","https://www.facebook.com/EdJMarkey/videos/10154404766516379/",NA,152,36,14,8,0,0,0,9
"EdJMarkey","6846731378_10154404931571379","Senator Edward J. Markey","2017-01-12","2017-01-12 01:07:00","During Rex Tillerson's tenure at ExxonMobil, President-elect Donald Trump's nominee for Secretary of State, Exxon supported groups opposing climate action and clean energy. The U.S. must continue to lead the world on climate action.  The company also fought against sanctions on Russia, where they control an area the size of Wyoming. Watch my full conversation about my concerns with Mr. Tillerson's nomination with MSNBC Kate Snow ↓https://www.youtube.com/watch?v=TDpgy7yjwrE","video","https://www.facebook.com/EdJMarkey/videos/10154404931571379/",NA,135,22,28,4,0,1,0,16
