"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"GusBilirakis","135445766485586_128453297802870","Rep. Gus Bilirakis","2017-09-18","2017-09-18 17:33:54","Anyone seeking assistance with a federal agency, including those suffering with issues resulting from Hurricane Irma, are invited to meet with a member of my staff and the staff of Senator Bill Nelson during the following joint office hours tomorrow (September 19, 2017):  10:00 a.m. – 12:00 p.m. at the Zephyrhills Public Library                (5347 8th Street, Zephyrhills, FL  33542)                                       and 2:00 p.m. – 4:00 p.m. at the United Way of Pasco           (17230 Camelot Ct.  Land O’ Lakes, FL  34638)  Please contact 727-232-2921 for additional information.","event","https://www.facebook.com/events/128453297802870/",NA,7,3,0,1,0,0,0,0
"GusBilirakis","135445766485586_1468609953169154","Rep. Gus Bilirakis","2017-01-01","2017-01-01 15:00:00","May 2017 be filled with happiness and good health. Happy New Year!","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1468609953169154/?type=3",NA,54,16,1,2,1,0,0,0
"GusBilirakis","135445766485586_1490252364338246","Rep. Gus Bilirakis","2017-01-03","2017-01-03 18:20:09","I opposed the measure to change the Office of Congressional Ethics from the very beginning, and I am glad to see that it will not have a place in the 115th Congress. I am confident that this House will continue to hold Members to the highest ethical standards, fully accountable to the people. The public’s trust must never be taken for granted.","status",NA,NA,101,18,2,2,0,0,0,0
"GusBilirakis","135445766485586_1490313130998836","Rep. Gus Bilirakis","2017-01-03","2017-01-03 19:41:44","It is a privilege to be sworn into the 115th Congress today! Your voices will continue to guide me as your representative in the People’s House, and I pledge to keep working hard to solve problems here at home in Florida and across the country.","status",NA,NA,137,24,0,6,0,0,0,0
"GusBilirakis","135445766485586_1491095064253976","Rep. Gus Bilirakis","2017-01-04","2017-01-04 15:51:40","One of my top priorities this year will continue to be improving care for our nation’s Veterans. In fact, the very first legislation of 2017 passed by the House will help fix problems and increase transparency at the VA. The Ensuring VA Accountability Act would require the VA to maintain thorough, complete records of employee performance, holding those who care for our Veterans accountable.","link","http://www.washingtonexaminer.com/house-votes-to-end-va-scrubbing-of-employee-records/article/2610806","washingtonexaminer.com",40,6,6,3,0,0,0,0
"GusBilirakis","135445766485586_1492417960788353","Rep. Gus Bilirakis","2017-01-05","2017-01-05 18:07:24","Today, I gave my first speech of the 115th Congress to outline my vision for reforming the VA and improving care for Veterans.","video","https://www.facebook.com/GusBilirakis/videos/1492417960788353/",NA,95,14,9,6,0,0,0,0
"GusBilirakis","135445766485586_1492601997436616","Rep. Gus Bilirakis","2017-01-05","2017-01-05 21:09:31","The men and women who dedicated their lives to serving our nation should be compensated fairly for their sacrifices. That’s why the first bill I introduced in the 115th Congress is the Retired Pay Restoration Act, which will ensure that all Veterans who receive retirement payments following their military service can also receive disability payments from the VA. With this bill, we’re making sure Veterans are getting the benefits they have earned and deserve.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1492601997436616/?type=3",NA,33,7,3,1,0,0,0,0
"GusBilirakis","135445766485586_1492769057419910","Rep. Gus Bilirakis","2017-01-06","2017-01-06 00:34:08","Now is the time to rebuild our relationship with Israel, and signal to her and the rest of the world where America stands. Last month, the United Nations, with the blessing of the Obama Administration, single-handedly damaged the US’s longstanding relationship with our best and only democratic ally in the Middle East. That is not who we are as a country, and that is not the direction we want to go. I am proud the House today demonstrated overwhelming bipartisan support for condemning these anti-Israel actions.","link","http://townhall.com/tipsheet/cortneyobrien/2017/01/05/congress-votes-to-condemn-antiun-resolution-n2267731","townhall.com",68,6,13,6,0,0,0,0
"GusBilirakis","135445766485586_1493776823985800","Rep. Gus Bilirakis","2017-01-06","2017-01-06 20:22:04","Today I’m thinking of my friends celebrating in Tarpon Springs at the largest Epiphany celebration in the Western Hemisphere. Although I’m in Washington, D.C. fulfilling my legislative duties, I hope to be with you all next year.  Xronia Polla!","video","https://www.facebook.com/GusBilirakis/videos/1493776823985800/",NA,142,8,5,3,0,0,0,0
"GusBilirakis","135445766485586_1493856980644451","Rep. Gus Bilirakis","2017-01-06","2017-01-06 22:00:00","My prayers are with the #FLL victims and their families after today’s shooting. Thank you to the first responders for your courage.","status",NA,NA,33,1,0,0,0,0,4,0
"GusBilirakis","135445766485586_1493892763974206","Rep. Gus Bilirakis","2017-01-06","2017-01-06 22:39:08","As the 115th Congress kicks off, please know that my staff and I are ready to work for you! Call my office in D.C. at 202-225-5755 or in Florida at 727-232-2921 if we can ever be of assistance.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1493892763974206/?type=3",NA,103,15,4,9,0,1,0,0
"GusBilirakis","135445766485586_1496790387017777","Rep. Gus Bilirakis","2017-01-09","2017-01-09 22:28:24","Seven blue lights on my windowsill representing the five Florida law enforcement officers we lost in the past year, as well as Orlando Police Officer Master Sgt. Debra Clayton who was gunned down this morning and Tarpon Springs Police Officer Charles “Charlie” Kondek whose end of watch was December 21, 2014. For National Law Enforcement Appreciation Day, join me in thanking those who serve and protect our communities. We must never forget their sacrifices.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1496790387017777/?type=3",NA,71,4,6,6,0,0,22,1
"GusBilirakis","135445766485586_1497555710274578","Rep. Gus Bilirakis","2017-01-10","2017-01-10 18:24:53","Families across Florida are feeling the burden of Obamacare. Premiums have skyrocketed an average of 19% in our state, and insurers are fleeing the market left and right. In fact, 73% of counties in Florida only have one insurance provider, leaving people with higher costs and less choice when it comes to their health care. House Republicans are offering solid solutions to make our nation’s health care system work for everyone, without pulling the rug out from anybody’s feet. We’re focused on a more affordable, more personalized health care plan that empowers patients, not Washington.","video","https://www.facebook.com/GusBilirakis/videos/1497555710274578/",NA,96,44,26,6,0,0,0,6
"GusBilirakis","135445766485586_1498551916841624","Rep. Gus Bilirakis","2017-01-11","2017-01-11 18:48:30","Human trafficking isn’t only happening in other countries, we’ve seen it right here in Pasco County. January is Human Trafficking Awareness Month, and I’m thinking of the millions of men, women, and children—the most vulnerable among us—exploited by human traffickers. We must continue the fight to end human trafficking and restore people their fundamental rights.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1498551916841624/?type=3",NA,30,7,3,0,0,0,1,0
"GusBilirakis","135445766485586_1499747703388712","Rep. Gus Bilirakis","2017-01-12","2017-01-12 20:28:34","I’m honored to have the chance to serve as Vice Chairman of the House VA Committee. With over 70,000 Veterans in my district, and two major VA hospitals, I am dedicated to standing up for the men and women who have worn our nation’s uniform. I look forward to working with Chairman Dr. Phil Roe and my colleagues to improve care for Veterans, and bring much needed accountability and reform to the VA. If you or a loved one are experiencing problems dealing with the VA, please call my office at 727-232-2921.","link","https://bilirakis.house.gov/media-center/press-releases/house-va-committee-names-bilirakis-as-vice-chairman","bilirakis.house.gov",131,23,18,6,0,0,0,0
"GusBilirakis","135445766485586_1499821206714695","Rep. Gus Bilirakis","2017-01-12","2017-01-12 22:04:16","I spoke on the House floor today about my legislation to make sure first responders have a stockpile of medical kits, protective gear, ventilators, and more in the event of an emergency. During a crisis like a terrorist attack or major hurricane, our first responders bravely risk their lives on behalf of our safety. I introduced this bill to protect the public, and “protect our protectors.”","video","https://www.facebook.com/GusBilirakis/videos/1499821206714695/",NA,59,16,6,1,0,0,0,0
"GusBilirakis","135445766485586_1500666629963486","Rep. Gus Bilirakis","2017-01-13","2017-01-13 17:51:45","One week out from Inauguration Day! I’m looking forward to welcoming constituents from Florida’s 12th District to the nation’s capital for the ceremonies.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1500666629963486/?type=3",NA,73,19,1,4,0,0,2,0
"GusBilirakis","135445766485586_1501716126525203","Rep. Gus Bilirakis","2017-01-14","2017-01-14 17:53:24","I’m very pleased the VA announced it would publish the rule to expand benefits to all Veterans who were exposed to contaminated water at Camp Lejeune. I have long advocated for this rule, and authored legislation to help make it happen. Those Veterans already gave so much on behalf of our nation, it was not right they had to sacrifice their overall health, too. Finally, the men and women who served at Camp Lejeune will have better access to the benefits they need and have earned.","video","https://www.facebook.com/GusBilirakis/videos/1501716126525203/",NA,163,25,22,13,0,0,0,0
"GusBilirakis","135445766485586_1502151336481682","Rep. Gus Bilirakis","2017-01-15","2017-01-15 02:28:59","Celebrating Russian Orthodox New Year with good friend, John Catsimatidis.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1502151336481682/?type=3",NA,73,7,2,0,0,0,0,0
"GusBilirakis","135445766485586_1503303276366488","Rep. Gus Bilirakis","2017-01-16","2017-01-16 02:32:57","Enjoyed spending this evening with my good friends of AIPAC, including Brian Taub,  at the annual Tampa event. My simple bipartisan message was loud and clear: the US-ISRAEL bond is unshakeable!","photo","https://www.facebook.com/GusBilirakis/photos/a.738731459490344.1073741840.135445766485586/1503303229699826/?type=3",NA,27,4,0,1,0,0,1,0
"GusBilirakis","135445766485586_1503845462978936","Rep. Gus Bilirakis","2017-01-16","2017-01-16 16:18:49","Today we honor the life of a great man and a pioneer of justice, Martin Luther King, Jr. We remember his call for America to live up to its promises of freedom and equality for all. May his legacy live on.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1503845462978936/?type=3",NA,17,5,0,0,0,0,0,0
"GusBilirakis","135445766485586_1503849516311864","Rep. Gus Bilirakis","2017-01-16","2017-01-16 21:00:00","231 years ago today in 1786, the Virginia General Assembly adopted Thomas Jefferson’s Statue for Religious Freedom, the landmark clause which later became the basis for our First Amendment rights. On National Religious Freedom Day, let us join together in honor of one of the fundamental principles our great nation was founded upon. As a member of the International Religious Freedom Caucus, and as a Greek Orthodox Christian, I will continue to promote religious liberty in our nation and around the world.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1503849516311864/?type=3",NA,35,14,6,1,0,0,0,0
"GusBilirakis","135445766485586_1505876132775869","Rep. Gus Bilirakis","2017-01-18","2017-01-18 16:30:18","Floridians visiting Washington, D.C. for the inauguration are invited to my office for an open house tomorrow. Hope to see you there!","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1505876132775869/?type=3",NA,52,15,8,6,0,0,0,0
"GusBilirakis","135445766485586_1505948709435278","Rep. Gus Bilirakis","2017-01-18","2017-01-18 18:10:44","Thank you to the Upper Tampa Bay Chamber for inviting me to your meeting today! I’m working to make sure the government gets out of the way to allow small businesses in our community to grow and flourish.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1505948709435278/?type=3",NA,37,6,1,5,0,0,0,0
"GusBilirakis","135445766485586_1507039702659512","Rep. Gus Bilirakis","2017-01-19","2017-01-19 15:18:48","341 Florida National Guardsmen are in Washington, D.C. this week, joining the thousands of military members from around the country to provide security assistance for the inauguration. Join me in thanking these brave men and women for all they do to keep us safe!","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1507039702659512/?type=3",NA,67,12,4,8,1,1,0,0
"GusBilirakis","135445766485586_1507160252647457","Rep. Gus Bilirakis","2017-01-19","2017-01-19 17:57:54","Very excited to welcome these Floridians to Washington, D.C. for the inaugural celebration!","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1507159699314179/?type=3",NA,76,8,5,5,0,0,0,0
"GusBilirakis","135445766485586_1508067602556722","Rep. Gus Bilirakis","2017-01-20","2017-01-20 17:58:47","Today, we witnessed the peaceful transition of power, a freedom we have been blessed with since America’s founding. Regardless of your political views, let us come together in support for our great nation and hope for a bright future. I look forward to working with the Trump Administration to strengthen our economy, keep Americans safe from threats at home and abroad, and honor our nation’s military and Veterans. God bless America today and every day in this new chapter of her history.","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1508067155890100/?type=3",NA,168,48,13,14,0,0,3,2
"GusBilirakis","135445766485586_1509145755782240","Rep. Gus Bilirakis","2017-01-21","2017-01-21 17:00:47","What a humbling moment on the eve of the inauguration. For my work in Congress, especially as it relates to religious freedom, I was presented the Medal of St. Paul, the highest honor in the Greek Orthodox Church for a lay person, by  His Eminence Archbishop Demetrios.  Congratulations to my co-honoree, friend, fellow Archon in the Greek Orthodox church, and Trump White House Chief of Staff Reince Priebus. I can’t wait to work with Reince and the Trump Administration on an agenda that will make healthcare affordable, secure our borders, completely overhaul the tax code, and honor our Veterans!","photo","https://www.facebook.com/GusBilirakis/photos/a.738731459490344.1073741840.135445766485586/1509145725782243/?type=3",NA,159,25,8,22,0,0,0,0
"GusBilirakis","135445766485586_1510806768949472","Rep. Gus Bilirakis","2017-01-23","2017-01-23 01:52:58","As dangerous weather sweeps over the Tampa Bay area, please pay heed to local weather reports and  reach out to my office if you have any weather related emergencies.  Our local number is 727-232-2921. PLEASE STAY SAFE!","link","http://www.tampabay.com/news/weather/sunday-forecast-showers-and-strong-thunderstorms-likely-during-afternoon/2310452","tampabay.com",10,4,1,0,0,1,0,0
"GusBilirakis","135445766485586_1512806122082870","Rep. Gus Bilirakis","2017-01-24","2017-01-24 14:26:40","If you need assistance with a federal agency like the IRS, Social Security, or the VA, my staff will be holding office hours in Wesley Chapel this week. We will do everything we can to get you results!","photo","https://www.facebook.com/GusBilirakis/photos/a.196462210383941.52954.135445766485586/1512806122082870/?type=3",NA,12,9,1,2,0,0,0,0
"GusBilirakis","135445766485586_1514027438627405","Rep. Gus Bilirakis","2017-01-25","2017-01-25 14:55:40","What changes do you want to see in our nation’s health care system? I will be holding listening sessions on health care reform, including the repeal and replacement of Obamacare, in Pasco and Pinellas counties—and I want to hear from you!","video","https://www.facebook.com/GusBilirakis/videos/1514027438627405/",NA,67,66,197,0,0,0,0,0
