"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"GwenSMoore","58864029545_10155751752144546","Gwen S. Moore","2017-01-02","2017-01-02 06:28:23","Starting the new year off right! Congrats to our Green Bay Packers! #PackerNation","photo","https://www.facebook.com/wisn12/photos/a.10150237985640284.477219.27357795283/10158014108830284/?type=3",NA,36,0,0,7,0,0,0,1
"GwenSMoore","58864029545_10155757860774546","Gwen S. Moore","2017-01-03","2017-01-03 15:27:45","I guess #DrainTheSwamp means gutting the independent Office of Congressional Ethics behind closed doors without any advance notice or debate on the matter. Have you no shame, House Republicans?","link","http://www.cnn.com/2017/01/02/politics/office-of-congressional-ethics-oversight-of-ethics-committee-amendment/","cnn.com",49,22,21,0,0,3,7,58
"GwenSMoore","58864029545_10155758348134546","Gwen S. Moore","2017-01-03","2017-01-03 17:55:25","House Republicans have decided to step back from their plan to scrap the Office of Congressional Ethics, but the American people can see this for what it really is: a PR stunt to stop the bleeding. Keep your eye on the ball, friends. Stay vigilant, engaged, and continue voicing your outrage against such egregious behavior!","link","http://thehill.com/homenews/house/312496-house-gop-scraps-plan-to-gut-ethics-watchdog-after-emergency-meeting","thehill.com",368,27,95,16,0,4,5,22
"GwenSMoore","58864029545_10155762711024546","Gwen S. Moore","2017-01-04","2017-01-04 20:00:00","Nothing will deter my Democratic colleagues and I from standing up for those battling poverty, the middle class, communities of color, reproductive justice, disability rights, and equality. Your voice matters. Your opinion matters. You matter. Don't let anyone tell you differently. We are the #OppositionParty. We are the #TrueMajority. And we're not going anywhere.","link","https://www.dailykos.com/story/2016/12/21/1613433/-Wisconsin-Democrat-gives-a-short-and-sweet-pep-talk-We-are-the-TrueMajority","dailykos.com",288,20,20,57,0,1,0,1
"GwenSMoore","58864029545_10155763181054546","Gwen S. Moore","2017-01-04","2017-01-04 23:25:38","Milwaukee County Sheriff David A. Clarke Jr would have more time to do his job if he weren't so busy vying for an internship in President-elect Donald J. Trump's administration. Milwaukee needs a real sheriff, not a partisan agitator with a cowboy hat.","link","http://www.businessinsider.com/david-clarke-milwaukee-fox-news-sheriff-profile-2017-1","businessinsider.com",437,48,87,23,13,7,6,76
"GwenSMoore","58864029545_10155763850464546","Gwen S. Moore","2017-01-05","2017-01-05 03:40:43","Check out our Milwaukee Bucks! #OwnTheFuture","video","https://www.facebook.com/milwaukeebucks/videos/10154273714902817/",NA,31,2,0,3,0,0,0,0
"GwenSMoore","58864029545_10155765745659546","Gwen S. Moore","2017-01-05","2017-01-05 18:35:38","Planned Parenthood of Wisconsin plays a critical role in the health of my constituents, both men and women. Shuttering this vital organization will deal a crushing blow to our community. We need to do everything in our collective power to keep Planned Parenthood open! #IStandWithPlannedParenthood","photo","https://www.facebook.com/GwenSMoore/photos/a.10150497126089546.463708.58864029545/10155765745659546/?type=3",NA,121,16,30,2,0,2,11,51
"GwenSMoore","58864029545_10155769896634546","Gwen S. Moore","2017-01-06","2017-01-06 20:51:32","President-elect Donald J. Trump and Republicans in Congress are obsessed with repealing Obamacare and defunding Planned Parenthood. They seek to disempower women by denying us access to basic healthcare. These egregious acts will devastate millions of women who depend on their insurance coverage for birth control, maternity care, and other live-saving services.  Your voice matters. Your opinions matter. You matter. We must stand up to any attack on women’s health! Tell those in power that you oppose any and all efforts to undermine Obamacare and defund Planned Parenthood.   Our lives depend on it.","video","https://www.facebook.com/GwenSMoore/videos/10155769896634546/",NA,129,21,42,4,0,0,3,47
"GwenSMoore","58864029545_10155777297559546","Gwen S. Moore","2017-01-09","2017-01-09 01:07:14","Congratulations to our Green Bay Packers! I had a great time live tweeting the game. Follow me on Twitter and join me next Sunday as we take on the Dallas Cowboys in Texas! #PackersNation","photo","https://www.facebook.com/GwenSMoore/photos/a.10150497126089546.463708.58864029545/10155777297559546/?type=3",NA,86,4,4,11,2,0,0,0
"GwenSMoore","58864029545_10155780412639546","Gwen S. Moore","2017-01-09","2017-01-09 23:30:03","The families of those who died in Milwaukee County Sheriff David A. Clarke Jr's jail need answers and clarity. Sadly, our AWOL sheriff is more concerned with his brand than his actual job. Milwaukee deserves better! Just shameful!","link","http://www.businessinsider.com/gwen-moore-david-clarke-milwaukee-jail-deaths-2017-1","businessinsider.com",255,28,52,1,0,3,19,75
"GwenSMoore","58864029545_10155787694009546","Gwen S. Moore","2017-01-12","2017-01-12 00:01:04","Today I'm wearing blue in recognition of Human Trafficking Awareness Day. We must continue working together to end this heinous crime. That's why I co-authroed the bipartisan Stop Exploitation Through Trafficking Act with Congressman Erik Paulsen​ in the 114th Congress. I'd like to thank all the organizations who are fighting to end human trafficking including the Human Trafficking Task Force of Greater Milwaukee​. Their incredible work and continued support is needed now more than ever before. #HumanTraffickingAwarenessDay","photo","https://www.facebook.com/GwenSMoore/photos/a.10150497126089546.463708.58864029545/10155787694009546/?type=3",NA,224,12,13,14,0,1,2,0
"GwenSMoore","58864029545_10155792396179546","Gwen S. Moore","2017-01-12","2017-01-12 20:13:00","I cannot support the nomination of Senator Jeff Sessions for U.S. Attorney General. Put simply, he appears to be completely tone-deaf to the cries of African Americans across our country to protect their voting rights. The Attorney General must protect the civil rights of all the citizens and I just don't know that he will be willing or able to do that.","video","https://youtu.be/Nw9S4owH3q8",NA,478,58,42,53,0,0,8,2
"GwenSMoore","58864029545_10155793022389546","Gwen S. Moore","2017-01-12","2017-01-12 23:52:31","As an advocate for social programs aimed at combating poverty, it deeply offends me that there is such a deep stigma surrounding those who depend on government benefits, especially as a former welfare recipient. In the wake of several nationwide efforts by Republicans to drug test social welfare recipients, I recently introduced the Top 1% Accountability Act, requiring drug testing for all tax filers claiming itemized deductions in any year over $150,000. Tune in tomorrow to The Doctors as I discuss my bill and what we can do to end the criminalization of poverty.","link","http://www.thedoctorstv.com/","thedoctorstv.com",101,10,21,14,1,0,0,0
"GwenSMoore","58864029545_10155796684164546","Gwen S. Moore","2017-01-13","2017-01-13 22:16:33","In response to comments by Speaker Paul Ryan to defund Planned Parenthood as part of his plan to repeal the Affordable Care Act, a large group of volunteers visited the Speaker’s office last week to deliver nearly 90,000 petitions in opposition to the Republican-led effort. When the volunteers arrived at the Speaker Ryan’s office, they were met by Capitol Police and a locked door.   With few options before them, I opened my doors to these volunteers and offered to assist in the temporary storage and delivery of their petitions to Speaker Ryan.   I can’t help but to notice the symbolism inherent in Speaker Ryan’s actions: When it comes to women’s health and reproductive rights, Speaker Ryan’s door is closed. I, on the other hand, refuse to close my door on any organization committed to my constituents’ well-being. I look forward to meeting with Speaker Ryan to personally deliver these petitions so that the voices of the American public can be heard loud and clear.","video","https://www.youtube.com/watch?v=G1l2bmNAlpc",NA,614,124,190,177,0,3,2,13
