"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"HurdOnTheHill","615867588540441_1023725807754615","U.S. Representative Will Hurd","2017-01-01","2017-01-01 14:45:02","Wishing you a year of peace and prosperity. #HappyNewYear!","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1023725807754615/?type=3",NA,68,4,1,4,0,0,0,0
"HurdOnTheHill","615867588540441_1024344041026125","U.S. Representative Will Hurd","2017-01-01","2017-01-01 06:00:00","Happy New Year, folks!","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1024344041026125/?type=3",NA,178,10,6,11,0,0,0,0
"HurdOnTheHill","615867588540441_1032389246888271","U.S. Representative Will Hurd","2017-01-01","2017-01-01 21:29:30",NA,"photo","https://www.facebook.com/HurdOnTheHill/photos/a.616338741826659.1073741827.615867588540441/1032389246888271/?type=3",NA,32,3,2,0,0,0,0,0
"HurdOnTheHill","615867588540441_1033822133411649","U.S. Representative Will Hurd","2017-01-03","2017-01-03 22:02:48","Hand on the Bible and a Ì†ΩÌ±çÌ†ºÌøΩ, I'm sworn in and ready to get this session going. #BackToWork","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1033822133411649/?type=3",NA,1189,81,31,70,0,0,0,1
"HurdOnTheHill","615867588540441_1033836840076845","U.S. Representative Will Hurd","2017-01-04","2017-01-04 00:21:00","Proud that the first bills we passed in the new Congress will help make the VA more accountable and improve healthcare for our nation's veterans.","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1033836840076845/?type=3",NA,213,9,5,16,0,0,1,0
"HurdOnTheHill","615867588540441_1034589290001600","U.S. Representative Will Hurd","2017-01-04","2017-01-04 23:44:34","Great meeting with VP-elect Mike Pence on Capitol Hill today.","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1034589290001600/?type=3",NA,573,27,13,16,0,1,1,1
"HurdOnTheHill","615867588540441_1035081266619069","U.S. Representative Will Hurd","2017-01-05","2017-01-05 16:58:05","The beautiful Kaya Lyle dropped in for a visit today and brought her owner Cole Lyle with her. #pawsact #gigem","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1035081266619069/?type=3",NA,96,3,1,5,0,1,0,0
"HurdOnTheHill","615867588540441_1035132949947234","U.S. Representative Will Hurd","2017-01-05","2017-01-05 19:51:00","Great, free community event tomorrow in Del Rio, Texas. Thank you H-E-B!","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1035132949947234/?type=3",NA,21,5,28,2,0,0,0,0
"HurdOnTheHill","615867588540441_1035141219946407","U.S. Representative Will Hurd","2017-01-06","2017-01-06 21:22:00","Amistad National Recreation Area is hosting a bird hike tomorrow starting at 9am. Break out your binoculars!","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1035141219946407/?type=3",NA,7,0,0,0,0,0,0,0
"HurdOnTheHill","615867588540441_1035765543217308","U.S. Representative Will Hurd","2017-01-06","2017-01-06 16:59:00","I love gadgets! For National #TechnologyDay, will you share which technological marvel has had the greatest impact on your life?","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1035765543217308/?type=3",NA,13,5,2,0,0,0,0,0
"HurdOnTheHill","615867588540441_1036642833129579","U.S. Representative Will Hurd","2017-01-07","2017-01-07 18:40:27","Encryption is good for our economy and national security. We can chase bad guys, protect digital infrastructure, and protect civil liberties at the same time. #CES2017 CES","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1036642833129579/?type=3",NA,42,3,2,0,0,0,0,0
"HurdOnTheHill","615867588540441_1036821506445045","U.S. Representative Will Hurd","2017-01-08","2017-01-08 01:47:34","Lots of great beans to try at San Antonio Coffee Festival including #TX23's Big Bend Coffee Roasters in Marfa. #SmallBizSaturday","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1036821506445045/?type=3",NA,49,0,3,0,0,0,0,0
"HurdOnTheHill","615867588540441_1037521103041752","U.S. Representative Will Hurd","2017-01-09","2017-01-09 01:42:11","This is how Team Hurd kicks off a new year!  Cc: Historic El Paso Mission Trail, El Paso Mission Trail Association, Consumer Technology Association (CTA), CES, San Antonio Police Department, US Army Recruiting Command (USAREC), DreamWeek / DreamVoice, Speaker Paul Ryan, San Antonio Coffee Festival, Big Bend Coffee Roasters","video","https://www.facebook.com/HurdOnTheHill/videos/1037521103041752/",NA,57,4,3,0,0,0,0,0
"HurdOnTheHill","615867588540441_1037865093007353","U.S. Representative Will Hurd","2017-01-12","2017-01-12 15:23:00","The Pecos County Livestock Show starts tomorrow at 9AM at the Pecos County Coliseum in Fort Stockton.","link","http://www.texashighways.com/events/?selectedEvent=33110468","texashighways.com",8,0,3,0,0,0,0,0
"HurdOnTheHill","615867588540441_1037931359667393","U.S. Representative Will Hurd","2017-01-11","2017-01-11 21:28:01","Who's headed to the Pecos County Livestock Show this weekend? #WestTexasWednesday","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1037931359667393/?type=3",NA,11,1,0,0,0,0,0,0
"HurdOnTheHill","615867588540441_1038016389658890","U.S. Representative Will Hurd","2017-01-09","2017-01-09 19:56:44","The #bluelight is burning in Cannon 317 in honor of #LawEnforcementAppreciationDay. #SupportBlue Congressman Dave Reichert","photo","https://www.facebook.com/HurdOnTheHill/photos/a.618163391644194.1073741828.615867588540441/1038016389658890/?type=3",NA,58,1,1,4,0,0,0,0
