"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"JimCooper","6627436391_10154986752861392","Jim Cooper","2017-01-03","2017-01-03 15:21:03","After promising to ""drain the swamp,"" Republicans' first vote in the new Congress is to stop policing the alligators. Congressional ethics were already low, but this vote will take them lower. This is a terrible way to begin the new Congress. http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news&_r=0","link","http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news&_r=0","nytimes.com",115,35,41,0,0,3,13,65
"JimCooper","6627436391_10154990887326392","Jim Cooper","2017-01-04","2017-01-04 18:27:56","Tennesseans work hard for their money. Congress knows what it should cut; it just needs to do the job. This commonsense bill needs to become law before more taxpayer dollars are wasted.   http://cooper.house.gov/media-center/press-releases/house-passes-cooper-walberg-transparency-bill-in-first-week-of-congress","link","http://cooper.house.gov/media-center/press-releases/house-passes-cooper-walberg-transparency-bill-in-first-week-of-congress","cooper.house.gov",280,22,29,12,0,2,0,0
"JimCooper","6627436391_10154993558251392","Jim Cooper","2017-01-05","2017-01-05 18:25:05","This is great news for Cheatham County School District! I’m glad the FCC reversed the decision and the school district can get money owed for internet service.  http://www.tennessean.com/story/news/local/cheatham/2017/01/04/fcc-reverses-ruling-grants-school-district-federal-money-internet/96159148/","status",NA,NA,54,0,7,2,0,0,0,0
"JimCooper","6627436391_10154993907266392","Jim Cooper","2017-01-05","2017-01-05 21:43:09","The Constitution requires all U.S. presidents to be free from foreign influence and control. No president is above the law. I do not object to President-elect Trump’s business interests, but the Constitution requires him, while he is President, to work only for American taxpayers, no one else. He should take the necessary steps to comply with the Constitution he will be sworn to uphold.   That's why I've joined my colleagues in calling on Trump to comply with the Constitution and eliminate his foreign financial conflicts of interest: http://cooper.house.gov/media-center/press-releases/cooper-calls-on-trump-to-comply-with-constitution-and-eliminate-0  http://www.nytimes.com/2016/11/21/us/politics/donald-trump-conflict-of-interest.html?_r=1","link","http://www.nytimes.com/2016/11/21/us/politics/donald-trump-conflict-of-interest.html?_r=1","nytimes.com",956,185,235,70,1,3,1,28
"JimCooper","6627436391_10155008445961392","Jim Cooper","2017-01-10","2017-01-10 21:44:17","Almost every Tennessean is suspicious of Russia and Putin, and rightly so. It would be wrong to overlook the attack on America by some of our worst enemies. We cannot sweep this under the rug. We should learn what happened and make sure it never happens again.   http://cooper.house.gov/media-center/press-releases/cooper-calls-for-independent-commission-to-investigate-russian-hacking","link","http://cooper.house.gov/media-center/press-releases/cooper-calls-for-independent-commission-to-investigate-russian-hacking","cooper.house.gov",1188,131,134,91,2,0,0,6
"JimCooper","6627436391_10155018907931392","Jim Cooper","2017-01-13","2017-01-13 17:53:31","I'm glad to join the New Democrat Coalition opposing ACA repeal. Middle Tennesseans need access to health care.  https://newdemocratcoalition-himes.house.gov/media-center/press-releases/new-democrat-coalition-opposes-speaker-ryan-s-plan-to-repeal-aca","link","https://newdemocratcoalition-himes.house.gov/media-center/press-releases/new-democrat-coalition-opposes-speaker-ryan-s-plan-to-repeal-aca","newdemocratcoalition-himes.house.gov",713,75,48,66,0,1,1,10
"JimCooper","6627436391_10155019465751392","Jim Cooper","2017-01-13","2017-01-13 21:38:32","Republicans are playing with fire. Tennessee lives are at stake. The Affordable Care Act needs to be fixed, not destroyed. Republicans have no replacement, and sensible Republicans know they need one now. Today’s vote also increases the national debt by $9.5 trillion. That is irresponsible.  http://cooper.house.gov/media-center/press-releases/cooper-opposes-republican-attempt-to-repeal-affordable-care-act","link","http://cooper.house.gov/media-center/press-releases/cooper-opposes-republican-attempt-to-repeal-affordable-care-act","cooper.house.gov",1124,138,247,83,1,6,11,111
"JimCooper","6627436391_10155040140456392","Jim Cooper","2017-01-20","2017-01-20 18:57:00","President Trump gave a speech more like a campaign rally than an inaugural. I hope President Trump will stop tweeting about minor issues and start governing, but it will probably take a while for him to find his footing. In the meantime, America and the world are in for a roller-coaster ride as he learns the job. I pray that he is ready for the many challenges ahead.","status",NA,NA,1130,165,69,55,3,4,101,11
"JimCooper","6627436391_10155044297656392","Jim Cooper","2017-01-21","2017-01-21 20:33:51","What a day! Martha and I were glad to join so many friends at the #womensmarch in Nashville!","photo","https://www.facebook.com/JimCooper/photos/a.109819456391.94873.6627436391/10155044297656392/?type=3",NA,2809,212,163,534,4,1,9,2
"JimCooper","6627436391_10155066146241392","Jim Cooper","2017-01-27","2017-01-27 14:38:44","Knowledge is power and it’s never been more important to stay informed. There are a lot of changes proposed by our new president, and it’s hard to keep up. Plus, it’s hard to know what’s real news and what’s fake.  Starting today, our office is starting the IssueWatch project, a twice-weekly online newsletter dedicated to Middle Tennesseans interested in important congressional updates and other major happenings in Washington.  Sign up here: https://cooper.house.gov/issuewatch","link","https://cooper.house.gov/contact/newsletter","cooper.house.gov",1291,159,430,110,0,5,0,0
