"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"JodeyArrington","1844376572506101_1844387612504997","Congressman Jodey Arrington","2017-01-02","2017-01-02 20:24:07",NA,"photo","https://www.facebook.com/JodeyArrington/photos/a.1844381342505624.1073741827.1844376572506101/1844387612504997/?type=3",NA,23,0,1,1,0,0,0,0
"JodeyArrington","1844376572506101_1844864255790666","Congressman Jodey Arrington","2017-01-03","2017-01-03 17:09:58","Today is a special day for me and my family.  This afternoon I will have the privilege of being sworn in as the fifth U.S. Representative from the 19th District of Texas.  I consider this a sacred honor entrusted to me by God and the people of West Texas, and am committed to serving accordingly.   My family and I enter this solemn occasion with much gratitude and humility.  Please pray for the Lord’s wisdom, understanding and protection as we strive to uphold the constitution and values of District 19.","status",NA,NA,44,4,0,3,0,0,0,0
"JodeyArrington","1844376572506101_1845356929074732","Congressman Jodey Arrington","2017-01-04","2017-01-04 18:44:15","I am honored to be sworn in as only the 5th representative for the nineteenth district of Texas. I am also proud to have my loving family at my side as we kickoff the 115th Congress.     West Texas is a special place full of hardworking people with traditional values and a deep love for our families and country. As your Congressman, I will work daily to ensure our nation’s leaders understand the importance and uniqueness of our great region. Rural America needs a voice in Washington and America needs our rural communities!","photo","https://www.facebook.com/JodeyArrington/photos/a.1845357009074724.1073741828.1844376572506101/1845356929074732/?type=3",NA,100,3,0,9,0,0,0,0
"JodeyArrington","1844376572506101_1845430055734086","Congressman Jodey Arrington","2017-01-04","2017-01-04 22:30:01","Today, I had the distinct honor of becoming the first freshman Member of the 115th Congress to preside over the House Floor.  As I took the gavel, I was proud to hold the values and voices of the people of West Texas with me.","photo","https://www.facebook.com/JodeyArrington/photos/a.1845357009074724.1073741828.1844376572506101/1845430055734086/?type=3",NA,515,60,33,17,0,2,0,0
"JodeyArrington","1844376572506101_1845932165683875","Congressman Jodey Arrington","2017-01-06","2017-01-06 00:13:25","Israel is our steadfast ally and the only true democracy in the Middle East.  I am proud to stand with Israel through this resolution denouncing President Obama’s deplorable treatment of our longtime partner in freedom. I applaud my colleague, Congressman Ed Royce (CA-39), for his leadership.    Rest assured, I will continue to work tirelessly alongside our new administration to repair our partnership with Israel.","status",NA,NA,63,7,1,2,0,0,0,1
"JodeyArrington","1844376572506101_1846308572312901","Congressman Jodey Arrington","2017-01-06","2017-01-06 19:02:07","As part of The Great Compromise, the electoral college ensured that the American people throughout our united states would have balanced representation in the election process. The genius of our Founding Fathers was their ability to ensure every state played an equal role in ‘a more perfect union.’  Today, Congress confirmed the votes of the electoral college and Donald J. Trump as the next President of the United States. We are now one step closer to having a Republican held House, Senate, and White House. It’s now time to get to work and move our country in the direction that ‘We the People’ voted for on November 8th","status",NA,NA,45,4,2,6,0,0,0,3
"JodeyArrington","1844376572506101_1846313548979070","Congressman Jodey Arrington","2017-01-06","2017-01-06 19:20:14",NA,"photo","https://www.facebook.com/JodeyArrington/photos/a.1844377572506001.1073741825.1844376572506101/1846313548979070/?type=3",NA,39,6,2,1,0,1,0,2
"JodeyArrington","1844376572506101_1847728875504204","Congressman Jodey Arrington","2017-01-09","2017-01-09 18:14:19","On National Law Enforcement Appreciation Day, I am proud to join eleven other newly-elected Members of Congress in signing a letter to President Obama urging him to light the White House blue to honor our public servants.","link","https://arrington.house.gov/sites/arrington.house.gov/files/Law%20Enforcement%20Letter.pdf","arrington.house.gov",74,7,6,2,0,0,0,0
"JodeyArrington","1844376572506101_1848322638778161","Congressman Jodey Arrington","2017-01-11","2017-01-11 00:54:27","Folks in West Texas, like all hard-working Americans, rightfully expect to have their government balance its budget and live within its means.   I will begin working immediately to help forge a more efficient and accountable federal government – beginning with the repeal of one of its costliest and most disastrous laws: Obamacare.","link","http://www.bigcountryhomepage.com/news/main-news/arrington-tapped-for-budget-committee-will-play-key-role-in-obamacare-repeal-tax-reform/638933391","bigcountryhomepage.com",161,14,13,2,0,0,0,2
"JodeyArrington","1844376572506101_1848630688747356","Congressman Jodey Arrington","2017-01-11","2017-01-11 16:03:35","West Texas is home to more than 14 million acres of farm and ranch land of all types, producing more cotton than any other region in the world. Our producers are feeding and clothing the world, creating thousands of jobs, and bringing millions in economic impact to our country.   Unfortunately, many in our country take that for granted. I am excited to serve alongside my fellow Texan, Mike Conaway as a champion for American agriculture.","link","https://arrington.house.gov/media/press-releases/arrington-achieves-early-victory-tx-19-appointed-house-agriculture-committee","arrington.house.gov",122,7,17,5,0,0,0,0
"JodeyArrington","1844376572506101_1849356212008137","Congressman Jodey Arrington","2017-01-12","2017-01-12 19:13:16","I believe you can measure the character of a nation by the way they treat their veterans - we have a lot of character building to do in America.   I am committed to fighting for those who fought for our freedoms and restoring a culture of respect for all who wore the uniform.","link","http://www.myplainview.com/news/article/Arrington-on-veterans-affairs-panel-10853453.php","myplainview.com",105,12,24,4,0,0,0,0
"JodeyArrington","1844376572506101_1849935881950170","Congressman Jodey Arrington","2017-01-13","2017-01-13 19:06:29","Since Obamacare was implemented, 80 rural hospitals have closed and 600 more are in danger of closing.  I was proud to use my first House Floor speech to fight for the 60 million hard-working families living in small-town America.","link","https://www.c-span.org/video/?c4645910%2Fobamacare-killing-rural-america","c-span.org",225,26,47,14,0,0,0,9
"JodeyArrington","1844376572506101_1849985311945227","Congressman Jodey Arrington","2017-01-13","2017-01-13 20:43:26","I just officially cast my vote to begin repealing Obamacare...one step closer to restoring the greatness of America!","status",NA,NA,290,41,6,10,0,0,2,17
"JodeyArrington","1844376572506101_1851352625141829","Congressman Jodey Arrington","2017-01-16","2017-01-16 13:40:45","Dr. Martin Luther King Jr. was a childhood hero of mine. He was a man of great courage and conviction. He never let bitterness control him, but was driven by the love of God and his fellow man.  ""We must live together as brothers or perish together as fools"" - MLK","photo","https://www.facebook.com/JodeyArrington/photos/a.1845357009074724.1073741828.1844376572506101/1851352625141829/?type=3",NA,69,5,1,2,0,0,0,0
