"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"JoeWilson","70150469414_10155218970544415","Joe Wilson","2017-01-02","2017-01-02 20:26:22","Tomorrow begins the 115th Congress, and in eighteen days we will have a Republican President. I look forward to working alongside my colleagues to show the American people how the conservative agenda can positively impact their lives. For more on my 2017 Legislative goals, watch the video below:","video","https://www.facebook.com/JoeWilson/videos/10155218970544415/",NA,71,18,3,5,0,0,0,2
"JoeWilson","70150469414_10155221531639415","Joe Wilson","2017-01-03","2017-01-03 18:04:51","Recently, I spent time with The Times and Democrat of Orangeburg, outlining my 2017 Legislative Goals. Today is #OpeningDay of the 115th Congress and I am ready to get to work on the House Republican’s positive agenda that will benefit American families.","link","http://thetandd.com/news/wilson-house-wants-patient-centered-care/article_0592a389-5854-5298-b593-46febddbee6c.html","thetandd.com",73,13,4,1,1,0,0,1
"JoeWilson","70150469414_10155228080159415","Joe Wilson","2017-01-05","2017-01-05 23:09:20","I am proud to stand in strong support of Israel as an original cosponsor to House Resolution 11.","video","https://www.facebook.com/JoeWilson/videos/10155228080159415/",NA,86,7,6,3,0,0,0,2
"JoeWilson","70150469414_10155230683384415","Joe Wilson","2017-01-06","2017-01-06 21:06:54","House Republicans have hit the ground running in the #115thCongress. Watch more of my week here:","video","https://www.facebook.com/JoeWilson/videos/10155230683384415/",NA,45,18,4,0,0,0,0,2
"JoeWilson","70150469414_10155239940114415","Joe Wilson","2017-01-09","2017-01-09 22:08:47","Today, 1436 Longworth went blue to recognize #LawEnforcementAppreciationDay. I was honored to stand with Congressman Dave Reichert and Congressman Bill Pascrell, Jr. to support our Heroes In Blue. To all of those who protect and serve our community, thank you.","photo","https://www.facebook.com/JoeWilson/photos/a.394190229414.168768.70150469414/10155239940114415/?type=3",NA,36,3,5,0,0,0,0,0
"JoeWilson","70150469414_10155242737999415","Joe Wilson","2017-01-10","2017-01-10 19:45:39",NA,"photo","https://www.facebook.com/JoeWilson/photos/a.10150707333079415.421957.70150469414/10155242730699415/?type=3",NA,10,6,3,0,0,0,0,2
"JoeWilson","70150469414_10155242862429415","Joe Wilson","2017-01-10","2017-01-10 20:48:47","The Clemson University Tigers are National Champions!","video","https://www.facebook.com/JoeWilson/videos/10155242862429415/",NA,95,12,24,10,0,0,0,0
"JoeWilson","70150469414_10155251148589415","Joe Wilson","2017-01-12","2017-01-12 20:29:07","I’m humbled to lead the critical House Armed Services Subcommittee on Readiness for the 115th Congress. As our military faces an unprecedented readiness crisis, I am eager to work with Chairman Mac Thornberry and President-elect Donald J. Trump on how to best support our troops and military families.","link","http://www.thestate.com/news/politics-government/article125987849.html","thestate.com",262,20,34,20,0,1,0,3
"JoeWilson","70150469414_10155254556884415","Joe Wilson","2017-01-16","2017-01-16 14:31:27","Dr. Martin Luther King Jr. left a meaningful impact on this country and the world. Today we especially honor his profound life and legacy.","photo","https://www.facebook.com/JoeWilson/photos/a.394190229414.168768.70150469414/10155254556884415/?type=3",NA,37,18,10,4,0,0,1,0
"JoeWilson","70150469414_10155254574779415","Joe Wilson","2017-01-14","2017-01-14 14:45:00","Watch the video below for a recap of our move from the Rayburn Building to Longworth! We are eager to welcome you all to our new office next week for the inauguration of our 45th President.","video","https://www.facebook.com/JoeWilson/videos/10155254574779415/",NA,136,35,23,9,1,5,1,2
"JoeWilson","70150469414_10155255167999415","Joe Wilson","2017-01-13","2017-01-13 21:36:51","This was a meaningful week in Congress. Watch more here:","video","https://www.facebook.com/JoeWilson/videos/10155255167999415/",NA,61,14,4,0,0,0,0,2
"JoeWilson","70150469414_10155270136464415","Joe Wilson","2017-01-18","2017-01-18 17:29:59","I am committed to working in Congress to ensure that all parents and students have the opportunity to choose their education. It is inspiring to see the variety of quality educational opportunities that we have in #SC02 and I was grateful to tour many, like Horse Creek Academy, to honor #schoolchoice week.","photo","https://www.facebook.com/JoeWilson/photos/a.394190229414.168768.70150469414/10155270130689415/?type=3",NA,32,4,1,2,0,0,0,2
"JoeWilson","70150469414_10155272890179415","Joe Wilson","2017-01-19","2017-01-19 15:34:59","I'm looking forward to tomorrow's inauguration of Donald J. Trump. Watch below to hear some of my memories of past inaugurations and to hear what I'm looking forward to in the new Administration.","video","https://www.facebook.com/JoeWilson/videos/10155272890179415/",NA,117,26,9,7,0,0,0,5
