"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"JohnBoozman","7686715735_10153977196680736","John Boozman","2017-01-01","2017-01-01 14:27:00","All the best to you and your family in 2017.","photo","https://www.facebook.com/JohnBoozman/photos/a.380440125735.163066.7686715735/10153977196680736/?type=3",NA,59,9,0,3,0,0,0,0
"JohnBoozman","7686715735_10154011974410736","John Boozman","2017-01-02","2017-01-02 15:41:14","Here are some highlights from 2016. I'm looking forward to 2017. Follow me on Instagram @JohnBoozman. #best9of2016","link","https://2016bestnine.s3-us-west-2.amazonaws.com/user_images/johnboozman.jpg?t=1483370622","2016bestnine.s3-us-west-2.amazonaws.com",77,2,2,2,0,0,0,0
"JohnBoozman","7686715735_10154015030975736","John Boozman","2017-01-03","2017-01-03 20:30:00","As the 115th Congress convenes, I want to thank you for giving me the opportunity to continue to serve the great state of Arkansas in the U.S. Senate. I am incredibly grateful for the trust you have placed in me and I am eager to start working toward accomplishing the goals we have laid out in the last year.","video","https://www.facebook.com/JohnBoozman/videos/10154015030975736/",NA,169,16,1,4,0,0,0,0
"JohnBoozman","7686715735_10154015385790736","John Boozman","2017-01-04","2017-01-04 00:01:00","Some scenes from today's swearing-in for the 115th Congress. Such a blessing to have my family, friends and supporters with me for this important occasion. The Bible pictured in here is the one on which I took the oath of office today. It was my dad's Bible that he carried with him during World War II.","video","https://www.facebook.com/JohnBoozman/videos/10154015385790736/",NA,197,5,6,12,0,1,0,0
"JohnBoozman","7686715735_10154017068745736","John Boozman","2017-01-04","2017-01-04 16:00:58","I'm pleased to know the students at Eureka Springs Elementary School received their new American flag. Thank you for the nice note.","photo","https://www.facebook.com/JohnBoozman/photos/a.380440125735.163066.7686715735/10154017051140736/?type=3",NA,29,3,1,3,0,0,0,0
"JohnBoozman","7686715735_10154022012855736","John Boozman","2017-01-06","2017-01-06 16:36:45","I met with U.S. Environmental Protection Agency nominee Oklahoma Attorney General E. Scott Pruitt yesterday. I appreciate his commitment to renew common sense to the agency and ensure the policies created follow the rule of law. I look forward to working with him to ensure the EPA uses a smart, balanced approach to protect our environment.","link","https://www.boozman.senate.gov/public/index.cfm/press-releases?ID=E0F58D35-424E-42FB-A1B7-2A56EAB93864","boozman.senate.gov",46,7,3,0,0,0,0,0
"JohnBoozman","7686715735_10154022454380736","John Boozman","2017-01-06","2017-01-06 20:19:01","The 115th Congress started this week. I’ve received many questions about what our priorities will be and how we can accomplish them, so I answered some of those questions in my most recent column.","link","https://www.boozman.senate.gov/public/index.cfm/weekly-columns?ID=1CCF0EEC-ECA2-4504-B171-3BDA51193B3C","boozman.senate.gov",18,6,0,0,0,0,0,0
"JohnBoozman","7686715735_10154022638650736","John Boozman","2017-01-06","2017-01-06 23:34:01","With weeks left before the end of his presidency, President Obama continues his irresponsible campaign promise to close Gitmo. Here’s why this is a problem – former detainees have returned to the battlefield and are responsible for the deaths of Americans. This is a threat to our national security. Read more in this blog post http://bit.ly/2jcMjeX","link","http://www.cnn.com/2017/01/05/politics/guantanamo-bay-prisoners-transferred-saudi-arabia/index.html","cnn.com",19,9,2,0,0,3,2,23
"JohnBoozman","7686715735_10154029721835736","John Boozman","2017-01-09","2017-01-09 15:02:47","I joined Agri-Pulse Communications, Inc. Open Mic to discuss the 115th Congress and how I'll be helping the agriculture industry and rural America. We talked about efforts to roll back regulations like the EPA’s Waters of the United States rule, the upcoming Farm Bill and the opportunity we have to trade with Cuba. You can listen to the interview here.","link","http://www.agri-pulse.com/Open-Mic-Sen-John-Boozman-01082016.mp3.asp","agri-pulse.com",9,4,2,0,0,0,0,0
"JohnBoozman","7686715735_10154030559635736","John Boozman","2017-01-10","2017-01-10 00:47:01","Arkansas State Senator Stanley Russ showed kindness and consideration to everyone he met. I was pleased to recognize his life in Congressional Record as Arkansans today celebrated his life and contributions to our state.","link","https://www.boozman.senate.gov/public/index.cfm/press-releases?ID=5F6B83CC-0F47-4501-AC81-F125402F94EF","boozman.senate.gov",29,3,0,0,0,0,0,0
"JohnBoozman","7686715735_10154030573910736","John Boozman","2017-01-09","2017-01-09 22:22:55","In honor of #LawEnforcementAppreciationDay I want to express my gratitude and appreciation to all those in the law enforcement community in Arkansas and across the country. Your sacrifice and service to your community is remarkable and we are thankful for the work you do and your willingness to run towards danger to protect your family, friends and neighbors.","photo","https://www.facebook.com/JohnBoozman/photos/a.380440125735.163066.7686715735/10154030573910736/?type=3",NA,53,1,5,1,0,0,0,0
"JohnBoozman","7686715735_10154032124845736","John Boozman","2017-01-10","2017-01-10 16:29:49","If you missed my interview on KASU Public Radio this morning you can listen to it here. We talked about priorities of the 115th Congress and the confirmation process of President-elect Trump's cabinet nominees. Listen here.","link","http://kasu.org/post/senator-john-boozman-talks-confirmation-hearings-obamacare","kasu.org",22,6,2,0,0,0,0,0
"JohnBoozman","7686715735_10154032558245736","John Boozman","2017-01-10","2017-01-10 19:52:19","The Obama administration’s free spending ways have dramatically increased our national debt and produced an economic legacy of sluggish job growth, stagnant wages and a reduction in personal savings for hardworking families across the country. We need the right people and the right policy to get our fiscal house in order. I am confident that Congressman Mulvaney is committed to the course correction we need to put our nation back on a fiscally responsible, sustainable path.","link","https://www.boozman.senate.gov/public/index.cfm/press-releases?ID=67952443-751A-4E66-ADB2-CA76BA0BE9F3","boozman.senate.gov",42,29,7,1,1,0,0,2
"JohnBoozman","7686715735_10154038336920736","John Boozman","2017-01-12","2017-01-12 14:31:33","Passage of this budget resolution is the first of several steps that Congress will take to keep our promise to repeal and replace Obamacare.  Obamacare has driven up costs, busted our budget, stifled job growth and raised taxes on hardworking Arkansans. It has created more problems than it solves and it has to go.  Senate Republicans are committed to a careful and orderly transition to a patient-centered health care system that truly is affordable, not just in name but in practice, and actually works for the American people.","link","https://www.boozman.senate.gov/public/index.cfm/press-releases?id=1D44DE01-C2AC-4959-8693-CBDB1EA8CB42","boozman.senate.gov",85,67,9,13,0,1,1,30
"JohnBoozman","7686715735_10154039424440736","John Boozman","2017-01-12","2017-01-12 22:04:31","Congratulations to Robert Christian Parker of Fort Smith and Shreya Majagi of Rogers who were selected to represent Arkansas at the United States Senate Youth Program. I look forward to visiting with these young Arkansans in March when they're in Washington.","link","https://www.boozman.senate.gov/public/index.cfm/press-releases?ID=0CA66C78-31EA-4264-87F5-66CD90131B72","boozman.senate.gov",31,9,0,0,0,0,0,0
"JohnBoozman","7686715735_10154042283710736","John Boozman","2017-01-16","2017-01-16 22:28:00","Today we celebrate the 231st anniversary of the passage of the Virginia Statute for Religious Freedom, which was written by Thomas Jefferson and served as the model for the Free Exercise Clause of the First Amendment. Our ability to worship freely is a cornerstone of American public life and I am thankful our founders had the foresight to enshrine it in the Bill of Rights. Happy Religious Freedom Day!","photo","https://www.facebook.com/JohnBoozman/photos/a.380440125735.163066.7686715735/10154042283710736/?type=3",NA,23,6,3,5,0,0,0,0
