"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"JohnKennedyLouisiana","160513344045084_1227916680638073","John Neely Kennedy","2017-01-01","2017-01-01 14:19:33","Have a Happy New Year everyone and please be safe. I'm so grateful and excited to be representing the great people of Louisiana in the United States Senate in 2017. Now, it's time to get to work!","status",NA,NA,425,51,12,22,0,0,1,0
"JohnKennedyLouisiana","160513344045084_1230070683756006","John Neely Kennedy","2017-01-04","2017-01-04 00:08:18","A wonderful yet humbling experience today as I was sworn in as a U.S. Senator.  I was thrilled that my family was able to be with me on this day. Tomorrow, we get to work on behalf of the people of Louisiana. I won't let you down.","photo","https://www.facebook.com/JohnKennedyLouisiana/photos/a.160522054044213.35042.160513344045084/1230070683756006/?type=3",NA,1864,237,176,130,0,1,4,1
"JohnKennedyLouisiana","160513344045084_1232877000142041","John Neely Kennedy","2017-01-07","2017-01-07 02:39:30","Folks, a special session of Congress certified the electoral votes today giving us a new President and a better direction for our country. President Trump and Vice-President Pence are our new leaders, and I couldn't be more excited about the possibilities that we now have before us. The people of this great nation are ready and I am too. Now, it's time to make the voters proud!","status",NA,NA,726,84,38,52,2,4,5,7
"JohnKennedyLouisiana","160513344045084_1245333072229767","John Neely Kennedy","2017-01-20","2017-01-20 23:10:04",NA,"photo","https://www.facebook.com/JohnKennedyLouisiana/photos/a.1245333035563104.1073741843.160513344045084/1245333072229767/?type=3",NA,236,25,9,16,0,0,0,0
"JohnKennedyLouisiana","160513344045084_1249715278458213","John Neely Kennedy","2017-01-25","2017-01-25 03:10:06",NA,"photo","https://www.facebook.com/JohnKennedyLouisiana/photos/a.253194978110253.55625.160513344045084/1249715278458213/?type=3",NA,91,69,7,2,1,0,0,4
"JohnKennedyLouisiana","160513344045084_1249715911791483","John Neely Kennedy","2017-01-25","2017-01-25 03:11:33","Former President Obama leaving Washington, D.C. as a private citizen.","photo","https://www.facebook.com/JohnKennedyLouisiana/photos/a.160522054044213.35042.160513344045084/1249715911791483/?type=3",NA,225,102,23,21,4,1,16,1
"JohnKennedyLouisiana","160513344045084_1287000678063006","John Neely Kennedy","2017-03-02","2017-03-02 23:12:57","If you want to start a landscaping business, all you should need is a lawnmower—not a lawnmower, a lawyer, a CPA and a compliance officer.   Federal government regulations cost every American family $15,000 a year.  I am co-sponsoring S:56, The RED Tape Act of 2017, to help our small businesses create jobs.","status",NA,NA,517,143,69,35,0,2,0,2
"JohnKennedyLouisiana","160513344045084_1363619287067811","John Neely Kennedy","2017-05-06","2017-05-06 20:06:22","I voted ""no"" because the federal government has to learn to live within its means, period. Tax dollars represent the sweat and hard work of American families, and we owe it to them to pass a balanced budget. I'm not going to stop until we do just that.","link","http://www.theadvocate.com/baton_rouge/news/politics/article_d78af7d2-31d1-11e7-872f-a3fc4dad6c2f.html","theadvocate.com",2100,281,196,113,1,17,4,3
"JohnKennedyLouisiana","160513344045084_1469870116442727","John Neely Kennedy","2017-08-13","2017-08-13 14:48:41","In America, racists have the right to speak freely and nonviolently about their racist views, but I also have the right to freely and nonviolently condemn their views. And I do.","status",NA,NA,691,94,87,57,2,3,0,15
"JohnKennedyLouisiana","160513344045084_1471041079658964","John Neely Kennedy","2017-08-14","2017-08-14 18:15:28","Touring flood recovery efforts in Denham Springs today with HUD Secretary Dr. Ben Carson. Very pleased he accepted our invitation to see for himself how far we have come, but that we still have much left to accomplish.","photo","https://www.facebook.com/JohnKennedyLouisiana/photos/a.160522054044213.35042.160513344045084/1471040369659035/?type=3",NA,148,18,5,14,0,0,0,0
