"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"Keith.Ellison","7997462059_10154184062437060","Keith Ellison","2017-01-03","2017-01-03 15:14:02","As 19 states raise their minimum wage, millions of workers are getting the raise they deserve.  Nobody working full time in this country should be living in poverty. Raising the minimum wage is a great start.","link","https://www.washingtonpost.com/national/pay-to-rise-for-millions-as-19-states-increase-minimum-wage/2016/12/29/ff590e22-ce01-11e6-85cd-e66532e35a44_story.html?postshare=5661483054434788&tid=ss_mail&utm_term=.87d6e449dc16","washingtonpost.com",2531,111,190,172,2,3,1,8
"Keith.Ellison","7997462059_10154189672112060","Keith Ellison","2017-01-05","2017-01-05 16:42:37","The Affordable Care Act has made health coverage affordable for millions of Americans. Share your story of how the ACA works for you in the comments below.","photo","https://www.facebook.com/Keith.Ellison/photos/a.368273632059.162051.7997462059/10154189672112060/?type=3",NA,696,150,94,46,9,3,1,2
"Keith.Ellison","7997462059_10154199974932060","Keith Ellison","2017-01-09","2017-01-09 18:28:49","Mitch McConnell demanded President Obama's cabinet nominees be vetted by the Office of Congressional Ethics. Now that the Senate will be confirming Donald Trump's nominees, he couldn't care less.  Why the double standard, Senator?","link","http://www.huffingtonpost.com/entry/trump-cabinet-confirmation-mitch-mcconnell_us_587277dbe4b099cdb0fd853e","huffingtonpost.com",4752,737,2571,40,90,225,99,2865
"Keith.Ellison","7997462059_10154209747067060","Keith Ellison","2017-01-12","2017-01-12 21:46:59","This isn’t happening by mistake. This is what happens when we enforce bad policy. I stand with these families in calling for long overdue immigration reform.","link","http://www.citypages.com/news/refugees-the-minnesota-8-face-deportation-to-a-land-theyve-never-seen/410304105","citypages.com",1003,84,233,6,1,23,428,359
"Keith.Ellison","7997462059_10154221343552060","Keith Ellison","2017-01-16","2017-01-16 23:08:08","Martin Luther King, Jr. was killed in 1968 while helping sanitation workers in Memphis fight for better wages and the right to join a union. His spirit lives on every time we organize for a more just world. We hear his voice when low-wage workers strike for a higher minimum wage. We hear it when American workers join together and fight for the right to collectively bargain. We hear it when thousands of people march for equality in our nation’s cities. Whether they are fast food workers, home health care workers, agricultural workers, we hear the call of Martin Luther King when people stand up to demand fair pay and a voice on the job.  The quest for justice is not finished. Separate-But-Equal was abolished, but millions still face unfair treatment because of the color of their skin. The Voting Rights Act passed in 1965 outlawed discrimination in voting booths, but many are still denied the right to vote because of restrictive voting laws. It is with Dr. King’s voice that we continue to demand justice for Michael Brown, Tamir Rice and Eric Garner. It is with his voice that we declare Black lives matter.  Martin Luther King, Jr. believed the arc of history bends towards justice. We move the arc when we organize together for equality and fairness.”","status",NA,NA,4075,148,369,449,1,0,59,3
"Keith.Ellison","7997462059_10154222977687060","Keith Ellison","2017-01-17","2017-01-17 15:41:51","The time is always right to do what is right. And in the face of so much hate, the right thing to do is reject it. I am standing with John Lewis and the millions of other people around the country who have been targeted by Donald Trump.  I will not celebrate a man who preaches a politics of division and hate. I won't be attending Donald Trump's inauguration.","status",NA,NA,10041,909,465,1607,40,11,4,32
"Keith.Ellison","7997462059_10154225781357060","Keith Ellison","2017-01-18","2017-01-18 15:27:49","One woman’s experience as a stay-at-home mom may differ from one who works outside the home, but both women could benefit from social policies that support children’s health, paid family sick leave and college affordability.    A woman of color and a white woman may live in neighborhoods that experience police brutality differently, but if they both work at Walmart, they are both likely struggling to make ends meet.  Minimum wage jobs do not pay enough to keep pace with the costs of living, whether you live in rural West Virginia, New York City or my home district in Minnesota.    Read my latest in Glamour Magazine.","link","http://www.glamour.com/story/rep-keith-ellison-republican-policies-are-keeping-women-in-poverty","glamour.com",1979,112,195,143,3,5,13,55
"Keith.Ellison","7997462059_10154229519147060","Keith Ellison","2017-01-19","2017-01-19 23:11:33","Yesterday the Jewish Community Center in St. Louis Park had to be evacuated after a bomb threat was called in.   I'm thankful no one was hurt, and I hope the perpetrator is found.  Communities around the country are being targeted for their faith, their gender, their sexual orientation, or the color of their skin. Standing with them is a moral imperative.  Threats, fear, intimidation, and scapegoating only work if we allow them to work. Whenever we see them, we must call them out, forcefully. Bigotry and hatred will never be American values.","link","http://www.fox9.com/news/229881265-story","fox9.com",755,99,230,17,1,25,519,457
"Keith.Ellison","7997462059_10154242467807060","Keith Ellison","2017-01-23","2017-01-23 21:06:51","Two days after Women’s Marches occurred across the country, and created the largest mass demonstration in U.S. history, Congressional Republicans are bringing a bill to the floor to restrict access to abortion. No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act could limit health insurance coverage for abortion for nearly all women in the U.S.   Congressional Republicans say they want to help working families. This bill would only make it harder to make ends meet, and limit women’s control over their bodies and futures.","link","http://www.motherjones.com/politics/2017/01/house-representatives-trump-hyde-amendment","motherjones.com",576,134,277,11,5,10,179,1002
"Keith.Ellison","7997462059_10154247273847060","Keith Ellison","2017-01-24","2017-01-24 21:32:33","My thoughts and prayers are with Governor Mark Dayton and his family as he begins treatment. While this is surely a challenging time for him, I know that if anyone can beat this, it’s Mark. For as long as I’ve known him, he’s been a fighter – for better wages for working people, for better schools for our kids, and for a more progressive, strong Minnesota for all of us. I know he’ll meet this challenge just like all the others he’s taken on. And I’ll be right there with him in spirit as he does.","link","http://www.startribune.com/dayton-expected-to-address-questions-over-health-after-fainting-episode/411662156/","startribune.com",2826,194,168,449,0,14,1173,2
