"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"MarkAmodeiNV2","307227745970624_1605692889457430","Congressman Mark Amodei","2017-01-03","2017-01-03 20:39:57","I’m back in Washington for the start of the 115th Congress. As we enter the New Year, House Republicans are ready to hit the ground running, working to restore accountability within the federal government and advance real change for the American people.  I’m honored to serve the great people of Nevada, and look forward to passing much needed reforms in regards to healthcare, immigration, and our economy.   What priorities would you like to see the 115th Congress tackle? Send me an email: https://amodei.house.gov/email-me/.","photo","https://www.facebook.com/MarkAmodeiNV2/photos/a.373700335990031.109128.307227745970624/1605692889457430/?type=3",NA,72,39,4,2,1,0,0,0
"MarkAmodeiNV2","307227745970624_1611567082203344","Congressman Mark Amodei","2017-01-09","2017-01-09 20:03:18","Head over to my website, https://amodei.house.gov/nevada-flood-information-staying-prepared/, for information regarding the severe flooding in Washoe County, how to stay informed, and basic safety tips.   We are tracking updates and staying in touch with local officials, Governor Sandoval’s office, and federal agencies. If you have any questions or concerns please do not hesitate to call my Reno office at: 775-686-5760. We’re happy to assist in any way possible. Please continue to check my website and social media pages for up to date information.","photo","https://www.facebook.com/MarkAmodeiNV2/photos/a.373700335990031.109128.307227745970624/1611567082203344/?type=3",NA,10,5,4,0,0,0,0,0
"MarkAmodeiNV2","307227745970624_1612541078772611","Congressman Mark Amodei","2017-01-10","2017-01-10 20:25:06","Below, the House Energy and Commerce Committee shows the negative impact Obamacare has had on American taxpayers. With only 5 of the 23 Obamacare co-ops remaining, many Americans – particularly in rural areas like Northern Nevada – have been left with fewer choices. In fact, residents in 7 counties throughout CD-2 have only one insurance provider to choose from this year. Not only has the President’s failed healthcare law left these residents with no alternative, but it inflicts a penalty tax if they do not choose the coverage that Washington says is right for them.   I plan to offer much-needed relief to these Nevadans by reintroducing a bill that will exempt residents in counties with less than two provider options from this unfair tax. I also look forward to joining my colleagues this week as we pave the way for a stable transition to patient-centered solutions that will expand access to quality and affordable care.","photo","https://www.facebook.com/MarkAmodeiNV2/photos/a.373700335990031.109128.307227745970624/1612541078772611/?type=3",NA,46,37,23,0,0,1,2,8
"MarkAmodeiNV2","307227745970624_1613526142007438","Congressman Mark Amodei","2017-01-11","2017-01-11 20:15:30","UPDATE: As we continue to track updates and keep in touch with local officials, Governor Sandoval’s office, and federal agencies, I wanted to share information from NOAA regarding the Sierra blizzard and snow potentials for Western Nevada. If you have any questions or concerns please do not hesitate to call my Reno office at: 775-686-5760. We’re happy to assist in any way possible. Please continue to check my website and social media pages for up to date information.","link","http://www.wrh.noaa.gov/rev/briefings/NWS-Reno-Briefing-1.10.17.pdf","wrh.noaa.gov",14,16,1,0,0,0,0,1
"MarkAmodeiNV2","307227745970624_1621825774510808","Congressman Mark Amodei","2017-01-18","2017-01-18 21:17:49","ICYMI: I joined Dan Mason on News Talk 780 yesterday. Click below to listen to my thoughts on healthcare, public lands, the incoming Administration, and more:","link","http://www.kkoh.com/the-dan-mason-show/","kkoh.com",23,32,2,0,0,1,0,4
"MarkAmodeiNV2","307227745970624_1639559536070765","Congressman Mark Amodei","2017-01-31","2017-01-31 22:34:24","Head over to my website to view my response to the President’s immigration executive order. After taking time to contact several local entities in Nevada and relevant federal agencies, it is our understanding that no individuals in CD-2 have been impacted by this order. With respect to Southern Nevada, we understand that  three cases are affected. We’ve determined potential impacts, and if people need help – we’re here to assist. If my colleagues in Southern Nevada need help, I’m here for them as well.  You might be interested to know that I voted in favor of the Visa Waiver Program Improvement and Terrorist Travel Prevention Act last Congress. This bipartisan bill overwhelmingly passed the House in 2015 and was signed into law by then-President Barack Obama through its inclusion in the FY16 Omnibus. The countries affected under President Trump’s executive order were originally listed in this Act, meaning his order is built largely off existing law to provide the Department of Homeland Security with the additional time it needs to integrate effective protocols for visa applicants.  Click below to learn more and read my full statement:","link","https://amodei.house.gov/news-releases/amodei-responds-to-presidents-immigration-executive-order/","amodei.house.gov",180,89,70,7,1,0,1,25
"MarkAmodeiNV2","307227745970624_1642350192458366","Congressman Mark Amodei","2017-02-02","2017-02-02 17:02:22","I'll be hosting a veterans' town hall meeting in Winnemucca on Friday, February 10, from 10:00 a.m. to 12:00 p.m., inside the Meeting Room of the Humboldt County Library located at 85 East Fifth Street. If you’re a veteran in the area, please come out to learn more about the ways we can best serve you. Tracy Soliday in our Reno Office is available to answer any question at: (775) 686-5760.","event","https://www.facebook.com/events/300300607039763/",NA,17,7,0,0,0,0,0,0
"MarkAmodeiNV2","307227745970624_1643322129027839","Congressman Mark Amodei","2017-02-03","2017-02-03 14:54:51","The worldwide symbol of democracy and freedom should not be disrespected… let alone desecrated. As Americans, we have a duty to ensure future generations understand the power and value of the American flag. Today, I teamed up with 13 of my colleagues to introduce H.J.Res.61, a bill that will give us the ability to protect our flag. America was founded by the people, for the people. Share this post if you agree that it’s time to let us, not courts, decide how to treat our flag.","photo","https://www.facebook.com/MarkAmodeiNV2/photos/a.373700335990031.109128.307227745970624/1643322129027839/?type=3",NA,57,53,17,3,0,3,1,9
"MarkAmodeiNV2","307227745970624_1646839878676064","Congressman Mark Amodei","2017-02-06","2017-02-06 15:52:40","This week, I delivered the Congressional Western Caucus's weekly address, discussing some of the issues that are critical to Western states. In Nevada, 4 out of every 5 acres of land is owned by the federal government – the highest percentage of federal land ownership in any state. Click below to learn more about the challenges facing our state and Nevada’s history in terms of federal lands bills.","video","https://www.facebook.com/congressionalwesterncaucus/videos/10155345866938352/",NA,21,29,0,0,0,1,0,9
"MarkAmodeiNV2","307227745970624_1647287071964678","Congressman Mark Amodei","2017-02-06","2017-02-06 23:26:13","Hailing from all branches of the Military, Vietnam helicopter pilots and crewmembers account for nearly ten percent of all Vietnam casualties. These pilots and crewmembers touched every aspect of efforts during the war, serving as transportation for soldiers and civilians, and providing critical battlefield support. However, there is currently no national monument honoring their joint sacrifice. The Vietnam Helicopter Crew Monument Act, legislation I reintroduced today, will ensure this deserving group of American heroes finally receives proper recognition – an honor that is rightfully deserved after more than 40 years. Learn more here: http://bit.ly/2kACzx3","photo","https://www.facebook.com/MarkAmodeiNV2/photos/a.373700335990031.109128.307227745970624/1647287071964678/?type=3",NA,14,3,1,0,0,0,0,0
