"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"MartinHeinrich","137523189213_10154966873829214","Senator Martin Heinrich","2017-01-03","2017-01-03 15:05:56","Dixon is home to artists, small businesses, and embodies the spirit of innovation. If you haven't visited this vibrant community along the Rio Grande, you're missing out!","link","http://www.taosnews.com/news/in-dixon-federal-funds-fuel-innovation/article_44d7a67a-d14a-11e6-95ba-9b26b27990d4.html","taosnews.com",93,7,13,8,0,0,0,0
"MartinHeinrich","137523189213_10154967810694214","Senator Martin Heinrich","2017-01-03","2017-01-03 22:02:21","House Republicans just slipped a provision into their new rules to make it easier to sell off public lands.","link","https://www.washingtonpost.com/news/energy-environment/wp/2017/01/03/house-gop-rules-change-would-make-it-easier-to-sell-off-federal-land/?postshare=1681483476315580&tid=ss_tw&utm_term=.82c22caf2571","washingtonpost.com",43,52,207,1,0,6,24,226
"MartinHeinrich","137523189213_10154972210859214","Senator Martin Heinrich","2017-01-05","2017-01-05 14:39:07","This morning I'll question senior intelligence officials about the Russian hacking of the 2016 election. Opportunities for Russian interference are only going to grow. We need to get to the bottom of this. If we do not take this seriously, our entire Democratic institutions are at risk. Watch live: bit.ly/2ivGaxD","link","http://bit.ly/2ivGaxD","bit.ly",250,52,23,9,4,1,0,1
"MartinHeinrich","137523189213_10154973790949214","Senator Martin Heinrich","2017-01-06","2017-01-06 02:37:13","The Russian hacking in the 2016 election--in this case on behalf of an unprecedentedly pro-Russian candidate--strikes at the core of our Democracy and cannot be brushed under the carpet. We know that Russia selectively and deliberately released damaging information in hopes of furthering its strategic objectives. I believe this will happen again, unless there is a price to be paid. I welcomed the sanctions against Russia announced by President Obama and was encouraged that the Department of Homeland Security and the Federal Bureau of Investigation will release declassified technical information on Russian civilian and military intelligence service cyber activity. There also needs to be an independent, bipartisan commission designed solely to investigate what happened. If we do not take this seriously, our fundamental Democratic institutions are at risk.","video","https://www.facebook.com/MartinHeinrich/videos/10154973790949214/",NA,410,108,78,18,1,2,3,13
"MartinHeinrich","137523189213_10154975443834214","Senator Martin Heinrich","2017-01-06","2017-01-06 17:24:08","Happy Birthday, New Mexico! 105 years ago today, New Mexico became the 47th state in the union. To wish the Land of Enchantment a happy birthday, here's one of my favorite places in our great state. Share your favorite photos of New Mexico!","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10154975443834214/?type=3",NA,320,16,92,33,0,0,0,0
"MartinHeinrich","137523189213_10154984774124214","Senator Martin Heinrich","2017-01-10","2017-01-10 02:15:47","I'm standing up for the hundreds of thousands of New Mexicans who will lose their health care coverage if Republicans repeal the Affordable Care Act and throw our nation’s health care system into chaos.","video","https://www.facebook.com/MartinHeinrich/videos/10154984774124214/",NA,857,141,199,106,2,2,15,14
"MartinHeinrich","137523189213_10154986423819214","Senator Martin Heinrich","2017-01-10","2017-01-10 17:14:39","New Mexico is open for business, Outdoor Retailer!","link","http://www.sltrib.com/opinion/4798906-155/op-ed-time-for-outdoor-retailers-to","sltrib.com",206,11,34,10,0,0,2,8
"MartinHeinrich","137523189213_10154986906239214","Senator Martin Heinrich","2017-01-10","2017-01-10 21:21:52","To those who criticize investigations into Russian interference in the U.S. presidential election as partisan, I’d remind them that Russia didn’t do this to help Republicans; Russia did this to help Russia. The ongoing efforts of Russia to impact our elections threatens to undermine faith in our democratic systems - which is precisely their goal - and it’s critical that they pay a price for their actions.","video","https://www.facebook.com/MartinHeinrich/videos/10154986906239214/",NA,542,80,111,45,0,1,1,13
"MartinHeinrich","137523189213_10154987516734214","Senator Martin Heinrich","2017-01-11","2017-01-11 02:31:21","It's the end of an era! Incredibly proud of all the progress we made during the Obama Administration. Thanks Obama! #ObamaFareWell","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10154987516734214/?type=3",NA,442,34,44,96,3,1,26,0
"MartinHeinrich","137523189213_10154988637319214","Senator Martin Heinrich","2017-01-11","2017-01-11 14:46:32","My dad was an IBEW lineman, and my family experienced firsthand the value unions provide workers. Facebook is hiring hundreds of IBEW local union 611 electricians at the Los Lunas Data Center. New Mexico’s incredible solar and wind potential make us an ideal site for major businesses looking to use clean and cost-effective energy and can bring thousands of new jobs to the state.","link","http://www.bizjournals.com/albuquerque/news/2017/01/09/large-nm-union-to-hire-hundreds-for-facebook-data.html?ana=fbk","bizjournals.com",185,12,48,9,0,0,0,0
"MartinHeinrich","137523189213_10154989630634214","Senator Martin Heinrich","2017-01-11","2017-01-11 22:00:55","I need your help to ensure that health care remains within reach for every New Mexican. Share your story about how the Affordable Care Act has impacted your life and the lives of those around you. Together we will keep pressure on the President-elect and Republicans in Congress to stop their efforts to repeal health care for millions of Americans: http://bit.ly/2j8rQbq","video","https://www.facebook.com/MartinHeinrich/videos/10154989630634214/",NA,238,161,74,20,0,0,3,14
"MartinHeinrich","137523189213_10154990383514214","Senator Martin Heinrich","2017-01-12","2017-01-12 00:07:51","Happy Birthday to pioneering conservationist, hunter, and wilderness advocate Aldo Leopold. Did you know the Gila Wilderness Area in New Mexico was his idea?​","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10154990383514214/?type=3",NA,114,21,9,7,0,0,0,1
"MartinHeinrich","137523189213_10154994320444214","Senator Martin Heinrich","2017-01-12","2017-01-12 19:17:33","While you were sleeping, Republicans took the first step to repeal the Affordable Care Act. I voted NO on this reckless effort to strip New Mexicans of lifesaving coverage and throw our health care system into chaos.","link","https://www.nytimes.com/2017/01/12/us/politics/health-care-congress-vote-a-rama.html","nytimes.com",222,225,84,10,0,6,42,150
"MartinHeinrich","137523189213_10154994800294214","Senator Martin Heinrich","2017-01-13","2017-01-13 15:31:33","Yesterday, I asked Secretary of Defense nominee Gen. Mattis about key threats to United States. His response: ""I would consider the principal threats to start with Russia.""","video","https://www.facebook.com/MartinHeinrich/videos/10154994800294214/",NA,90,41,12,4,0,2,2,4
"MartinHeinrich","137523189213_10154994845149214","Senator Martin Heinrich","2017-01-12","2017-01-12 22:26:23","I will vote against the nomination of Senator Jeff Sessions to serve as Attorney General. Now more than ever, this position will require courage and an unwavering commitment to protect Americans' constitutional rights and to stand up against discrimination and hate. Like the thousands of New Mexicans I've heard from in recent days, I lack that confidence in Senator Sessions.","status",NA,NA,1294,352,77,144,5,1,0,31
"MartinHeinrich","137523189213_10154997823819214","Senator Martin Heinrich","2017-01-13","2017-01-13 20:19:38","The EPA has broken its promise to the people of New Mexico. The EPA admitted that the Gold King Mine spill​ was the agency's fault and the Navajo Nation and San Juan County have paid a high price as a result.  I am outraged by the EPA's decision to turn a blind eye to the damage they have caused and I won't stop fighting until every family and community impacted by this terrible incident has been fully compensated.","status",NA,NA,192,86,30,11,0,2,7,51
"MartinHeinrich","137523189213_10155000160174214","Senator Martin Heinrich","2017-01-14","2017-01-14 15:43:31","I've received a lot of questions about prescription drug importation, so I wanted to share my thoughts with you.   Despite what some have claimed, I have challenged PhRMA on their top legislative priority and was an original cosponsor of the Medicare Prescription Drug Price Negotiation Act, which sought to allow the federal government to use its purchasing power to drive a hard bargain with manufacturers and negotiate lower prescription drug prices.    I also supported the Drug Supply Chain Security Act, which is now law and puts in place state-of-the-art tracking and tracing of pharmaceuticals through the supply chain here in the U.S. to protect consumers against the threat of counterfeit, mislabeled or diluted drugs.  While being able to afford your prescriptions can be a life or death issue, so can ingesting something that has been altered or counterfeited by someone trying to make a quick buck - here or anywhere else in the world. Both access and safety are critical issues and I have been focused on each.   On the importation vote, the promise of being able to access cheaper prescription drugs is obviously a goal I have long shared, but so is ensuring the integrity of those drugs.  I know a few folks have dismissed the legitimacy of safety issues because the industry has expressed some of them, but the FDA, World Health Organization, AARP and many others share my concern.   FDA commissioners for the past three U.S. Presidents – including this one – have outlined serious safety warnings and said that they do not have the resources to protect consumers when it comes to imports - even if they are shipped through Canada. The World Health Organization has suggested nearly 1 in 10 pills imported into the U.S. are counterfeited.  And even AARP has said that, ""if reimportation is allowed, it is important that the FDA be provided the resources and authority to ensure the safety of re-imported drugs from Canada, and that technological and other safeguards be employed.""   So during the vote, I discussed the issue with the amendment sponsors and told them, ""Count me in on imports if we can ensure FDA safety standards.""  If safety concerns were better addressed, I would have supported the amendment.  We know this is important, we hear you and I intend to make progress toward providing better prescription drug access and safety.   We must also not lose sight of the extra $1,000 a year seniors will pay for their prescriptions and the millions who will lose all of their health care if the Affordable Care Act is repealed.  We must work together and have a united front to hold the Trump Administration accountable and fight back against those who believe consumers don't matter and that profits are more important than people.","status",NA,NA,215,312,104,2,3,1,9,53
"MartinHeinrich","137523189213_10155005995829214","Senator Martin Heinrich","2017-01-16","2017-01-16 14:00:03","The president-elect is taking to twitter this weekend to harass a civil rights icon and the Director of National Intelligence. I think we can all agree that is not how Donald Trump should be spending his time.","status",NA,NA,388,119,25,4,1,2,12,56
"MartinHeinrich","137523189213_10155006155809214","Senator Martin Heinrich","2017-01-16","2017-01-16 15:12:33","Martin Luther King Jr. gave a voice to the marginalized and oppressed and inspired a nation to stand up against racism and hate. His lessons of compassion and intolerance for injustice ring true today. May we rekindle Dr. King's resounding spirit in our neighborhoods and communities across the nation as we continue to work towards alleviating prejudice, poverty, and violence, and create a better future for our children and all future generations.","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10155006155809214/?type=3",NA,139,33,12,20,0,0,0,0
"MartinHeinrich","137523189213_10155009275074214","Senator Martin Heinrich","2017-01-17","2017-01-17 17:43:21","The men and women serving in our armed forces are true heroes. I was proud to secure a new fleet of rescue helicopters at Kirtland Air Force Base to ensure the base can continue training pilots for lifesaving missions.","link","https://www.abqjournal.com/927769/that-others-may-live.html","abqjournal.com",63,11,1,5,0,1,0,0
"MartinHeinrich","137523189213_10155011904829214","Senator Martin Heinrich","2017-01-18","2017-01-18 15:48:19","Our national monuments tell the history of all Americans and protect our heritage. #MonumentsForAll","link","http://krwg.org/post/obama-monuments-preserve-our-shared-heritage","krwg.org",57,6,9,6,0,0,0,0
"MartinHeinrich","137523189213_10155014859694214","Senator Martin Heinrich","2017-01-19","2017-01-19 15:54:29","I have serious concerns about Energy Secretary Nominee Rick Perry overseeing an agency so critical to our national security and New Mexico's economy. I'll have tough questions for him at the confirmation hearing today. Watch live: http://bit.ly/2jJhnr9","link","http://bit.ly/2jJhnr9","bit.ly",111,56,7,2,0,0,0,14
"MartinHeinrich","137523189213_10155015903534214","Senator Martin Heinrich","2017-01-20","2017-01-20 00:28:12","Today I pressed Energy Secretary Nominee Rick Perry about issues critical to New Mexico including managing our nuclear stockpile and addressing climate change.","video","https://www.facebook.com/MartinHeinrich/videos/10155015903534214/",NA,190,61,21,11,0,1,3,0
"MartinHeinrich","137523189213_10155022999439214","Senator Martin Heinrich","2017-01-21","2017-01-21 23:10:14","#WomensMarch","photo","https://www.facebook.com/MartinHeinrich/photos/a.10152278201614214.1073741849.137523189213/10155022997604214/?type=3",NA,156,13,2,16,0,1,0,1
"MartinHeinrich","137523189213_10155029419079214","Senator Martin Heinrich","2017-01-23","2017-01-23 15:04:40","It was a pleasure meeting with students from the Santa Fe Indian School last week during their visit to Washington, D.C. They give me much hope for the future.","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10155029419079214/?type=3",NA,248,9,33,29,0,0,0,0
"MartinHeinrich","137523189213_10155029988424214","Senator Martin Heinrich","2017-01-23","2017-01-23 20:30:00","For far too long, Indian Country has been left to fend for itself in dealing with the legacy of hardrock mining. Last year I visited a large uranium tailings pile in Shiprock, and an abandoned uranium mine in the Northern Navajo Nation. I met with officials at the Navajo Abandoned Mine Lands Reclamation and Uranium Mill Tailings Remedial Action office and discussed their efforts to clean up hundreds of sites after decades of mining. Our nation owes it to these communities to clean up these sites once and for all.","link","http://www.daily-times.com/story/news/local/navajo-nation/2017/01/21/settlement-reached-clean-up-uranium-mines/96847498/","daily-times.com",128,15,17,12,0,1,0,0
"MartinHeinrich","137523189213_10155031412959214","Senator Martin Heinrich","2017-01-24","2017-01-24 00:48:24","Given Pompeo’s positions on surveillance, torture, Iran & other issues, I cannot support his nomination as CIA Director.","video","https://www.facebook.com/MartinHeinrich/videos/10155031412959214/",NA,602,117,54,33,2,1,0,13
"MartinHeinrich","137523189213_10155034415024214","Senator Martin Heinrich","2017-01-24","2017-01-24 15:37:08","Why President Trump can't turn back clock on #cleanenergy. Wind and solar are now cheaper than coal, nuclear, or natural gas via CleanTechnica.","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10155034415024214/?type=3",NA,164,35,52,22,1,2,0,7
"MartinHeinrich","137523189213_10155034924589214","Senator Martin Heinrich","2017-01-24","2017-01-24 18:05:21","President Trump has shown a blatant disregard for tribal sovereignty and responsible energy development. #DAPL","link","https://www.washingtonpost.com/news/energy-environment/wp/2017/01/24/trump-gives-green-light-to-dakota-access-keystone-xl-oil-pipelines/?utm_term=.e8a1c2e9f8f0","washingtonpost.com",161,57,91,3,0,3,45,170
"MartinHeinrich","137523189213_10155035164789214","Senator Martin Heinrich","2017-01-24","2017-01-24 19:14:50","I’m headlining the #FamiliesAscend forum today at 3pm MT to discuss my bipartisan #2Gen legislation to help parents and children together. Watch live here:","video","https://www.youtube.com/watch?v=rhVMpTU6UEo",NA,25,5,3,2,0,0,0,0
"MartinHeinrich","137523189213_10155036287109214","Senator Martin Heinrich","2017-01-25","2017-01-25 00:13:55","President Trump's HHS nominee Tom Price wants to dismantle the Affordable Care Act which would strip health care coverage from thousands of New Mexicans. I’ve received an incredible response from New Mexicans about how the Affordable Care Act has impacted their lives – like Claudia, from Albuquerque who shared her story. I’ll continue fighting to protect the health care that New Mexicans depend on. Share #YourACAStory here: http://www.heinrich.senate.gov/health-care-share-your-story","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10155036287109214/?type=3",NA,168,42,13,10,0,0,1,9
"MartinHeinrich","137523189213_10155038612099214","Senator Martin Heinrich","2017-01-25","2017-01-25 15:10:40","Our leaders must have the trust of the American people that their decisions will benefit everyone, not just the wealthy. In the wake of Supreme Court decisions that equated money with speech, it has become urgent for Congress to do what it can to restore transparency and accountability to the political system. That’s why I am proud to join Senator Tom Udall in introducing a constitutional amendment to overturn Citizens United and get big money out of politics. Continuing on a path that equates money with speech, and corporations with people, erodes the integrity of our political process and the public's faith in our leaders to do what's right.","status",NA,NA,566,91,58,83,3,0,0,0
"MartinHeinrich","137523189213_10155039866134214","Senator Martin Heinrich","2017-01-26","2017-01-26 00:55:01","DREAMers in New Mexico are here to stay – it is unacceptable for the Trump Administration to use their DACA information for deportation. #ProtectDREAMers","photo","https://www.facebook.com/MartinHeinrich/photos/a.10151407443904214.502995.137523189213/10155039866134214/?type=3",NA,459,60,49,55,2,0,1,13
