"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"NancyPelosi","86574174383_10155105236149384","House Democratic Leader Nancy Pelosi","2017-01-03","2017-01-03 01:24:35","Tomorrow, House Republicans will destroy the office that provides an independent ethics process. So much for draining the swamp. http://www.democraticleader.gov/newsroom/12172/","link","http://www.democraticleader.gov/newsroom/12172/","democraticleader.gov",3592,1096,3294,46,22,201,705,3120
"NancyPelosi","86574174383_10155108155079384","House Democratic Leader Nancy Pelosi","2017-01-03","2017-01-03 23:45:59","This is the people’s House. This is the people’s gavel. Americans should know: we will fight every Republican attempt to destroy Medicare, Medicaid, Social Security or the Affordable Care Act. We'll continue to protect clean air and clean water; women's rights, LGBT rights, civil rights; and our DREAMers and their immigrant families. And if there is an attempt to silence our voices for common sense gun violence prevention, with Gabby Giffords as our witness, we will stand our ground. https://goo.gl/ZPPczH","photo","https://www.facebook.com/NancyPelosi/photos/a.449330659383.230422.86574174383/10155108155079384/?type=3",NA,7951,915,1154,1216,49,29,8,23
"NancyPelosi","86574174383_10155108166949384","House Democratic Leader Nancy Pelosi","2017-01-03","2017-01-03 23:52:33","We will seek common ground, but we will stand our ground wherever in good conscience we must. This is the #PeoplesHouse. https://youtu.be/RniC12O1Dsw","video","https://youtu.be/RniC12O1Dsw",NA,1707,603,136,159,22,8,4,16
"NancyPelosi","86574174383_10155113630239384","House Democratic Leader Nancy Pelosi","2017-01-05","2017-01-05 22:47:25","Republicans have made it their mission to attack a woman’s right to control her own body for years. Now, they are saying they will roll their anti-women attacks into their infamous repeal of the Affordable Care Act. We can’t let it happen -- we must stand for what is right and protect women’s health care.","photo","https://www.facebook.com/NancyPelosi/photos/a.449330659383.230422.86574174383/10155113630239384/?type=3",NA,3083,393,515,200,5,15,31,280
"NancyPelosi","86574174383_10155118988134384","House Democratic Leader Nancy Pelosi","2017-01-07","2017-01-07 20:48:19","I am proud to join my colleagues Rep. Jackie Speier and Rep. Barbara Lee this afternoon in the fight against GOP's #MakeAmericaSickAgain agenda.","video","https://www.facebook.com/NancyPelosi/videos/10155118988134384/",NA,4721,1350,775,645,18,15,27,80
"NancyPelosi","86574174383_10155134553384384","House Democratic Leader Nancy Pelosi","2017-01-12","2017-01-12 18:05:47","We must work together to defeat the House GOP’s efforts to mislead the public as they push their #MakeAmericaSickAgenda. youtu.be/Bm6d37aY1n4","photo","https://www.facebook.com/NancyPelosi/photos/a.449330659383.230422.86574174383/10155134553384384/?type=3",NA,1859,251,267,110,79,12,22,21
"NancyPelosi","86574174383_10155134617059384","House Democratic Leader Nancy Pelosi","2017-01-12","2017-01-12 18:35:34",NA,"video","https://www.facebook.com/NancyPelosi/videos/10155134617059384/",NA,1396,961,318,308,11,7,21,45
"NancyPelosi","86574174383_10155135398279384","House Democratic Leader Nancy Pelosi","2017-01-12","2017-01-12 22:46:09","Didn’t get a chance to watch Leader Pelosi last night on For The Record with Greta Van Susteren? Check it out here:","video","https://www.youtube.com/watch?v=Bm6d37aY1n4",NA,326,198,26,23,0,0,1,8
"NancyPelosi","86574174383_10155148034649384","House Democratic Leader Nancy Pelosi","2017-01-16","2017-01-16 21:03:41","Watch live as Leader Pelosi and House Democrats come together in Los Angeles to protect the Affordable Care Act. Together, we will fight to stop the #MakeAmericaSickAgain agenda being pushed by Speaker Ryan and his Republicans!","video","https://www.facebook.com/NancyPelosi/videos/10155148034649384/",NA,4763,1203,1006,798,15,23,18,54
"NancyPelosi","86574174383_10155156639504384","House Democratic Leader Nancy Pelosi","2017-01-19","2017-01-19 18:48:57","Americans deserve an Agriculture Secretary who knows partisanship is a barrier to helping underserved groups and our family farms. https://goo.gl/7djJIp","photo","https://www.facebook.com/NancyPelosi/photos/a.449330659383.230422.86574174383/10155156639504384/?type=3",NA,308,48,32,16,2,2,19,2
