"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"PeterRoskam","118777661469195_1581721548508125","Peter Roskam","2017-01-06","2017-01-06 23:37:00","I presented Mr. Thomas P Horvath with a Congressional Veteran Commendation for his courageous service to our country with the U.S. Coast Guard. Many thanks to Mr. Horvath's family for joining us to celebrate this very special occasion.","photo","https://www.facebook.com/PeterRoskam/photos/a.147005475313080.26940.118777661469195/1581710261842587/?type=3",NA,36,17,0,1,0,1,0,1
"PeterRoskam","118777661469195_1586720321341581","Peter Roskam","2017-01-11","2017-01-11 20:39:26",NA,"photo","https://www.facebook.com/PeterRoskam/photos/a.160917077255253.39505.118777661469195/1586718821341731/?type=3",NA,153,61,3,5,0,0,0,15
"PeterRoskam","118777661469195_1586770828003197","Peter Roskam","2017-01-11","2017-01-11 21:32:14","We have a once-in-a-generation opportunity to fix our broken tax code and enhance American competitiveness for generations to come. I’m honored to serve as Committee on Ways and Means Tax Policy Chairman and look forward to putting it to good use shepherding tax reform across the finish line.","link","https://roskam.house.gov/Tax-Policy-Chairman","roskam.house.gov",146,60,12,7,0,0,0,6
"PeterRoskam","118777661469195_1588152911198322","Peter Roskam","2017-01-14","2017-01-14 22:47:00","I presented Trisha Prabhu of Naperville with an Extension of Remarks to recognize her leadership combating cyberbulling. She developed an app called ReThink to provide users with an extra opportunity to edit or cancel text messages before sending. The popularity of the app continues to grow, as thousands have already downloaded it.","photo","https://www.facebook.com/PeterRoskam/photos/a.147005475313080.26940.118777661469195/1588139547866325/?type=3",NA,53,24,5,4,1,0,0,2
"PeterRoskam","118777661469195_1589173004429646","Peter Roskam","2017-01-19","2017-01-19 18:07:26","Are you coming to D.C. for #MarchForLife next week? You're invited to the Illinois Delegation reception. Please join us Friday, 1/27 from 10am to 12:30pm in room 1310 of the Longworth House Office Building.","photo","https://www.facebook.com/PeterRoskam/photos/a.147005475313080.26940.118777661469195/1589173004429646/?type=3",NA,47,130,12,5,1,0,2,34
"PeterRoskam","118777661469195_1589251591088454","Peter Roskam","2017-01-13","2017-01-13 21:24:36","I’ve heard from thousands of constituents over the past few years of the devastating effects #Obamacare has had on their lives and livelihoods. We have fewer choices and higher costs. In Illinois, insurance premiums have increased by an average of over 21%. More than 49,000 Illinoisans lost coverage when the Land of Lincoln Co-Op failed last year, leaving taxpayers on the hook for over $160 million. It’s clear the law has failed. Today we began the process to repeal and replace Obamacare with a patient-centered, market-based alternative to bring down costs and provide greater access to affordable care for all Americans.","link","http://dailysignal.com/2017/01/12/what-you-need-to-know-about-the-process-republicans-are-using-to-repeal-obamacare/","dailysignal.com",131,628,53,11,1,0,4,217
"PeterRoskam","118777661469195_1595778927102387","Peter Roskam","2017-01-22","2017-01-22 14:08:00","I'll be delivering a major speech on #TaxReform tomorrow at The Heritage Foundation. Please join us in person or watch live at heritage.org","link","http://www.heritage.org/events/2017/01/roskam","heritage.org",65,109,8,0,0,0,3,25
"PeterRoskam","118777661469195_1600594306620849","Peter Roskam","2017-01-28","2017-01-28 19:56:00","Thank you to everyone who stopped by our open house during Inauguration weekend. I'm glad so many Illinoisans had the opportunity to witness history. Please let my office know if you ever plan to visit D.C. You can schedule a meeting at https://roskam.house.gov/scheduling","photo","https://www.facebook.com/PeterRoskam/photos/a.147005475313080.26940.118777661469195/1600587329954880/?type=3",NA,72,299,3,1,1,0,0,20
"PeterRoskam","118777661469195_1603104543036492","Peter Roskam","2017-01-25","2017-01-25 19:16:47","It's National #SchoolChoice Week. Glad to see so many events across Illinois. School Choice empowers students, parents, and local leaders to provide more opportunities for all.","photo","https://www.facebook.com/PeterRoskam/photos/a.147005475313080.26940.118777661469195/1603103409703272/?type=3",NA,45,101,9,3,0,0,0,48
"PeterRoskam","118777661469195_1604164542930492","Peter Roskam","2017-01-27","2017-01-27 01:35:00","I spoke with Varney & Co. live from the GOP retreat in Philadelphia to talk about our plan to fix our broken tax code.","video","https://www.facebook.com/PeterRoskam/videos/1604164542930492/",NA,65,102,5,3,0,0,0,23
