"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"PeterWelch","72680720883_10155738196045884","Peter Welch","2017-01-03","2017-01-03 15:54:25","The first action taken by the Republican majority in the new Congress—in a closed door meeting late last night—was to gut the independent Office of Congressional Ethics. The midnight move will put the independent watchdog under the control of the House Ethics Committee, and prohibits it from hiring a spokesperson, contacting law enforcement without approval, or investigating anonymous tips. Hardly draining the swamp. I will oppose this on House floor today.","status",NA,NA,483,146,73,22,1,9,7,100
"PeterWelch","72680720883_10155739453875884","Peter Welch","2017-01-03","2017-01-03 22:31:18","I just returned from the House floor where I took the oath of office to represent Vermonters in the House of Representatives for the next two years. I am grateful to Vermonters for this opportunity and am ready to get to work. - Peter","video","https://www.facebook.com/PeterWelch/videos/10155739453875884/",NA,872,89,20,42,3,0,1,0
"PeterWelch","72680720883_10155742460585884","Peter Welch","2017-01-04","2017-01-04 17:37:17","Humbled and honored that Vermonters have allowed me to represent them in Congress. Ready to get to work! – Peter","photo","https://www.facebook.com/PeterWelch/photos/a.113455755883.119725.72680720883/10155742460585884/?type=3",NA,425,34,2,13,0,0,1,0
"PeterWelch","72680720883_10155746535285884","Peter Welch","2017-01-05","2017-01-05 19:28:56","Yesterday I introduced my first bill of the 115th Congress, the Medicare Prescription Drug Price Negotiation Act. Putting the federal government's purchasing power to work to save seniors and the taxpayer money is simply common sense. The fact that we continue to pay retail rates for wholesale purchases is ridiculous. It's long past time we put an end this sweetheart deal for big Pharma.  If President-elect Donald J. Trump was serious about this campaign promise, I will work with him to make it happen. – Peter","link","https://welch.house.gov/media-center/press-releases/welch-introduces-bill-force-drug-corporation-negotiate-medicare","elch.house.gov",393,51,66,37,0,0,0,0
"PeterWelch","72680720883_10155749580485884","Peter Welch","2017-01-06","2017-01-06 14:42:26","On January 20, Donald J. Trump will take the oath of office to become the 45th President of the United States. He will raise his right hand and swear to ‘preserve, protect and defend the Constitution of the United States.’ The American people should have every confidence that he will follow through on this solemn oath and act in the country’s best interest rather than his own. Senator Ben Cardin and I introduced a resolution demanding that he abide by the Constitution and sever business ties so that conflicts of interest are eliminated on Day 1. – Peter","link","http://www.washingtonexaminer.com/democrats-trump-at-risk-of-foreign-corruption-unless-he-divests/article/2610963#","washingtonexaminer.com",448,95,37,20,5,1,1,3
"PeterWelch","72680720883_10155749840590884","Peter Welch","2017-01-06","2017-01-06 16:28:40",NA,"photo","https://www.facebook.com/PeterWelch/photos/a.10150890220405884.523975.72680720883/10155749840060884/?type=3",NA,78,3,1,3,0,0,0,0
"PeterWelch","72680720883_10155765029435884","Peter Welch","2017-01-10","2017-01-10 22:21:00","During the winter months, VTrans plow crews work long hours keeping our roads clear so we can safely get where we need to go. Check out their new Winter Central web portal that will help us navigate Vermont’s winter road conditions. It includes a new Plow Finder feature showing the location of all 250 VTrans plow trucks in near real-time so you can track when the next one is coming and plan your trip accordingly. Thank you VTrans plow crews for your often exhausting and often dangerous work keeping the roads clear all winter long!","link","http://vtrans.vermont.gov/operations/winter","vtrans.vermont.gov",97,3,19,0,0,0,0,0
"PeterWelch","72680720883_10155768323545884","Peter Welch","2017-01-11","2017-01-11 20:47:45","Today, President-elect Donald J. Trump strongly endorsed an issue I have been pushing hard for in Congress – requiring the federal government to use its significant bulk purchasing power to cut the price of prescription drugs for seniors and taxpayers.  Here is what he said at this morning’s press conference:   “We're the largest buyer of drugs in the world. And yet we don't bid properly. We're going to start bidding. We're going to save billions of dollars over a period of time.”   Music to my ears. It’s crazy that Medicare buys drugs at wholesale but pays retail prices. I’ve introduced a bill that would require price negotiations with Big Pharma. It will cut drug prices, save taxpayer dollars, and shore up the Medicare trust fund. I’m ready to get to work with President-elect Trump to pass this commonsense legislation.","link","https://vtdigger.org/2017/01/10/welch-seeks-drug-negotiating-power-for-medicare/","vtdigger.org",251,40,16,16,0,0,0,1
"PeterWelch","72680720883_10155769224255884","Peter Welch","2017-01-11","2017-01-11 23:28:00","It’s about time that Volkswagen executives admitted to criminal wrongdoing and face the consequences for knowingly deceiving hundreds of thousands of American consumers, including some 3,000 Vermonters. They cheated on emissions rules that protect our environment and violated the trust placed in them by their customers. I am pleased to see the company and those responsible for the crimes finally being brought to justice.","link","http://www.wsj.com/articles/volkswagen-pleads-guilty-in-u-s-emissions-scam-1484159603","wsj.com",25,3,4,0,0,0,0,0
"PeterWelch","72680720883_10155777616420884","Peter Welch","2017-01-13","2017-01-13 21:38:00","Ahead of House vote today to repeal the Affordable Care Act, Peter took to the House floor to call out the House majority for repealing a law that has benefited thousands of Vermonters with no replacement law in sight.  “Bottom line, you’re the majority in the House, you’re the majority in the Senate, you’ve got the presidency. You’ve got some responsibility to show us the beef. Where is the plan? Now there’s a lot of paper over there, but you haven’t shown us a plan and here’s why: because when you put pen to paper, all hell is going to break loose on your side, because you have to move beyond the rhetoric to figuring out how you’re going to pay to keep our kids on our healthcare plan, you’re going to have to figure out how to pay if we’re going to let folks with preexisting conditions have healthcare. Those don’t solve themselves, and you don’t have a plan.”","video","https://www.facebook.com/PeterWelch/videos/10155777616420884/",NA,996,167,259,74,1,2,6,31
"PeterWelch","72680720883_10155791045415884","Peter Welch","2017-01-17","2017-01-17 19:32:27","I was sickened by President-elect Donald Trump’s comments belittling the record of civil rights icon, Rep. John Lewis. John is a personal hero of mine and many other Americans. His storied career defines leadership, courage, civility, and action. I am deeply disappointed that Mr. Trump is continuing the invective of his campaign into his presidency.    Over the weekend and today, I’ve heard from a number of Vermonters asking me not to attend Friday’s inauguration. As I outlined on this page earlier this month, I will not do anything to normalize Mr. Trump’s rhetoric or his demeaning treatment of individuals or whole classes of people. And I will fiercely oppose any effort on his part to take away or limit the civil rights of any American.    However, I believe the inaugural ceremony is about more than any individual. It is about the peaceful transition of power enshrined in our Constitution. I believe it is my job to participate in, and be a witness to, this touchstone of our democracy and powerful symbol to the world. So, while I respect the decision of some of my colleagues to stay home, I will attend, but not celebrate, Friday’s ceremony.","status",NA,NA,531,408,47,10,3,8,73,58
