"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"Rep.Billy.Long","139631049438354_1145341212200661","Billy Long","2017-01-03","2017-01-03 18:00:01","Some of our top priorities this legislative session include putting a stop to excessive regulations.","link","http://www.usatoday.com/story/news/politics/2017/01/02/republican-congress-puts-priority-targeting-regulations-trump/96003180/","usatoday.com",67,17,4,2,1,0,0,1
"Rep.Billy.Long","139631049438354_1146336218767827","Billy Long","2017-01-04","2017-01-04 21:06:22","New year, new Congress. With Republicans controlling the House, Senate and now the White House, a unified Republican government will set an aggressive conservative agenda. It's time to make America great again.","link","http://www.news-leader.com/story/opinion/readers/2017/01/04/time-make-america-great/96144056/","news-leader.com",202,31,7,9,6,0,1,3
"Rep.Billy.Long","139631049438354_1146465378754911","Billy Long","2017-01-04","2017-01-04 22:19:07","We can’t continue to let outgoing presidential administrations, regardless of their political party, pass midnight rules that Congress can do little to nothing about. That's why I voted in favor of the Midnight Rules Relief Act of 2017. This bill would put in place a rapid-response method for Congress to undo last-minute rules from an outgoing administration.","link","https://long.house.gov/press-releases/long-statement-on-the-passage-of-the-midnight-rules-relief-act-of-2017/","long.house.gov",181,23,16,8,1,1,0,4
"Rep.Billy.Long","139631049438354_1147395011995281","Billy Long","2017-01-06","2017-01-06 01:24:40","Unelected bureaucrats in Washington have pushed through regulations that have damaging effects on hardworking Americans for far too long. Tonight I voted in favor of making sure they are held accountable. The American people deserve to have their voices heard.","link","https://long.house.gov/press-releases/long-comments-on-the-passage-of-the-regulations-from-the-executive-in-need-of-scrutiny-reins-act/","long.house.gov",62,10,3,2,1,0,0,3
"Rep.Billy.Long","139631049438354_1147896288611820","Billy Long","2017-01-06","2017-01-06 17:50:38","I'm honored to represent the people of Missouri's 7th Congressional District again during the 115th Congress.","photo","https://www.facebook.com/Rep.Billy.Long/photos/a.140428982691894.26740.139631049438354/1147896288611820/?type=3",NA,276,38,6,11,2,1,0,7
"Rep.Billy.Long","139631049438354_1148035205264595","Billy Long","2017-01-06","2017-01-06 21:57:34","As Israel continues to be our strongest strategic, military and economic ally in the Middle East, the United States needs to remain on the right side of history and support our strongest ally. I believe that on January 20, 2017, when President-elect Donald Trump is sworn into office, Israel will finally have the friend and ally it deserves.","link","https://long.congressnewsletter.net/common/mailings/index.cfm?id=194","long.congressnewsletter.net",176,14,14,12,2,0,0,1
"Rep.Billy.Long","139631049438354_1150257385042377","Billy Long","2017-01-09","2017-01-09 21:26:35","Thank you to all the brave men & women in southwest MO who put their lives on the line for their communities.","photo","https://www.facebook.com/Rep.Billy.Long/photos/a.140428982691894.26740.139631049438354/1150257385042377/?type=3",NA,41,0,5,1,0,0,0,0
"Rep.Billy.Long","139631049438354_1151963491538433","Billy Long","2017-01-12","2017-01-12 01:30:00","As the 115th Congress begins, I will continue to support legislation that strengthens our relationship with Israel. With a new Congress and a new administration, I am confident that Israel will once again see the United States as a strong ally it can count on.","link","https://t.co/2U0dowoSOu","t.co",209,16,9,4,2,0,1,0
"Rep.Billy.Long","139631049438354_1153002111434571","Billy Long","2017-01-12","2017-01-12 22:43:21","Unelected Washington bureaucrats continue to push through regulations without weighing the costs. That's why I voted in favor of the SEC Regulator Accountability Act today. It strengthens the existing cost-benefit analysis system that is already in place, requires that the SEC explicitly explain how the new regulation would address the existing problem and would prohibit the SEC from issuing a rule that they are unable to show the benefits justifying the costs.","link","https://long.house.gov/press-releases/long-comments-on-the-passage-of-the-sec-regulatory-accountability-act/","long.house.gov",39,12,5,1,0,1,0,3
"Rep.Billy.Long","139631049438354_1153744198027029","Billy Long","2017-01-13","2017-01-13 19:33:13","The national dialogue regarding law enforcement over the past few years has been disheartening. Officers have been talked about as if they are the problem rather than the solution. I refuse to accept this as the new normal. The time is now to support our law enforcement. I encourage everyone to let an officer know you care about them and that you appreciate what they do in often challenging circumstances. I will continue to voice my support for both local and state efforts that support our law enforcement as well as support legislation at the federal level that supports our law enforcement. It’s the right thing to do and I’m thankful for the opportunity to do so every day.","link","https://long.congressnewsletter.net/common/mailings/index.cfm?id=195","long.congressnewsletter.net",131,12,9,8,1,1,0,0
