"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"Rep.BluntRochester","1717468191899835_117303808989382","Congresswoman Lisa Blunt Rochester","2017-09-11","2017-09-11 18:49:53","My staff is ready and willing to assist with issues involving the Veterans Administration, Social Security, and other federal issues.","event","https://www.facebook.com/events/117303808989382/",NA,81,5,0,5,1,0,0,0
"Rep.BluntRochester","1717468191899835_1444602638884159","Congresswoman Lisa Blunt Rochester","2017-02-08","2017-02-08 16:19:42","You are invited to attend a dessert reception celebrating the opening of the Wilmington Office of Congresswoman Lisa Blunt Rochester.  Thursday, February 23rd, 2017 4:00 p.m. to 7:00 p.m.  Office of Congresswoman Blunt Rochester 1105 North Market Street Suite 400 Wilmington, DE 19801  Please RSVP no later than February 17th. RSVP at LBROpeningOffice.eventbrite.com.  With questions please contact de.scheduling@mail.house.gov  or call (302) 830-2330.","event","https://www.facebook.com/events/1444602638884159/",NA,77,0,0,2,0,0,0,0
"Rep.BluntRochester","1717468191899835_1717469065233081","Congresswoman Lisa Blunt Rochester","2017-01-03","2017-01-03 16:25:41",NA,"photo","https://www.facebook.com/Rep.BluntRochester/photos/a.1717469058566415.1073741825.1717468191899835/1717469065233081/?type=3",NA,104,10,7,14,0,0,0,0
"Rep.BluntRochester","1717468191899835_1717469645233023","Congresswoman Lisa Blunt Rochester","2017-01-03","2017-01-03 16:24:23",NA,"photo","https://www.facebook.com/Rep.BluntRochester/photos/a.1717469635233024.1073741827.1717468191899835/1717469585233029/?type=3",NA,52,2,3,9,0,0,0,0
"Rep.BluntRochester","1717468191899835_1717615328551788","Congresswoman Lisa Blunt Rochester","2017-01-03","2017-01-03 23:47:50","People ask me what it's like to make history and today looking over the ceiling of the Library of Congress and looking out at the Capitol, the gravity of this day is not lost on me. Today, being sworn in, I know that hope is still alive. I'm incredibly humbled and excited to begin working on behalf of all Delawareans to build our economy and move our nation forward.","photo","https://www.facebook.com/Rep.BluntRochester/photos/a.1717615288551792.1073741828.1717468191899835/1717614018551919/?type=3",NA,625,112,125,110,0,0,0,0
"Rep.BluntRochester","1717468191899835_1718450775134910","Congresswoman Lisa Blunt Rochester","2017-01-05","2017-01-05 19:29:38","It was a pleasure to welcome the Delaware Field Hockey team to Washington yesterday. We are so proud of all they've accomplished this season! Go #BlueHens!","photo","https://www.facebook.com/Rep.BluntRochester/photos/a.1718450785134909.1073741829.1717468191899835/1718448575135130/?type=3",NA,42,2,1,3,0,0,0,0
"Rep.BluntRochester","1717468191899835_1720648418248479","Congresswoman Lisa Blunt Rochester","2017-01-10","2017-01-10 16:33:22","Last night was full of good news! I was incredibly happy to learn last night that DuPont will invest in the Experimental Station and that Chemours will remain in Wilmington. DuPont and its buildings have long been icons in Delaware. Both the investment in the Experimental Station and the decision to keep Chemours in Wilmington are signals of the commitment each company has to our economy and our community and I’m overjoyed to see their strong Delaware legacy remain.","link","http://www.delawareonline.com/story/news/2017/01/09/breen-dupont-invest-200m-experimental-station/96372908/","delawareonline.com",70,1,5,2,0,0,0,0
"Rep.BluntRochester","1717468191899835_1721716254808362","Congresswoman Lisa Blunt Rochester","2017-01-12","2017-01-12 21:14:58","Incredibly proud to be part of the Congressional LGBT Equality Caucus!   Although my amendment to the Regulatory Accountability Act wasn't brought to the floor for a vote, I will continue fighting to protect LGBT Americans from workplace discrimination. All Americans deserve a fair chance to earn a living and provide for their families without fear of being fired because of who they are or who they love.","photo","https://www.facebook.com/LGBTEqCaucus/photos/a.359987850789934.1073741830.344905645631488/1062188860569826/?type=3",NA,124,7,0,19,0,0,0,0
"Rep.BluntRochester","1717468191899835_1722818888031432","Congresswoman Lisa Blunt Rochester","2017-01-15","2017-01-15 02:35:30","It was an honor to sit with John Lewis, the last living speaker from the March on Washington and a civil rights icon, and hear him speak about his tireless fight toward justice and equality. Like Dr. Martin Luther King Jr., Rep. Lewis has been a drum major for peace, for progress and we are all lucky to have a man of his caliber serving this nation in Congress.","photo","https://www.facebook.com/Rep.BluntRochester/photos/a.1717615288551792.1073741828.1717468191899835/1722818888031432/?type=3",NA,254,20,16,31,0,0,0,0
"Rep.BluntRochester","1717468191899835_1723515657961755","Congresswoman Lisa Blunt Rochester","2017-01-16","2017-01-16 16:11:14","Thankful to have the opportunity to speak with Delawareans this morning about Dr. Martin Luther King Jr. and the legacy he left behind.   This is such an important holiday, but not just because we have the opportunity to reflect on Dr. King's dedication to justice and equality. Dr. King was about action and right now we need action. Today, more than ever we need people with broad shoulders who are willing to lift people up and act.   Someone asked me recently what I would tell Dr. King if he were here today. After giving my thanks for all he did, I would tell him that the work and action continues every single day. The challenges haven’t diminished our spirit. The opposition hasn’t weakened us. His vision and his dream continue to nurture and guide us.","photo","https://www.facebook.com/Rep.BluntRochester/photos/a.1717615288551792.1073741828.1717468191899835/1723514334628554/?type=3",NA,84,11,8,6,0,0,0,0
