"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"Rep.Shuster","54386677806_10154347809672807","Congressman Bill Shuster","2017-01-03","2017-01-03 20:48:27","Was just sworn in as a member of the 115th Congress. It is the honor of my life to serve the people of the 9th District.","status",NA,NA,127,16,1,2,0,0,0,1
"Rep.Shuster","54386677806_10154348129662807","Congressman Bill Shuster","2017-01-03","2017-01-03 23:13:17","Today was the first day of the 115th Congress. Two months ago the voice of the American people was heard, and as I have been since my first day in office – I continue be honored to represent the people of Pennsylvania’s 9th Congressional District. The American people made it clear that they wanted a Congress and White House that will work together to advance ideas that will strengthen our economy and restore our powerful standing around the world. Today is just the beginning of what is going to be an important step forward for this nation.   As Chairman of the House Transportation and Infrastructure Committee, I’m ready to work with President-elect Donald Trump to rebuild America’s infrastructure. We are going to invest in our roads and bridges, modernize our outdated aviation system, and continue improving our waterways. President-elect Trump is also ready to work with us on destroying ISIS, and I appreciate the opportunity to serve on a committee that will be tasked with ensuring our military has the tools needed to do so.   We are going to be a stronger nation after the 115th Congress passes common sense policies that will not be blocked by President Obama, but signed into law by our Republican Administration.   This is an exciting day, and it is time to get to work.","status",NA,NA,45,10,3,0,0,0,0,0
"Rep.Shuster","54386677806_10154349766872807","Congressman Bill Shuster","2017-01-04","2017-01-04 14:51:12","It’s time to come together to advance ideas that will strengthen our economy and restore our powerful standing around the world. Let’s get to work!","link","http://www.tribdem.com/news/gop-led-congress-pledges-to-get-to-work/article_c4051260-d231-11e6-adb5-8fb6f8241b0a.html","tribdem.com",65,17,3,0,0,0,0,1
"Rep.Shuster","54386677806_10154353053302807","Congressman Bill Shuster","2017-01-05","2017-01-05 19:07:06","Trooper Landon Weaver will always be remembered.","video","https://www.facebook.com/ChrisDavisNews/videos/1045553788882926/",NA,90,1,0,4,0,0,18,0
"Rep.Shuster","54386677806_10154355196747807","Congressman Bill Shuster","2017-01-06","2017-01-06 16:34:39","While the Obama Administration may have seen regulations as just words on a page,  in my district they drastically impact people’s lives. That is why I was so pleased to see the House pass the REINS Act last night, a bill I cosponsored that will bring sanity back to regulations by having major rules reviewed by Congress so they don’t continue to destroy our economy.","link","https://shuster.house.gov/press-releases/measure-to-require-congressional-approval-of-major-government-regulations-passes-house/","shuster.house.gov",33,5,7,1,0,0,1,0
"Rep.Shuster","54386677806_10154355621097807","Congressman Bill Shuster","2017-01-06","2017-01-06 20:16:56","Earlier today a joint session of the House and Senate officially certified Donald Trump as our next president and Mike Pence as our next vice president. Congratulations to both – let’s get to work!","status",NA,NA,62,4,6,6,0,0,3,0
"Rep.Shuster","54386677806_10154355821687807","Congressman Bill Shuster","2017-01-06","2017-01-06 22:20:39","The situation in Florida is tragic. Prayers for both the victims and law enforcement.","status",NA,NA,29,0,1,0,0,0,0,0
"Rep.Shuster","54386677806_10154362873302807","Congressman Bill Shuster","2017-01-09","2017-01-09 19:19:01","Our region has been a leader in autonomous vehicle technology, and as Chairman of the Transportation and Infrastructure Committee, I’ve had the chance to ride in some of these innovative vehicles several times.  It's remarkable how far this technology has come, and if it is developed and implemented properly, it has the potential to save lives and change the way we get around.","link","http://www.heraldmailmedia.com/news/tri_state/pennsylvania/pennsylvania-seeks-to-be-national-leader-in-driverless-cars/article_01b7b649-deca-5150-8294-f9bbebf39b93.html","heraldmailmedia.com",34,7,10,2,0,0,0,0
"Rep.Shuster","54386677806_10154363383642807","Congressman Bill Shuster","2017-01-09","2017-01-09 23:40:41","Today is National Law Enforcement Appreciation Day, and I hope everyone in DC can see my window because it’s proudly lit up for the men and women in blue.","photo","https://www.facebook.com/Rep.Shuster/photos/a.375373252806.157580.54386677806/10154363383642807/?type=3",NA,71,2,9,6,0,0,0,0
"Rep.Shuster","54386677806_10154365148647807","Congressman Bill Shuster","2017-01-10","2017-01-10 17:44:56","Suppressors are protecting the hearing of sportsmen every day, and there shouldn't be an unnecessary government fee just to purchase one.  I was glad to cosponsor H.R.367 earlier today – this legislation will remove the transfer tax on purchasing a suppressor. Thank you Altoona Mayor Matt Pacifico for working with me to bring attention to this issue!","link","https://www.nraila.org/articles/20170109/nra-applauds-the-introduction-of-the-hearing-protection-act-hr-367","nraila.org",71,7,17,2,0,0,0,0
