"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepAdamSchiff","9086721830_10153950353646831","Congressman Adam Schiff","2017-01-19","2017-01-19 15:10:41","Thanks, Obama.","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10153950353646831/?type=3",NA,867,32,27,141,6,0,3,2
"RepAdamSchiff","9086721830_10153989601741831","Congressman Adam Schiff","2017-01-01","2017-01-01 01:30:29","Some wonderful news to bring in the New Year for some of earth's most magnificent creatures: China will end its legal market for ivory, the largest in the world.","link","http://www.nytimes.com/2016/12/30/world/asia/china-ivory-ban-elephants.html","nytimes.com",444,31,53,41,0,8,0,0
"RepAdamSchiff","9086721830_10153991136946831","Congressman Adam Schiff","2017-01-01","2017-01-01 17:30:00","With every passing day and tweet, President-elect Trump continues to doubt and denigrate the work of the men and women who serve in the intelligence community, now claiming he knows things about the Russia hacks that other people don't know. He needs to stop talking this way if he wants to have any credibility as President. Congress should come together in a bipartisan fashion to impose additional strong sanctions against Russia after their unprecedented interference in our election.   Joined ABC's This Week to discuss this morning: https://www.youtube.com/watch?v=vh_6HWTOq34","video","https://www.youtube.com/watch?v=vh_6HWTOq34",NA,439,133,58,20,5,4,3,28
"RepAdamSchiff","9086721830_10153991842601831","Congressman Adam Schiff","2017-01-01","2017-01-01 21:00:43","Happy New Year to you and your family!   As we bring in the New Year, I hope the coming months will usher in a time of greater peace and prosperity. May you and your family enjoy good health, happiness and the company of good friends.","status",NA,NA,289,32,5,16,0,0,0,1
"RepAdamSchiff","9086721830_10153993903871831","Congressman Adam Schiff","2017-01-02","2017-01-02 17:15:36","New Years Day may have been yesterday, but today is our own New Years tradition – the Pasadena Rose Parade! Only in Southern California!","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10153993903871831/?type=3",NA,462,24,15,30,2,2,0,0
"RepAdamSchiff","9086721830_10153994538881831","Congressman Adam Schiff","2017-01-02","2017-01-02 23:31:47","What the Russians did when they meddled in our elections was utterly unprecedented and must be answered. The Obama Administration has taken the first important steps, but more will be needed to deter further interference.   Both parties must take some measure of responsibility for the success of the Russian active measures. The Trump campaign and GOP for exploiting the hacked documents, and the Democratic Party for failing to persuade the American people why they should care.  I explained why to The Atlantic:","link","http://www.theatlantic.com/amp/article/511571/?client=safari","theatlantic.com",375,127,68,6,8,10,6,61
"RepAdamSchiff","9086721830_10153996162746831","Congressman Adam Schiff","2017-01-03","2017-01-03 17:13:14","Today, I will vote no on the House GOP’s proposed rule changes.  These changes will weaken ethics rules and stifle free speech.  Voting at night on a holiday to neuter Office of Congressional Ethics doesn't sound like draining the swamp to me.","link","http://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html?smid=tw-nytimes&smtyp=cur","nytimes.com",245,46,22,1,1,9,2,24
"RepAdamSchiff","9086721830_10153996375446831","Congressman Adam Schiff","2017-01-03","2017-01-03 19:09:44",NA,"photo","https://www.facebook.com/RepAdamSchiff/photos/a.420381471830.223586.9086721830/10153996375446831/?type=3",NA,365,54,17,19,2,3,0,8
"RepAdamSchiff","9086721830_10153998959546831","Congressman Adam Schiff","2017-01-04","2017-01-04 22:17:59","So honored to be sworn-in to represent California’s 28th Congressional District for another two years. While our nation remains deeply divided, we need to work together – not as Democrats or Republicans, but as Americans – to improve our economy, protect our country, and ensure that the middle class continues to grow and thrive.   When new ideas are presented that move our country forward, I promise to support them – whether they come from Democrats or Republicans. But when proposals are introduced that would take our country back, or that would diminish the rights of any Americans, I will fight them in every way.","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10153998959546831/?type=3",NA,1144,113,23,66,5,0,0,3
"RepAdamSchiff","9086721830_10154000803026831","Congressman Adam Schiff","2017-01-06","2017-01-06 17:03:54","Wishing the Armenian community a very Merry Christmas! Shnorhavor Nor Dari yev Soorp Dznund Շնորհաւոր Նոր Տարի եւ ՍուրբԾՆունդ","status",NA,NA,1409,65,105,149,0,1,0,0
"RepAdamSchiff","9086721830_10154003259626831","Congressman Adam Schiff","2017-01-06","2017-01-06 21:57:27","This morning, I was briefed by the leadership of the intelligence community and have reviewed their full report, which carefully documents the Russian hacking of democratic institutions and individuals, and their dumping of documents during the presidential  campaign.  The report makes it clear that the Russian intervention was directed by Putin himself, and was designed not only to sow discord in the United States, but was also motivated by the desire to help Donald Trump’s election chances by discrediting Secretary Hillary Clinton.  These conclusions are well-supported by the evidence and the report should put to rest any uncertainty as to Russian responsibility for this unprecedented interference in our internal affairs.   As a nation, we must resolve  to impose further consequences both public and private that will deter the Russians from seeking to undermine our democracy in the future and the report issued today will inform the thorough investigations that Congress must now undertake to ascertain the extent of what happened and how, and what steps we need to take to protect our government. “  The President-Elect’s statement that the Russian hacking had ""absolutely no effect on the outcome of the election"" is not supported by the briefing, report, or common sense.  It is one thing to say that there was no tampering with vote tallying – which is true – it is another  thing to say that the daily dumping of documents disparaging to Secretary Clinton that was made possible by Russian cyber operations had no effect on the campaigns.  The consequence of these disclosures was hugely beneficial to the President-Elect and damaging to the Clinton campaign, just as the Russians intended.  Whether they had a decisive impact on the outcome will never be known and was certainly not the subject of the intelligence community’s analysis, but that they were of great consequence is undeniable.”  Today the Congress certified the election.  This report should not be taken to re-open the election, but to make sure this never happens again.  President-Elect Trump received the same briefing congressional leaders did this morning, and I hope that he acts appropriately in the face of this clear-cut, Russian malicious activity against America.  That starts by accepting the facts.  The President-Elect must not obfuscate or distract, but deal honestly with the truth of what happened, and will continue to happen in the U.S. and against our allies, unless we put an end to it.  Russian influence operations are not only a clear danger to the United States, but to liberal democracies around the world.  You can read the Intelligence Community's declassified report here: https://www.dni.gov/files/documents/ICA_2017_01.pdf","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10154003259626831/?type=3",NA,407,153,375,5,7,37,12,115
"RepAdamSchiff","9086721830_10154005097651831","Congressman Adam Schiff","2017-01-07","2017-01-07 18:18:51","It might sound strange, but one of the best ways I connect with constituents is through sports -- everything from the Nautica Malibu Triathlon, to a run/walk for the Hollywood YMCA, to the AIDS/LifeCycle or a routine trip to the gym.   There's also nothing better to really reduce stress and clear your head. I’m a big believer in sound body, sound mind. I always feel better when I’m working out and think it helps me do my job better in many ways.","link","https://sports.good.is/articles/congress-adam-schiff-dc-triathlon","sports.good.is",275,26,15,14,0,0,0,0
"RepAdamSchiff","9086721830_10154007802906831","Congressman Adam Schiff","2017-01-08","2017-01-08 22:28:59","As a member of the ""Gang of Eight"", I received essentially the same briefing this week as the President-elect. His continued unwillingness to address the fact of Russian intervention in the election is incomprehensible. What the President-elect needs to realize is this: There is no one doing more to undermine the legitimacy -- and success -- of his Presidency than Donald Trump is.   I spoke about this on CNN State of the Union this morning:","video","https://www.facebook.com/RepAdamSchiff/videos/10154007802906831/",NA,438,81,79,23,4,2,3,23
"RepAdamSchiff","9086721830_10154009662721831","Congressman Adam Schiff","2017-01-09","2017-01-09 18:43:51","What does it say about our gun safety laws that a man who goes into an FBI office and claims that his mind is being controlled by intelligence agencies and that he is being forced to watch ISIS videos -- and has his weapon removed by the FBI -- cannot be barred from reclaiming his gun? Is this the best we can do?  #NotOneMore","link","http://www.nbcnews.com/news/us-news/gun-used-airport-shooting-suspect-was-once-taken-away-him-n704501","nbcnews.com",199,59,43,0,0,7,39,112
"RepAdamSchiff","9086721830_10154012657306831","Congressman Adam Schiff","2017-01-11","2017-01-11 03:08:33","Thank you, Mr. President. Thank you. ""Yes, we can. Yes, we did. Yes, we can."" #ThanksObama","video","https://www.facebook.com/msnbc/videos/1426867374076177/",NA,923,51,0,161,9,3,4,3
"RepAdamSchiff","9086721830_10154018639071831","Congressman Adam Schiff","2017-01-13","2017-01-13 00:14:35","Yesterday, President-elect Trump announced that he will turn the management of his businesses over to his two sons and a trustee of his choosing (not a blind trust). This is not a solution to the serious conflicts of interest he faces.   Trump claims the conflict of interest provisions don't apply to him, but the most important one certainly does -- it's called the Emoluments Clause and it's in the Constitution. To meet its requirements, he must fully divest of ownership in his businesses and refuse any gift, financial compensation or other emolument -- whether in return for service or not.   The President-elect says people voted for him knowing that he had business interests all over the world. That may be true, but they also expect every President to do what the Constitution requires once they assume office.","link","https://www.nytimes.com/2017/01/12/opinion/trumps-business-separation-plan-does-nothing-of-the-kind.html?smprod=nytcore-iphone&smid=nytcore-iphone-share&_r=0","nytimes.com",345,89,83,4,3,14,3,99
"RepAdamSchiff","9086721830_10154021004106831","Congressman Adam Schiff","2017-01-13","2017-01-13 22:47:44","Just voted NO on Republican budget gimmick to repeal the Affordable Care Act. Republicans in Congress would throw millions off their healthcare without a plan to replace their coverage.  When I went to search for their legislative text for a replacement bill on Speaker Ryan's website...well, here's what I found:","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10154021004106831/?type=3",NA,758,172,135,48,22,20,12,160
"RepAdamSchiff","9086721830_10154022983551831","Congressman Adam Schiff","2017-01-14","2017-01-14 19:06:56","John Lewis has used his voice to change a nation.   President-elect Trump uses his to try and silence those who disagree with him.  Disgraceful.","link","https://goo.gl/ALpb1t","goo.gl",812,103,149,34,4,4,15,193
"RepAdamSchiff","9086721830_10154025023781831","Congressman Adam Schiff","2017-01-15","2017-01-15 17:28:24","Since the elections I've heard from many of you asking if Republicans in Congress and Donald Trump really plan to repeal the Affordable Care Act and take away health insurance from more than 20 million Americans without a plan to replace it. I'm sad to say that after this week I can say that yes, that's exactly what they plan to do.  Our stand starts now.  On Friday, House Republicans took the first step in a process that would allow them to repeal the ACA with only Republican votes. I voted NO.  That's the bad news, but the good news is the fight is just starting. Seven years after passage of the ACA, the GOP doesn't have a plan that would come even close to insuring the millions who rely on the ACA for health care, including the 27 percent of Americans with pre-existing medical conditions that made it impossible to get insurance before the ACA.  The ACA isn't perfect and if Republicans are serious about improving it to keep down prices and reach more people, I'm ready to work with them. But health insurance is literally life and death for millions of Americans. We won't let them take it away without a fight.  Next week I'll be hosting a forum (https://www.facebook.com/events/235082330277300) to talk about what the ACA means for many of my constituents and our plans to make sure we don't turn back the clock on health care. I hope you'll join me, and that you'll raise your voice to say we won't stand by and let anyone take away health insurance from millions of Americans.","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10154025023781831/?type=3",NA,335,39,54,16,0,0,3,19
"RepAdamSchiff","9086721830_10154027608601831","Congressman Adam Schiff","2017-01-16","2017-01-16 16:40:29","Today, we remember and honor the legacy of Dr. Martin Luther King Jr. who through his voice and actions helped bring change to a broken nation. MLK and other leaders fought peacefully and tirelessly to pass the Voting Rights Act of 1965, and truly begin to change the conversation and course in America.  Dr. King's work is not done. During the 2016 election season I was deeply disturbed by efforts around our country to make voting more difficult in certain communities. Individual counties and states chose to enact strict voter ID laws, restrict early voting locations and times, and sometimes provided incorrect voting times and locations online. In effect, these steps make it more difficult for certain members of the community - minorities, undereducated, and poor members of the community - to cast a ballot.  It is our duty to guarantee the rights Martin Luther King Jr. and so many other men and women fought for, and I will do so whenever disenfranchisement and voter suppression rear their ugly heads. Every eligible American must be able to vote for our democracy to function in its highest form.","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10154027608601831/?type=3",NA,201,29,10,18,0,0,0,0
"RepAdamSchiff","9086721830_10154030597456831","Congressman Adam Schiff","2017-01-17","2017-01-17 20:28:54","On Friday, I will be attending the Inauguration and on Saturday I will march with constituents who traveled to DC for the Women's March. I want to share my thoughts on these upcoming events, even though I know many of you may disagree with my decision.   This is the first time I've ever truly considered not attending an Inauguration, both because of a foreign adversarial power's role in Donald Trump's election, and because of his deplorable conduct before and after November 7.   During the campaign, I repeatedly warned of Russia's interference in our democracy and the assistance it was giving Trump by hacking and releasing documents detrimental to Secretary Clinton. In fact, as the Ranking Democrats on the House and Senate Intelligence Committees, Senator Feinstein and I took the rare step of attributing the hacks to Russia well before the Administration was willing to, and I will be helping to lead the investigation into its pernicious interference in our affairs.   Since the election, Trump has only made matters worse, continuing his denials of the extent of Russian involvement and persisting in offensive conduct that only divides the country.   There are few people I respect more than John Lewis, a hero of the civil rights movement and a man I was honored to join in a civil rights pilgrimage to the Edmund Pettis Bridge and during a sit-in on the House floor to protest inaction on gun violence.   Trump's lack of respect for Rep. Lewis and his insulting attitude towards others offends me greatly. As I have said many times, no one is doing more to undermine the legitimacy of Donald Trump's Presidency than Donald Trump.   So why go?   In my view, Congressional participation at a Presidential Inauguration is not about the President, it's about the Presidency. Yes, many in the public attend because they are pleased with the election and want to be present when their candidate is sworn in. But the reason that Congress surrounds the new President during the ceremony -- members from both parties -- is not because both parties are pleased with the result of the election. Far from it. We participate on a bipartisan basis because we are acknowledging the peaceful transition of power that is the hallmark of our democracy.   Like many of you, I was appalled when candidate Trump wouldn't commit to respecting the result of the election if he lost. I feel I would be doing the same thing if I boycotted the ceremony in which the office of the Presidency is passed from one occupant of the office to the next. There's a reason why Senators Harris and Sanders and others are attending the Inauguration, and it is out of respect for the office, even if the man who is taking the oath has demonstrated little understanding of what that means. If former Secretary of State Hillary Clinton can demonstrate the grit to attend the Inauguration after Trump's slanderous attacks on her, then so can I.  On the day following the Inauguration, I will join constituents in Washington for the Women's March and participate in another fundamental aspect of our democracy -- the right to protest. Our message that day, and every day of his Presidency will be the same: That we will not allow Trump to roll back the progress we have made, that his actions and words have consequences, that we will hold him accountable, that demeaning women, minorities and anyone who disagrees with him will not be acceptable, and that we will not be silent.  Once again, thank you for sharing your thoughts and I hope you will continue to do so.","status",NA,NA,814,489,102,53,2,5,66,42
"RepAdamSchiff","9086721830_10154031345211831","Congressman Adam Schiff","2017-01-18","2017-01-18 02:42:00","Happy birthday to our amazing First Lady, Michelle Obama! We will miss your grace and intellect in the White House!","photo","https://www.facebook.com/RepAdamSchiff/photos/a.333775801830.159007.9086721830/10154031345211831/?type=3",NA,724,30,27,97,0,0,6,3
