"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepAlLawsonJr","1712959155701515_1712970865700344","Rep Al Lawson Jr.","2017-01-05","2017-01-05 20:49:18",NA,"photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1712970529033711.1073741826.1712959155701515/1712970865700344/?type=3",NA,12,0,0,1,0,0,0,0
"RepAlLawsonJr","1712959155701515_1712971599033604","Rep Al Lawson Jr.","2017-01-05","2017-01-05 20:51:36",NA,"photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1712971622366935.1073741827.1712959155701515/1712971599033604/?type=3",NA,11,0,1,0,0,0,0,0
"RepAlLawsonJr","1712959155701515_1713477538983010","Rep Al Lawson Jr.","2017-01-07","2017-01-07 00:08:37","My thoughts and prayers are with those affected by today's shooting in Ft. Lauderdale and the first responders who worked to save lives.","status",NA,NA,6,0,0,0,0,0,0,0
"RepAlLawsonJr","1712959155701515_1714806842183413","Rep Al Lawson Jr.","2017-01-09","2017-01-09 16:26:11",NA,"photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1712970529033711.1073741826.1712959155701515/1714806842183413/?type=3",NA,39,2,1,3,0,0,0,0
"RepAlLawsonJr","1712959155701515_1715835642080533","Rep Al Lawson Jr.","2017-01-11","2017-01-11 23:55:51",NA,"photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1715835632080534.1073741828.1712959155701515/1715835642080533/?type=3",NA,37,0,9,6,0,0,0,0
"RepAlLawsonJr","1712959155701515_1717716435225787","Rep Al Lawson Jr.","2017-01-15","2017-01-15 15:19:53","This past week I was honored to have the opportunity to host a bipartisan breakfast for the new members of Congress in honor of the Rev. Dr. Martin Luther King, Jr.   U.S. Rep. John Lewis, GA-5, was our speaker and shared his reflections on Dr. King, the civil rights movement, and the progress our country has made by working together for the public good.","photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1717714348559329.1073741829.1712959155701515/1717716435225787/?type=3",NA,29,4,2,4,0,0,0,0
"RepAlLawsonJr","1712959155701515_1717779015219529","Rep Al Lawson Jr.","2017-01-15","2017-01-15 18:11:16","Today, I joined my fellow Floridians to rally against the repeal of the   Affordable Care Act. Without the ACA 30 million Americans would  lose coverage and millions more will see costs increase.  I reject the current efforts underway to #MakeAmericaSickAgain.  #CoverageMatters #ACA","photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1717714348559329.1073741829.1712959155701515/1717778785219552/?type=3",NA,50,9,7,4,0,0,0,0
"RepAlLawsonJr","1712959155701515_1718318185165612","Rep Al Lawson Jr.","2017-01-16","2017-01-16 19:47:13","I had a great time celebrating the life and legacy of the Rev. Dr. Martin Luther King, Jr. in Jacksonville this morning at the MLK Day Parade.","photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1717714348559329.1073741829.1712959155701515/1718317195165711/?type=3",NA,30,4,2,1,0,0,0,0
"RepAlLawsonJr","1712959155701515_1720113148319449","Rep Al Lawson Jr.","2017-01-20","2017-01-20 13:08:44","As we enter the last few hours of the Obama administration, I simply want to say thank you.  You will be missed.","photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1717714348559329.1073741829.1712959155701515/1720113148319449/?type=3",NA,64,4,4,8,0,0,0,0
"RepAlLawsonJr","1712959155701515_1721019408228823","Rep Al Lawson Jr.","2017-01-22","2017-01-22 01:17:21","I'm proud to support the women of this country.  Our wives, mothers, aunts, grandmothers, neighbors, friends, sisters, daughters, cousins, and strangers who marched today for equal rights for all. #womensMarch","photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1717714348559329.1073741829.1712959155701515/1721019408228823/?type=3",NA,47,1,5,5,0,0,0,1
"RepAlLawsonJr","1712959155701515_1722012701462827","Rep Al Lawson Jr.","2017-01-23","2017-01-23 14:58:45","My thoughts and prayers are with those affected by the severe weather this past weekend in North Florida. Glad to see the restoration efforts already underway by city officials. #FloridaStrong","status",NA,NA,21,0,1,0,0,0,0,0
"RepAlLawsonJr","1712959155701515_1722696071394490","Rep Al Lawson Jr.","2017-01-24","2017-01-24 19:06:53","Great meeting representatives from Jacksonville Head Start today. I am excited about the future and the opportunity to assist the children and families of the 5th Congressional District. #FloridaStrong","photo","https://www.facebook.com/RepAlLawsonJr/photos/a.1717714348559329.1073741829.1712959155701515/1722696071394490/?type=3",NA,29,3,3,1,0,0,0,0
"RepAlLawsonJr","1712959155701515_1722713908059373","Rep Al Lawson Jr.","2017-01-24","2017-01-24 20:12:24","Just gave my first speech on the House floor today about the importance of protecting the Affordable Care Act. Repealing the ACA would leave many Floridians, and many Americans, without access to quality health care. #FloridaStrong","video","https://www.facebook.com/RepAlLawsonJr/videos/1722713908059373/",NA,89,15,24,11,0,1,0,0
"RepAlLawsonJr","1712959155701515_1725930867737677","Rep Al Lawson Jr.","2017-01-30","2017-01-30 22:00:21","I am deeply disappointed by the President's Executive Order putting in place new vetting procedures for refugees and immigrants entering the United States. This executive order goes against everything this country stands for. I can think of few things more un-American than discriminating against people seeking refuge on our shores because of their religion.  This action betrays who we are as a country. Keeping the American people safe from threats from abroad is very important to me, but targeting an entire religion is completely misguided and irresponsible.   This order dishonors our values and has caused shockwaves of confusion throughout our nation. America is the land of opportunity regardless of age, race, class and religion. I will continue to work for smart action to protect our borders while protecting religious freedom and defending our American values.","status",NA,NA,85,17,15,9,0,1,0,1
"RepAlLawsonJr","1712959155701515_1725950077735756","Rep Al Lawson Jr.","2017-01-30","2017-01-30 23:07:12","My colleagues and I protested on the steps of the U.S. Supreme Court tonight in opposition to President Trump's Executive Order","video","https://www.facebook.com/RepAlLawsonJr/videos/1725950077735756/",NA,66,28,22,27,0,0,0,1
